NDC,ATC4 Class
63323017394,S01AA
00168014630,S02BA
00172392780,N05BA
00409427902,R02AD
00378535201,N05AB
13107000330,N06AX
45802045542,S02BA
00781542231,A10BG
15054053006,M03AX
00378087299,N02CX
00168005646,D07XC
69097086585,N02CC
67877022410,N02BF
16714074703,A02BC
42543014101,A07EA
00378808420,L01XF
45802014167,G01AX
42292002801,J01EC
68001011203,A02BC
00006412102,J07BM
50222030266,H02AB
00536468001,A11DA
00378815577,N06BA
68462013279,L02AA
36000004624,S01AE
00338012504,B05CX
00456046301,H03AA
68462031417,D07CB
00052027301,G03AC
52747030670,B03BB
00781286892,J01CA
00409206610,D04AB
00132020220,A06AG
43199004050,S01HA
00173060202,D07AC
59088081624,N01BB
00713075737,P01AB
52565005615,D07XB
00409904201,N01BB
00065041881,S01KA
68001028000,D11AX
45802043805,S02BA
00487020101,R03AL
57237008663,N02CC
00904664261,N05AH
00409909332,N01AH
65162055650,N05CD
00555900867,G03CA
49348002827,S01GA
62332008090,C03AA
69117100001,R06AE
00054006344,N05AX
67457042000,S01CB
68180084313,G03AB
65162083909,C09CA
00713022915,H02AB
51672300803,S02DA
00409132305,C01BB
69292027410,S01EB
31722072320,S01AE
60505040405,N05AX
68382002001,N06AX
00135009541,A02AD
67457060299,C05BA
00409339004,J01CG
68462072029,L02AA
59762314001,J01FA
60505265705,C03EA
68462019030,G02CC
67618020004,S03AA
68645013154,N06AB
00264751010,B05CX
60687034164,A12BA
43547034306,N05AX
60505618406,B05XA
68001021600,C03EA
68462079917,H02AB
59088081907,S01BA
69238183101,H03AA
57664012613,N02AJ
13107000401,N02AJ
16477020124,C05AA
47781063001,N03AX
00703424681,L01XA
63323080612,N01AH
68001036305,G04BE
45802043803,D07XA
45802026337,G01AA
58657032350,G01AD
68084075095,C03DB
00078068515,B02BX
59088099707,C01BB
60687042411,A01AB
00603221332,N06AA
31722053201,C03CA
00713075937,S02BA
24338008014,D07AC
00456046101,H03AA
68180085413,G03AA
00185014901,C01CA
00168001431,A07EA
00603516521,N03AA
65862014201,C07AG
54505033105,S01BA
00536105775,D02AF
57664034788,N05AH
67405055005,A01AB
00713068231,D06AX
68180095603,D07AD
39822103002,R02AX
00603533715,H02AB
