unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
OH_A01,2025-01-01,Naive,Medium,0.6666666666666666,1696511.595,1696511.595,1696511.595
OH_A01,2025-04-01,Naive,Medium,0.6666666666666666,1696511.595,1696511.595,1696511.595
OH_A01,2025-07-01,Naive,Medium,0.6666666666666666,1696511.595,1696511.595,1696511.595
OH_A01,2025-10-01,Naive,Medium,0.6666666666666666,1696511.595,1696511.595,1696511.595
OH_A01,2026-01-01,Naive,Medium,0.6666666666666666,1696511.595,1696511.595,1696511.595
OH_A01,2026-04-01,Naive,Medium,0.6666666666666666,1696511.595,1696511.595,1696511.595
OH_A01,2026-07-01,Naive,Medium,0.6666666666666666,1696511.595,1696511.595,1696511.595
OH_A01,2026-10-01,Naive,Medium,0.6666666666666666,1696511.595,1696511.595,1696511.595
OH_A02,2025-01-01,SARIMAX,Medium,0.6666666666666666,16741959.335924916,15632854.329653937,17851064.332033575
OH_A02,2025-04-01,SARIMAX,Medium,0.6666666666666666,17071206.81468178,14984366.056901239,19158047.57246232
OH_A02,2025-07-01,SARIMAX,Medium,0.6666666666666666,16971071.89317749,13904348.247952245,20037795.538402744
OH_A02,2025-10-01,SARIMAX,Medium,0.6666666666666666,15414968.944744365,11396825.865270907,19433112.02421782
OH_A02,2026-01-01,SARIMAX,Medium,0.6666666666666666,16748401.641318325,11821899.30241146,21674903.99038751
OH_A02,2026-04-01,SARIMAX,Medium,0.6666666666666666,16397432.841212023,10610858.621157214,22184007.06126683
OH_A02,2026-07-01,SARIMAX,Medium,0.6666666666666666,16377447.914463583,9779386.876429904,22975508.952497263
OH_A02,2026-10-01,SARIMAX,Medium,0.6666666666666666,16362898.112283643,8999759.292025004,23726036.942704592
OH_A03,2025-01-01,Naive,Medium,0.6666666666666666,2862392.455,2862392.455,2862392.455
OH_A03,2025-04-01,Naive,Medium,0.6666666666666666,2862392.455,2862392.455,2862392.455
OH_A03,2025-07-01,Naive,Medium,0.6666666666666666,2862392.455,2862392.455,2862392.455
OH_A03,2025-10-01,Naive,Medium,0.6666666666666666,2862392.455,2862392.455,2862392.455
OH_A03,2026-01-01,Naive,Medium,0.6666666666666666,2862392.455,2862392.455,2862392.455
OH_A03,2026-04-01,Naive,Medium,0.6666666666666666,2862392.455,2862392.455,2862392.455
OH_A03,2026-07-01,Naive,Medium,0.6666666666666666,2862392.455,2862392.455,2862392.455
OH_A03,2026-10-01,Naive,Medium,0.6666666666666666,2862392.455,2862392.455,2862392.455
OH_A04,2025-01-01,Naive,Medium,0.6666666666666666,2957049.795,2957049.795,2957049.795
OH_A04,2025-04-01,Naive,Medium,0.6666666666666666,2957049.795,2957049.795,2957049.795
OH_A04,2025-07-01,Naive,Medium,0.6666666666666666,2957049.795,2957049.795,2957049.795
OH_A04,2025-10-01,Naive,Medium,0.6666666666666666,2957049.795,2957049.795,2957049.795
OH_A04,2026-01-01,Naive,Medium,0.6666666666666666,2957049.795,2957049.795,2957049.795
