unique_id,cutoff,metric,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2019-10-01,mae,1121099.5214961034,1118065.8848750002,1119352.0643125696,81699909.31079413
IN_A02,2019-10-01,mae,2077795.9493414082,1771686.9746250003,1931518.5034846794,82530599.30318847
IN_A03,2019-10-01,mae,307139.3446272168,292382.518875,169453.58369420483,81232609.14357743
IN_A04,2019-10-01,mae,274392.7999960847,177095.7915,145068.71051050804,81114225.46375653
IN_A05,2019-10-01,mae,58750.81510440104,211539.79696875002,67613.52384417813,80851654.72466864
IN_A06,2019-10-01,mae,6446957.400615882,6642115.43125,8510139.24271767,84503417.15139028
IN_A07,2019-10-01,mae,654477.3207337807,579415.477,457343.4796575645,81715507.27254556
IN_A09,2019-10-01,mae,153498.82659177357,161214.078125,55358.170507500414,80897972.64369518
IN_A10,2019-10-01,mae,2299804.86294565,778334.5256250002,3333301.748347716,82935583.06767252
IN_A11,2019-10-01,mae,31508.146014815793,35059.378828125,29318.40013706368,80868530.46992886
IN_A12,2019-10-01,mae,10982250.719042884,11070984.052375,8914005.342507688,73075417.39733174
IN_A16,2019-10-01,mae,155366.64194989216,43005.36068749998,176073.24900301514,80846896.73014608
IN_B01,2019-10-01,mae,403273.8443356301,428907.7278749999,390472.0051934806,81047698.9635359
IN_B02,2019-10-01,mae,1014598.6226652563,1076026.87325,737346.3611432,82107590.998081
IN_B03,2019-10-01,mae,148023.3349490917,199236.70643750002,244302.02805807994,80730342.17588548
IN_B05,2019-10-01,mae,5781828.67681096,7088904.596625,1725431.5442465977,87928881.95820755
IN_B06,2019-10-01,mae,183875.76711102115,62424.34679199219,11393.783257397332,80891579.50654869
IN_C01,2019-10-01,mae,748085.5420794406,818457.1637500001,718688.9109197046,79626425.97750342
IN_C02,2019-10-01,mae,443541.6272973478,323267.0772499999,413832.93282213504,81056907.32817005
IN_C03,2019-10-01,mae,710965.8804000416,779387.7246250001,380960.26228312764,82038007.31034379
IN_C04,2019-10-01,mae,204264.1731786604,150903.07421875,27117.06735918274,80839242.2965486
