unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1604311.5327621237,1.6967205e+06,1597742.9791380146,1367111.9508948661
IN_A01,2025-04-01,1974560.3846135032,2.0422826e+06,1899024.034624944,1682588.8249014684
IN_A01,2025-07-01,2012970.0761443924,2.0750095e+06,2015761.701965507,1763968.1949265543
IN_A01,2025-10-01,2293267.346740731,2.4004832e+06,2169103.833274444,2087340.589258187
IN_A01,2026-01-01,2395873.791586291,2.4219625e+06,2272849.6004854776,2421852.26281645
IN_A01,2026-04-01,2475235.9483546847,2.5606838e+06,2381886.439287212,2541091.6429165676
IN_A01,2026-07-01,2513101.6909671444,2.535033e+06,2388580.0479825414,2651602.3917491343
IN_A01,2026-10-01,2596720.384286233,2.631964e+06,2398298.5139971725,2713056.0376328025
IN_A02,2025-01-01,6461592.837872469,6.203525e+06,7306199.136048211,7204330.36112841
IN_A02,2025-04-01,5877654.196040071,5.153436e+06,7289245.779920935,7409728.412229769
IN_A02,2025-07-01,6291901.536375784,5.056758e+06,7289130.77740502,7598849.124237871
IN_A02,2025-10-01,6341523.86289248,4.918325e+06,7289130.777405019,7935064.144923504
IN_A02,2026-01-01,6790251.039318424,5.829231e+06,7382442.517079191,8300843.092559237
IN_A02,2026-04-01,6838894.586165124,5.6625565e+06,7399113.983588283,8527786.858946163
IN_A02,2026-07-01,6897602.149666454,6.174986e+06,7386588.262507031,8706935.686236901
IN_A02,2026-10-01,6838374.2722566435,5.874654e+06,7358200.353742642,8828353.668736506
IN_A03,2025-01-01,1998854.0429476618,2.060714e+06,1883517.6101387537,1824931.7653434416
IN_A03,2025-04-01,2178978.2072515856,2.2843135e+06,2034447.1705128623,2000606.2527337475
IN_A03,2025-07-01,2147598.62151792,2.2163292e+06,2108901.0040918556,2038333.4698218643
IN_A03,2025-10-01,2302838.0466892486,2.1697665e+06,2166484.0465117097,2136395.2009824743
IN_A03,2026-01-01,2489441.694993277,2.4233888e+06,2242749.303399474,2339274.819085135
IN_A03,2026-04-01,2557537.2741600443,2.5371072e+06,2365248.0748862894,2409817.6424675277
IN_A03,2026-07-01,2543857.408571911,2.5648635e+06,2392867.256145308,2438110.4364711884
IN_A03,2026-10-01,2584343.470642822,2.618314e+06,2394861.7100631325,2458829.0144528155
IN_A04,2025-01-01,1406094.1359358337,1.4030729e+06,1419464.1314932439,1340378.3085692683
IN_A04,2025-04-01,1387214.291919769,1.3692245e+06,1429137.2985037705,1373054.9833475566
IN_A04,2025-07-01,1380972.241069627,1.3266354e+06,1452447.0456406313,1343552.842532753
IN_A04,2025-10-01,1459907.3986610111,1.3835504e+06,1455967.7627512354,1319015.7321968311
IN_A04,2026-01-01,1482106.2078495412,1.4446148e+06,1431275.5847290084,1474548.4630521492
IN_A04,2026-04-01,1482106.2078495412,1.3726405e+06,1428630.9128901022,1549609.8010108653
IN_A04,2026-07-01,1464099.167520433,1.2971056e+06,1454904.8029713884,1570504.199537355
IN_A04,2026-10-01,1459907.3986610111,1.3524112e+06,1454904.802971389,1606392.0712909007
IN_A05,2025-01-01,78693.15301114084,51156.676,60166.63090583097,157625.00504171633
