unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1628567.62443027,1.6967205e+06,1585142.5952371457,1341068.8069416212
IN_A01,2025-04-01,1976408.9582030363,2.0377325e+06,1889168.2052339362,1602615.6947633114
IN_A01,2025-07-01,1977108.5622098409,2.0671022e+06,2012894.1144271996,1609567.5233769016
IN_A01,2025-10-01,2048285.2865458592,2.298526e+06,2165195.3530236725,1839104.0212857611
IN_A01,2026-01-01,2210752.1979815704,2.202349e+06,2272069.9288933245,2067838.9618962212
IN_A01,2026-04-01,2298738.7784896875,2.3831615e+06,2372658.5173061457,2077628.1813805485
IN_A01,2026-07-01,2370681.216367728,2.3291945e+06,2374063.9060322926,2078471.1021751752
IN_A01,2026-10-01,2382502.063327172,2.3985185e+06,2384231.156280383,2033665.1099702688
IN_A02,2025-01-01,6645811.387616229,6.4550975e+06,7280089.324683552,7178287.217175165
IN_A02,2025-04-01,6348934.803272224,5.778118e+06,7248044.896931559,7329981.928461337
IN_A02,2025-07-01,5851925.476897658,5.4845455e+06,7193775.333829687,7444978.51827563
IN_A02,2025-10-01,5445520.655376636,4.9762375e+06,7176581.525237864,7687017.792514173
IN_A02,2026-01-01,5781970.470044165,5.2995645e+06,7269893.264912033,7946884.323496092
IN_A02,2026-04-01,5237897.027318482,4.649583e+06,7313419.381560896,8064361.878705466
IN_A02,2026-07-01,5400769.277985356,4.662921e+06,7236236.054773766,8133617.553179389
IN_A02,2026-10-01,5228324.068737028,4.570182e+06,7213425.440115687,8148472.418432128
IN_A03,2025-01-01,2023110.1346158083,2.060714e+06,1870841.8228229424,1798888.6213901965
IN_A03,2025-04-01,2180826.780841119,2.2797632e+06,2028759.625049751,1920392.6531721153
IN_A03,2025-07-01,2137682.2056284864,2.1816122e+06,2112074.240587814,1883611.2407176187
IN_A03,2025-10-01,2209794.7043490093,2.1380158e+06,2173529.0458903904,1887957.7280378412
IN_A03,2026-01-01,2276571.4622491794,2.346419e+06,2250320.4204517202,1985541.7852939502
IN_A03,2026-04-01,2415116.799560629,2.3817455e+06,2356375.3851264794,1946913.1470370293
IN_A03,2026-07-01,2374316.9185431823,2.390079e+06,2377178.571382553,1865529.1012926884
IN_A03,2026-10-01,2370125.1496837605,2.390079e+06,2370734.0039988933,1781402.4263369245
IN_A04,2025-01-01,1406094.1359358337,1.4030729e+06,1400216.7712465497,1314335.1646160232
