unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1604311.5327621237,1.6967205e+06,1585142.5952371461,1354090.3789182438
IN_A01,2025-04-01,1952152.8665348897,2.0377325e+06,1886348.2473091327,1642600.313592044
IN_A01,2025-07-01,1952852.4705416947,2.0671022e+06,2003085.9146496954,1686761.2607461456
IN_A01,2025-10-01,2024029.1948777125,2.2837322e+06,2154635.914924659,1963203.9600603413
IN_A01,2026-01-01,2186496.1063134237,2.2357972e+06,2269996.379754929,2244820.070214534
IN_A01,2026-04-01,2242262.7149806544,2.4903525e+06,2367970.8122783336,2309333.070173367
IN_A01,2026-07-01,2346425.1246995814,2.417625e+06,2397573.710790985,2364996.928569059
IN_A01,2026-10-01,2358245.971659025,2.4544155e+06,2395441.6285110917,2373248.1744964393
IN_A02,2025-01-01,6442186.173553218,6.396957e+06,7267652.322534714,7191308.789151788
IN_A02,2025-04-01,5698816.752882767,5.6672485e+06,7204633.804601355,7369853.620229492
IN_A02,2025-07-01,5635533.236534285,5.151789e+06,7172734.026792168,7521896.8607319165
IN_A02,2025-10-01,5074293.250395016,4.5201e+06,7164144.523089025,7811017.925719485
IN_A02,2026-01-01,5231788.579469613,5.0266445e+06,7250158.86341683,8123846.817676337
IN_A02,2026-04-01,4708229.148309826,4.34382e+06,7270008.289230692,8296058.383084785
IN_A02,2026-07-01,4606080.885481817,4.514431e+06,7223799.052624925,8420260.116581462
IN_A02,2026-10-01,4729941.991684211,4.4841415e+06,7192824.962443563,8488387.89965058
IN_A03,2025-01-01,1998854.0429476618,2.060714e+06,1870841.8228229424,1811910.193366819
IN_A03,2025-04-01,2156570.6891729725,2.2797632e+06,2021771.3831970515,1960498.5047061043
IN_A03,2025-07-01,2113426.1139603397,2.208422e+06,2102553.6465988876,1960967.5072059827
IN_A03,2025-10-01,2184106.9681933215,2.1684132e+06,2139349.232437848,2012139.950702521
IN_A03,2026-01-01,2252315.3705810327,2.3530575e+06,2229763.7953726635,2162234.028601854
IN_A03,2026-04-01,2390860.707892482,2.466776e+06,2341060.725078412,2178113.4496338917
IN_A03,2026-07-01,2350060.8268750357,2.4532412e+06,2383713.4253410236,2151553.239557702
IN_A03,2026-10-01,2345869.058015614,2.470061e+06,2386250.8820839976,2119283.405740463
IN_A04,2025-01-01,1406094.1359358337,1.4030729e+06,1400216.7712465494,1327356.7365926458
IN_A04,2025-04-01,1387214.291919769,1.3646744e+06,1403847.002982572,1333301.0924083057
IN_A04,2025-07-01,1369207.2515906608,1.3082701e+06,1423279.9537177223,1267326.8881206121
IN_A04,2025-10-01,1365015.482731239,1.3717391e+06,1427298.679352985,1197315.6257997379
IN_A04,2026-01-01,1387214.291919769,1.4328035e+06,1409993.2061150342,1302112.151807893
IN_A04,2026-04-01,1387214.291919769,1.3608292e+06,1407348.5342761278,1322701.7592323383
IN_A04,2026-07-01,1369207.2515906608,1.2852944e+06,1425737.7110484797,1287794.8333764342
IN_A04,2026-10-01,1365015.482731239,1.3406e+06,1425737.7110484797,1269909.784535479
IN_A05,2025-01-01,78693.15301114084,51156.676,59242.40496879896,144603.43306509388
IN_A05,2025-04-01,78693.15301114084,51156.676,59150.88103519806,161145.27185253636
IN_A05,2025-07-01,90074.80582763297,51156.676,60282.03605145967,121742.50082696101
IN_A05,2025-10-01,82669.43841742385,63383.06,60543.502601870205,73657.65618123696
IN_A05,2026-01-01,90074.80582763297,51156.676,60943.240455893014,163553.88311770634
IN_A05,2026-04-01,90074.80582763297,51156.676,60943.24045589304,165745.66590501426
IN_A05,2026-07-01,90074.80582763297,51156.676,60543.50260187023,116455.92558651138
IN_A05,2026-10-01,82669.43841742385,63383.06,60543.50260187021,73586.87957273342
IN_A06,2025-01-01,17124307.216371763,1.7044976e+07,19796948.717629284,19885618.27247966
IN_A06,2025-04-01,17096661.822815135,1.7490616e+07,19803163.456142083,20600618.63822927
IN_A06,2025-07-01,17740457.88356022,1.8361156e+07,19901526.841973476,20142133.55739884
IN_A06,2025-10-01,18285528.218404677,1.9215206e+07,19876643.581437398,20993049.979767557
IN_A06,2026-01-01,19131235.67408713,2.0287366e+07,19876643.581437394,21574082.98542781
IN_A06,2026-04-01,19286523.349331155,2.1217446e+07,20046189.944586307,21613596.914195403
IN_A06,2026-07-01,19188424.180572923,2.3588182e+07,20233065.128447674,21956238.99952252
IN_A06,2026-10-01,18766507.38433386,2.2832948e+07,20842089.26611402,22246980.60020079
IN_A07,2025-01-01,1786082.8840733783,1.6908499e+06,1570752.182570282,1488741.568699138
IN_A07,2025-04-01,1999226.2312003544,1.8505476e+06,1814913.524400559,1655723.4337899985
IN_A07,2025-07-01,2010780.017669532,1.6966629e+06,1761235.2174942913,1676311.9130436066
IN_A07,2025-10-01,1933196.490304631,1.8461989e+06,1767153.4245277792,1799992.8402234004
IN_A07,2026-01-01,1956910.1381039976,1.9578339e+06,1873110.4167898651,1990004.0142905987
IN_A07,2026-04-01,1993785.1900163582,1.9772026e+06,1912291.940004046,2030352.607327317
IN_A07,2026-07-01,1979636.2201400665,1.9679845e+06,1898297.5620187565,2040488.8579885233
IN_A07,2026-10-01,2008630.3817060445,1.9745165e+06,1933248.1768358892,2028578.5382508258
IN_A09,2025-01-01,641868.1502382869,671312.9,613609.7106748837,702645.673441069
IN_A09,2025-04-01,643785.1924021189,651674.75,619757.8130634096,755866.4853270673
IN_A09,2025-07-01,652879.7368159612,685838.5,618887.2508215386,725236.3033085561
IN_A09,2025-10-01,666884.2147765588,685838.5,616775.0487593233,716792.7488972268
IN_A09,2026-01-01,676752.7505039143,666556.7,629201.6968582751,825770.0684275934
IN_A09,2026-04-01,676752.7505039143,666556.7,630862.369503637,832568.9349380636
IN_A09,2026-07-01,676752.7505039143,666556.7,632818.3662351619,795614.981959414
IN_A09,2026-10-01,669347.3830937054,666556.7,629731.1244899249,758804.3270157068
IN_A10,2025-01-01,9284304.054718668,9.382822e+06,9425927.698408015,8929828.801009333
IN_A10,2025-04-01,8236249.041301908,9.123234e+06,9332477.453788795,9257936.817174565
IN_A10,2025-07-01,9304349.27933601,1.0094162e+07,9598426.212431455,9203789.400617816
IN_A10,2025-10-01,8034293.016759047,1.096209e+07,9739636.644676471,9635624.757891018
IN_A10,2026-01-01,9445405.042754205,1.1250911e+07,9925978.698835524,10000701.64365027
IN_A10,2026-04-01,8453405.534434132,1.0911894e+07,10578885.630523887,10096054.940450864
