unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1676402.769222776,1.6664526e+06,1702914.4686771971,1000396.2104909659
IN_A01,2025-04-01,2011703.5235552513,1.8816844e+06,1992023.4076698942,1065125.0322068783
IN_A01,2025-07-01,2096642.6406949346,1.905181e+06,2213424.0269341124,988351.0495391559
IN_A01,2025-10-01,2200153.6253678845,2.0452642e+06,2281298.4875748516,1000894.5378265381
IN_A01,2026-01-01,2375977.7049771645,2.3127498e+06,2452638.344544403,1105611.837298938
IN_A01,2026-04-01,2497367.7984084357,2.4418982e+06,2526157.6105186865,1120747.5533985572
IN_A01,2026-07-01,2594717.7088117395,2.5795088e+06,2576450.044598456,1111364.2548186495
IN_A01,2026-10-01,2717256.279024928,2.698333e+06,2661966.287892945,1091698.8724255473
IN_A02,2025-01-01,6560158.701428719,6.4951655e+06,7021065.482570047,7048164.920530513
IN_A02,2025-04-01,5812658.394282976,5.8377375e+06,6901552.3836532,7048934.421587868
IN_A02,2025-07-01,6036324.133891462,5.8633125e+06,6954747.863213337,6932464.697628511
IN_A02,2025-10-01,6681276.749278892,6.42218e+06,7297829.191571632,6910536.33550119
IN_A02,2026-01-01,7343597.299541237,6.6989895e+06,7394366.577669085,6972194.961409247
IN_A02,2026-04-01,7694253.606265394,6.9372635e+06,7684253.3012300655,6947734.574550217
IN_A02,2026-07-01,8233705.615206036,6.9713045e+06,7972120.909188301,6900005.623344094
IN_A02,2026-10-01,8601026.280846458,7.118562e+06,8122574.702821623,6840838.192226589
IN_A03,2025-01-01,1971287.3069852886,1.892473e+06,1923421.8332965435,1669402.4124164386
IN_A03,2025-04-01,2069399.0326603788,1.9951252e+06,1998883.6413912142,1717886.595082105
IN_A03,2025-07-01,2154257.2287092153,2.0697875e+06,2105587.9585350766,1694634.882823726
IN_A03,2025-10-01,2189238.266666848,2.2681658e+06,2109496.1895078016,1678057.623969657
IN_A03,2026-01-01,2349600.9158495157,2.421411e+06,2182303.3052129513,1774023.6862395827
IN_A03,2026-04-01,2497367.7984084357,2.5900682e+06,2174976.6182108447,1793980.7532229077
IN_A03,2026-07-01,2602209.871414318,2.6610222e+06,2130512.522468496,1776563.641258682
IN_A03,2026-10-01,2709764.116422349,2.725485e+06,2118543.958000067,1751464.3152462773
IN_A04,2025-01-01,1385280.291712346,1.4123548e+06,1431001.881057385,1478830.1731583541
IN_A04,2025-04-01,1380423.197208422,1.4009639e+06,1426712.9480251255,1527019.004359941
IN_A04,2025-07-01,1393041.567422886,1.3916169e+06,1419735.3109232716,1505491.370965313
IN_A04,2025-10-01,1381405.6524444907,1.4481569e+06,1403092.8160172137,1490082.4960157478
