unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1691058.1410639142,1.6924281e+06,1692757.4979373745,1004310.0808533191
IN_A01,2025-04-01,2005440.1126794345,1.8870885e+06,1936996.1769016671,1077288.2393087372
IN_A01,2025-07-01,2030218.2673170257,1.9046676e+06,2109080.958732434,1012526.0348669713
IN_A01,2025-10-01,2199552.689343341,1.9424851e+06,2125969.886290172,1041074.008988251
IN_A01,2026-01-01,2334548.52447263,2.0933178e+06,2197440.7993544745,1165582.4442989037
IN_A01,2026-04-01,2447160.9954274204,2.1696038e+06,2212312.3647656064,1203961.5609547764
IN_A01,2026-07-01,2458680.766141774,2.1321678e+06,2306547.513592636,1221088.4874015762
IN_A01,2026-10-01,2550835.7277431614,2.2590795e+06,2447973.8513095602,1230974.0885707636
IN_A02,2025-01-01,6701615.203121227,6.819595e+06,7090443.206030875,7052078.7908928655
IN_A02,2025-04-01,5968783.397851787,6.610732e+06,7047315.291243206,7061097.555286255
IN_A02,2025-07-01,5729621.259296141,6.4754035e+06,7110642.8201552,6956639.136321807
IN_A02,2025-10-01,5333213.65839498,6.118124e+06,7175201.136035393,6950714.211679783
IN_A02,2026-01-01,4890310.43040076,6.3209995e+06,7129356.091084911,7032159.745983876
IN_A02,2026-04-01,4447436.452669355,6.2293875e+06,7175415.740368643,7030937.790954143
IN_A02,2026-07-01,3599396.7679946884,6.0297315e+06,7172631.095060892,7009719.214234557
IN_A02,2026-10-01,4540628.230065625,5.989341e+06,7142491.020332799,6980095.939108798
IN_A03,2025-01-01,1970923.9282906528,1.910407e+06,1832478.7922689803,1673316.2827787919
IN_A03,2025-04-01,2063135.6217845615,2.0024824e+06,1810317.737332608,1730050.3872327087
IN_A03,2025-07-01,2103170.104047459,2.0628691e+06,1889872.880111388,1718811.4918498953
IN_A03,2025-10-01,2122174.453608983,2.1405098e+06,1949690.3472728203,1718238.8687902451
IN_A03,2026-01-01,2136757.550519601,2.1374578e+06,2084523.7759606922,1833997.912554287
IN_A03,2026-04-01,2215488.4093796615,2.231401e+06,2099046.8588038287,1877198.9510805344
IN_A03,2026-07-01,2405797.8507291065,2.2993508e+06,2126807.7383448174,1886291.3315499767
IN_A03,2026-10-01,2445840.2518119114,2.3709495e+06,2147477.232835411,1890743.056358788
IN_A04,2025-01-01,1399935.6635534842,1.4249311e+06,1428801.5474956138,1482744.0435207074
IN_A04,2025-04-01,1348073.1379363437,1.4202655e+06,1394432.3270544151,1539182.614570944
IN_A04,2025-07-01,1346564.0809560097,1.4071711e+06,1372658.2965453297,1529667.7684491877
IN_A04,2025-10-01,1306483.4598847153,1.406438e+06,1346748.547655202,1530263.5994173135
