unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IN_A01,2025-01-01,1631893.5537370122,1.6852144e+06,1679127.3839866393,1002353.1456721424,1525418.541856385
IN_A01,2025-04-01,1946275.5253525325,1.8844034e+06,1900933.2685413132,1071206.63521496,1732324.4996210993
IN_A01,2025-07-01,2022704.5445959633,1.8974541e+06,2039015.9087687267,1000438.5350331744,1780057.867958676
IN_A01,2025-10-01,2046420.7179378793,1.925989e+06,2088587.6095810116,1020984.2458441583,1811865.1071840278
IN_A01,2026-01-01,2043274.6409193918,2.097164e+06,2150412.489197872,1135596.7838770146,1895551.9817088363
IN_A01,2026-04-01,2041205.426198673,2.1734508e+06,2152726.1108080954,1162354.0669316677,1920128.922361628
IN_A01,2026-07-01,2024727.5651522456,2.1445692e+06,2148461.8005603054,1166225.943511201,1908496.4876484745
IN_A01,2026-10-01,1996679.830621103,2.2640142e+06,2140922.9697791855,1161335.859396046,1927607.4997472854
IN_A02,2025-01-01,6216925.059533108,6.8120855e+06,7041256.952053129,7050121.855711689,6781377.391111453
IN_A02,2025-04-01,5136351.0234599225,6.6069655e+06,6912209.426330631,7055015.988110788,6424873.687317398
IN_A02,2025-07-01,3993568.2122656833,6.471637e+06,6987482.1941167535,6944551.910303287,6105457.624659834
IN_A02,2025-10-01,2357699.2062223037,6.1315535e+06,6914363.955127375,6930625.230162518,5589801.446177488
IN_A02,2026-01-01,3297177.5387733835,6.3645435e+06,6905308.539516411,7002177.291844256,5893706.226817998
IN_A02,2026-04-01,5858491.259340349,6.2729315e+06,6907946.065481942,6989335.818080252,6507613.105300853
IN_A02,2026-07-01,4957957.4371010065,6.1004785e+06,6901611.705749159,6954861.764112212,6231635.366741704
IN_A02,2026-10-01,7367709.8104398,6.0526275e+06,6903512.160645667,6910465.369886527,6811616.597975744
IN_A03,2025-01-01,1930457.4501641921,1.9070841e+06,1832478.7922689791,1671359.347597615,1841082.0320831852
IN_A03,2025-04-01,2003971.0344576596,2.0036881e+06,1810317.737332608,1723968.4891710654,1887793.3017100254
IN_A03,2025-07-01,2050394.5046239588,2.0595468e+06,1889872.8801113875,1706723.1771334969,1932753.2698485542
IN_A03,2025-10-01,2022346.7700928163,2.1371868e+06,1958249.3612454275,1698148.2065318762,1963064.9604922687
