unique_id,best_model,consistency_ratio,confidence,win_count,n_windows,avg_mae
IL_A01,LightGBM,0.5,Medium,1,2,42517.72592886307
IL_A02,XGBoost,0.5,Medium,1,2,23357.15625
IL_A03,LightGBM,0.5,Medium,1,2,5028.851010012439
IL_A04,XGBoost,0.5,Medium,1,2,11727.4521484375
IL_A05,RandomForest,1.0,High,2,2,161.36073992673448
IL_A06,LightGBM,0.5,Medium,1,2,16219.39311847929
IL_A07,RandomForest,0.5,Medium,1,2,19049.412898421546
IL_A09,XGBoost,0.5,Medium,1,2,748.0963668823242
IL_A10,LightGBM,0.5,Medium,1,2,57314.14678920657
IL_A11,XGBoost,0.5,Medium,1,2,8717.20361328125
IL_A12,LightGBM,0.5,Medium,1,2,13116.195887432397
IL_A16,RandomForest,1.0,High,2,2,94.348360692435
IL_B01,XGBoost,1.0,High,2,2,11954.248046875
IL_B02,LightGBM,0.5,Medium,1,2,2291.443323686761
IL_B03,XGBoost,0.5,Medium,1,2,17303.353515625
IL_B05,LightGBM,0.5,Medium,1,2,19104.85418247689
IL_B06,RandomForest,1.0,High,2,2,201.36930802705376
IL_C01,XGBoost,0.5,Medium,1,2,15733.60888671875
IL_C02,RandomForest,0.5,Medium,1,2,10600.278129076147
IL_C03,XGBoost,0.5,Medium,1,2,30419.48046875
IL_C04,XGBoost,0.5,Medium,1,2,374.8317985534668
IL_C05,LightGBM,1.0,High,2,2,5227.319420228635
IL_C07,LightGBM,0.5,Medium,1,2,22396.9985072974
IL_C08,RandomForest,1.0,High,2,2,14616.900319505356
IL_C09,XGBoost,0.5,Medium,1,2,26013.2314453125
IL_C10,XGBoost,1.0,High,2,2,24414.189453125
IL_D01,XGBoost,1.0,High,2,2,14752.7666015625
IL_D02,RandomForest,1.0,High,2,2,6038.7472442002145
IL_D04,LightGBM,0.5,Medium,1,2,5270.892389621853
IL_D05,LightGBM,1.0,High,2,2,691.7153832753029
IL_D06,LightGBM,0.5,Medium,1,2,11907.033925831933
IL_D07,LightGBM,0.5,Medium,1,2,17958.5625737447
IL_D10,LightGBM,0.5,Medium,1,2,14200.757056363223
IL_D11,XGBoost,1.0,High,2,2,6634.62548828125
IL_G01,XGBoost,1.0,High,2,2,10725.612060546875
IL_G02,RandomForest,1.0,High,2,2,17313.697566309485
IL_G03,XGBoost,0.5,Medium,1,2,8810.10986328125
IL_G04,LightGBM,0.5,Medium,1,2,8662.815215107767
IL_H01,RandomForest,1.0,High,2,2,293.92845271152515
IL_H02,XGBoost,0.5,Medium,1,2,13575.232421875
IL_H03,XGBoost,0.5,Medium,1,2,16311.9306640625
IL_H04,XGBoost,1.0,High,2,2,315.6543273925781
IL_H05,LightGBM,0.5,Medium,1,2,15804.283746926805
IL_J01,XGBoost,0.5,Medium,1,2,54566.099609375
IL_J02,XGBoost,0.5,Medium,1,2,11992.189331054688
IL_J04,RandomForest,1.0,High,2,2,200.7618956183368
IL_J05,XGBoost,0.5,Medium,1,2,12046.8798828125
IL_J06,XGBoost,0.5,Medium,1,2,520.2863845825195
IL_L01,XGBoost,0.5,Medium,1,2,6369.1767578125
IL_L02,RandomForest,1.0,High,2,2,13237.936983594245
IL_L03,RandomForest,1.0,High,2,2,257.8708531126453
IL_L04,RandomForest,0.5,Medium,1,2,5447.2267508265295
IL_M01,XGBoost,1.0,High,2,2,10266.7158203125
IL_M02,LightGBM,0.5,Medium,1,2,26840.652224741003
IL_M03,XGBoost,0.5,Medium,1,2,9419.53076171875
IL_M04,LightGBM,1.0,High,2,2,2862.2382703699686
IL_M05,LightGBM,1.0,High,2,2,3956.381881201751
IL_N01,LightGBM,0.5,Medium,1,2,1771.9782251575743
IL_N02,RandomForest,0.5,Medium,1,2,118923.65583590415
IL_N03,RandomForest,0.5,Medium,1,2,21436.23278865966
IL_N04,LightGBM,0.5,Medium,1,2,4667.432194577699
IL_N05,LightGBM,0.5,Medium,1,2,44356.044877821376
IL_N06,RandomForest,0.5,Medium,1,2,88004.29246960272
IL_N07,LightGBM,0.5,Medium,1,2,4582.625069522397
IL_P01,LightGBM,1.0,High,2,2,5565.951267250533
IL_P03,LightGBM,1.0,High,2,2,436.63265173189995
IL_R01,XGBoost,1.0,High,2,2,38578.2109375
IL_R02,XGBoost,0.5,Medium,1,2,24588.857788085938
IL_R03,Ridge,1.0,High,2,2,59444.40708734612
IL_R05,XGBoost,1.0,High,2,2,11786.5859375
IL_R06,XGBoost,0.5,Medium,1,2,15814.95361328125
IL_R07,RandomForest,1.0,High,2,2,112.14009256364199
IL_S01,Ridge,1.0,High,2,2,34062.07880798664
IL_S02,LightGBM,0.5,Medium,1,2,8311.788378353403
IL_S03,LightGBM,0.5,Medium,1,2,14197.246539662103
IL_V03,LightGBM,0.5,Medium,1,2,3427.833985208282
IL_V04,XGBoost,1.0,High,2,2,17249.405517578125
IL_V07,RandomForest,1.0,High,2,2,75.79933461141323
