unique_id,best_model,consistency_ratio,confidence,win_count,n_windows,avg_mae
IL_A01,XGBoost,0.5,Medium,1,2,2819492.9895625
IL_A02,Ridge,1.0,High,2,2,981668.6015604226
IL_A03,XGBoost,0.5,Medium,1,2,490461.163375
IL_A04,LightGBM,1.0,High,2,2,117171.39932131695
IL_A05,RandomForest,1.0,High,2,2,33706.767907491696
IL_A06,XGBoost,1.0,High,2,2,5368920.2775
IL_A07,XGBoost,0.5,Medium,1,2,646303.6416249999
IL_A09,XGBoost,0.5,Medium,1,2,248663.31640625
IL_A10,LightGBM,0.5,Medium,1,2,2880194.781510518
IL_A11,XGBoost,0.5,Medium,1,2,200593.30265625
IL_A12,RandomForest,1.0,High,2,2,11894589.485057872
IL_A16,RandomForest,1.0,High,2,2,40691.9878121767
IL_B01,XGBoost,1.0,High,2,2,462471.7992500001
IL_B02,Ridge,1.0,High,2,2,888221.4300613587
IL_B03,XGBoost,0.5,Medium,1,2,704747.2918125
IL_B05,LightGBM,0.5,Medium,1,2,9322684.076376397
IL_B06,RandomForest,1.0,High,2,2,25478.055634764598
IL_C01,LightGBM,0.5,Medium,1,2,623108.5157380695
IL_C02,LightGBM,0.5,Medium,1,2,622906.9971036958
IL_C03,Ridge,1.0,High,2,2,1746800.0904029408
IL_C04,RandomForest,1.0,High,2,2,13407.635497831314
IL_C05,LightGBM,0.5,Medium,1,2,554048.3517164257
IL_C07,Ridge,1.0,High,2,2,1578275.9468867267
IL_C08,Ridge,1.0,High,2,2,907227.8583189183
IL_C09,RandomForest,0.5,Medium,1,2,2279879.974869781
IL_C10,XGBoost,0.5,Medium,1,2,1520632.6665625
IL_D01,RandomForest,0.5,Medium,1,2,467629.9276438834
IL_D02,LightGBM,0.5,Medium,1,2,452179.569257913
IL_D04,LightGBM,0.5,Medium,1,2,383472.0744837655
IL_D05,XGBoost,0.5,Medium,1,2,97805.56162109376
IL_D06,LightGBM,0.5,Medium,1,2,540958.6211697654
IL_D07,RandomForest,1.0,High,2,2,479515.04822055576
IL_D10,LightGBM,0.5,Medium,1,2,373126.7201716174
IL_D11,LightGBM,1.0,High,2,2,401964.4439339808
IL_G01,RandomForest,1.0,High,2,2,804789.6944208478
IL_G02,LightGBM,0.5,Medium,1,2,1127396.873899994
IL_G03,XGBoost,1.0,High,2,2,308040.5578125
IL_G04,LightGBM,1.0,High,2,2,609234.1806892683
IL_H01,XGBoost,0.5,Medium,1,2,106539.77643750001
IL_H02,XGBoost,0.5,Medium,1,2,698062.6849374999
IL_H03,LightGBM,1.0,High,2,2,306742.24285547703
IL_H04,RandomForest,1.0,High,2,2,769.31906273694
IL_H05,RandomForest,1.0,High,2,2,23779.728518905315
IL_J01,RandomForest,0.5,Medium,1,2,4839617.075669901
IL_J02,XGBoost,0.5,Medium,1,2,418045.766828125
IL_J04,RandomForest,1.0,High,2,2,7430.094881978205
IL_J05,LightGBM,0.5,Medium,1,2,604554.9474338185
IL_J06,RandomForest,1.0,High,2,2,29835.5555631968
IL_L01,XGBoost,0.5,Medium,1,2,240226.25015625
IL_L02,RandomForest,1.0,High,2,2,464590.82932552905
IL_L03,RandomForest,1.0,High,2,2,5018.694632203735
IL_L04,XGBoost,1.0,High,2,2,405622.53618749994
IL_M01,LightGBM,0.5,Medium,1,2,640496.0675365052
IL_M02,LightGBM,0.5,Medium,1,2,1501508.064751721
IL_M03,Ridge,1.0,High,2,2,1095184.3781710684
IL_M04,RandomForest,1.0,High,2,2,172085.0487692564
IL_M05,RandomForest,1.0,High,2,2,19377.9349924387
IL_N01,XGBoost,0.5,Medium,1,2,168671.9503359375
IL_N02,XGBoost,0.5,Medium,1,2,4946387.385624999
IL_N03,LightGBM,0.5,Medium,1,2,2158815.671298224
IL_N04,LightGBM,0.5,Medium,1,2,343932.2850538183
IL_N05,LightGBM,0.5,Medium,1,2,2309913.726142904
IL_N06,RandomForest,0.5,Medium,1,2,3613858.673867351
IL_N07,RandomForest,1.0,High,2,2,181003.8074688267
IL_P01,LightGBM,0.5,Medium,1,2,395307.79874624964
IL_P03,RandomForest,1.0,High,2,2,27707.150431993454
IL_R01,XGBoost,0.5,Medium,1,2,2073104.5218125
IL_R02,LightGBM,0.5,Medium,1,2,1939067.8303057225
IL_R03,RandomForest,0.5,Medium,1,2,3908024.6345588644
IL_R05,LightGBM,0.5,Medium,1,2,700494.5845623774
IL_R06,XGBoost,1.0,High,2,2,610126.5960625
IL_R07,RandomForest,1.0,High,2,2,14729.703207350813
IL_S01,Ridge,1.0,High,2,2,2286125.299558414
IL_S02,LightGBM,0.5,Medium,1,2,1368006.8925080379
IL_S03,RandomForest,1.0,High,2,2,316619.2510535637
IL_V03,RandomForest,0.5,Medium,1,2,396254.9251748306
IL_V04,LightGBM,1.0,High,2,2,623029.2444614084
IL_V07,XGBoost,0.5,Medium,1,2,422963.82160937495
