unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
IL_A01,2025-01-01,XGBoost,Medium,0.5,1069574.0,1089116.5,1108250.5
IL_A01,2025-04-01,XGBoost,Medium,0.5,1398096.125,1547730.0,1465249.875
IL_A01,2025-07-01,XGBoost,Medium,0.5,1555520.0,1772326.875,1667955.125
IL_A01,2025-10-01,XGBoost,Medium,0.5,1725449.25,2038111.0,1874811.125
IL_A01,2026-01-01,XGBoost,Medium,0.5,1914771.0,2133360.75,2139118.25
IL_A01,2026-04-01,XGBoost,Medium,0.5,2016586.375,2274322.5,2231069.25
IL_A01,2026-07-01,XGBoost,Medium,0.5,2067808.875,2329859.75,2366018.5
IL_A01,2026-10-01,XGBoost,Medium,0.5,2096670.875,2415780.25,2400110.5
IL_A02,2025-01-01,Ridge,High,1.0,7357138.013510577,7316590.118304085,7397685.90871707
IL_A02,2025-04-01,Ridge,High,1.0,7152355.154851229,7062693.30043009,7241994.655410037
IL_A02,2025-07-01,Ridge,High,1.0,6906058.452882846,6752794.057775733,7059188.23130116
IL_A02,2025-10-01,Ridge,High,1.0,6983353.270184745,6754218.742004012,7211912.278515958
IL_A02,2026-01-01,Ridge,High,1.0,7478112.949273583,7148854.563301325,7806119.826105133
IL_A02,2026-04-01,Ridge,High,1.0,7580053.347395286,7161579.388910797,7995481.643562119
IL_A02,2026-07-01,Ridge,High,1.0,7746172.143969718,7230819.512507559,8259804.961691316
IL_A02,2026-10-01,Ridge,High,1.0,7957547.493785614,7338335.3735743025,8574584.585906
IL_A03,2025-01-01,XGBoost,Medium,0.5,1227328.75,1242833.625,1252482.625
IL_A03,2025-04-01,XGBoost,Medium,0.5,1345749.75,1443189.75,1370657.375
IL_A03,2025-07-01,XGBoost,Medium,0.5,1393590.75,1592678.0,1499083.625
IL_A03,2025-10-01,XGBoost,Medium,0.5,1403908.5,1625207.0,1576374.375
IL_A03,2026-01-01,XGBoost,Medium,0.5,1547495.75,1700001.625,1629589.25
IL_A03,2026-04-01,XGBoost,Medium,0.5,1591413.75,1679538.875,1674909.125
IL_A03,2026-07-01,XGBoost,Medium,0.5,1605924.375,1673811.5,1642645.125
IL_A03,2026-10-01,XGBoost,Medium,0.5,1626106.75,1673811.5,1659537.375
IL_A04,2025-01-01,LightGBM,High,1.0,895862.1812360073,966667.9682541927,1030000.6224742673
IL_A04,2025-04-01,LightGBM,High,1.0,856745.8157682817,924343.5695797344,1073594.0719207088
IL_A04,2025-07-01,LightGBM,High,1.0,848244.7057397236,888393.241238178,1076492.8975955222
IL_A04,2025-10-01,LightGBM,High,1.0,840510.5814748124,855705.893299657,1091877.0046439285
IL_A04,2026-01-01,LightGBM,High,1.0,855509.6133093295,889747.9555003716,1075336.4065019004
IL_A04,2026-04-01,LightGBM,High,1.0,817620.402340068,840149.6566765069,1044283.9734455205
IL_A04,2026-07-01,LightGBM,High,1.0,838037.6260497319,856273.0353110238,1074994.3476746846
IL_A04,2026-10-01,LightGBM,High,1.0,835138.9498484256,862358.7763605119,1048731.7342895032
IL_A05,2025-01-01,RandomForest,High,1.0,130534.68390159962,130534.68390159964,130750.28316797165
IL_A05,2025-04-01,RandomForest,High,1.0,137484.79994791432,138081.5601566447,138165.65130201983
IL_A05,2025-07-01,RandomForest,High,1.0,144690.17237923067,148920.97403438014,147033.53558679178
IL_A05,2025-10-01,RandomForest,High,1.0,147999.22749528554,152546.81568911826,152576.8543431328
IL_A05,2026-01-01,RandomForest,High,1.0,149354.10645425913,155433.41248961887,156240.50701786525
IL_A05,2026-04-01,RandomForest,High,1.0,147621.7778825199,151752.23954616993,152282.15332593094
IL_A05,2026-07-01,RandomForest,High,1.0,147860.30281512014,152226.0159291515,152982.36618916414
IL_A05,2026-10-01,RandomForest,High,1.0,147432.06800561812,152182.0359161085,152506.60148998944
IL_A06,2025-01-01,XGBoost,High,1.0,21227236.0,21447896.0,21697984.0
IL_A06,2025-04-01,XGBoost,High,1.0,18098164.0,18557772.0,19208408.0
IL_A06,2025-07-01,XGBoost,High,1.0,17261166.0,17892404.0,19516318.0
IL_A06,2025-10-01,XGBoost,High,1.0,17612514.0,18004756.0,20066808.0
IL_A06,2026-01-01,XGBoost,High,1.0,18529894.0,18808918.0,21200484.0
IL_A06,2026-04-01,XGBoost,High,1.0,17956140.0,18882028.0,21541672.0
IL_A06,2026-07-01,XGBoost,High,1.0,17918096.0,18810032.0,21797880.0
IL_A06,2026-10-01,XGBoost,High,1.0,18068660.0,18794866.0,21835352.0
IL_A07,2025-01-01,XGBoost,Medium,0.5,1859721.0,1879263.5,1893616.375
IL_A07,2025-04-01,XGBoost,Medium,0.5,2099605.5,2212436.5,2227143.5
IL_A07,2025-07-01,XGBoost,Medium,0.5,2198979.25,2381560.25,2357404.0
IL_A07,2025-10-01,XGBoost,Medium,0.5,2246338.5,2382903.0,2399203.75
IL_A07,2026-01-01,XGBoost,Medium,0.5,2346837.5,2618665.75,2617616.5
IL_A07,2026-04-01,XGBoost,Medium,0.5,2490335.5,2693392.0,2747541.5
IL_A07,2026-07-01,XGBoost,Medium,0.5,2531362.5,2770489.0,2928271.5
IL_A07,2026-10-01,XGBoost,Medium,0.5,2535611.75,2862430.25,3066618.75
IL_A09,2025-01-01,XGBoost,Medium,0.5,601858.625,612459.6875,620367.625
IL_A09,2025-04-01,XGBoost,Medium,0.5,618921.0625,644723.125,637035.3125
IL_A09,2025-07-01,XGBoost,Medium,0.5,629567.75,718482.4375,713924.125
IL_A09,2025-10-01,XGBoost,Medium,0.5,697367.1875,817663.625,792028.6875
IL_A09,2026-01-01,XGBoost,Medium,0.5,700171.0,871834.6875,766796.875
IL_A09,2026-04-01,XGBoost,Medium,0.5,715428.625,858386.375,739262.625
IL_A09,2026-07-01,XGBoost,Medium,0.5,718870.4375,836887.8125,719288.75
IL_A09,2026-10-01,XGBoost,Medium,0.5,711745.75,841415.0625,722515.4375
IL_A10,2025-01-01,LightGBM,Medium,0.5,17209019.60292045,17844369.188572742,18231529.35650905
IL_A10,2025-04-01,LightGBM,Medium,0.5,15546303.696064698,16717788.445608662,18896003.963306777
IL_A10,2025-07-01,LightGBM,Medium,0.5,15006475.141006691,15683137.219758684,18998973.474138346
IL_A10,2025-10-01,LightGBM,Medium,0.5,15073535.231768142,15513132.128278172,19412386.211801395
IL_A10,2026-01-01,LightGBM,Medium,0.5,15619469.145242326,16413130.75040592,22541730.047707688
IL_A10,2026-04-01,LightGBM,Medium,0.5,15616923.100463187,16428303.673875632,23548457.828134745
IL_A10,2026-07-01,LightGBM,Medium,0.5,15751888.920694182,16557286.59549988,22864968.81107633
IL_A10,2026-10-01,LightGBM,Medium,0.5,15751888.920694182,16557286.59549988,23629287.677660894
IL_A11,2025-01-01,XGBoost,Medium,0.5,602971.1875,613572.25,619067.125
IL_A11,2025-04-01,XGBoost,Medium,0.5,620667.9375,646470.0,641195.25
IL_A11,2025-07-01,XGBoost,Medium,0.5,642799.8125,711284.3125,709139.0
IL_A11,2025-10-01,XGBoost,Medium,0.5,715205.5625,813702.75,786147.5625
IL_A11,2026-01-01,XGBoost,Medium,0.5,712402.0625,841792.1875,759245.375
IL_A11,2026-04-01,XGBoost,Medium,0.5,716048.375,842644.25,739262.625
IL_A11,2026-07-01,XGBoost,Medium,0.5,718870.4375,841895.3125,724296.1875
IL_A11,2026-10-01,XGBoost,Medium,0.5,711226.25,841415.0625,722515.4375
IL_A12,2025-01-01,RandomForest,High,1.0,13991733.636365883,14131095.21230315,14045683.479748948
IL_A12,2025-04-01,RandomForest,High,1.0,13466617.605229022,13847570.379253654,13829848.411380084
IL_A12,2025-07-01,RandomForest,High,1.0,12635400.887066636,13269931.257770503,13001924.5457889
IL_A12,2025-10-01,RandomForest,High,1.0,13389458.560921399,14181460.671649685,14100861.488056222
IL_A12,2026-01-01,RandomForest,High,1.0,13113280.462244386,13697184.8297445,13764205.711126259
IL_A12,2026-04-01,RandomForest,High,1.0,13149716.428268827,13295955.743825447,13543733.880062675
IL_A12,2026-07-01,RandomForest,High,1.0,13619484.31938157,13751758.991802668,14103217.24309869
IL_A12,2026-10-01,RandomForest,High,1.0,13832512.977920044,13779465.972450562,14256633.24066059
IL_A16,2025-01-01,RandomForest,High,1.0,257639.42108277886,257008.93835677154,263474.9870337148
IL_A16,2025-04-01,RandomForest,High,1.0,248204.70397775085,250171.9056095245,248799.1119876675
IL_A16,2025-07-01,RandomForest,High,1.0,242180.9232639463,243631.9132788458,251123.4070414156
IL_A16,2025-10-01,RandomForest,High,1.0,231240.5200680421,231540.1609202344,231835.7988959603
IL_A16,2026-01-01,RandomForest,High,1.0,223935.18337637628,225146.9736807203,229667.7570235794
IL_A16,2026-04-01,RandomForest,High,1.0,222874.21420512037,223771.7891636905,226015.0632799092
IL_A16,2026-07-01,RandomForest,High,1.0,222794.2928243398,222938.1309992505,226195.24191831078
IL_A16,2026-10-01,RandomForest,High,1.0,222210.8541638264,222260.05218997193,225732.29588313005
IL_B01,2025-01-01,XGBoost,High,1.0,3185530.5,3245868.5,3309395.75
IL_B01,2025-04-01,XGBoost,High,1.0,3082166.0,3415729.5,3297710.25
IL_B01,2025-07-01,XGBoost,High,1.0,3218854.25,3601048.5,3494305.25
IL_B01,2025-10-01,XGBoost,High,1.0,3447915.0,3813040.5,3774898.0
IL_B01,2026-01-01,XGBoost,High,1.0,3513287.25,3914410.5,3941033.5
IL_B01,2026-04-01,XGBoost,High,1.0,3625465.75,4096688.25,4141622.5
IL_B01,2026-07-01,XGBoost,High,1.0,3673873.0,4312366.0,4432719.5
IL_B01,2026-10-01,XGBoost,High,1.0,3655207.25,4331438.0,4479992.0
IL_B02,2025-01-01,Ridge,High,1.0,1899598.2269150997,1859050.3317086077,1940146.1221215916
IL_B02,2025-04-01,Ridge,High,1.0,1502564.783186379,1413058.5454030451,1592040.2780722342
IL_B02,2025-07-01,Ridge,High,1.0,1434182.975498925,1281341.403386264,1586767.4919974469
IL_B02,2025-10-01,Ridge,High,1.0,1652464.068649002,1422700.357527805,1881360.4801536123
IL_B02,2026-01-01,Ridge,High,1.0,2043506.180725485,1716650.7787936027,2367531.892779445
IL_B02,2026-04-01,Ridge,High,1.0,2150790.556737903,1736897.5801943666,2562863.298327182
IL_B02,2026-07-01,Ridge,High,1.0,2345737.2728711674,1832636.9427954508,2857167.038939935
IL_B02,2026-10-01,Ridge,High,1.0,2540357.4691257845,1923881.9025021647,3154816.8281131363
IL_B03,2025-01-01,XGBoost,Medium,0.5,809884.125,823176.8125,835037.875
IL_B03,2025-04-01,XGBoost,Medium,0.5,859196.625,945247.0,892868.25
IL_B03,2025-07-01,XGBoost,Medium,0.5,871309.5,956860.375,912600.75
