unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
IL_A01,2025-01-01,LightGBM,Medium,0.5,24361.67379083517,25418.074227825877,26024.05309477293
IL_A01,2025-04-01,LightGBM,Medium,0.5,25655.657221894257,27635.015437459057,28851.74232019126
IL_A01,2025-07-01,LightGBM,Medium,0.5,26467.744187665303,35732.037556864496,34314.65429275021
IL_A01,2025-10-01,LightGBM,Medium,0.5,33338.57730301275,40796.3997998633,39420.34674604112
IL_A01,2026-01-01,LightGBM,Medium,0.5,43301.556979868845,44561.08198883002,47851.39296479085
IL_A01,2026-04-01,LightGBM,Medium,0.5,42390.92621726567,46737.37076204964,49197.780506930714
IL_A01,2026-07-01,LightGBM,Medium,0.5,40699.9450082777,53172.92709063828,50369.57688290335
IL_A01,2026-10-01,LightGBM,Medium,0.5,45332.346719311405,57537.235044748144,55039.209113471465
IL_A02,2025-01-01,XGBoost,Medium,0.5,126205.96875,131122.28125,133055.734375
IL_A02,2025-04-01,XGBoost,Medium,0.5,116765.15625,131741.265625,124578.5625
IL_A02,2025-07-01,XGBoost,Medium,0.5,119521.5234375,131771.140625,127992.25
IL_A02,2025-10-01,XGBoost,Medium,0.5,117856.984375,129098.9375,123076.3828125
IL_A02,2026-01-01,XGBoost,Medium,0.5,123899.6015625,129049.1640625,123607.21875
IL_A02,2026-04-01,XGBoost,Medium,0.5,119201.296875,133553.84375,124038.3046875
IL_A02,2026-07-01,XGBoost,Medium,0.5,122898.1640625,132911.4375,129514.5234375
IL_A02,2026-10-01,XGBoost,Medium,0.5,119625.6171875,131280.578125,125085.4765625
IL_A03,2025-01-01,LightGBM,Medium,0.5,22281.061573247367,22444.52249574893,22896.12422125834
IL_A03,2025-04-01,LightGBM,Medium,0.5,22255.99751958491,22664.498171905725,24396.089480333612
IL_A03,2025-07-01,LightGBM,Medium,0.5,23745.403311164504,25647.948757170107,25572.779452423303
IL_A03,2025-10-01,LightGBM,Medium,0.5,24051.18740100975,25734.191497933276,25942.034196442735
IL_A03,2026-01-01,LightGBM,Medium,0.5,23381.351915923842,25073.461306933954,24364.814234795904
IL_A03,2026-04-01,LightGBM,Medium,0.5,23635.31033526427,24784.701449748467,24194.33327486335
