unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IL_A01,2025-01-01,26024.05309477293,25396.678,29314.49360522486,13609.250286342918
IL_A01,2025-04-01,28851.74232019126,27837.73,35404.6787706688,13428.232058276237
IL_A01,2025-07-01,34314.65429275021,35125.664,41264.367733405874,16590.910341068557
IL_A01,2025-10-01,39420.34674604112,41459.797,43996.69036223821,24063.589200049748
IL_A01,2026-01-01,47851.39296479085,48597.383,49026.11108448565,33376.29844944159
IL_A01,2026-04-01,49197.780506930714,55136.875,55024.64078156669,42255.50292135114
IL_A01,2026-07-01,50369.57688290335,55586.965,58891.49616788542,50513.98207885198
IL_A01,2026-10-01,55039.209113471465,56304.45,59594.18382036599,57779.16845269872
IL_A02,2025-01-01,139906.99999062155,133055.73,146550.25727657822,120692.7962451948
IL_A02,2025-04-01,127944.67657798628,124578.56,142000.59602195135,115709.8621676534
IL_A02,2025-07-01,133168.0960828836,127992.25,142519.1254550455,111295.1359704822
IL_A02,2025-10-01,134303.05425236592,123076.38,141721.58832877228,117415.79081103412
IL_A02,2026-01-01,129244.48344076319,123607.22,142843.16464546393,129124.46760528447
IL_A02,2026-04-01,130566.04889705582,124038.305,146160.9172440322,140202.63200287972
IL_A02,2026-07-01,138419.5577717459,129514.52,148256.18649127244,150927.0886367573
IL_A02,2026-10-01,134580.67134344013,125085.48,149120.2888588007,161424.8693619895
IL_A03,2025-01-01,22896.12422125834,23064.42,20204.526863934727,17978.826563619245
IL_A03,2025-04-01,24396.089480333612,21877.887,20115.172123328557,19515.7227751074
IL_A03,2025-07-01,25572.779452423303,22125.074,21351.176391339948,20948.48283357344
IL_A03,2025-10-01,25942.034196442735,22253.982,22536.889655637337,22893.172595776
IL_A03,2026-01-01,24364.814234795904,23575.932,22866.022371835123,26203.102893483672
IL_A03,2026-04-01,24194.33327486335,24755.846,22904.6582958808,28685.53297899678
IL_A03,2026-07-01,23269.309400889295,24933.541,22775.627104869258,30753.308831695424
IL_A03,2026-10-01,23233.81306667708,24399.361,22598.571002028904,32544.860891500743
IL_A04,2025-01-01,44063.14566303176,45961.26,49265.52056677915,45909.426506858654
IL_A04,2025-04-01,50291.26967225578,48354.152,53804.03241277171,44602.30759411963
IL_A04,2025-07-01,54827.02353423811,56596.125,57049.477651885565,44743.48826714757
IL_A04,2025-10-01,55031.47154103919,58654.51,58431.37772087784,47281.214309002666
IL_A04,2026-01-01,54324.79084555673,58903.89,61112.145338574206,51352.99412841127
IL_A04,2026-04-01,56431.863336282986,59830.406,61704.97659096105,54976.14466665958
IL_A04,2026-07-01,57180.71748399747,62238.133,62687.42276699809,58502.15917276789
IL_A04,2026-10-01,64014.27303773131,61989.23,62470.18510271127,61834.80918237733
IL_A05,2025-01-01,1819.5879743770774,1726.3032,1545.629034729383,2601.6962758350037
IL_A05,2025-04-01,2016.421649806273,1790.0454,1572.8285840517178,3527.6389509531164
IL_A05,2025-07-01,2219.1628117227797,1971.2347,1572.6678668414984,4366.30264069113
IL_A05,2025-10-01,2279.2267226756817,2000.2738,1568.9883255299371,5249.278660360391
IL_A05,2026-01-01,2469.3891888887674,2099.289,1576.1648137054594,6926.564998090022
IL_A05,2026-04-01,2347.893740170599,2052.236,1570.6161993689627,8120.863923733792
IL_A05,2026-07-01,2269.6685464315906,1982.1387,1580.203571225869,9120.366228640636
IL_A05,2026-10-01,2249.265185366431,1952.3939,1580.2035712258685,10013.14215624117
IL_A06,2025-01-01,53705.076191153756,48107.215,68287.8481236423,65294.85191054999
IL_A06,2025-04-01,56815.466790966246,43881.0,69801.07455643623,60900.61506904948
IL_A06,2025-07-01,62557.493863888805,46446.46,68531.7096840266,55662.52016594518
IL_A06,2025-10-01,70167.17334376031,55216.598,69653.99745954902,52517.041457846506
