unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IL_A01,2025-01-01,25418.074227825877,24938.979,29264.22645707699,12817.51765282645
IL_A01,2025-04-01,27635.015437459057,29553.625,34757.59637407896,11399.88207913472
IL_A01,2025-07-01,35732.037556864496,36812.11,39817.95793115931,12874.044641329136
IL_A01,2025-10-01,40796.3997998633,42828.29,41011.42058326679,18311.290223920827
IL_A01,2026-01-01,44561.08198883002,53035.906,45784.33917469573,25782.906052759703
IL_A01,2026-04-01,46737.37076204964,60638.89,48114.46259732492,32571.241540893832
IL_A01,2026-07-01,53172.92709063828,61340.44,51617.83179356183,38655.085765918884
IL_A01,2026-10-01,57537.235044748144,62292.883,54663.69668467107,43769.22246927814
IL_A02,2025-01-01,136402.02654420337,131122.28,146622.1653817518,119901.06361167831
IL_A02,2025-04-01,128980.64505999502,131741.27,142531.6510243113,113687.08471407223
IL_A02,2025-07-01,132924.9708958402,131771.14,144645.49773803764,107605.16577214787
IL_A02,2025-10-01,135995.47625873573,129098.94,143840.9859015924,111546.0486541792
IL_A02,2026-01-01,136842.41136603022,129049.164,148512.17961129855,120849.76897767602
IL_A02,2026-04-01,138167.23963402244,133553.84,150183.6995371622,129998.43906912586
IL_A02,2026-07-01,141529.0098083302,132911.44,151491.74465289072,138658.79094002282
IL_A02,2026-10-01,137938.63495973035,131280.58,152621.90186157404,147030.51487456178
IL_A03,2025-01-01,22444.52249574893,22119.092,20052.040155237268,17187.093930102776
IL_A03,2025-04-01,22664.498171905725,19937.393,19664.84537077262,17514.79931319619
IL_A03,2025-07-01,25647.948757170107,21175.521,21002.740981985946,17378.492099286334
IL_A03,2025-10-01,25734.191497933276,21724.03,21842.514252787623,17614.69946080751
IL_A03,2026-01-01,25073.461306933954,23153.68,22193.50692146773,18940.200717030915
IL_A03,2026-04-01,24784.701449748467,23147.746,22333.48758114006,19265.976208592987
IL_A03,2026-07-01,24142.070542033925,23377.98,22315.046402214986,19141.229068523284
IL_A03,2026-10-01,24023.563455510655,23402.998,22285.526035274295,18733.48837532912
IL_A04,2025-01-01,44524.96174446379,43840.688,48992.77551671051,45117.6938733422
IL_A04,2025-04-01,48266.72532088124,49151.445,51543.141764143664,42579.04788357056
IL_A04,2025-07-01,53930.405360355435,53477.348,54956.16849683987,41038.76091702149
IL_A04,2025-10-01,55271.74455547455,55681.312,55411.74930112733,41371.857753020806
IL_A04,2026-01-01,54629.116068994605,58518.875,56301.94922936129,43169.99738856075
IL_A04,2026-04-01,55306.426514444815,60991.87,56129.51672941253,44843.15717565523
IL_A04,2026-07-01,56025.30975960541,63241.41,56665.44970770139,46281.96874529859
IL_A04,2026-10-01,56553.488604904924,65047.125,57095.171945139096,47486.728836718125
IL_A05,2025-01-01,1880.8112106505557,1727.6248,1544.89885833861,1809.963642318533
IL_A05,2025-04-01,2030.1109229338701,1888.4894,1572.0984076609438,1610.8698262529142
IL_A05,2025-07-01,2360.722579384361,2154.4465,1574.387846687087,990.4504699135887
IL_A05,2025-10-01,2360.722579384361,2221.329,1570.7083053755255,47.29964837318039
IL_A05,2026-01-01,2520.8069275145344,2298.2412,1577.8847935510476,-551.8660391491085
IL_A05,2026-04-01,2364.357962457071,2235.9165,1572.3361792145508,-1738.2822171944208
IL_A05,2026-07-01,2468.4383593508614,2309.14,1572.3361792145513,-3199.3359498319096
IL_A05,2026-10-01,2500.8098089366777,2306.2168,1572.3361792145508,-4834.970400117533
IL_A06,2025-01-01,55941.01423901936,47725.598,68918.71043813528,64503.119277033504
IL_A06,2025-04-01,54559.01469285909,42775.586,69741.90070748712,58872.99078024777
IL_A06,2025-07-01,57009.351524147045,44955.453,69113.82578767321,51936.28264114644
IL_A06,2025-10-01,65566.52600614552,48610.95,69145.13832939758,46560.97112675197
IL_A06,2026-01-01,62980.07142267116,57905.11,67852.86909238968,43557.66686613718
IL_A06,2026-04-01,62926.1443694559,64914.688,67536.7887806361,41405.04827333698
IL_A06,2026-07-01,68765.26950138326,63734.848,68349.87153918482,40498.33820244163
IL_A06,2026-10-01,72198.64913150942,68028.33,69077.59388249162,40725.751897602146
IL_A07,2025-01-01,44709.15724965472,50296.1,40311.51796238001,29558.111476878148
IL_A07,2025-04-01,52543.61899409967,60600.637,42436.737242381205,33556.40557939091
IL_A07,2025-07-01,69151.40849122974,78386.38,43722.336822768026,40100.72668943243
IL_A07,2025-10-01,74852.51389098499,95227.18,45692.29690812254,46762.5118476367
IL_A07,2026-01-01,73410.65646826815,83522.74,51939.606114138674,53719.04762721235
IL_A07,2026-04-01,77803.90900055788,75886.77,55666.473584796455,59356.10132221895
IL_A07,2026-07-01,87527.6163931643,85038.305,56457.71695858112,63630.143696804924
IL_A07,2026-10-01,84291.72373821102,81750.555,57052.81085727753,66354.14274932876
IL_A09,2025-01-01,2668.4044730906367,2699.7856,2731.6888350485597,2667.736142542415
IL_A09,2025-04-01,2438.501197457911,2805.7278,2818.821795054961,2510.048545370568
IL_A09,2025-07-01,2658.195265114454,3463.8162,3023.7059425739394,1955.0418731873688
IL_A09,2025-10-01,2690.3633100063557,3745.733,3408.190534896613,1101.5019623939588
IL_A09,2026-01-01,2799.7583028763092,3984.2524,3535.4051575325784,603.9282724329314
IL_A09,2026-04-01,3236.269360392471,3945.2458,3598.193377700831,-486.70973309745204
IL_A09,2026-07-01,3477.042306347454,4150.682,3600.405428980482,-1864.433218070195
IL_A09,2026-10-01,3477.042306347454,4217.851,3701.948005115332,-3435.803585177283
IL_A10,2025-01-01,257596.33068203324,279838.53,306959.2775517073,265705.17372068064
IL_A10,2025-04-01,241130.84088997298,280016.2,311850.53100616654,268219.4612622529
IL_A10,2025-07-01,245464.51583806935,282538.1,314578.55273716664,270839.92895470164
IL_A10,2025-10-01,253817.17881909607,273127.8,310456.3932510074,286767.3516722451
IL_A10,2026-01-01,256493.10990542942,272689.56,322530.8889377181,310997.1478895007
IL_A10,2026-04-01,261659.14294961476,272708.72,323017.1985102784,330412.9899590339
IL_A10,2026-07-01,266806.99544144183,274791.5,336063.36465459317,347275.0030323103
IL_A10,2026-10-01,271970.75657291885,274707.28,337473.0103970173,362123.09369814035
IL_A11,2025-01-01,89159.50841840454,88256.516,93089.92218949094,84139.2866024703
IL_A11,2025-04-01,91472.36231032261,101714.81,97723.51434725733,83551.68701620688
IL_A11,2025-07-01,101982.31556159399,103902.19,101242.30297544666,82804.35298740247
IL_A11,2025-10-01,101950.58936872087,98822.27,101856.8298673241,85591.00433143218
IL_A11,2026-01-01,100031.59654908864,93273.766,101423.77129821008,90855.53784781773
IL_A11,2026-04-01,101074.23670854256,100167.71,102559.94032091952,94540.86096423231
IL_A11,2026-07-01,106771.63256750573,104109.66,103150.45658651563,97584.43931346433
IL_A11,2026-10-01,104536.94504862439,99322.23,102829.67293335842,100190.39083416853
IL_A12,2025-01-01,22485.882927442068,21342.678,19297.954748047425,13346.58144546429
IL_A12,2025-04-01,22523.226825858685,19195.81,19354.41740939518,13200.938104181456
IL_A12,2025-07-01,24959.87503885073,20322.049,21072.50920025051,13824.027596161199
IL_A12,2025-10-01,25387.825932711425,21539.473,22089.73557557238,15251.168228245602
IL_A12,2026-01-01,24250.044902102403,23458.05,22350.657193518102,17245.64681784213
IL_A12,2026-04-01,24457.29518573452,22888.814,22386.75428879257,18564.05896465225
IL_A12,2026-07-01,24029.218105085383,23359.85,22320.173819726562,19446.904405567027
IL_A12,2026-10-01,23679.860688866796,23358.209,22260.92552250212,19884.278701497242
IL_A16,2025-01-01,2037.7925846420428,1874.9818,1555.6798757209106,2101.6511658608815
IL_A16,2025-04-01,2173.399961313634,2073.7847,1618.227049025178,1923.444150970594
IL_A16,2025-07-01,2360.722579384361,2240.3176,1611.8621279782928,1272.1605733317683
IL_A16,2025-10-01,2468.4383593508614,2215.796,1575.903944346377,290.99323281932993
IL_A16,2026-01-01,2520.8069275145344,2298.2412,1577.8847935510476,-361.66091488033635
