unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IL_A01,2025-01-01,24361.67379083517,24954.516,29098.63658594094,13213.383969584684,24995.204446854907
IL_A01,2025-04-01,25655.657221894257,26040.482,34631.19345816014,12414.185026694413,27412.037507880737
IL_A01,2025-07-01,26467.744187665303,30483.021,39409.8360104737,14733.738805657591,30704.184881547575
IL_A01,2025-10-01,33338.57730301275,36536.535,40745.583619533805,21211.500838240707,35493.65112937926
IL_A01,2026-01-01,43301.556979868845,45847.785,45308.657279113555,29598.791240872066,43351.68904835095
IL_A01,2026-04-01,42390.92621726567,42212.598,47343.526754422615,37428.76427065088,43476.608108767796
IL_A01,2026-07-01,40699.9450082777,39078.137,50031.17993738364,44598.691864911954,43667.20968550173
IL_A01,2026-10-01,45332.346719311405,37774.785,52500.759697068395,50787.55839671962,46049.229397670526
IL_A02,2025-01-01,129433.1126494554,126205.97,146262.9790914321,120296.92992843658,133125.77136332056
IL_A02,2025-04-01,121064.12226603541,116765.16,141232.54275492046,114698.53892466938,125811.90854261424
IL_A02,2025-07-01,119764.54718510884,119521.52,138659.65686991223,109450.67927448516,124869.85182713199
IL_A02,2025-10-01,112615.60779346114,117856.984,135573.33697072128,114486.11188965486,121800.36853950145
IL_A02,2026-01-01,105750.34590334693,123899.6,136315.5623122325,125008.6739925117,122799.20180736047
IL_A02,2026-04-01,104197.11959177768,119201.3,135593.62364640023,135125.1728606787,121755.14742326392
IL_A02,2026-07-01,104901.43519106634,122898.164,134947.46032514842,144811.03986566732,123746.02532056982
IL_A02,2026-10-01,102180.08243875834,119625.62,134336.49789431438,154243.8870815161,122739.74144679858
IL_A03,2025-01-01,22281.061573247367,21796.398,20052.040155237275,17582.96024686101,20956.827529991624
IL_A03,2025-04-01,22255.99751958491,18685.043,19604.02078491562,18516.220059310235,20005.578280648726
IL_A03,2025-07-01,23745.403311164504,18867.666,20792.036672968665,19171.225718133795,20942.185235499786
IL_A03,2025-10-01,24051.18740100975,18711.98,21547.371755007625,20266.0823995537,21339.97363294282
IL_A03,2026-01-01,23381.351915923842,20851.549,21956.34752135818,22582.928525938067,22115.501779886523
IL_A03,2026-04-01,23635.31033526427,20861.629,21822.654830526866,23990.434931426782,22285.306998124986
IL_A03,2026-07-01,23039.388568344137,19559.604,21725.254256362674,24960.378996814485,21803.128909485837
IL_A03,2026-10-01,23193.40699372993,19754.686,21624.867678758856,25656.591851138022,21938.43603162509
IL_A04,2025-01-01,42937.14208538297,42751.95,48681.11945584116,45513.56019010043,45013.00157114352
IL_A04,2025-04-01,42630.226560920746,42376.41,50490.97145907622,43590.97938298306,45221.42742252459
IL_A04,2025-07-01,40173.013425640034,40417.254,53544.38604068619,42893.64792293481,44879.404424760236
IL_A04,2025-10-01,42490.88528273996,41045.574,53947.90292506697,44337.379585259994,46003.94740623157
IL_A04,2026-01-01,45119.81544159448,47450.23,55237.67149254572,47351.52697239718,49310.44611894192
IL_A04,2026-04-01,47946.86254169282,43169.516,54915.0814981807,49992.61722409578,49060.341887768496
IL_A04,2026-07-01,49569.38857950119,37768.02,55635.84940505911,52454.84869151676,48464.38563117385
IL_A04,2026-10-01,50490.7663722994,37358.22,55544.90588360989,54717.56521071748,48805.21283317182
IL_A05,2025-01-01,1785.335503800995,1733.5804,1544.8988583386097,2205.8299590767674,1732.852354005118
IL_A05,2025-04-01,1986.9856589537017,1840.8904,1572.0984076609438,2571.643690724719,1866.4998211848442
IL_A05,2025-07-01,2226.8900380972145,2027.7701,1571.9376904507249,2687.5618114728295,2000.7108723180206
IL_A05,2025-10-01,2226.8900380972145,2049.1536,1568.2581491391636,2688.3858314388235,2005.6928089165265
IL_A05,2026-01-01,2429.0899646022417,2147.374,1575.4346373146861,3357.3478457673027,2159.8494208711277
IL_A05,2026-04-01,2292.0076345424254,2074.0952,1569.8860229781887,3473.539594753056,2108.6293197749787
IL_A05,2026-07-01,2379.600524304062,2106.1904,1569.8860229781885,3365.6832842401072,2132.7238510307407
IL_A05,2026-10-01,2379.600524304062,2093.5354,1569.8860229781887,3139.697086256787,2107.1261019378253
IL_A06,2025-01-01,52638.16058876485,44745.8,68020.72513635732,64898.985593791745,56607.286374201016
IL_A06,2025-04-01,47972.522331322325,34189.1,68018.33647160305,59887.01612796562,51750.808805234105
IL_A06,2025-07-01,46188.81815678655,28115.697,66865.32240877401,53800.43449531758,48530.02671797846
IL_A06,2025-10-01,43085.85708739123,33028.59,65742.97685948526,49539.808269356545,48250.52966661311
IL_A06,2026-01-01,47434.3712482317,44834.945,62969.5662017498,47822.38075456984,51809.47708165277
IL_A06,2026-04-01,52812.78818244687,35719.484,59847.070023283406,47058.48852757296,49672.89463995519
IL_A06,2026-07-01,54731.280231047516,37658.51,60051.58402060435,47585.60811623996,50901.478280274234
IL_A06,2026-10-01,54264.5624799318,37720.18,59936.628343195065,49216.42902472058,50904.684085568115
IL_A07,2025-01-01,39999.123576120866,49654.88,40082.96561513717,29953.977793636375,41805.98166622936
IL_A07,2025-04-01,46134.278319843674,47815.156,42373.1530335271,34559.42359828915,44258.35309776615
IL_A07,2025-07-01,50310.50049338136,55240.336,43423.84853067619,41825.83810398253,48640.82276751536
IL_A07,2025-10-01,55867.07633589702,59481.637,45304.093354490964,49347.35971300293,52811.01578331372
IL_A07,2026-01-01,62767.440223777994,62544.78,51121.90713474514,57307.80976943637,58365.04120791667
