unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IL_A01,2025-01-01,1114819.1957490256,1.1082505e+06,1103923.8509694461,825396.1365529278
IL_A01,2025-04-01,1630303.3083446661,1.4652499e+06,1454157.3404474198,1110976.9476622494
IL_A01,2025-07-01,1708441.765670182,1.6679551e+06,1616794.379420694,1366524.7709318986
IL_A01,2025-10-01,1913173.143620811,1.8748111e+06,1868276.3562007973,1657299.164610737
IL_A01,2026-01-01,2275265.517417911,2.1391182e+06,1921340.479312259,2074334.2480735094
IL_A01,2026-04-01,2447412.3201382556,2.2310692e+06,1938761.5912589878,2378696.972184191
IL_A01,2026-07-01,2524975.197818721,2.3660185e+06,2503189.8350879895,2645329.2758951196
IL_A01,2026-10-01,2549974.490061133,2.4001105e+06,2782309.735535127,2889058.6778424946
IL_A02,2025-01-01,7736462.889814812,8.147768e+06,8123107.288789971,7397685.90871707
IL_A02,2025-04-01,8376354.248330555,7.57299e+06,7602160.637269271,7241994.655410037
IL_A02,2025-07-01,8800748.516130392,8.54199e+06,7607197.9476840515,7059188.23130116
IL_A02,2025-10-01,7909701.084992439,7.9049005e+06,7702494.255528007,7211912.278515958
IL_A02,2026-01-01,8386907.103397455,8.698977e+06,8209992.433512774,7806119.826105133
IL_A02,2026-04-01,8714871.706685815,8.598292e+06,8029123.563274618,7995481.643562119
IL_A02,2026-07-01,9000275.66037627,9.196158e+06,8066145.083196504,8259804.961691316
IL_A02,2026-10-01,9573236.086232329,9.119083e+06,7939509.266910855,8574584.585906
IL_A03,2025-01-01,1215216.6045549524,1.2524826e+06,1260582.0698941133,1432323.431545231
IL_A03,2025-04-01,1402110.454551734,1.3706574e+06,1411561.207740733,1482064.3613079218
IL_A03,2025-07-01,1491269.2881250116,1.4990836e+06,1434623.2445916072,1548587.5031861141
IL_A03,2025-10-01,1586911.272937405,1.5763744e+06,1561417.1407348358,1675592.408445652
IL_A03,2026-01-01,1784942.9379770744,1.6295892e+06,1646578.3116634514,1941804.3516503773
IL_A03,2026-04-01,1734517.0721127368,1.6749091e+06,1658871.4063355573,2057892.9421848175
IL_A03,2026-07-01,1819712.7825193426,1.6426451e+06,1627945.3975596838,2191895.497251205
IL_A03,2026-10-01,1796808.4865789195,1.6595374e+06,1623465.7779777031,2330609.3737026523
IL_A04,2025-01-01,1030000.6224742673,986589.1,977506.3475910292,1127217.5569267916
IL_A04,2025-04-01,1073594.0719207088,1.04292175e+06,973631.4123726638,1120450.1371094114
IL_A04,2025-07-01,1076492.8975955222,1.0794642e+06,945467.4335584047,1160498.6552153658
IL_A04,2025-10-01,1091877.0046439285,1.04325225e+06,932807.8148216003,1244741.0785765932
IL_A04,2026-01-01,1075336.4065019004,1.0401073e+06,938832.5429257007,1428389.115780708
IL_A04,2026-04-01,1044283.9734455205,1.037661e+06,923122.7247210854,1515081.742729643
IL_A04,2026-07-01,1074994.3476746846,1.0465383e+06,925130.6323190086,1621544.8793765297
IL_A04,2026-10-01,1048731.7342895032,1.0465383e+06,927339.787535614,1732033.013514168
IL_A05,2025-01-01,181681.67344895762,153499.22,130750.28316797165,232068.21381141874
IL_A05,2025-04-01,167840.3231275172,137514.48,138165.65130201983,277804.20574725256
IL_A05,2025-07-01,173656.97245843726,153368.05,147033.53558679178,335558.5434940711
IL_A05,2025-10-01,162494.92262051158,135495.55,152576.8543431328,406797.3645136899
IL_A05,2026-01-01,196399.68036719697,152640.97,156240.50701786525,555696.0323108251
IL_A05,2026-04-01,154654.30714074394,131159.55,152282.15332593094,636594.397020642
IL_A05,2026-07-01,190981.15028239487,132645.14,152982.36618916414,724418.9853938511
IL_A05,2026-10-01,167702.83065553015,132645.14,152506.60148998944,814231.5934429311
IL_A06,2025-01-01,20723316.518696032,2.1697984e+07,21195568.895246677,19394886.37802964
IL_A06,2025-04-01,20611758.243680842,1.9208408e+07,22147926.324859776,20033436.820183173
IL_A06,2025-07-01,20399549.114767205,1.9516318e+07,22087173.222219877,20427838.85901684
IL_A06,2025-10-01,22364472.31108521,2.0066808e+07,22479459.95386421,19079003.44799859
IL_A06,2026-01-01,22272480.480172634,2.1200484e+07,22480472.053888813,18759331.139705066
IL_A06,2026-04-01,22351284.27372309,2.1541672e+07,22761798.547909353,18778552.799055308
IL_A06,2026-07-01,22366557.508343678,2.179788e+07,23046123.375425972,18542249.34047429
IL_A06,2026-10-01,21455568.689748004,2.1835352e+07,23397947.746998858,18384351.065409563
IL_A07,2025-01-01,2064275.7369266108,1.8936164e+06,2029260.121031806,1840057.3298963276
IL_A07,2025-04-01,2215354.2872800487,2.2271435e+06,2401136.8110324084,1999748.5403220174
IL_A07,2025-07-01,2404804.725140614,2.357404e+06,2354752.7183107384,2162197.8092069505
IL_A07,2025-10-01,2457646.4422090757,2.3992038e+06,2321046.7384775183,2375428.423196155
IL_A07,2026-01-01,2809050.018762623,2.6176165e+06,2592463.7271719505,2720230.1087491834
IL_A07,2026-04-01,2746939.271566412,2.7475415e+06,2665903.927433643,2916317.461581603
IL_A07,2026-07-01,2911048.8895053957,2.9282715e+06,2899772.6933228495,3108922.6224284815
IL_A07,2026-10-01,3125957.9803096135,3.0666188e+06,3021943.0271430756,3293201.4480997575
IL_A09,2025-01-01,587225.9293435522,620367.6,601294.3458016133,649607.08306232
IL_A09,2025-04-01,624048.420323764,637035.3,645858.5310884414,715540.8960043967
IL_A09,2025-07-01,722834.509664929,713924.1,697490.9682113525,794355.2504871865
IL_A09,2025-10-01,801861.8306227915,792028.7,789329.0665365501,887295.5828822728
IL_A09,2026-01-01,792876.7339853309,766796.9,757564.3598694325,1057544.281299589
IL_A09,2026-04-01,743713.8343735259,739262.6,772630.2239185387,1153994.9390590633
IL_A09,2026-07-01,746295.7658981795,719288.75,797400.274836195,1254824.84733069
IL_A09,2026-10-01,748340.977925618,722515.44,799393.9321593727,1354994.1539634597
IL_A10,2025-01-01,18231529.35650905,1.6544931e+07,16217019.216241809,16204910.601245467
IL_A10,2025-04-01,18896003.963306777,1.712779e+07,17069144.315785203,16073878.776290976
IL_A10,2025-07-01,18998973.474138346,1.850007e+07,17087981.008867707,16050056.044362787
IL_A10,2025-10-01,19412386.211801395,1.7712138e+07,17180943.578529637,16603979.556852244
IL_A10,2026-01-01,22541730.047707688,1.7821422e+07,18085596.145193264,17924822.39140435
IL_A10,2026-04-01,23548457.828134745,2.0339338e+07,18768301.68098767,18375836.350046314
