unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IL_A01,2025-01-01,1108230.6834242432,1.0891165e+06,1084105.954671682,744300.3461399435
IL_A01,2025-04-01,1674676.0075331759,1.54773e+06,1423157.0309077427,931467.7354257426
IL_A01,2025-07-01,1818833.466633777,1.7723269e+06,1705478.5055947423,1064345.8562754039
IL_A01,2025-10-01,2236682.622670884,2.038111e+06,1896727.937430531,1207310.1914650984
IL_A01,2026-01-01,2290615.5383615945,2.1333608e+06,1891724.9604973507,1447883.3266747827
IL_A01,2026-04-01,2411124.7497939677,2.2743225e+06,1874439.4208870395,1565120.1627445598
IL_A01,2026-07-01,2622135.3689589435,2.3298598e+06,2166400.77827957,1633850.3214123035
IL_A01,2026-10-01,2691830.9877149435,2.4157802e+06,2337507.263486207,1671920.5386649328
IL_A02,2025-01-01,8124628.046502399,8.502673e+06,8301178.985123853,7316590.118304085
IL_A02,2025-04-01,8192837.499758058,8.454843e+06,8307286.187354916,7062693.30043009
IL_A02,2025-07-01,9028486.36043806,8.829806e+06,9218239.195124265,6752794.057775733
IL_A02,2025-10-01,8368605.292301676,8.420271e+06,9274926.554926138,6754218.742004012
IL_A02,2026-01-01,9040189.883969797,9.531417e+06,10194263.19008567,7148854.563301325
IL_A02,2026-04-01,9811830.099867731,9.537013e+06,10756687.801340202,7161579.388910797
IL_A02,2026-07-01,10315306.35837644,9.737874e+06,11184144.38848191,7230819.512507559
IL_A02,2026-10-01,10643051.652184408,9.83817e+06,11420310.676018046,7338335.3735743025
IL_A03,2025-01-01,1168954.434777016,1.2428336e+06,1270810.7300977611,1351227.6411322472
IL_A03,2025-04-01,1439802.3284643558,1.4431898e+06,1418795.6484136297,1304258.8783909823
IL_A03,2025-07-01,1529409.9245360738,1.592678e+06,1659466.3644808016,1246793.235766986
IL_A03,2025-10-01,1667778.969658053,1.625207e+06,1843340.4371179424,1222785.4122168538
IL_A03,2026-01-01,1700105.9449476462,1.7000016e+06,1723827.2153203269,1304601.5120966206
IL_A03,2026-04-01,1704856.3534610725,1.6795389e+06,1721605.1685893282,1237146.840364697
IL_A03,2026-07-01,1642274.717379939,1.6738115e+06,1707232.107640876,1172187.1306894575
IL_A03,2026-10-01,1656092.0867937533,1.6738115e+06,1714513.0542123606,1099326.414541248
IL_A04,2025-01-01,966667.9682541927,977552.3,974069.5775957077,1046121.7665138065
IL_A04,2025-04-01,924343.5695797344,1.1015866e+06,970982.5717116533,942126.2389088429
IL_A04,2025-07-01,888393.241238178,1.1336148e+06,978181.2951306454,856792.3742855475
IL_A04,2025-10-01,855705.893299657,1.1329716e+06,975878.1662761702,786797.4788168899
IL_A04,2026-01-01,889747.9555003716,1.1067694e+06,973554.0711522291,779289.9359630796
IL_A04,2026-04-01,840149.6566765069,1.1256555e+06,974202.5376019216,679016.7688515203
IL_A04,2026-07-01,856273.0353110238,1.10986e+06,977517.6144934369,581966.0062976885
IL_A04,2026-10-01,862358.7763605119,1.1179425e+06,987295.9564292436,477512.0717579704
IL_A05,2025-01-01,184005.3265747256,143206.2,130534.68390159964,150972.42339843465
IL_A05,2025-04-01,168280.2723725667,141900.69,138081.5601566447,102745.01752894954
IL_A05,2025-07-01,162140.38396531154,148831.98,148920.97403438014,37236.55389131722
IL_A05,2025-10-01,153163.54509074832,142558.1,152546.81568911826,-47398.233985136845
