unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IL_A01,2025-01-01,997594.1733310359,1.069574e+06,1093584.2132988677,784848.2413464354,1029234.0300479231
IL_A01,2025-04-01,1388339.6882031017,1.3980961e+06,1404327.9626290055,1021278.4908693896,1361281.32976547
IL_A01,2025-07-01,1577567.402562823,1.55552e+06,1546914.7127983698,1215774.2259728285,1526710.7637331935
IL_A01,2025-10-01,1738603.950366361,1.7254492e+06,1755193.267583515,1432433.7790678423,1710739.9868669906
IL_A01,2026-01-01,2093342.269877321,1.914771e+06,1969305.3723248374,1761267.184979836,1969066.0701203044
IL_A01,2026-04-01,1950048.5618981177,2.0165864e+06,1837193.6327314493,1972079.593653224,1936008.6255224266
IL_A01,2026-07-01,2118534.3286046954,2.0678089e+06,1930055.9604661444,2139759.002314345,2045485.1901875765
IL_A01,2026-10-01,2124343.609274413,2.0966709e+06,2132575.322414208,2280679.6474483046,2133664.840153936
IL_A02,2025-01-01,7361477.581995394,8.083163e+06,8160886.189018254,7357138.013510577,7830071.555113321
IL_A02,2025-04-01,7396742.034268203,7.2552725e+06,7753906.435389494,7152355.154851229,7445043.460598706
IL_A02,2025-07-01,7835454.386423717,7.918439e+06,7892725.657968964,6906058.452882846,7789612.981965746
IL_A02,2025-10-01,6363067.064383704,7.32395e+06,7941251.312219404,6983353.270184745,7210309.092053379
IL_A02,2026-01-01,7554617.903223106,8.30892e+06,8535155.621985015,7478112.949273583,8083674.283121779
IL_A02,2026-04-01,7618895.360340979,8.1223285e+06,8379107.133738329,7580053.347395286,8006836.015010424
IL_A02,2026-07-01,7658337.164846703,8.1685525e+06,8515627.94655003,7746172.143969718,8091291.640455196
IL_A02,2026-10-01,6965949.00848667,8.0555655e+06,8579027.894938594,7957547.493785614,7898022.362882388
IL_A03,2025-01-01,1104122.372658532,1.2273288e+06,1266475.5550435549,1391775.5363387386,1219895.0010657073
IL_A03,2025-04-01,1327464.7101967116,1.3457498e+06,1391188.1750562699,1393233.3312318707,1359464.61045893
IL_A03,2025-07-01,1296524.0735214376,1.3935908e+06,1424828.3268862064,1398012.1729110815,1375911.9215021997
IL_A03,2025-10-01,1500666.0507482025,1.4039085e+06,1518580.3016727052,1449747.8827042184,1472742.6920675891
IL_A03,2026-01-01,1714825.69461443,1.5474958e+06,1566229.8601976382,1628478.6265745368,1609536.560634241
IL_A03,2026-04-01,1660021.6697107311,1.5914138e+06,1660940.575121375,1650670.576532015,1639025.6221387917
IL_A03,2026-07-01,1774523.2596215073,1.6059244e+06,1663101.778926944,1685535.6312740035,1680438.05412717
IL_A03,2026-10-01,1746315.8945993455,1.6261068e+06,1650301.3517731498,1721125.6260027313,1677611.8254702308
IL_A04,2025-01-01,895862.1812360073,961435.5,974069.5775957076,1086669.661720299,958469.4427618016
IL_A04,2025-04-01,856745.8157682817,933182.1,961900.3044344516,1031410.6128508921,929618.8247711852
IL_A04,2025-07-01,848244.7057397236,899559.44,933459.0126193669,1009394.5766820153,906011.8289286343
IL_A04,2025-10-01,840510.5814748124,868407.7,921644.4853292071,1017819.2531361023,891560.167942162
IL_A04,2026-01-01,855509.6133093295,872275.9,906912.3757552098,1109388.040172714,901097.3768685826
IL_A04,2026-04-01,817620.402340068,860891.0,900116.5013108827,1105307.0451706226,884213.0317839205
IL_A04,2026-07-01,838037.6260497319,865180.94,899531.2548828077,1112547.74090356,891892.3368386042
IL_A04,2026-10-01,835138.9498484256,868407.7,899268.8705184547,1119663.0739513957,892609.9730343936
IL_A05,2025-01-01,134184.92033416906,137403.33,130534.68390159962,191520.31860492658,139454.29704645165
IL_A05,2025-04-01,164026.22376486074,123056.49,137484.79994791432,190382.54803201044,145914.74505105818
IL_A05,2025-07-01,177944.5991627384,125610.52,144690.17237923067,187222.42549905367,152687.16234447708
IL_A05,2025-10-01,167628.82041328622,119336.67,147999.22749528554,182517.50122144283,148445.7410391428
IL_A05,2026-01-01,192467.37644886985,143873.55,149354.10645425913,243278.5736334871,169149.31320442475
IL_A05,2026-04-01,168370.39205535478,123056.49,147621.7778825199,230594.08347416553,154236.16416023456
IL_A05,2026-07-01,193692.1778828689,125610.52,147860.30281512014,218920.12689877534,161272.65026985004
IL_A05,2026-10-01,176151.3354768965,125610.52,147432.06800561812,204863.15807682998,154726.23799131028
IL_A06,2025-01-01,20263421.07856539,2.1227236e+07,20564982.00225123,19354338.482823145,20559133.17422587
IL_A06,2025-04-01,18010432.37787211,1.8098164e+07,19696132.990739863,19943973.656664543,18757723.05711873
IL_A06,2025-07-01,18223258.50838661,1.7261166e+07,18630499.62534122,20272301.25881817,18262529.637541417
IL_A06,2025-10-01,18040280.79590043,1.7612514e+07,19268033.430447116,18843547.476547442,18380629.432046697
IL_A06,2026-01-01,19821360.16525798,1.8529894e+07,20138169.857967887,18431801.398206856,19405601.785370186
IL_A06,2026-04-01,19524872.417295117,1.795614e+07,20465918.5387794,18345643.932577588,19245477.498442505
IL_A06,2026-07-01,19762901.726794798,1.7918096e+07,20479279.87208279,18001333.838917736,19274316.7965575
IL_A06,2026-10-01,18995941.214668967,1.806866e+07,21007940.94007414,17730476.38572813,19239906.543212764
IL_A07,2025-01-01,1961812.5652268291,1.859721e+06,2025119.0476312002,1799509.4346898352,1936117.3540151725
IL_A07,2025-04-01,2167066.7921758867,2.0996055e+06,2369950.4853855413,1910900.5605464415,2187134.0936337984
IL_A07,2025-07-01,2265930.5102028395,2.1989792e+06,2316291.395186044,2012308.4249335509,2237841.5072301016
IL_A07,2025-10-01,2183075.208913582,2.2463385e+06,2224577.3130453867,2150588.560923424,2211991.0155643113
