unique_id,best_model,consistency_ratio,confidence,win_count,n_windows,avg_mae
IN_A01,XGBoost,0.5,Medium,1,2,29765.48828125
IN_A02,LightGBM,0.5,Medium,1,2,16293.452461293906
IN_A03,XGBoost,0.5,Medium,1,2,6330.01708984375
IN_A04,RandomForest,0.5,Medium,1,2,10273.706654313644
IN_A05,LightGBM,0.5,Medium,1,2,122.20119111809456
IN_A06,LightGBM,0.5,Medium,1,2,26925.221088911607
IN_A07,LightGBM,0.5,Medium,1,2,12988.980758905229
IN_A09,LightGBM,0.5,Medium,1,2,436.419154327192
IN_A10,RandomForest,0.5,Medium,1,2,17863.410660366982
IN_A11,Ridge,1.0,High,2,2,3287.2937200951305
IN_A12,LightGBM,0.5,Medium,1,2,14274.092735908773
IN_A16,XGBoost,0.5,Medium,1,2,190.9332046508789
IN_B01,LightGBM,0.5,Medium,1,2,9240.511424172686
IN_B02,LightGBM,0.5,Medium,1,2,1183.607334781562
IN_B03,LightGBM,0.5,Medium,1,2,7621.6050986973305
IN_B05,LightGBM,0.5,Medium,1,2,11508.580850389786
IN_B06,XGBoost,1.0,High,2,2,223.03458786010742
IN_C01,LightGBM,0.5,Medium,1,2,8122.665033614532
IN_C02,RandomForest,0.5,Medium,1,2,9729.372280090163
IN_C03,LightGBM,0.5,Medium,1,2,24590.09856083567
IN_C04,RandomForest,1.0,High,2,2,194.74961729394144
IN_C05,RandomForest,1.0,High,2,2,3719.3787282868616
IN_C07,Ridge,1.0,High,2,2,13239.690507694431
IN_C08,LightGBM,0.5,Medium,1,2,4872.235870138622
IN_C09,LightGBM,0.5,Medium,1,2,19071.3823892324
IN_C10,LightGBM,1.0,High,2,2,10231.513076484522
IN_D01,XGBoost,0.5,Medium,1,2,7135.6597900390625
IN_D02,XGBoost,0.5,Medium,1,2,1429.346176147461
IN_D04,LightGBM,0.5,Medium,1,2,2338.2338235046814
IN_D05,LightGBM,1.0,High,2,2,1109.7476531922248
IN_D06,RandomForest,0.5,Medium,1,2,13148.840669191428
IN_D07,XGBoost,0.5,Medium,1,2,16128.924560546875
IN_D08,XGBoost,0.5,Medium,1,2,3052.314697265625
IN_D10,RandomForest,0.5,Medium,1,2,11522.843145285871
IN_D11,LightGBM,0.5,Medium,1,2,3331.0026755930307
IN_G01,LightGBM,0.5,Medium,1,2,9334.723029880673
IN_G02,RandomForest,1.0,High,2,2,6348.707921174755
IN_G03,XGBoost,0.5,Medium,1,2,17379.025390625
IN_G04,XGBoost,0.5,Medium,1,2,4147.486572265625
IN_H01,LightGBM,0.5,Medium,1,2,789.4992260653914
IN_H02,XGBoost,0.5,Medium,1,2,14015.988037109375
IN_H03,LightGBM,0.5,Medium,1,2,6816.8226328030305
IN_H04,LightGBM,1.0,High,2,2,131.62339840370635
IN_H05,LightGBM,0.5,Medium,1,2,5025.682616308312
IN_J01,Ridge,1.0,High,2,2,34669.96777111124
IN_J02,Ridge,1.0,High,2,2,6412.526628674801
IN_J04,XGBoost,0.5,Medium,1,2,248.0494384765625
IN_J05,RandomForest,1.0,High,2,2,7917.94964320548
IN_J06,RandomForest,1.0,High,2,2,639.276676999121
IN_L01,XGBoost,0.5,Medium,1,2,5558.7952880859375
IN_L02,LightGBM,0.5,Medium,1,2,14847.391507656637
IN_L03,XGBoost,0.5,Medium,1,2,298.5005416870117
IN_L04,LightGBM,0.5,Medium,1,2,5067.28486545196
IN_M01,RandomForest,0.5,Medium,1,2,8490.892490228385
IN_M02,XGBoost,0.5,Medium,1,2,25303.681762695312
IN_M03,XGBoost,0.5,Medium,1,2,9867.41259765625
IN_M04,LightGBM,0.5,Medium,1,2,665.6024658687895
IN_M05,XGBoost,1.0,High,2,2,772.2058868408203
IN_N01,LightGBM,0.5,Medium,1,2,1394.902002755944
IN_N02,LightGBM,0.5,Medium,1,2,66049.29899447442
IN_N03,LightGBM,0.5,Medium,1,2,17802.508922473426
IN_N04,LightGBM,0.5,Medium,1,2,2200.7721640096106
IN_N05,Ridge,1.0,High,2,2,22779.67122292
IN_N06,LightGBM,0.5,Medium,1,2,96888.94782911477
IN_N07,LightGBM,1.0,High,2,2,42148.158995557926
IN_P01,LightGBM,1.0,High,2,2,3651.347528474016
IN_P02,XGBoost,0.5,Medium,1,2,358.065710067749
IN_P03,LightGBM,0.5,Medium,1,2,3172.521716384086
IN_R01,RandomForest,1.0,High,2,2,20959.854932084527
IN_R02,XGBoost,1.0,High,2,2,15390.8896484375
IN_R03,XGBoost,0.5,Medium,1,2,74353.625
IN_R05,RandomForest,0.5,Medium,1,2,17464.75969824563
IN_R06,LightGBM,0.5,Medium,1,2,15763.476531956607
IN_R07,LightGBM,1.0,High,2,2,46.18062783300261
IN_S01,RandomForest,1.0,High,2,2,21459.448970896778
IN_S02,RandomForest,1.0,High,2,2,4399.39962737886
IN_S03,LightGBM,1.0,High,2,2,2987.5699292130344
IN_V03,XGBoost,0.5,Medium,1,2,22037.459594726562
IN_V04,LightGBM,1.0,High,2,2,7443.7872390341145
IN_V07,LightGBM,0.5,Medium,1,2,417.86364964634777
