unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
IN_A01,2025-01-01,XGBoost,Medium,0.5,38577.6875,39546.921875,39529.09375
IN_A01,2025-04-01,XGBoost,Medium,0.5,46563.40625,40965.9453125,44370.43359375
IN_A01,2025-07-01,XGBoost,Medium,0.5,46287.15625,41262.03125,46226.640625
IN_A01,2025-10-01,XGBoost,Medium,0.5,49589.484375,43455.8203125,51462.71484375
IN_A01,2026-01-01,XGBoost,Medium,0.5,50760.2734375,46993.109375,55371.15625
IN_A01,2026-04-01,XGBoost,Medium,0.5,48532.46875,45304.47265625,56847.9609375
IN_A01,2026-07-01,XGBoost,Medium,0.5,48149.34375,49267.515625,57722.57421875
IN_A01,2026-10-01,XGBoost,Medium,0.5,49162.21875,48316.54296875,61781.41015625
IN_A02,2025-01-01,LightGBM,Medium,0.5,115657.64382128947,125959.63746457014,124384.80002478926
IN_A02,2025-04-01,LightGBM,Medium,0.5,112675.5433321736,129109.5900761148,128057.63752585257
IN_A02,2025-07-01,LightGBM,Medium,0.5,106848.55227935307,132220.96619710774,129281.04933910554
IN_A02,2025-10-01,LightGBM,Medium,0.5,102971.15184585097,133170.5940053713,132042.6775496418
IN_A02,2026-01-01,LightGBM,Medium,0.5,101253.96574114582,135917.36194262968,132539.412658753
IN_A02,2026-04-01,LightGBM,Medium,0.5,101224.52524354047,132316.67951490663,133667.4104896372
IN_A02,2026-07-01,LightGBM,Medium,0.5,102038.76168442043,132840.87172379566,133030.08049356012
IN_A02,2026-10-01,LightGBM,Medium,0.5,101259.2125723113,133268.7366563248,133111.88767197676
IN_A03,2025-01-01,XGBoost,Medium,0.5,19652.876953125,19634.560546875,19925.556640625
IN_A03,2025-04-01,XGBoost,Medium,0.5,19170.162109375,19234.89453125,19484.63671875
IN_A03,2025-07-01,XGBoost,Medium,0.5,19478.794921875,19342.755859375,19879.1640625
IN_A03,2025-10-01,XGBoost,Medium,0.5,19741.095703125,19729.00390625,20016.8671875
IN_A03,2026-01-01,XGBoost,Medium,0.5,19851.853515625,19813.115234375,20041.654296875
IN_A03,2026-04-01,XGBoost,Medium,0.5,19816.953125,19694.857421875,19802.150390625
IN_A03,2026-07-01,XGBoost,Medium,0.5,19607.810546875,19734.322265625,19880.033203125
IN_A03,2026-10-01,XGBoost,Medium,0.5,19435.404296875,19516.51953125,19578.611328125
IN_A04,2025-01-01,RandomForest,Medium,0.5,61612.078669856615,61691.99783534575,62046.00314306394
IN_A04,2025-04-01,RandomForest,Medium,0.5,59706.90327854959,59684.69996852022,60947.95489585507
IN_A04,2025-07-01,RandomForest,Medium,0.5,56152.53799324784,56212.07553513994,61324.18027810508
IN_A04,2025-10-01,RandomForest,Medium,0.5,54744.24366263414,55102.474708548834,62066.945911914445
IN_A04,2026-01-01,RandomForest,Medium,0.5,55299.40333750162,56055.03705622239,62862.881306018564
IN_A04,2026-04-01,RandomForest,Medium,0.5,55437.55928561442,56088.391360423986,63383.80707846778
IN_A04,2026-07-01,RandomForest,Medium,0.5,56024.18599619056,56606.05885463309,63648.35498559756
IN_A04,2026-10-01,RandomForest,Medium,0.5,56030.74741329479,57024.774637177754,63912.67066274225
IN_A05,2025-01-01,LightGBM,Medium,0.5,143.65646330847926,1198.9081214067442,890.7196340097066
IN_A05,2025-04-01,LightGBM,Medium,0.5,144.31509968761725,1394.2679037428618,1129.025877839577
IN_A05,2025-07-01,LightGBM,Medium,0.5,51.690589702877496,1302.800960792011,1062.3922973789704
IN_A05,2025-10-01,LightGBM,Medium,0.5,44.624807022890955,1295.7351781120242,1017.4929629360681
IN_A05,2026-01-01,LightGBM,Medium,0.5,123.89639007777727,1352.1385866965559,1087.9488949977401
IN_A05,2026-04-01,LightGBM,Medium,0.5,124.55502645691526,916.1631879794287,1088.6075313768777
IN_A05,2026-07-01,LightGBM,Medium,0.5,41.41631763562057,646.4573113283535,1005.4688225555819
IN_A05,2026-10-01,LightGBM,Medium,0.5,44.624807022890955,861.7516274821772,858.665037175347
IN_A06,2025-01-01,LightGBM,Medium,0.5,105219.07296532429,114874.50375699617,114797.31310622643
IN_A06,2025-04-01,LightGBM,Medium,0.5,101242.95835403028,117172.4901584774,119129.49787120151
IN_A06,2025-07-01,LightGBM,Medium,0.5,100927.53549046227,119021.53640456643,115535.77633661004
