unique_id,best_model,consistency_ratio,confidence,win_count,n_windows,avg_mae
IN_A01,RandomForest,1.0,High,2,2,709929.0730702663
IN_A02,XGBoost,0.5,Medium,1,2,1468001.73
IN_A03,LightGBM,0.5,Medium,1,2,414444.56526032696
IN_A04,XGBoost,0.5,Medium,1,2,247525.41662499998
IN_A05,RandomForest,1.0,High,2,2,8442.340430652039
IN_A06,LightGBM,0.5,Medium,1,2,1588483.77882454
IN_A07,LightGBM,0.5,Medium,1,2,240989.3912708687
IN_A09,LightGBM,0.5,Medium,1,2,122474.30188236848
IN_A10,RandomForest,0.5,Medium,1,2,1327401.6680696637
IN_A11,XGBoost,0.5,Medium,1,2,138780.58514062501
IN_A12,XGBoost,0.5,Medium,1,2,11066319.12
IN_A16,XGBoost,0.5,Medium,1,2,71392.89995312499
IN_B01,XGBoost,0.5,Medium,1,2,256277.32874999996
IN_B02,RandomForest,1.0,High,2,2,712538.1465244826
IN_B03,LightGBM,0.5,Medium,1,2,411845.09110367566
IN_B05,LightGBM,0.5,Medium,1,2,10129874.6538992
IN_B06,LightGBM,0.5,Medium,1,2,48063.65082894576
IN_C01,LightGBM,0.5,Medium,1,2,546637.4482782085
IN_C02,LightGBM,0.5,Medium,1,2,522384.22588415333
IN_C03,LightGBM,0.5,Medium,1,2,524968.8966350548
IN_C04,XGBoost,0.5,Medium,1,2,64277.183837890625
IN_C05,LightGBM,0.5,Medium,1,2,138851.28258697456
IN_C07,LightGBM,0.5,Medium,1,2,1263971.7597391487
IN_C08,XGBoost,0.5,Medium,1,2,237323.009375
IN_C09,LightGBM,1.0,High,2,2,814788.6352371962
IN_C10,RandomForest,0.5,Medium,1,2,1225046.4118810166
IN_D01,RandomForest,0.5,Medium,1,2,175710.90837743692
IN_D02,XGBoost,0.5,Medium,1,2,141009.34870312503
IN_D04,LightGBM,0.5,Medium,1,2,197884.32003857024
IN_D05,LightGBM,0.5,Medium,1,2,18395.690097236034
IN_D06,LightGBM,0.5,Medium,1,2,232336.74127726007
IN_D07,LightGBM,0.5,Medium,1,2,342964.8088541436
IN_D08,LightGBM,0.5,Medium,1,2,1053344.201781143
IN_D10,XGBoost,0.5,Medium,1,2,318374.62284375
IN_D11,LightGBM,0.5,Medium,1,2,370491.14933374804
IN_G01,XGBoost,0.5,Medium,1,2,505556.39375000005
IN_G02,Ridge,1.0,High,2,2,440113.5293583023
IN_G03,LightGBM,1.0,High,2,2,274444.93888040143
IN_G04,LightGBM,0.5,Medium,1,2,481483.9186670835
IN_H01,LightGBM,0.5,Medium,1,2,25808.836429962546
IN_H02,LightGBM,0.5,Medium,1,2,424337.7273539346
IN_H03,XGBoost,0.5,Medium,1,2,191604.105875
IN_H04,LightGBM,0.5,Medium,1,2,99925.74904071639
IN_H05,LightGBM,0.5,Medium,1,2,83188.14097674041
IN_J01,Ridge,1.0,High,2,2,2477215.7976365164
IN_J02,LightGBM,1.0,High,2,2,186906.93685792587
IN_J04,RandomForest,1.0,High,2,2,10042.931895853035
IN_J05,LightGBM,0.5,Medium,1,2,371624.2157705469
IN_J06,LightGBM,1.0,High,2,2,41613.84071815839
IN_L01,LightGBM,0.5,Medium,1,2,140227.62828730725
IN_L02,LightGBM,0.5,Medium,1,2,202688.43792576285
IN_L03,LightGBM,0.5,Medium,1,2,99284.11285321639
IN_L04,LightGBM,0.5,Medium,1,2,203580.6224257921
IN_M01,RandomForest,0.5,Medium,1,2,525989.9308622566
IN_M02,RandomForest,0.5,Medium,1,2,1617800.6798159366
IN_M03,XGBoost,0.5,Medium,1,2,885662.6579374999
IN_M04,LightGBM,0.5,Medium,1,2,39235.313681671716
IN_M05,RandomForest,1.0,High,2,2,23631.58718971962
IN_N01,LightGBM,1.0,High,2,2,46822.47742379072
IN_N02,LightGBM,0.5,Medium,1,2,3946415.4349755403
IN_N03,XGBoost,0.5,Medium,1,2,786100.265
IN_N04,LightGBM,1.0,High,2,2,78368.0920067001
IN_N05,RandomForest,1.0,High,2,2,1625417.6473229073
IN_N06,XGBoost,0.5,Medium,1,2,3327303.5587500003
IN_N07,XGBoost,0.5,Medium,1,2,947060.2267499999
IN_P01,LightGBM,1.0,High,2,2,43091.469114092135
IN_P02,LightGBM,0.5,Medium,1,2,99429.16259321966
IN_P03,XGBoost,1.0,High,2,2,78499.16015625
IN_R01,LightGBM,1.0,High,2,2,771350.3880299337
IN_R02,LightGBM,0.5,Medium,1,2,1168098.884650786
IN_R03,LightGBM,0.5,Medium,1,2,3120685.181050432
IN_R05,XGBoost,0.5,Medium,1,2,623176.05
IN_R06,LightGBM,0.5,Medium,1,2,2285936.098202657
IN_R07,XGBoost,0.5,Medium,1,2,26652.382080078125
IN_S01,XGBoost,0.5,Medium,1,2,1029890.6061250002
IN_S02,RandomForest,1.0,High,2,2,838832.4237436715
IN_S03,LightGBM,0.5,Medium,1,2,575655.8897798299
IN_V03,RandomForest,1.0,High,2,2,543767.2109702226
IN_V04,LightGBM,1.0,High,2,2,335097.8869090267
IN_V07,LightGBM,1.0,High,2,2,50169.95070462791
