unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
IN_A01,2025-01-01,RandomForest,High,1.0,1684629.3111955505,1694217.6366666465,1727285.366904622
IN_A01,2025-04-01,RandomForest,High,1.0,1885454.2588661953,1885619.555546799,1966568.1232158325
IN_A01,2025-07-01,RandomForest,High,1.0,2049652.3260022856,2062382.868711412,2190451.9023351343
IN_A01,2025-10-01,RandomForest,High,1.0,2130400.0531887966,2145274.725109009,2218829.0143639958
IN_A01,2026-01-01,RandomForest,High,1.0,2178167.3289681175,2196947.2386487084,2386234.4202864883
IN_A01,2026-04-01,RandomForest,High,1.0,2189185.024465972,2215509.975536683,2497620.4910167055
IN_A01,2026-07-01,RandomForest,High,1.0,2206126.9073426495,2338580.3179057213,2611907.7683775746
IN_A01,2026-10-01,RandomForest,High,1.0,2288047.581978631,2464510.898113269,2747090.2036842834
IN_A02,2025-01-01,XGBoost,Medium,0.5,7334613.0,7431034.5,6723673.5
IN_A02,2025-04-01,XGBoost,Medium,0.5,7322375.0,7457961.5,6634345.0
IN_A02,2025-07-01,XGBoost,Medium,0.5,7309367.5,7445380.5,5859067.0
IN_A02,2025-10-01,XGBoost,Medium,0.5,7305621.5,7446134.0,6169613.0
IN_A02,2026-01-01,XGBoost,Medium,0.5,7782198.0,7749942.5,6606284.0
IN_A02,2026-04-01,XGBoost,Medium,0.5,7782354.5,7873743.5,6802511.0
IN_A02,2026-07-01,XGBoost,Medium,0.5,7649834.5,7719620.5,6875983.5
IN_A02,2026-10-01,XGBoost,Medium,0.5,7276109.5,7599762.0,6666420.5
IN_A03,2025-01-01,LightGBM,Medium,0.5,1836060.66632685,1869707.013288486,1857696.6030414354
IN_A03,2025-04-01,LightGBM,Medium,0.5,1964452.570504028,2001461.8648468626,1994186.0497633172
IN_A03,2025-07-01,LightGBM,Medium,0.5,2034222.4458923128,2065531.7625021914,2083222.5396652676
IN_A03,2025-10-01,LightGBM,Medium,0.5,2042737.478214644,2093796.4232208803,2260865.136776438
IN_A03,2026-01-01,LightGBM,Medium,0.5,2012947.6859250008,2075220.0911084919,2482634.4447515192
IN_A03,2026-04-01,LightGBM,Medium,0.5,2014412.8333765133,2237309.345926204,2575709.135928058
IN_A03,2026-07-01,LightGBM,Medium,0.5,2027769.6597315974,2194254.386306092,2652674.538187994
IN_A03,2026-10-01,LightGBM,Medium,0.5,2007755.8475079425,2285834.4299118523,2826930.781251543
IN_A04,2025-01-01,XGBoost,Medium,0.5,1407823.75,1407536.75,1410195.5
IN_A04,2025-04-01,XGBoost,Medium,0.5,1431195.5,1406542.75,1430590.25
IN_A04,2025-07-01,XGBoost,Medium,0.5,1429501.75,1408182.75,1446176.25
IN_A04,2025-10-01,XGBoost,Medium,0.5,1411886.25,1402483.0,1469988.75
IN_A04,2026-01-01,XGBoost,Medium,0.5,1412579.0,1399088.75,1479963.5
IN_A04,2026-04-01,XGBoost,Medium,0.5,1419814.25,1419370.0,1479690.75
IN_A04,2026-07-01,XGBoost,Medium,0.5,1418120.5,1416281.25,1487090.5
IN_A04,2026-10-01,XGBoost,Medium,0.5,1420659.25,1414043.5,1577078.0
IN_A05,2025-01-01,RandomForest,High,1.0,56990.26255756278,57086.34783327515,58227.99231959842
IN_A05,2025-04-01,RandomForest,High,1.0,58075.14940798135,58075.149407981335,59372.24259965064
IN_A05,2025-07-01,RandomForest,High,1.0,57365.65272137634,57396.241925945265,59540.934141867336
IN_A05,2025-10-01,RandomForest,High,1.0,58296.02191837322,58326.61112294216,60684.1213678867
IN_A05,2026-01-01,RandomForest,High,1.0,58764.945059420425,58795.53426398935,60259.725115141526
IN_A05,2026-04-01,RandomForest,High,1.0,58158.355251671106,58188.94445624003,59707.63537435157
IN_A05,2026-07-01,RandomForest,High,1.0,57986.39074052577,58016.97994509468,59607.40961849537
IN_A05,2026-10-01,RandomForest,High,1.0,57585.76800571534,57616.357210284266,59749.9197101722
IN_A06,2025-01-01,LightGBM,Medium,0.5,19481549.464572992,19490318.00455134,20905996.296871994
IN_A06,2025-04-01,LightGBM,Medium,0.5,20335035.026084945,20343803.566063292,26020387.986988425
IN_A06,2025-07-01,LightGBM,Medium,0.5,24694001.200348217,24537730.81927254,26244310.779859453
IN_A06,2025-10-01,LightGBM,Medium,0.5,24493696.284992065,24337425.90391639,26087311.09204649
IN_A06,2026-01-01,LightGBM,Medium,0.5,24259766.00488631,24103495.623810634,26010380.4997537
IN_A06,2026-04-01,LightGBM,Medium,0.5,24460070.920242462,23978166.414406475,25838057.67952523
IN_A06,2026-07-01,LightGBM,Medium,0.5,24372072.911874343,24016166.127306547,25869187.362074375
IN_A06,2026-10-01,LightGBM,Medium,0.5,24372072.911874343,24016166.127306547,25869187.362074375
IN_A07,2025-01-01,LightGBM,Medium,0.5,1666560.089807845,1692770.0356074555,1688196.0265224301
IN_A07,2025-04-01,LightGBM,Medium,0.5,1820651.3036905408,1864144.256548287,1850384.7829498304
IN_A07,2025-07-01,LightGBM,Medium,0.5,1811626.8511454475,1955937.4508594216,1962852.935218319
IN_A07,2025-10-01,LightGBM,Medium,0.5,1767823.091831062,1978390.8029002517,2097494.8158595986
IN_A07,2026-01-01,LightGBM,Medium,0.5,1806363.0212328911,2068318.4142221552,2225111.848737529
IN_A07,2026-04-01,LightGBM,Medium,0.5,1799169.9055691955,2045999.0854740192,2441931.5177040743
IN_A07,2026-07-01,LightGBM,Medium,0.5,1796464.8527312865,2015185.8135522762,2533541.0614291006
IN_A07,2026-10-01,LightGBM,Medium,0.5,1783490.169323575,2002211.1301445644,2558068.986813243
IN_A09,2025-01-01,LightGBM,Medium,0.5,620136.3926321774,640377.4108666893,635405.9929703614
IN_A09,2025-04-01,LightGBM,Medium,0.5,623862.3390417132,669687.8111270206,669450.9883941975
IN_A09,2025-07-01,LightGBM,Medium,0.5,647521.3860154158,730958.8576065662,724080.8136733775
IN_A09,2025-10-01,LightGBM,Medium,0.5,663014.5106524547,724230.4757740082,694484.8039245895
IN_A09,2026-01-01,LightGBM,Medium,0.5,705716.3434063774,736132.8941655498,707045.1168594211
IN_A09,2026-04-01,LightGBM,Medium,0.5,712808.3340124261,725281.7013341303,688289.2640488251
IN_A09,2026-07-01,LightGBM,Medium,0.5,710103.2811745172,709652.726787899,688289.2640488251
IN_A09,2026-10-01,LightGBM,Medium,0.5,690450.9776336369,702924.3449553411,681560.8822162672
IN_A10,2025-01-01,RandomForest,Medium,0.5,10427881.12863939,10464441.684464244,10540171.667174427
IN_A10,2025-04-01,RandomForest,Medium,0.5,10140290.695037404,10269659.641191475,10204184.169105165
IN_A10,2025-07-01,RandomForest,Medium,0.5,10829712.00462469,10945369.388804585,10892667.42923683
IN_A10,2025-10-01,RandomForest,Medium,0.5,10741795.488323113,10799159.028494217,10726900.463358287
IN_A10,2026-01-01,RandomForest,Medium,0.5,10724188.202358933,10896485.048611475,10831810.731973637
IN_A10,2026-04-01,RandomForest,Medium,0.5,10697166.426105382,10716041.668435633,10747810.44120271
IN_A10,2026-07-01,RandomForest,Medium,0.5,10775881.026489912,10942668.124919934,10813342.772329003
IN_A10,2026-10-01,RandomForest,Medium,0.5,10770002.33433583,10909181.89091194,10830591.204368703
IN_A11,2025-01-01,XGBoost,Medium,0.5,691934.8125,682714.1875,661157.8125
IN_A11,2025-04-01,XGBoost,Medium,0.5,665316.8125,653653.3125,642251.8125
IN_A11,2025-07-01,XGBoost,Medium,0.5,696305.8125,682507.3125,682421.75
IN_A11,2025-10-01,XGBoost,Medium,0.5,688000.8125,665501.6875,679856.5625
IN_A11,2026-01-01,XGBoost,Medium,0.5,715468.75,684943.1875,702903.6875
IN_A11,2026-04-01,XGBoost,Medium,0.5,718318.5625,671580.125,719332.9375
IN_A11,2026-07-01,XGBoost,Medium,0.5,720906.4375,693797.5625,722590.0
IN_A11,2026-10-01,XGBoost,Medium,0.5,711248.3125,677142.25,702278.0625
IN_A12,2025-01-01,XGBoost,Medium,0.5,11261070.0,11307918.0,12115926.0
IN_A12,2025-04-01,XGBoost,Medium,0.5,9675252.0,9683363.0,9309543.0
IN_A12,2025-07-01,XGBoost,Medium,0.5,10251364.0,10447224.0,12030722.0
IN_A12,2025-10-01,XGBoost,Medium,0.5,12222749.0,12225782.0,11874489.0
IN_A12,2026-01-01,XGBoost,Medium,0.5,12498123.0,12382170.0,12474610.0
IN_A12,2026-04-01,XGBoost,Medium,0.5,13063152.0,13243797.0,13524542.0
IN_A12,2026-07-01,XGBoost,Medium,0.5,12973883.0,13166067.0,13388089.0
IN_A12,2026-10-01,XGBoost,Medium,0.5,12588992.0,13120019.0,13634079.0
IN_A16,2025-01-01,XGBoost,Medium,0.5,355004.5625,355369.625,350711.96875
IN_A16,2025-04-01,XGBoost,Medium,0.5,366719.59375,365241.0,356762.78125
IN_A16,2025-07-01,XGBoost,Medium,0.5,366817.15625,365338.5625,361069.6875
IN_A16,2025-10-01,XGBoost,Medium,0.5,370580.78125,373239.21875,363736.8125
IN_A16,2026-01-01,XGBoost,Medium,0.5,375174.625,374409.375,402719.40625
IN_A16,2026-04-01,XGBoost,Medium,0.5,365835.34375,365070.15625,395980.8125
IN_A16,2026-07-01,XGBoost,Medium,0.5,365835.34375,365070.15625,408525.125
IN_A16,2026-10-01,XGBoost,Medium,0.5,351866.59375,353120.59375,400516.09375
IN_B01,2025-01-01,XGBoost,Medium,0.5,2968011.25,2979067.75,3010578.5
IN_B01,2025-04-01,XGBoost,Medium,0.5,2841431.0,2825759.25,2888960.75
IN_B01,2025-07-01,XGBoost,Medium,0.5,2679783.5,2677773.75,2858623.75
IN_B01,2025-10-01,XGBoost,Medium,0.5,2729633.25,2709847.0,2819377.75
IN_B01,2026-01-01,XGBoost,Medium,0.5,2707144.0,2663258.5,2835151.75
IN_B01,2026-04-01,XGBoost,Medium,0.5,2701384.0,2662355.25,2867129.25
