unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,36585.91307887443,39529.094,44110.1920621499,23213.51809196051
IN_A01,2025-04-01,43373.56313231752,44370.434,50638.56025414945,17641.255816991597
IN_A01,2025-07-01,53422.653053907736,46226.64,50236.446857036484,16061.865444413997
IN_A01,2025-10-01,56427.85119355367,51462.715,52911.60696845037,12709.386214105387
IN_A01,2026-01-01,60837.03574430617,55371.156,53053.224815517235,13390.981684307906
IN_A01,2026-04-01,62348.28874533246,56847.96,54866.94756826614,14367.092938162343
IN_A01,2026-07-01,64581.47146129726,57722.574,56979.86415895367,16700.41338916104
IN_A01,2026-10-01,64806.98471186857,61781.41,60330.848327066284,19652.58788141624
IN_A02,2025-01-01,124384.80002478926,129377.29,125494.62890514704,119840.6669120114
IN_A02,2025-04-01,128057.63752585257,129137.84,124231.05952702963,115042.91280518273
IN_A02,2025-07-01,129281.04933910554,130126.945,124175.77696838097,111626.97039755298
IN_A02,2025-10-01,132042.6775496418,133720.75,124234.89137423463,108812.28267292792
IN_A02,2026-01-01,132539.412658753,137968.9,125508.11457603228,109381.08089017111
IN_A02,2026-04-01,133667.4104896372,140190.98,126108.36983253485,109989.41442059657
IN_A02,2026-07-01,133030.08049356012,140777.48,127138.86451018711,111686.05370377681
IN_A02,2026-10-01,133111.88767197676,142691.75,126499.07701157137,114213.53466217626
IN_A03,2025-01-01,20413.732268067386,19925.557,19350.77820848965,19533.7576247153
IN_A03,2025-04-01,21286.891986279785,19484.637,20098.819946605287,19857.177435335423
IN_A03,2025-07-01,21429.45535012671,19879.164,20675.531803630598,20271.791941345728
IN_A03,2025-10-01,21172.235205371297,20016.867,20782.997617371664,20540.171100765598
IN_A03,2026-01-01,21168.033263554862,20041.654,20761.879814523032,22475.046359160708
IN_A03,2026-04-01,21207.789727406165,19802.15,21237.451148790682,23565.83094819027
IN_A03,2026-07-01,21266.808057902148,19880.033,21928.940688467643,24595.521637363847
IN_A03,2026-10-01,21172.235205371297,19578.611,22530.448758854436,25534.904895909032
IN_A04,2025-01-01,66816.89188240263,64572.957,62046.00314306394,61550.77354303392
IN_A04,2025-04-01,63973.75715991464,59573.875,60947.95489585507,58270.88123312599
IN_A04,2025-07-01,65618.39527654332,58120.66,61324.18027810508,56172.77403206219
IN_A04,2025-10-01,67466.5314473183,62065.0,62066.945911914445,54182.633780381366
IN_A04,2026-01-01,69357.21683363925,63438.227,62862.881306018564,54085.506994340525
IN_A04,2026-04-01,69361.85202358931,66958.38,63383.80707846778,53429.65821932493
IN_A04,2026-07-01,69443.15329656257,67941.15,63648.35498559756,53242.834717269485
IN_A04,2026-10-01,69338.34504294774,68677.66,63912.67066274225,53424.87017557221
IN_A05,2025-01-01,890.7196340097066,814.48773,582.2361804828122,1655.1093682379533
IN_A05,2025-04-01,1129.025877839577,827.0153,581.0664862606,2063.126951036871
IN_A05,2025-07-01,1062.3922973789704,918.85046,598.1730803729979,2417.5805177334587
IN_A05,2025-10-01,1017.4929629360681,904.5907,598.9596482702508,2720.483714073004
IN_A05,2026-01-01,1087.9488949977401,927.6333,640.0585323908554,4377.834516626259
IN_A05,2026-04-01,1088.6075313768777,903.27985,663.4953830442731,5131.154617086679
IN_A05,2026-07-01,1005.4688225555819,901.8873,673.2997729023759,5739.661721332217
IN_A05,2026-10-01,858.665037175347,914.39685,691.4180365697057,6214.521245762722
IN_A06,2025-01-01,114797.31310622643,121519.07,119949.7998012416,118977.15137612121
IN_A06,2025-04-01,119129.49787120151,121592.15,119711.94484789197,108007.1542638369
IN_A06,2025-07-01,115535.77633661004,119766.51,118961.20901906492,102273.05849080795
IN_A06,2025-10-01,118324.9460196401,119714.4,118090.53183503104,94428.08018870512
IN_A06,2026-01-01,119247.29705156323,126052.72,119411.89526100513,90385.98763835579
IN_A06,2026-04-01,119483.94954302897,125317.72,119130.71800503762,84912.30297711729
IN_A06,2026-07-01,120172.67095020699,127616.836,118359.45788312766,80716.03388385642
IN_A06,2026-10-01,119594.63266232637,126935.24,117567.30651092679,77282.05292982855
IN_A07,2025-01-01,39760.04062793901,39337.71,38592.68099263186,27008.143868340194
IN_A07,2025-04-01,49116.86673707706,49439.86,43634.728781523925,27137.869675023172
IN_A07,2025-07-01,56758.35765154082,51686.086,47929.895345284946,27548.100820113912
IN_A07,2025-10-01,56770.99191007358,56573.383,47069.76620510911,26986.245478379165
IN_A07,2026-01-01,61420.219479075946,58192.66,51614.69574363756,30497.476726864043
IN_A07,2026-04-01,61954.50182425695,61137.754,52140.01088592274,33287.50763242398
IN_A07,2026-07-01,65160.12208782763,64180.203,51617.45055986543,36377.07844655011
IN_A07,2026-10-01,65568.89391858208,66883.8,52136.067988767965,39579.97446291973
IN_A09,2025-01-01,2260.2183523649837,2280.7727,2231.1472662901474,3047.154595372055
IN_A09,2025-04-01,2438.6281598842215,2511.0828,2340.23137008551,3459.0159663479035
IN_A09,2025-07-01,2238.4039121539668,2416.703,2379.8488610160084,3808.8048559691506
IN_A09,2025-10-01,2186.385313928647,2278.8203,2366.1262835617476,4097.066624535468
IN_A09,2026-01-01,2513.35561578261,2421.2188,2488.843844850931,5781.268604339037
IN_A09,2026-04-01,2126.4899777891537,2428.5254,2461.857943561336,6557.220427957913
IN_A09,2026-07-01,2164.0869014809045,2389.43,2432.617717390158,7191.305527538343
IN_A09,2026-10-01,2104.3619458870103,2333.1074,2462.6475460541933,7694.453140508011
IN_A10,2025-01-01,179577.44082270618,179530.88,193145.87129577313,173191.28058480832
IN_A10,2025-04-01,184381.38786707175,183148.56,192613.93650836463,169917.54830745893
IN_A10,2025-07-01,184237.26060501166,179362.66,198242.84302903365,166250.43510154868
IN_A10,2025-10-01,185610.79723378218,182808.25,199884.66665373763,162215.05311793945
IN_A10,2026-01-01,202699.8416470456,187082.5,202707.16724225698,163060.13588616136
IN_A10,2026-04-01,211779.3408028176,185919.88,205563.5236098892,163491.4829852421
IN_A10,2026-07-01,221741.27903214665,183864.47,209098.92286897413,164773.93671610067
IN_A10,2026-10-01,227422.15519514456,182699.34,212820.6435640576,166817.2260215577
IN_A11,2025-01-01,39116.200904683144,41748.86,44844.81723440619,42690.18818585758
IN_A11,2025-04-01,46827.08795768519,45297.656,47634.85640170083,41835.71477762988
IN_A11,2025-07-01,54307.962932591545,44392.484,49012.80413238608,40600.517656309625
IN_A11,2025-10-01,60191.51859946674,52021.926,51049.721754468395,39284.18707115758
IN_A11,2026-01-01,58244.214351850715,52508.484,51399.93135290701,39659.566322761064
IN_A11,2026-04-01,59545.54831635538,52956.223,50205.980865199446,39236.61440248987
IN_A11,2026-07-01,60020.05110687006,55392.754,50785.28594278943,38828.873767567165
IN_A11,2026-10-01,61043.20434773437,58083.76,51427.32539194274,38486.699759205934
IN_A12,2025-01-01,18646.141587810023,19730.21,19480.048295437507,14280.4230176454
IN_A12,2025-04-01,17654.45916082586,19746.684,22553.247765945325,13556.037377531393
IN_A12,2025-07-01,20911.09848266215,18870.303,23016.190169009427,14731.72455436911
IN_A12,2025-10-01,20344.33326771105,19190.023,24046.87183157715,13094.9826439329
IN_A12,2026-01-01,20875.993729397534,19198.902,23322.68793854822,14893.13334096899
IN_A12,2026-04-01,20954.66127161586,18876.395,23714.988346985505,15853.560554446049
IN_A12,2026-07-01,21220.046210025084,19109.072,23807.290346231275,17083.49962581647
IN_A12,2026-10-01,21125.473357494233,19067.514,23649.361209663068,18081.88737984146
IN_A16,2025-01-01,1418.4941370580477,1393.7776,1100.7943559172277,2410.1253375429433
IN_A16,2025-04-01,1657.6425921479868,1447.6927,1080.3164951790263,2887.119585420497
IN_A16,2025-07-01,1633.0780655903084,1379.891,1122.998949091153,3336.3533388870237
IN_A16,2025-10-01,1581.0594673649896,1406.3378,1131.7521139356058,3724.9433045480455
IN_A16,2026-01-01,1851.7460864758564,1382.4612,1154.5248877996657,5478.050503351562
IN_A16,2026-04-01,1787.7656301457878,1370.1097,1148.9141673582837,6304.600427952417
IN_A16,2026-07-01,1558.7610549172462,1325.1389,1167.0542296536814,6977.161042474376
IN_A16,2026-10-01,1581.0594673649896,1414.9978,1236.2397746465458,7502.451131500713
IN_B01,2025-01-01,58813.70888297525,60041.273,65523.353877847854,63578.832550852385
IN_B01,2025-04-01,64858.66444292137,61424.016,62933.72664119112,64115.20350715089
IN_B01,2025-07-01,63029.96414045919,60381.645,63700.46531075371,63925.14885944103
IN_B01,2025-10-01,65103.35825752733,65297.383,63022.9956759594,66650.3417064102
IN_B01,2026-01-01,64897.17255185155,63444.656,63231.45424131646,67387.45341495032
IN_B01,2026-04-01,66896.24800309187,65581.984,63905.88496950768,67961.29304004533
IN_B01,2026-07-01,67947.70071909981,64867.934,64138.28085740521,68271.54208008894
IN_B01,2026-10-01,69967.82644066436,63881.27,64158.20658602717,68708.61523248078
IN_B02,2025-01-01,3381.997222802672,3124.9316,2847.3188593928253,3420.106512160549
IN_B02,2025-04-01,2736.2236585787105,3054.7366,2848.3931004288925,3772.9002050229865
IN_B02,2025-07-01,3293.2861452107336,2966.849,2842.11464493404,4283.977799049497
IN_B02,2025-10-01,3200.9360358474996,2994.3164,2888.4914621428916,4362.468321592258
IN_B02,2026-01-01,3651.979985814776,3033.4893,3002.651985016501,6088.291181954435
IN_B02,2026-04-01,3373.1685586911026,3045.0674,3132.09354129931,6871.889620488504
IN_B02,2026-07-01,3290.0298498698075,2987.9153,3311.1556036724573,7542.486876591483
IN_B02,2026-10-01,3241.267546985414,2915.4297,3566.9002360103323,8046.71083330494
IN_B03,2025-01-01,39582.38303752268,40218.395,42358.062690902116,35167.09278296837
IN_B03,2025-04-01,44735.624252075395,45417.773,46726.6999585089,34383.0383658615
IN_B03,2025-07-01,53044.72501749057,44173.664,47313.731597460835,34418.502194131375
IN_B03,2025-10-01,58246.47304595298,52784.086,50211.885634652936,32826.39594298313
IN_B03,2026-01-01,57127.11053927879,53652.004,51961.84191918211,34813.07906480314
IN_B03,2026-04-01,59877.65581342732,53644.78,50775.82585305425,35750.19560346183
IN_B03,2026-07-01,58312.88208000876,55318.74,51324.77422989287,36867.79934991251
IN_B03,2026-10-01,60696.88956981272,57598.152,51611.787498915975,37928.94335393947
IN_B05,2025-01-01,26788.488110028895,26583.799,26590.26934663068,25635.005282841008
IN_B05,2025-04-01,28366.613456306917,26302.178,28138.090296460978,25918.21465331636
IN_B05,2025-07-01,30391.118168871384,26880.406,29986.603247875068,25134.284686667765
IN_B05,2025-10-01,30495.621606465804,27403.26,29575.081002703122,25014.24291515034
IN_B05,2026-01-01,29880.17258699155,28576.525,29774.117443278086,26807.20721517447
IN_B05,2026-04-01,30201.30253702108,27951.55,29698.089521821978,27346.564677713322
IN_B05,2026-07-01,30989.957792472567,26445.494,30206.61517499419,27655.95237973262
IN_B05,2026-10-01,30954.97997904139,27917.594,30151.19715169447,27964.51961548794
IN_B06,2025-01-01,899.0420064075512,818.3437,665.7891306698622,1716.9836100241164
IN_B06,2025-04-01,1129.025877839577,855.0199,701.4811070694766,2146.514164997635
IN_B06,2025-07-01,1062.3922973789704,925.0106,710.9979034160293,2436.4691527463237
IN_B06,2025-10-01,1027.767235003326,902.51013,720.4349804382988,2715.2525503562256
IN_B06,2026-01-01,1087.9488949977401,927.6333,734.080462637471,4343.464093281198
IN_B06,2026-04-01,1088.6075313768777,910.8306,735.6626126718292,5078.616089950838
IN_B06,2026-07-01,1005.4688225555819,901.8873,731.2761111345924,5662.716478128654
IN_B06,2026-10-01,858.665037175347,908.82654,728.6018030403566,6122.422132514221
IN_C01,2025-01-01,37179.68631381723,36050.37,39061.68561149363,45450.75934840976
IN_C01,2025-04-01,37908.28663342537,35415.34,39610.5258760918,43800.18334589808
IN_C01,2025-07-01,37438.55589210111,35329.953,40050.061013139326,43491.996466041346
IN_C01,2025-10-01,36973.40345104381,37474.758,40393.58474490319,41916.01402275354
IN_C01,2026-01-01,34759.90537989731,38090.6,39459.69212903186,41800.94431403378
IN_C01,2026-04-01,36057.89063992028,40013.996,40470.47359971638,40288.62192203629
IN_C01,2026-07-01,35808.562118617076,42290.996,40408.50498517693,38664.08691514256
IN_C01,2026-10-01,35807.88251070436,43552.242,40351.11663667773,36769.73992030902
IN_C02,2025-01-01,55114.47374635327,54409.746,55261.01937440333,55922.92097354842
IN_C02,2025-04-01,61853.223312422815,57659.656,56921.89136027304,55674.70065867557
IN_C02,2025-07-01,62400.72995025405,55693.88,58882.798760967984,54486.949375797056
IN_C02,2025-10-01,64543.91788388969,59645.633,59549.15428896789,53861.69771520325
IN_C02,2026-01-01,64347.41417942988,61871.605,59684.14741300879,55735.21274039621
IN_C02,2026-04-01,67145.29032505043,65989.24,59941.042701411905,56924.860250164485
IN_C02,2026-07-01,70017.57163573205,65100.07,59730.45710746916,58178.434198043855
