unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,36287.717857809024,39546.92,42605.3077609605,22900.330389196413
IN_A01,2025-04-01,41545.05126727772,40965.945,46423.266229153,16733.595695894746
IN_A01,2025-07-01,39714.21741080175,41262.03,44919.61499995483,14318.013839124666
IN_A01,2025-10-01,40954.11228708118,43455.82,46374.33475689146,9897.925943501783
IN_A01,2026-01-01,42481.747042114715,46993.11,46875.944264477694,9291.371168327092
IN_A01,2026-04-01,46700.75648861655,45304.473,46238.81711350483,8799.645955034626
IN_A01,2026-07-01,42955.89056319435,49267.516,46301.54738680623,9556.429495011193
IN_A01,2026-10-01,46984.41771348934,48316.543,46131.66197568194,11005.330327716276
IN_A02,2025-01-01,125959.63746457014,132909.3,126466.19915589812,119527.4792092473
IN_A02,2025-04-01,129109.5900761148,138329.97,125463.53628483156,114135.1243125951
IN_A02,2025-07-01,132220.96619710774,140028.53,127841.01143673988,109882.23324277226
IN_A02,2025-10-01,133170.5940053713,142526.66,128074.1719658667,105998.3985755165
IN_A02,2026-01-01,135917.36194262968,144775.72,129543.89770968573,105278.69819336392
IN_A02,2026-04-01,132316.67951490663,144413.4,129663.31364429029,104421.04504862653
IN_A02,2026-07-01,132840.87172379566,144646.92,129546.70258498436,104532.21450680667
IN_A02,2026-10-01,133268.7366563248,143794.33,128945.8837933712,105506.03764627634
IN_A03,2025-01-01,20534.991868147237,19634.56,19276.36779565842,19220.569921951203
IN_A03,2025-04-01,20886.08113541887,19234.895,19350.001008446558,18955.83490664711
IN_A03,2025-07-01,20384.35701121691,19342.756,19869.331226087892,18556.98981077462
IN_A03,2025-10-01,20359.01243663073,19729.004,19493.033228505257,17827.620163844655
IN_A03,2026-01-01,20714.550450795094,19813.115,19294.843858735785,18493.86238923673
IN_A03,2026-04-01,20792.222943997884,19694.857,19810.819508256423,18223.24766141243
IN_A03,2026-07-01,20797.528210880442,19734.322,19797.966488788476,17770.169539753806
IN_A03,2026-10-01,20481.143067190565,19516.52,19655.408746314843,17130.85525879999
IN_A04,2025-01-01,68765.78954542139,65177.027,61691.99783534575,61237.585840269836
IN_A04,2025-04-01,67583.89545726443,58721.453,59684.69996852022,57362.94078936202
IN_A04,2025-07-01,65586.84029367572,59040.703,56212.07553513994,54423.907154910055
IN_A04,2025-10-01,62489.126255173396,57862.188,55102.474708548834,51366.800901575785
IN_A04,2026-01-01,59857.551463918,56966.65,56055.03705622239,49980.92041856139
IN_A04,2026-04-01,57493.23455845184,57819.55,56088.391360423986,47854.78888546829
