unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IN_A01,2025-01-01,32789.708142187286,38577.688,42685.9923260849,23056.92424057846,35586.33406568225
IN_A01,2025-04-01,37741.95563341742,46563.406,47386.31779173894,17187.439873532567,39537.22305119366
IN_A01,2025-07-01,37619.645261448815,46287.156,45401.20377087063,15190.010793611546,38540.92263814719
IN_A01,2025-10-01,38205.22887290251,49589.484,46743.40860760422,11303.789136638074,39361.59515429189
IN_A01,2026-01-01,39524.778833553304,50760.273,47981.63273584902,11341.437697374662,40406.7776544792
IN_A01,2026-04-01,39918.97941008252,48532.47,48517.72459820382,11584.444834905245,40087.057217533955
IN_A01,2026-07-01,40494.868407631766,48149.344,49224.92704868926,13136.152923282418,40593.18313298884
IN_A01,2026-10-01,39684.6083004487,49162.22,49526.94464186352,15349.440950135471,41098.23930119058
IN_A02,2025-01-01,115657.64382128947,131809.5,125523.24216424067,119684.07306062934,123582.76031643333
IN_A02,2025-04-01,112675.5433321736,137440.2,124372.65491248578,114589.0332399133,123164.050834661
IN_A02,2025-07-01,106848.55227935307,135817.83,124911.35101244468,110754.70184344071,120622.76595737474
IN_A02,2025-10-01,102971.15184585097,139861.73,124875.74855170111,107405.41941085333,120114.70629856127
IN_A02,2026-01-01,101253.96574114582,140843.19,126248.16699014459,107330.05451456911,120285.77344250501
IN_A02,2026-04-01,101224.52524354047,141076.2,126258.06318618957,107206.22436707171,120324.89607091562
IN_A02,2026-07-01,102038.76168442043,143071.69,127250.13972994771,108116.16524757915,121533.26968003224
IN_A02,2026-10-01,101259.2125723113,141467.95,126515.81535195558,109904.44443205812,120958.2108934317
IN_A03,2025-01-01,18790.953305481227,19652.877,19146.51654054055,19377.16377333325,19226.68388652228
IN_A03,2025-04-01,17940.917725657786,19170.162,19304.76410309616,19406.774771971624,18906.499022201308
IN_A03,2025-07-01,17613.643047772537,19478.795,19744.13703524962,19416.56906947965,19026.864994197596
IN_A03,2025-10-01,17880.071454457353,19741.096,19544.456585810167,19190.443050776772,19080.337064275172
IN_A03,2026-01-01,18773.567057978205,19851.854,19160.992939586973,20517.895508159265,19468.26165582626
IN_A03,2026-04-01,17940.917725657786,19816.953,19694.867771777008,20928.0729449355,19445.41048280062
IN_A03,2026-07-01,17857.77901683649,19607.81,19611.726297198493,21216.377753122986,19388.125672982143
IN_A03,2026-10-01,17880.071454457353,19435.404,19418.584121676602,21372.156359922374,19317.58601571287
IN_A04,2025-01-01,61910.02944185401,64213.19,61612.078669856615,61394.179691651894,62382.069749996444
IN_A04,2025-04-01,56258.1788647538,58065.105,59706.90327854959,57816.959189437344,57985.86701943654
IN_A04,2025-07-01,52973.85167819073,56717.008,56152.53799324784,55298.48650794979,55289.509943112105
IN_A04,2025-10-01,52759.58746711842,55591.05,54744.24366263414,52774.8553180583,54107.435804272776
IN_A04,2026-01-01,50899.717499709455,56140.316,55299.40333750162,52033.455488684805,53779.849311675294
IN_A04,2026-04-01,49046.24531445726,56796.41,55437.55928561442,50643.01586795868,53260.084232143614
IN_A04,2026-07-01,50299.70318381424,57413.285,56024.18599619056,49652.214214437794,53781.143267195
IN_A04,2026-10-01,50010.97768064198,56847.094,56030.74741329479,48980.022280207995,53435.44117491543
IN_A05,2025-01-01,143.65646330847926,945.5945,579.8515921688453,1498.515516855904,711.3829044183376
IN_A05,2025-04-01,144.31509968761725,963.7165,579.7491825139176,1618.0325853643726,736.1671498354921
IN_A05,2025-07-01,51.690589702877496,1097.8575,594.0517877798092,1574.1465605650474,744.6503329598406
IN_A05,2025-10-01,44.624807022890955,1115.5037,594.2510540892696,1377.8761435180495,715.4829167729397
IN_A05,2026-01-01,123.89639007777727,1230.6267,636.0694073157838,2428.744760754639,953.4612226416964
IN_A05,2026-04-01,124.55502645691526,1221.9592,659.3870733076776,2501.0825830045887,969.6484175216095
IN_A05,2026-07-01,41.41631763562057,1177.3981,670.5936933999359,2367.6545490837125,915.5214990793423
IN_A05,2026-10-01,44.624807022890955,1167.1296,687.9327136664273,2053.430510585481,866.9207492454481
IN_A06,2025-01-01,105219.07296532429,121106.82,119873.14662815635,118820.55752473917,115986.84007597783
IN_A06,2025-04-01,101242.95835403028,123617.766,120246.51264643355,107554.79073023697,113842.49998684524
IN_A06,2025-07-01,100927.53549046227,123290.41,119615.91224197656,101402.06892501509,112478.24504751764
IN_A06,2025-10-01,101445.67129239863,121372.01,119104.85960634884,93024.49516724504,110571.27927164594
IN_A06,2026-01-01,102667.60531363435,126406.625,120243.31506847698,88337.08123266294,111861.14284876919
IN_A06,2026-04-01,101663.50162282377,128289.62,120484.40250386961,82126.61919122706,111156.46133096574
IN_A06,2026-07-01,101722.06687410125,129604.98,119932.65198136598,77124.19529260682,110563.22944303468
IN_A06,2026-10-01,102938.90247363698,128145.93,118877.7667349782,72836.51599962254,109494.92597478913
IN_A07,2025-01-01,36556.01226537062,38341.266,37020.476063414215,26851.550016958146,35592.184256976725
IN_A07,2025-04-01,40875.913013100544,44240.617,41052.57296206871,26684.909709151496,39534.85455903233
IN_A07,2025-07-01,39717.75526576567,50611.266,40705.99691347452,26682.509661617587,40887.7146364636
IN_A07,2025-10-01,39746.539261374724,47619.332,41977.53121964545,25627.985321418113,40248.47267458343
IN_A07,2026-01-01,41467.29132800817,52880.004,45728.558902653895,28488.141460885352,43711.15844069859
IN_A07,2026-04-01,41572.70890162793,49904.92,45941.85288173981,30613.709546060367,43321.54730074184
IN_A07,2026-07-01,40087.988335332986,48858.164,46808.03257071084,32964.79372272718,43248.44409565316
IN_A07,2026-10-01,39561.45895204176,48912.137,47211.79267517728,35388.74208362902,43628.57097704058
IN_A09,2025-01-01,1513.155181663755,2399.958,2221.686150353707,2890.560743990006,2184.7526749618987
IN_A09,2025-04-01,1157.4429925191864,2631.3196,2303.827634247153,3013.653707702174,2193.883358090131
IN_A09,2025-07-01,816.6211944836804,2512.9827,2250.1783482988944,2965.092662977773,2043.5823327837534
IN_A09,2025-10-01,536.6891382733154,2370.8804,2194.8648174751925,2754.0855998271772,1876.432849454598
IN_A09,2026-01-01,716.522301504338,2535.1484,2331.1037818527925,3830.8944918991765,2186.717456416866
IN_A09,2026-04-01,707.20060915965,2575.169,2278.2937447575487,3926.1111240505616,2196.023061627503
IN_A09,2026-07-01,667.373069870439,2564.1633,2291.775252198087,3818.443675196717,2168.078708935981
IN_A09,2026-10-01,670.5815592577095,2487.9233,2286.430649882792,3533.0248507502183,2099.4783963653645
IN_A10,2025-01-01,172824.0033657971,181159.38,193145.87129577313,173034.68673342624,180890.50992739637
IN_A10,2025-04-01,169777.56239196772,185624.69,192700.84278952115,169464.26964511274,180578.28059307876
IN_A10,2025-07-01,169528.15197971906,181206.7,198329.74931019024,165382.2833149411,180194.49984382745
IN_A10,2025-10-01,168682.1235878979,179566.77,199971.57293489415,160817.18627684208,179217.64278335054
IN_A10,2026-01-01,171876.42301719682,183336.66,202707.167242257,161013.92652494443,181951.6195115529
IN_A10,2026-04-01,171467.71534691867,181247.11,205563.52360988918,160713.52498351724,182011.42891578813
IN_A10,2026-07-01,170090.76789881472,180904.66,209098.92286897413,161208.14922163886,182610.23126098278
IN_A10,2026-10-01,168899.9712777082,178792.28,212820.64356405762,162513.89480384445,182953.8057684745
IN_A11,2025-01-01,37284.22622796674,41260.68,43437.579601296995,42533.59433447552,40980.64522582527
IN_A11,2025-04-01,40641.797325953296,44592.473,46133.42859341072,41382.899670244136,43405.95623593146
IN_A11,2025-07-01,39153.91656467878,44478.12,45361.662189143135,39732.21962983671,42474.6577199792
IN_A11,2025-10-01,41606.25991547864,44460.797,47021.20603216354,37884.34279293919,43312.47425809052
IN_A11,2026-01-01,42485.505019125165,45289.35,47538.84160305987,37612.259598166485,43887.21091499236
IN_A11,2026-04-01,46060.19212850689,45732.887,47983.074537136745,36456.91642743545,44935.660249204586
IN_A11,2026-07-01,44153.046288644735,47620.254,48671.142357856246,35247.52421399255,44927.69550785537
IN_A11,2026-10-01,46876.21301099344,48071.062,48828.370190952955,34053.625917757025,45655.412708124946
IN_A12,2025-01-01,16490.841218545072,19859.625,19046.66438125398,14123.829166263353,17758.179331769967
IN_A12,2025-04-01,14548.150303758017,20360.725,22479.54450688515,13104.210708737548,18157.858965458887
IN_A12,2025-07-01,16125.89228255935,19454.656,21813.576426500727,13865.258233181485,18280.197447457747
IN_A12,2025-10-01,15192.5616135392,18735.19,23001.948000794113,11735.701178759562,17806.844945696197
IN_A12,2026-01-01,16137.589265797613,18893.002,22263.789784571163,12880.333665373473,18092.41252909367
IN_A12,2026-04-01,15332.941332536873,18387.771,22950.115916851664,13144.88794800518,17965.536974689134
IN_A12,2026-07-01,15159.578371219128,18581.98,22772.53323172554,13619.98597991735,17999.488326295996
IN_A12,2026-10-01,14851.2721323522,18611.373,22478.88843835291,13856.778110396477,17878.55647625117
IN_A16,2025-01-01,671.4309663568188,1524.8843,1102.5421009945862,2253.531486160894,1289.3021876419173
IN_A16,2025-04-01,388.94905713832077,1675.9081,1070.4861381429716,2442.050770231519,1274.981730059804
IN_A16,2025-07-01,285.7396702227902,1637.2926,1085.6033943569473,2493.013914081983,1248.2778326205012
IN_A16,2025-10-01,355.2035912037379,1685.9208,1125.4642032278389,2383.114697043592,1274.2220041554488
IN_A16,2026-01-01,434.475174258625,1874.9532,1054.7027390895175,3537.1768672211874,1518.0099984594754
IN_A16,2026-04-01,435.1338106377625,2054.3726,1067.6870502003567,3680.4142100976296,1595.2104025828398
IN_A16,2026-07-01,351.99510181646735,2069.4697,1074.7545927440083,3610.5220727278484,1566.9224965607627
IN_A16,2026-10-01,355.2035912037379,2114.6863,1125.845714864608,3347.41753705224,1551.6197710808906
IN_B01,2025-01-01,55041.57529745932,59692.984,65268.11385178606,63422.23869947033,60584.31246012438
IN_B01,2025-04-01,55875.37000153749,62833.883,61758.29269026605,63665.87284432023,60741.451614455465
IN_B01,2025-07-01,54684.94175260004,58798.137,61753.92565132276,63069.223961521246,59190.743647460644
IN_B01,2025-10-01,53227.54609387607,57875.586,59137.18657196776,65262.14803099437,58154.44246751764
IN_B01,2026-01-01,53140.49377378404,58262.004,56223.18833013364,65418.25963915922,57443.98054169457
IN_B01,2026-04-01,51034.80651359482,58685.754,54922.52361386283,65310.716426343846,56595.505892573216
IN_B01,2026-07-01,49971.126446656024,57505.812,55407.77794410763,64872.658304707395,56037.60444517088
IN_B01,2026-10-01,49610.1934224202,57615.363,55903.91290698399,64500.78293047304,56046.69454950776
IN_B02,2025-01-01,2634.9340521014446,3244.113,2873.8217226880906,3263.5126607784996,2974.5271491588337
IN_B02,2025-04-01,1635.260745736077,3187.3384,2857.2382030306326,3324.345556762405,2687.304432638949
IN_B02,2025-07-01,1299.800962532003,3547.1533,2809.6941435342765,3430.8309289874087,2698.5684999770874
IN_B02,2025-10-01,1002.0152591348321,3641.1519,2802.6296269923696,3014.4804177272554,2572.0293543987837
IN_B02,2026-01-01,843.1761690960751,3709.5852,2877.8546854491146,4127.736624928159,2750.7287999976224
IN_B02,2026-04-01,899.3665131473603,3762.6309,2887.919696039341,4231.7595358400795,2800.915729291826
IN_B02,2026-07-01,816.2278043260656,3671.98,2891.2929733089577,4159.623526823696,2741.8184232656727
IN_B02,2026-10-01,852.7671345215941,3551.394,2874.62363309896,3877.7249887178496,2667.507727112803
IN_B03,2025-01-01,36417.55591509472,39551.277,40687.322604859,35010.49893158632,38258.84582704884
IN_B03,2025-04-01,38296.744167300225,45242.22,42206.683263880346,33930.84651689039,40611.66198723541
IN_B03,2025-07-01,38366.044052149235,44372.824,44613.386731591134,33553.53766291946,41004.012808031526
IN_B03,2025-10-01,37925.700968614794,48712.34,46278.698676953885,31462.345664122106,42214.16375082539
IN_B03,2026-01-01,39418.1577717031,45127.12,47076.48045536636,32786.899056761366,42071.93632668175
IN_B03,2026-04-01,39782.06363569722,47627.336,47707.70077274222,33018.89962756047,43083.3769147249
IN_B03,2026-07-01,40357.95263324647,47547.355,48925.429943218056,33394.58142761169,43624.56602809208
IN_B03,2026-10-01,39950.36440677448,46975.75,48757.80954205615,33690.602404458165,43354.19013814617
IN_B05,2025-01-01,24576.662805521748,25808.31,25922.980483538562,25478.411431458957,25445.51111590463
IN_B05,2025-04-01,23815.254656346267,25919.219,26334.506025258514,25467.57020127485,25379.50397511638
IN_B05,2025-07-01,23500.454363071298,25749.807,27496.459701362546,24286.40447168045,25378.36094209635
IN_B05,2025-10-01,23197.091947147903,25188.713,29023.846450358466,23659.63788589153,25465.116556360703
IN_B05,2026-01-01,23583.058532135674,26208.693,29197.8176268031,24791.584418064293,26090.04150229019
IN_B05,2026-04-01,23515.052794944815,25582.822,28391.56453498409,24644.408559662737,25646.356169043855
IN_B05,2026-07-01,23322.59460164087,25527.514,28521.484502748055,24227.199392003917,25545.839480508315
IN_B05,2026-10-01,23042.377176309637,24992.213,28777.439257533573,23742.22296420774,25311.899627881052
IN_B06,2025-01-01,151.97883570632393,949.45044,665.7450529356837,1560.3897586420671,749.0543851358364
IN_B06,2025-04-01,144.31509968761725,992.05084,699.8428000307209,1701.0141638943287,791.4176606480654
IN_B06,2025-07-01,51.690589702877496,1104.0177,709.9513246436528,1592.957819590235,782.0368819727956
