unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1584620.065981106,1.8052135e+06,1727285.366904622,1000453.2401280691
IN_A01,2025-04-01,1855522.5623180298,1.9100622e+06,1966568.1232158325,1065186.8770192731
IN_A01,2025-07-01,1936259.6274807614,1.9092768e+06,2190451.9023351343,988385.3031572248
IN_A01,2025-10-01,2148545.6317090853,1.9804521e+06,2218829.0143639958,1000887.7959440384
IN_A01,2026-01-01,2218237.5542320088,2.167288e+06,2386234.4202864883,1105679.7311077705
IN_A01,2026-04-01,2484099.5922030318,2.1307122e+06,2497620.4910167055,1120822.3441644222
IN_A01,2026-07-01,2575709.135928058,2.1942948e+06,2611907.7683775746,1111407.4179563846
IN_A01,2026-10-01,2638062.3702208167,2.2535375e+06,2747090.2036842834,1091704.6362024941
IN_A02,2025-01-01,6722788.061419352,6.7236735e+06,6991912.50586531,7048221.389363429
IN_A02,2025-04-01,6473556.256578882,6.634345e+06,6902777.355389186,7048994.961199477
IN_A02,2025-07-01,6239137.270176901,5.859067e+06,6943743.694961743,6932496.998998325
IN_A02,2025-10-01,6680723.4451582655,6.169613e+06,7235873.258316049,6910526.919904027
IN_A02,2026-01-01,7246520.494961872,6.606284e+06,7297829.443180164,6972259.556146886
IN_A02,2026-04-01,7352268.2141222125,6.802511e+06,7511416.913229307,6947805.392782494
IN_A02,2026-07-01,7483784.206213559,6.8759835e+06,7720189.606199893,6900044.045027513
IN_A02,2026-10-01,7517901.956370708,6.6664205e+06,7888444.40919218,6840838.530539874
IN_A03,2025-01-01,1857696.6030414354,2.1270422e+06,1916899.5093386758,1669458.4482033453
IN_A03,2025-04-01,1994186.0497633172,2.3031418e+06,1970285.8436906529,1717947.233832251
IN_A03,2025-07-01,2083222.5396652676,2.3420398e+06,2081206.8129471075,1694668.1797447829
IN_A03,2025-10-01,2260865.136776438,2.5365512e+06,2100135.879217174,1678049.3913780397
IN_A03,2026-01-01,2482634.4447515192,2.573374e+06,2179381.4056597264,1774090.026916705
IN_A03,2026-04-01,2575709.135928058,2.5466438e+06,2191011.5647126455,1794054.0543962715
IN_A03,2026-07-01,2652674.538187994,2.6079468e+06,2192149.202212253,1776605.126593269
IN_A03,2026-10-01,2826930.781251543,2.6610925e+06,2195245.9093966978,1751468.3294389306
IN_A04,2025-01-01,1360851.9469440416,1.4101955e+06,1429832.3086440335,1478886.2608208705
IN_A04,2025-04-01,1337653.2434654443,1.4305902e+06,1411602.38254498,1527079.6612512225
IN_A04,2025-07-01,1353986.1347120777,1.4461762e+06,1415740.2984260765,1505524.7091224648
IN_A04,2025-10-01,1458649.2546087634,1.4699888e+06,1402349.5339039108,1490074.33312635
IN_A04,2026-01-01,1522247.6360725171,1.4799635e+06,1410448.937014524,1587226.2754471535
IN_A04,2026-04-01,1535795.6029611402,1.4796908e+06,1413489.849254162,1608541.1813099338
IN_A04,2026-07-01,1535795.6029611402,1.4870905e+06,1413460.1886407868,1592338.2214509214
IN_A04,2026-10-01,1522820.9195534284,1.577078e+06,1411485.7691454832,1568418.9734484407
IN_A05,2025-01-01,78846.60074518464,64638.72,58227.99231959842,166097.22329658925
IN_A05,2025-04-01,80819.3855302051,61462.465,59372.24259965064,207197.06509634713
IN_A05,2025-07-01,70928.47050012145,71313.37,59540.934141867336,206962.6851791722
IN_A05,2025-10-01,45345.40383648307,55879.484,60684.1213678867,199101.85793024418
IN_A05,2026-01-01,59027.81816615004,100836.52,60259.725115141526,302031.9102843407
IN_A05,2026-04-01,48508.3031043838,77697.555,59707.63537435157,333865.7435673979
IN_A05,2026-07-01,48508.3031043838,94092.05,59607.40961849537,326180.18959490233
IN_A05,2026-10-01,43141.65564463055,91806.42,59749.9197101722,310299.38032306277
IN_A06,2025-01-01,20905996.296871994,1.8559698e+07,19900075.200600587,19979609.070267852
IN_A06,2025-04-01,26020387.986988425,1.7121328e+07,19720355.002528872,20251313.95592155
IN_A06,2025-07-01,26244310.779859453,1.7571378e+07,19898922.695615422,19603479.36460503
IN_A06,2025-10-01,26087311.09204649,1.9100326e+07,19885392.346701376,19607652.45746816
IN_A06,2026-01-01,26010380.4997537,1.9996324e+07,19904409.31120662,19654541.750352744
IN_A06,2026-04-01,25838057.67952523,1.9975518e+07,19962745.081029348,19475719.236809503
IN_A06,2026-07-01,25869187.362074375,1.9979506e+07,20114985.08738189,19357709.632592227
IN_A06,2026-10-01,25869187.362074375,2.0567648e+07,20346790.242996443,19227451.003620453
IN_A07,2025-01-01,1688196.0265224301,1.6026208e+06,1636551.031671704,1358892.3864465426
IN_A07,2025-04-01,1850384.7829498304,1.6803675e+06,1874401.5986747816,1401295.2571165955
IN_A07,2025-07-01,1962852.935218319,1.685531e+06,1860905.824896407,1355323.5680539324
IN_A07,2025-10-01,2097494.8158595986,1.7282308e+06,1964739.8005658784,1355033.490625679
IN_A07,2026-01-01,2225111.848737529,2.0612405e+06,2086875.6908555124,1453155.559258361
IN_A07,2026-04-01,2441931.5177040743,2.3079655e+06,2097607.7086982573,1471177.3603563257
IN_A07,2026-07-01,2533541.0614291006,2.3020265e+06,2114954.950348799,1458006.8076416613
IN_A07,2026-10-01,2558068.986813243,2.4857162e+06,2096849.2735420163,1435148.945040402
IN_A09,2025-01-01,635405.9929703614,645740.44,556103.2105762025,680928.6705185085
IN_A09,2025-04-01,669450.9883941975,683965.8,577480.4152438442,723181.4434001094
IN_A09,2025-07-01,724080.8136733775,681232.4,611073.1144280636,710448.0567448481
IN_A09,2025-10-01,694484.8039245895,678408.56,612047.329966919,702222.9330012285
IN_A09,2026-01-01,707045.1168594211,695923.2,613611.0823348872,802811.7529376369
IN_A09,2026-04-01,688289.2640488251,692241.25,614595.5148912338,829838.460252399
IN_A09,2026-07-01,688289.2640488251,702268.94,613905.8767694753,819224.3759669508
IN_A09,2026-10-01,681560.8822162672,691481.2,613178.7004296832,800224.6933478586
IN_A10,2025-01-01,9282518.719533788,1.1172638e+07,10540171.667174427,8758710.626704969
IN_A10,2025-04-01,8528690.430590088,1.126436e+07,10204184.169105165,8828960.226189928
IN_A10,2025-07-01,9133367.221557885,1.1467735e+07,10892667.42923683,8604224.583438426
IN_A10,2025-10-01,8779002.297431853,1.2225382e+07,10726900.463358287,8594835.836744867
IN_A10,2026-01-01,9491735.849348841,1.2937084e+07,10831810.731973637,8660932.652866393
IN_A10,2026-04-01,9461747.450032897,1.2815688e+07,10747810.44120271,8610092.2511222
IN_A10,2026-07-01,10046321.490941482,1.2755395e+07,10813342.772329003,8554133.38250688
IN_A10,2026-10-01,10705425.439425185,1.3192163e+07,10830591.204368703,8486634.22016774
IN_A11,2025-01-01,508679.48041022103,661157.8,617235.4904714096,719579.594987304
IN_A11,2025-04-01,487488.3639563931,642251.8,630261.5482571033,757764.3412837747
IN_A11,2025-07-01,425994.8529608353,682421.75,654205.191663694,749346.3161643248
IN_A11,2025-10-01,389789.35545573605,679856.56,668372.2162073939,739759.5214102172
IN_A11,2026-01-01,405675.5179772556,702903.7,681545.962257778,839346.5043910289
IN_A11,2026-04-01,395156.0029154893,719332.94,695687.6908518882,866833.3748512488
IN_A11,2026-07-01,382232.081207167,722590.0,699793.4314557054,855831.0606241205
IN_A11,2026-10-01,376865.43374741374,702278.06,721559.4585516962,836448.6783906809
IN_A12,2025-01-01,8683319.152140569,1.2115926e+07,10742688.486248259,6908526.5524497125
IN_A12,2025-04-01,7989266.935426344,9.309543e+06,9479554.414369585,9701355.63982901
IN_A12,2025-07-01,8079623.134893287,1.2030722e+07,11149536.78354194,7754946.464531705
IN_A12,2025-10-01,7715419.431835411,1.1874489e+07,10652557.797828266,7810654.972379221
IN_A12,2026-01-01,8942737.460720794,1.247461e+07,10880137.062802033,8349069.691804195
IN_A12,2026-04-01,8822136.79868719,1.3524542e+07,10933849.584710784,8045228.737971494
IN_A12,2026-07-01,9333936.603771983,1.3388089e+07,10888339.520785758,7985997.34564521
IN_A12,2026-10-01,9198833.347933764,1.3634079e+07,11299828.356568491,8000517.838746348
IN_A16,2025-01-01,416965.13615005085,350711.97,372741.9015925507,389353.9802704863
IN_A16,2025-04-01,427467.08534131054,356762.78,339084.1530438644,428849.66484809294
IN_A16,2025-07-01,415372.4221193744,361069.7,403826.69002450525,429127.9395910019
IN_A16,2025-10-01,389789.35545573605,363736.8,385273.6568779621,418785.4140550236
IN_A16,2026-01-01,392751.59626893327,402719.4,422999.40582517005,520148.39134142944
IN_A16,2026-04-01,382232.081207167,395980.8,411883.75804894627,550842.6531632217
IN_A16,2026-07-01,382232.081207167,408525.12,434728.5587649669,541550.691471589
IN_A16,2026-10-01,372470.6764453307,400516.1,433897.5664315514,524193.330311473
IN_B01,2025-01-01,3063686.8305468606,3.0105785e+06,2921533.133640364,3099471.3925040285
IN_B01,2025-04-01,2847650.8260329138,2.8889608e+06,2967494.819558172,3051163.8700931338
IN_B01,2025-07-01,3149457.888077481,2.8586238e+06,2885294.131400769,3085508.8839626256
IN_B01,2025-10-01,3542585.616228386,2.8193778e+06,2849069.300249035,3051994.925536166
IN_B01,2026-01-01,3732396.3351237285,2.8351518e+06,2868653.4224000215,3123318.7529764716
IN_B01,2026-04-01,3787469.625467399,2.8671292e+06,2856707.629881316,3144271.012371927
IN_B01,2026-07-01,3722650.754728999,2.9017462e+06,2778642.440283681,3117121.198787892
IN_B01,2026-10-01,3413827.6590737593,2.8354588e+06,2791543.623944394,3080299.8935964336
IN_B02,2025-01-01,2338057.4133428643,2.370476e+06,2307999.764034057,2078641.5319344995
IN_B02,2025-04-01,2441032.4241992095,2.607157e+06,2423067.2234056797,2122695.0169307496
IN_B02,2025-07-01,2789834.3788043917,2.6631225e+06,2525737.297376191,2092640.8697838732
IN_B02,2025-10-01,2952798.1920874664,2.8877678e+06,2660418.4630302065,2076146.6251874163
IN_B02,2026-01-01,3384590.9398023197,2.934302e+06,2804540.2810874726,2169323.436565992
IN_B02,2026-04-01,3338999.44311678,2.841307e+06,2828694.910379768,2185908.240934327
IN_B02,2026-07-01,3900877.2752573364,2.736668e+06,2751848.2066197656,2166235.254325714
IN_B02,2026-10-01,3680858.135655399,2.8169405e+06,2775077.4390452313,2138467.97975133
IN_B03,2025-01-01,768657.6222583513,799032.6,894560.5979586778,826530.2241176673
IN_B03,2025-04-01,758360.6826462246,798350.44,858421.6580658628,915214.2371506246
IN_B03,2025-07-01,746266.0194242884,851923.8,917928.2428173529,874875.5393408632
IN_B03,2025-10-01,694484.8039245895,797777.94,852298.6473001565,864534.4212909865
IN_B03,2026-01-01,707045.1168594211,844172.7,890193.0729736374,972115.8723368758
IN_B03,2026-04-01,701213.1857571475,849014.94,888411.6138496082,994165.1703728907
IN_B03,2026-07-01,688289.2640488251,858277.75,899735.2032926051,982021.4829081756
IN_B03,2026-10-01,681560.8822162672,861787.0,899790.7548926973,963258.4418471362
IN_B05,2025-01-01,16923719.67580289,1.7169302e+07,14946343.690243317,16255685.25506244
IN_B05,2025-04-01,17205439.96675812,1.6723652e+07,15805935.357953899,14533144.314583018
IN_B05,2025-07-01,17441821.626942806,1.535965e+07,14640629.050466534,15286399.04208382
IN_B05,2025-10-01,16689000.447877463,1.6939314e+07,15689847.777418714,15232596.68368644
IN_B05,2026-01-01,16906695.912125256,1.8059972e+07,15410703.060710715,14958561.389808368
IN_B05,2026-04-01,16648513.82355859,1.8275906e+07,15374174.99060699,15015554.926221222
IN_B05,2026-07-01,16493356.696668012,1.8458908e+07,15316318.10580531,14926629.98605803
IN_B05,2026-10-01,16439166.841482144,1.8480352e+07,15364611.215758432,14767140.91598316
IN_B06,2025-01-01,83241.35804726767,66252.07,65741.41295792682,151822.97781810755
IN_B06,2025-04-01,80819.3855302051,54803.81,62287.465195894256,195674.33207806636
IN_B06,2025-07-01,70928.47050012145,59650.9,59980.16716308677,191974.20870885195
IN_B06,2025-10-01,45345.40383648307,63938.664,58085.98625295186,185187.76026947453
IN_B06,2026-01-01,59027.81816615004,66215.74,57834.883629812946,288741.6085911168
IN_B06,2026-04-01,48508.3031043838,62681.016,58409.78296426084,320108.9400997456
IN_B06,2026-07-01,48508.3031043838,61922.355,58785.89704408163,312643.0443116863
IN_B06,2026-10-01,43141.65564463055,64429.2,59702.64259358457,296951.5380411297
IN_C01,2025-01-01,2574418.748812546,2.7066288e+06,2777156.411623399,3058315.966952986
IN_C01,2025-04-01,2578125.6742126634,2.3503265e+06,2615333.881534555,3061353.171973258
IN_C01,2025-07-01,2799824.09786829,2.3777692e+06,2705715.246857751,3145845.190612295
IN_C01,2025-10-01,2708557.871362153,2.5533872e+06,2818668.277910364,3072739.8452115282
IN_C01,2026-01-01,3034491.699240067,2.6997765e+06,2764345.2779915268,3149434.614185696
IN_C01,2026-04-01,3048514.9701301297,2.6838212e+06,2761378.9414598034,3178939.6659727637
IN_C01,2026-07-01,3096153.7447176296,2.7456068e+06,2790877.6663636738,3145534.756961323
IN_C01,2026-10-01,3081541.576750452,2.725765e+06,2826742.438647967,3109033.795020673
IN_C02,2025-01-01,2772356.5995154595,2.723034e+06,2746485.9697654657,2817888.371346858
IN_C02,2025-04-01,2841197.406350024,2.6846015e+06,2874037.1650119764,2820688.767609721
IN_C02,2025-07-01,3023356.2770953393,2.644798e+06,2804178.061064953,2749298.326168497
IN_C02,2025-10-01,3342790.434414252,2.7542698e+06,2774679.4047477427,2756013.8422665135
IN_C02,2026-01-01,3309938.3626441136,2.738174e+06,2795027.5306589976,2840922.311699559
IN_C02,2026-04-01,3774703.9274587044,2.7773752e+06,2813514.2391988887,2846689.3570840373
IN_C02,2026-07-01,3693263.211095403,2.7482192e+06,2777507.8372572726,2826810.221244041
IN_C02,2026-10-01,3467715.4245288866,2.7414268e+06,2777742.124267891,2794263.4588718642
IN_C03,2025-01-01,4299540.071398783,4.2759425e+06,4220012.319910738,4152885.008364232
IN_C03,2025-04-01,4497595.459950333,4.1648135e+06,4364874.930702225,4223188.8062371425
IN_C03,2025-07-01,4869713.090872856,4.248786e+06,4698339.178996778,4100822.4670480094
IN_C03,2025-10-01,5132773.908350049,4.8145845e+06,5113392.64306396,4096340.19150491
IN_C03,2026-01-01,5171470.289203177,5.003593e+06,5314570.722778542,4185221.775822011
IN_C03,2026-04-01,5318083.0593426535,4.9190145e+06,5516487.758277785,4175895.4919083053
IN_C03,2026-07-01,5665625.32265713,5.249378e+06,5785130.242827325,4146303.501446802
IN_C03,2026-10-01,5743263.615683421,5.353387e+06,6099272.890162268,4107001.5329460674
IN_C04,2025-01-01,64849.48722224917,69555.445,21489.780752361992,128675.14310277667
