unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1622315.742571196,1.7803722e+06,1694217.6366666465,1004366.2651461887
IN_A01,2025-04-01,1893981.2242504852,1.859878e+06,1885619.555546799,1077347.4540531973
IN_A01,2025-07-01,2013920.0382957833,1.7845352e+06,2062382.868711412,1012555.0610976
IN_A01,2025-10-01,2034332.7028435525,1.9057968e+06,2145274.725109009,1041058.590051513
IN_A01,2026-01-01,2098155.3819243535,2.0587632e+06,2196947.2386487084,1165637.3663810529
IN_A01,2026-04-01,2063702.1748641226,2.0625565e+06,2215509.975536683,1204018.3747079142
IN_A01,2026-07-01,2244748.0278380425,2.095954e+06,2338580.3179057213,1221107.9855310968
IN_A01,2026-10-01,2174240.5740824374,2.082732e+06,2464510.898113269,1230949.825380465
IN_A02,2025-01-01,7132596.504081032,7.4310345e+06,7051894.817617042,7052134.414381549
IN_A02,2025-04-01,6659552.54262112,7.4579615e+06,6983187.824749361,7061155.464383809
IN_A02,2025-07-01,6760664.854242213,7.4453805e+06,7037968.471078327,6956666.2071341
IN_A02,2025-10-01,6765741.089141627,7.446134e+06,7045557.236794772,6950696.110022552
IN_A02,2026-01-01,6981124.966643919,7.7499425e+06,7026527.614633541,7032211.3405124955
IN_A02,2026-04-01,6807082.377281375,7.8737435e+06,7108780.923008701,7030990.576418338
IN_A02,2026-07-01,6691445.111342038,7.7196205e+06,7078078.586422351,7009733.915248413
IN_A02,2026-10-01,6613273.633485505,7.599762e+06,7111558.634200227,6980066.160447437
IN_A03,2025-01-01,1869707.013288486,1.9830045e+06,1809905.2117072775,1673371.473221465
IN_A03,2025-04-01,2001461.8648468626,1.8637465e+06,1706355.4928121162,1730108.3994304063
IN_A03,2025-07-01,2065531.7625021914,1.8998082e+06,1785150.0305178536,1718839.570799477
IN_A03,2025-10-01,2093796.4232208803,1.9848975e+06,1778844.851628273,1718221.9690984015
IN_A03,2026-01-01,2075220.0911084919,1.9961738e+06,1912088.1885082468,1834051.2993760952
IN_A03,2026-04-01,2237309.345926204,2.0950468e+06,2011593.0039854208,1877254.29624836
IN_A03,2026-07-01,2194254.386306092,2.1284605e+06,2089840.623192443,1886309.168861988
IN_A03,2026-10-01,2285834.4299118523,2.1937155e+06,2126079.7309418162,1890717.0606733283
IN_A04,2025-01-01,1365425.956029067,1.4075368e+06,1423730.459955655,1482799.2858389902
IN_A04,2025-04-01,1337492.6573869644,1.4065428e+06,1378231.8195262249,1539240.6439522125
IN_A04,2025-07-01,1335305.4436870774,1.4081828e+06,1369306.2436127306,1529695.887549752
IN_A04,2025-10-01,1309406.8385710435,1.402483e+06,1348644.3420678582,1530246.7687076707
IN_A04,2026-01-01,1327555.558537739,1.3990888e+06,1357736.790244125,1647187.7025743956
IN_A04,2026-04-01,1320874.4420516773,1.41937e+06,1356808.9645523368,1691741.642640876
IN_A04,2026-07-01,1318169.3892137683,1.4162812e+06,1356596.2740475866,1702042.449110772
IN_A04,2026-10-01,1296605.4265813527,1.4140435e+06,1349501.2168969598,1707667.990491913
IN_A05,2025-01-01,83818.01864151246,69296.336,57086.34783327515,170010.24831470885
IN_A05,2025-04-01,77693.26088182922,82935.18,58075.149407981335,219358.5120441508
IN_A05,2025-07-01,77709.79537379486,71627.26,57396.241925945265,231134.61008234293
IN_A05,2025-10-01,72343.14791404165,79362.336,58326.61112294216,239275.1219073363
IN_A05,2026-01-01,86539.60597138696,110525.09,58795.53426398935,361996.6628699505
IN_A05,2026-04-01,69828.89090950637,99610.56,58188.94445624003,417069.9378273086
IN_A05,2026-07-01,69327.58626345002,89880.586,58016.97994509468,435887.76173096383
IN_A05,2026-10-01,61757.19061184429,82543.05,57616.357210284266,449552.40724400315
IN_A06,2025-01-01,19490318.00455134,1.864575e+07,19814330.252448294,19983522.09528597
IN_A06,2025-04-01,20343803.566063292,1.7562114e+07,19615110.700766373,20263474.391266055
IN_A06,2025-07-01,24537730.81927254,1.734627e+07,19844899.97379267,19627648.204305567
IN_A06,2025-10-01,24337425.90391639,1.8575268e+07,19815583.02049813,19647821.396969557
IN_A06,2026-01-01,24103495.623810634,1.9014018e+07,19832339.79690518,19714494.290404357
IN_A06,2026-04-01,23978166.414406475,1.93244e+07,19961243.667641994,19558902.15375581
IN_A06,2026-07-01,24016166.127306547,1.9811704e+07,19948985.622555654,19467386.210018706
IN_A06,2026-10-01,24016166.127306547,2.0216828e+07,20112745.237590395,19366657.365873206
IN_A07,2025-01-01,1692770.0356074555,1.4825345e+06,1583773.03751529,1362805.411464662
IN_A07,2025-04-01,1864144.256548287,1.6760812e+06,1799178.235626566,1413455.9067274097
IN_A07,2025-07-01,1955937.4508594216,1.591961e+06,1730596.132935496,1379493.809521642
IN_A07,2025-10-01,1978390.8029002517,1.6420408e+06,1806834.6645516357,1395204.7569797598
IN_A07,2026-01-01,2068318.4142221552,2.0325355e+06,1934633.0429215292,1513113.9467209037
IN_A07,2026-04-01,2045999.0854740192,1.982848e+06,2045175.044911261,1554374.8942978205
IN_A07,2026-07-01,2015185.8135522762,2.0396288e+06,2081818.8347049246,1567708.5658839287
IN_A07,2026-10-01,2002211.1301445644,2.0408645e+06,2109978.011112676,1574395.2680892732
IN_A09,2025-01-01,640377.4108666893,636705.06,544361.316313763,684841.6955366281
IN_A09,2025-04-01,669687.8111270206,651825.0,551030.8829777671,735342.671804674
IN_A09,2025-07-01,730958.8576065662,653171.8,550807.7189883713,734619.6933495081
IN_A09,2025-10-01,724230.4757740082,631995.75,536197.0448637857,742395.7629859428
IN_A09,2026-01-01,736132.8941655498,640008.9,516944.10351089196,862775.1032987451
IN_A09,2026-04-01,725281.7013341303,637210.56,511314.54916546424,913041.148964078
IN_A09,2026-07-01,709652.726787899,637457.2,514515.2077709992,928930.6062170272
IN_A09,2026-10-01,702924.3449553411,618325.3,525173.4855021641,939476.1293836051
IN_A10,2025-01-01,9616986.73697079,1.2045019e+07,10464441.684464244,8762623.651723089
IN_A10,2025-04-01,9200181.577212187,1.1717799e+07,10269659.641191475,8841120.696545659
IN_A10,2025-07-01,9712659.85641958,1.2809234e+07,10945369.388804585,8628393.609624347
IN_A10,2025-10-01,9436374.411700912,1.4112097e+07,10799159.028494217,8635005.08273336
IN_A10,2026-01-01,9810038.17265864,1.2822989e+07,10896485.048611475,8720885.131470457
IN_A10,2026-04-01,10261850.043640962,1.1615399e+07,10716041.668435633,8693276.652319655
IN_A10,2026-07-01,10336648.584305858,1.1369882e+07,10942668.124919934,8663821.430877812
IN_A10,2026-10-01,10250759.254314054,1.2134647e+07,10909181.89091194,8625856.237547694
IN_A11,2025-01-01,513650.898306549,682714.2,623885.9477015529,723492.6200054237
IN_A11,2025-04-01,487725.18668921635,653653.3,644297.5415855617,769925.6871545812
IN_A11,2025-07-01,464263.6363045057,682507.3,633622.4411855729,773518.1203053193
IN_A11,2025-10-01,417803.96008282894,665501.7,653310.4691547217,779932.5281207334
IN_A11,2026-01-01,432112.0865710392,684943.2,659129.5374809752,899310.2474040667
IN_A11,2026-04-01,413210.3623989281,671580.1,677960.305160398,950036.4908243322
IN_A11,2026-07-01,397581.3878526969,693797.56,675988.2854913617,965537.6579599688
IN_A11,2026-10-01,392214.7403929436,677142.25,707598.0283762892,975700.5072619101
IN_A12,2025-01-01,8473659.948289499,1.1307918e+07,10736157.826444076,6912439.577467833
IN_A12,2025-04-01,7769603.880437876,9.683363e+06,9567678.202065857,9713516.168515826
IN_A12,2025-07-01,7058456.242196315,1.0447224e+07,11189362.874447072,7779115.357717307
IN_A12,2025-10-01,6902119.9542549,1.2225782e+07,10804489.654878234,7850825.031618174
IN_A12,2026-01-01,6934632.414560417,1.238217e+07,11136496.84950773,8409027.334393574
IN_A12,2026-04-01,6489994.560733384,1.3243797e+07,11056206.131950362,8128416.723061636
IN_A12,2026-07-01,6490084.183921007,1.3166067e+07,11061742.264076902,8095689.267277116
IN_A12,2026-10-01,6440227.18024232,1.3120019e+07,11575753.764085459,8139748.377556372
IN_A16,2025-01-01,421936.5540463788,355369.62,371609.7950054375,393267.0052886059
IN_A16,2025-04-01,424340.96069293487,365241.0,339440.5485015123,441011.1137483764
IN_A16,2025-07-01,418887.51867136406,365338.56,403228.404146251,453299.86538126064
IN_A16,2025-10-01,413520.8712116108,373239.22,381796.987828961,458958.70315427193
IN_A16,2026-01-01,414793.4075606339,374409.38,417198.1649206331,580113.0139764651
IN_A16,2026-04-01,395891.68338852277,365070.16,404174.4907115331,634046.6932384539
IN_A16,2026-07-01,397581.3878526969,365070.16,429067.7437264682,651258.1117441093
IN_A16,2026-10-01,392214.7403929436,353120.6,428364.47941131034,663446.1416977508
IN_B01,2025-01-01,3084294.521212084,2.9790678e+06,2908597.4666441595,3103384.417522148
IN_B01,2025-04-01,2890258.2954051862,2.8257592e+06,2931799.002343222,3063324.942193844
IN_B01,2025-07-01,3024130.187251089,2.6777738e+06,2759529.2727289367,3109679.513744503
IN_B01,2025-10-01,2990373.7034066655,2.709847e+06,2724865.1740020798,3092165.439604717
IN_B01,2026-01-01,2826526.90593277,2.6632585e+06,2729044.332161285,3183275.6591576394
IN_B01,2026-04-01,2871258.4562153476,2.6623552e+06,2741994.3207262508,3227468.7506903424
IN_B01,2026-07-01,3032778.8286212827,2.6228815e+06,2712064.84899476,3226822.112905068
IN_B01,2026-10-01,2822754.2694947626,2.6007805e+06,2702713.2051779954,3219544.860706417
IN_B02,2025-01-01,2327817.2984429887,2.3840655e+06,2316942.251378603,2082554.556952619
IN_B02,2025-04-01,2426057.714135829,2.6002058e+06,2401395.9561003908,2134856.1868793783
IN_B02,2025-07-01,2653396.5855876114,2.7058518e+06,2529285.410702187,2116812.184039903
IN_B02,2025-10-01,2650156.668922801,2.8434522e+06,2641785.491027943,2116318.9717196226
IN_B02,2026-01-01,2800877.569591741,2.7251795e+06,2689302.826286556,2229283.314515532
IN_B02,2026-04-01,3015610.591839204,2.6844058e+06,2657462.9512601914,2269107.037975292
IN_B02,2026-07-01,3045635.8461913243,2.6341558e+06,2668458.885061001,2275938.034892285
IN_B02,2026-10-01,3016472.7272917884,2.6309155e+06,2673015.5774912685,2277715.1488043186
IN_B03,2025-01-01,767262.7037782778,802529.56,868240.3391404707,830443.2491357869
IN_B03,2025-04-01,758597.5053790477,814604.0,813724.5414220463,927375.0028077002
IN_B03,2025-07-01,753144.0633574771,822840.9,851466.6091356524,899045.7594611815
IN_B03,2025-10-01,724230.4757740082,761351.5,782838.2750051129,904706.1571689188
