unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IN_A01,2025-01-01,1568429.936225439,1.779103e+06,1684629.3111955505,1002409.7526371289,1532439.7031236263
IN_A01,2025-04-01,1836732.4705235292,1.8921435e+06,1885454.2588661953,1071267.1649902458,1700004.7162471307
IN_A01,2025-07-01,1897598.5768815493,1.7897225e+06,2049652.3260022856,1000470.1749183065,1722237.7139939633
IN_A01,2025-10-01,1974283.6793865154,1.9562562e+06,2130400.0531887966,1020973.1652844422,1810194.245969986
IN_A01,2026-01-01,2029244.5344077314,2.1046298e+06,2178167.3289681175,1135658.1900201598,1898954.9842992527
IN_A01,2026-04-01,2039132.9756847145,2.0824362e+06,2189185.024465972,1162419.8666111575,1904881.5379468296
IN_A01,2026-07-01,2011707.7805386044,2.107217e+06,2206126.9073426495,1166257.2718705493,1909918.4786236358
IN_A01,2026-10-01,1991693.9683149494,2.1530785e+06,2288047.581978631,1161326.606308403,1938950.2150186077
IN_A02,2025-01-01,6796918.604748965,7.334613e+06,7008380.445244085,7050177.90187249,7045322.908160994
IN_A02,2025-04-01,6379291.381530135,7.322375e+06,6898603.595881723,7055075.212463437,6907777.811034076
IN_A02,2025-07-01,5615545.152065976,7.3093675e+06,6888462.972638151,6944581.596357249,6688135.518339902
IN_A02,2025-10-01,5648731.431847115,7.3056215e+06,6950614.453223778,6930611.471303964,6710470.44948393
IN_A02,2026-01-01,5673858.168044079,7.782198e+06,6931039.556359778,7002235.386180118,6844022.572285194
IN_A02,2026-04-01,5630456.855256652,7.7823545e+06,6956834.880691879,6989397.618090903,6837997.145230458
IN_A02,2026-07-01,5371414.127162108,7.6498345e+06,6953205.312713075,6954888.322316935,6732473.57375923
IN_A02,2026-10-01,5222904.111689549,7.2761095e+06,6971375.805171674,6910450.641917866,6599081.81697778
IN_A03,2025-01-01,1836060.66632685,1.9928115e+06,1809114.1238391593,1671414.9607124052,1831537.8383202904
IN_A03,2025-04-01,1964452.570504028,1.869766e+06,1708861.9790957,1724027.8146357704,1815321.5499100166
IN_A03,2025-07-01,2034222.4458923128,1.9016885e+06,1781013.6132155121,1706753.8650209277,1857734.8634273137
IN_A03,2025-10-01,2042737.478214644,1.9809025e+06,1779636.9717663887,1698135.640173201,1877144.072464678
IN_A03,2026-01-01,2012947.6859250008,2.001061e+06,1917331.7087995734,1804070.1547271525,1937402.0523988644
IN_A03,2026-04-01,2014412.8333765133,2.0752132e+06,2025436.071211196,1835653.5859524482,1994188.924922113
IN_A03,2026-07-01,2027769.6597315974,2.126421e+06,2060042.7397058622,1831456.6045704784,2019272.223901686
IN_A03,2026-10-01,2007755.8475079425,2.198353e+06,2095964.576577434,1821091.9209870338,2040234.0940722614
IN_A04,2025-01-01,1339216.0102294565,1.4078238e+06,1422095.622561428,1480842.7733299304,1410610.3622022881
IN_A04,2025-04-01,1307919.764206155,1.4311955e+06,1377481.2650296942,1533160.1498629167,1406913.3706285413
IN_A04,2025-07-01,1305214.711368246,1.4295018e+06,1378276.981466597,1517610.2862371695,1402711.9153655912
IN_A04,2025-10-01,1292240.027960534,1.4118862e+06,1355327.9510880825,1510160.5097791394,1386888.1775975751
IN_A04,2026-01-01,1300827.7736001064,1.412579e+06,1372575.8601096163,1617206.49403648,1417200.3397397536
IN_A04,2026-04-01,1286406.5632731288,1.4198142e+06,1366978.599099096,1650140.8474760652,1420858.857154551
IN_A04,2026-07-01,1283701.5104352199,1.4181205e+06,1369840.4856409524,1647189.8150830166,1419964.235152614
IN_A04,2026-10-01,1270726.8270275083,1.4206592e+06,1368994.5070917904,1638042.7423130798,1415155.9755013622
IN_A05,2025-01-01,63577.0004070007,68931.234,56990.26255756278,168053.73580564905,85444.1631419204
