unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IL_A01,2025-01-01,26024.05309477293,25464.55,26551.16183096746,13630.026682303185
IL_A01,2025-04-01,28851.74232019126,25947.24,29668.57441914232,13742.040336039292
IL_A01,2025-07-01,34314.65429275021,33151.05,35726.49154838456,17047.34153230909
IL_A01,2025-10-01,39420.34674604112,41796.23,40444.2622975564,24578.97251060885
IL_A01,2026-01-01,47851.39296479085,47578.246,46446.81593340993,33932.001561917496
IL_A01,2026-04-01,49197.780506930714,50064.35,46811.762179029625,42787.53977360471
IL_A01,2026-07-01,50369.57688290335,52835.49,50645.5906357485,50940.417167898624
IL_A01,2026-10-01,55039.209113471465,54113.637,56464.6879387953,58059.71936266341
IL_A02,2025-01-01,139906.99999062155,140922.69,138642.0586308992,120985.24210242367
IL_A02,2025-04-01,127944.67657798628,130587.05,132581.22523560812,116302.75551840856
IL_A02,2025-07-01,133168.0960828836,139479.5,130186.11260232187,112017.01230638563
IL_A02,2025-10-01,134303.05425236592,131520.69,130178.01317241142,118090.99719905017
IL_A02,2026-01-01,129244.48344076319,130709.47,131549.9234691847,130021.12306154515
IL_A02,2026-04-01,130566.04889705582,126598.03,131608.49566794615,141040.21765164565
IL_A02,2026-07-01,138419.5577717459,128270.69,131801.83281164523,151597.77119688463
IL_A02,2026-10-01,134580.67134344013,124088.984,131655.44650015165,161907.99255772354
IL_A03,2025-01-01,22896.12422125834,21730.89,18654.315331923226,17986.591471675623
IL_A03,2025-04-01,24396.089480333612,21342.332,19133.33964283264,19530.690116815273
IL_A03,2025-07-01,25572.779452423303,22458.627,20724.23271125684,20964.357644764143
IL_A03,2025-10-01,25942.034196442735,23395.197,22344.576886062634,22892.286441506294
IL_A03,2026-01-01,24364.814234795904,23924.95,22093.753745723036,26234.451296569576
IL_A03,2026-04-01,24194.33327486335,24167.28,22910.95438368963,28715.09399188123
IL_A03,2026-07-01,23269.309400889295,24109.312,22690.523507739264,30771.436450506306
IL_A03,2026-10-01,23233.81306667708,23564.818,23339.46403832114,32553.529078182313
IL_A04,2025-01-01,44063.14566303176,46080.09,51289.76621512707,45979.643177125516
IL_A04,2025-04-01,50291.26967225578,46437.28,56855.278621983474,44678.50512099844
IL_A04,2025-07-01,54827.02353423811,49713.13,59218.90116617571,44858.535469282004
IL_A04,2025-10-01,55031.47154103919,51565.797,59762.1091985314,47416.46600217217
IL_A04,2026-01-01,54324.79084555673,56763.293,63360.355407700095,51541.77793958697
IL_A04,2026-04-01,56431.863336282986,53540.824,63143.73060890649,55162.163815404216
IL_A04,2026-07-01,57180.71748399747,56669.754,64501.12964650695,58668.01331175926
IL_A04,2026-10-01,64014.27303773131,56707.773,64184.566083888836,61970.056882874414
IL_A05,2025-01-01,1819.5879743770774,2046.3064,1368.3088644494715,2602.38766450151
IL_A05,2025-04-01,2016.421649806273,2088.3762,1389.008411251287,3530.558370970568
IL_A05,2025-07-01,2219.1628117227797,2282.7317,1400.979378779993,4371.755542141769
IL_A05,2025-10-01,2279.2267226756817,2549.3699,1404.9036961113056,5256.5196430943015
IL_A05,2026-01-01,2469.3891888887674,2774.7466,1429.1015120256588,6951.84882308715
IL_A05,2026-04-01,2347.893740170599,3157.8704,1506.7896251185223,8154.178471971867
IL_A05,2026-07-01,2269.6685464315906,3402.9043,1534.3906747625342,9160.58538532854
IL_A05,2026-10-01,2249.265185366431,3462.846,1547.6799350679485,10061.802724163717
IL_A06,2025-01-01,53705.076191153756,55773.99,65932.47962848973,65442.115030769884
IL_A06,2025-04-01,56815.466790966246,53958.184,64219.91259637723,61125.07284468121
