unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IL_A01,2025-01-01,1114819.1957490256,1.061497e+06,952019.5201359758,799621.831465594
IL_A01,2025-04-01,1630303.3083446661,1.4854661e+06,1103919.34489307,1078040.0121322155
IL_A01,2025-07-01,1708441.765670182,1.6541208e+06,1405946.3628016943,1334354.8615453634
IL_A01,2025-10-01,1913173.143620811,1.9503872e+06,1579140.2804212542,1626988.3586029275
IL_A01,2026-01-01,2275265.517417911,2.1524008e+06,1980178.1556716114,2044774.0899642762
IL_A01,2026-04-01,2447412.3201382556,2.2716175e+06,2001653.4266842627,2357789.0628220113
IL_A01,2026-07-01,2524975.197818721,2.3459052e+06,2498190.422539042,2633259.684604494
IL_A01,2026-10-01,2549974.490061133,2.4456408e+06,2351917.7622366045,2884575.9299934646
IL_A02,2025-01-01,7736462.889814812,7.4850485e+06,8756687.71332297,7377444.067889648
IL_A02,2025-04-01,8376354.248330555,7.2788415e+06,8461815.740951039,7213388.55389432
IL_A02,2025-07-01,8800748.516130392,7.8663055e+06,8251695.569836112,7026927.538170904
IL_A02,2025-10-01,7909701.084992439,7.2456035e+06,7689460.688430203,7178103.03480658
IL_A02,2026-01-01,8386907.103397455,7.877561e+06,8265971.458323313,7763019.6155702
IL_A02,2026-04-01,8714871.706685815,7.967681e+06,8075837.246152122,7962448.536066598
IL_A02,2026-07-01,9000275.66037627,8.111652e+06,8221532.756723868,8233820.686957314
IL_A02,2026-10-01,9573236.086232329,7.9793155e+06,8070396.341179854,8555126.259567913
IL_A03,2025-01-01,1215216.6045549524,1.2618852e+06,1212618.1662359477,1431331.6487630848
IL_A03,2025-04-01,1402110.454551734,1.3525164e+06,1307749.3665534991,1480719.1116160685
IL_A03,2025-07-01,1491269.2881250116,1.3751275e+06,1364295.6859098987,1547468.4917330556
IL_A03,2025-10-01,1586911.272937405,1.459683e+06,1479512.1993273885,1675216.1833268623
IL_A03,2026-01-01,1784942.9379770744,1.5898429e+06,1552535.3023023545,1939947.8244270599
IL_A03,2026-04-01,1734517.0721127368,1.6908054e+06,1707870.209425369,2058517.5230820295
IL_A03,2026-07-01,1819712.7825193426,1.5088206e+06,1876682.5630538522,2193902.21662213
IL_A03,2026-10-01,1796808.4865789195,1.524706e+06,1845676.689551758,2333709.6818736577
IL_A04,2025-01-01,1030000.6224742673,946512.6,1029877.4599994224,1125504.1872068257
IL_A04,2025-04-01,1073594.0719207088,971536.06,1032735.6380842539,1118438.1637407052
IL_A04,2025-07-01,1076492.8975955222,983977.5,1038724.003395068,1157711.3746276377
IL_A04,2025-10-01,1091877.0046439285,966058.1,1007451.5494190434,1241616.1172061553
IL_A04,2026-01-01,1075336.4065019004,895443.5,988937.4520075436,1423559.4938596152
IL_A04,2026-04-01,1044283.9734455205,880062.2,964092.3036950374,1511336.8512235386
IL_A04,2026-07-01,1074994.3476746846,869874.5,952740.0777691611,1618255.0639662552
IL_A04,2026-10-01,1048731.7342895032,865886.9,961225.2238454123,1729347.7139874166
IL_A05,2025-01-01,181681.67344895762,167117.72,118840.16713604823,231401.94040983776
IL_A05,2025-04-01,167840.3231275172,155008.03,113453.18337948828,277120.2279395908
IL_A05,2025-07-01,173656.97245843726,174563.81,123202.74800025772,334956.9024582745
IL_A05,2025-10-01,162494.92262051158,160570.42,132197.73989350567,406443.78832348273
IL_A05,2026-01-01,196399.68036719697,155135.1,129318.1059801519,554131.096276145
IL_A05,2026-04-01,154654.30714074394,140822.06,128244.02650305723,635460.6397885734
IL_A05,2026-07-01,190981.15028239487,163100.19,126082.77546410836,723400.7094332359
IL_A05,2026-10-01,167702.83065553015,164228.77,128068.32996862628,813263.2823848375
IL_A06,2025-01-01,20723316.518696032,1.8743532e+07,21280169.316594858,19401742.459294844
IL_A06,2025-04-01,20611758.243680842,1.7244428e+07,20728102.217395786,20018386.058738813
IL_A06,2025-07-01,20399549.114767205,2.2710278e+07,21285507.57222171,20398702.29709643
IL_A06,2025-10-01,22364472.31108521,2.2597444e+07,21633323.695326205,19073456.559448484
IL_A06,2026-01-01,22272480.480172634,2.2981614e+07,21857895.45611919,18740489.45071182
IL_A06,2026-04-01,22351284.27372309,2.149348e+07,21836195.071059626,18742158.315702632
IL_A06,2026-07-01,22366557.508343678,2.2740554e+07,21857160.665926628,18505692.79910423
IL_A06,2026-10-01,21455568.689748004,2.3810428e+07,21617866.977653686,18347069.116592806
IL_A07,2025-01-01,2064275.7369266108,2.2200115e+06,1758828.8597996698,1837902.0783077227
IL_A07,2025-04-01,2215354.2872800487,2.3550112e+06,2048085.4488209593,1994282.8063447229
IL_A07,2025-07-01,2404804.725140614,2.4415645e+06,2243824.5836737272,2157257.3975265613
IL_A07,2025-10-01,2457646.4422090757,2.4088592e+06,2366255.4324648,2372345.3529714877
IL_A07,2026-01-01,2809050.018762623,2.9193142e+06,2610672.5548651535,2717037.7505985973
IL_A07,2026-04-01,2746939.271566412,2.6929705e+06,2523647.3907425962,2917204.800239227
IL_A07,2026-07-01,2911048.8895053957,2.877544e+06,2835306.2302169497,3113479.250550908
IL_A07,2026-10-01,3125957.9803096135,2.9177125e+06,2969725.394425538,3300761.5532797035
IL_A09,2025-01-01,587225.9293435522,603674.44,571145.1986701285,649319.2963760663
IL_A09,2025-04-01,624048.420323764,621398.06,630643.7656667167,714983.9379972189
IL_A09,2025-07-01,722834.509664929,652871.06,634850.4789901121,794046.0847670746
IL_A09,2025-10-01,801861.8306227915,792960.3,791172.315374345,887581.0112481685
IL_A09,2026-01-01,792876.7339853309,730835.56,741161.2371980832,1056974.471314006
IL_A09,2026-04-01,743713.8343735259,715824.7,778794.3861282233,1154243.1618598364
IL_A09,2026-07-01,746295.7658981795,729222.4,818806.1756982883,1255582.0981256044
IL_A09,2026-10-01,748340.977925618,725234.75,831751.7800976256,1356114.9460163242
IL_A10,2025-01-01,18231529.35650905,1.6364307e+07,15374796.555164665,16188264.269964557
IL_A10,2025-04-01,18896003.963306777,1.5332888e+07,17672992.457303673,16044164.25749433
IL_A10,2025-07-01,18998973.474138346,1.6956642e+07,17978943.07156117,16015589.321143363
IL_A10,2025-10-01,19412386.211801395,1.730648e+07,18479623.295158383,16571449.515531678
IL_A10,2026-01-01,22541730.047707688,1.8560282e+07,18309657.014358215,17883485.238013554
IL_A10,2026-04-01,23548457.828134745,1.7899218e+07,18230473.952486422,18355970.725965306
IL_A10,2026-07-01,22864968.81107633,2.0355592e+07,18774293.89462141,18960888.912530012
IL_A10,2026-10-01,23629287.677660894,2.2472846e+07,18996975.580871195,19610762.161880318
IL_A11,2025-01-01,591695.3693341392,608938.5,622149.0794581,661109.7940941257
IL_A11,2025-04-01,607795.5212125564,651300.7,661015.7543159181,720476.6063104421
IL_A11,2025-07-01,696927.4699336109,727980.2,719431.8552147842,780106.6160536534
IL_A11,2025-10-01,777085.9504878399,800217.7,811303.6577987346,867662.9021403231
IL_A11,2026-01-01,754617.6481472779,747090.56,825120.4851616191,1033871.986680404
IL_A11,2026-04-01,728505.9078278191,715824.7,816318.5249388985,1125183.899387544
IL_A11,2026-07-01,737334.5901615194,729222.4,829401.6633248864,1222323.3530129632
IL_A11,2026-10-01,741227.2733491542,725234.75,832866.2969352659,1321807.250471239
IL_A12,2025-01-01,14101805.130550444,1.42244e+07,11552873.914825937,11374307.762568545
IL_A12,2025-04-01,16034417.062686656,1.6881654e+07,11732462.166266281,9841189.605285238
IL_A12,2025-07-01,15304167.06154357,1.3641562e+07,11990999.447871137,8881790.154875379
IL_A12,2025-10-01,15723066.545724006,1.4591145e+07,12301354.42248883,10228910.672239017
IL_A12,2026-01-01,15484157.263905104,1.5552737e+07,12774057.264512245,10741400.41867558
IL_A12,2026-04-01,15486955.405850949,1.560912e+07,13583781.376063116,11227195.270647
IL_A12,2026-07-01,15736223.55009973,1.7755304e+07,14415154.416325161,12009837.540164955
IL_A12,2026-10-01,15729962.558059271,1.7834512e+07,14305332.865282878,12850741.719696287
IL_A16,2025-01-01,268360.16170738323,298438.25,276144.77486730774,416174.70612414135
IL_A16,2025-04-01,263650.4712188833,276582.16,261432.41400501961,464718.4252905117
IL_A16,2025-07-01,244531.5406526732,315449.28,252533.10652506002,507220.28715890273
IL_A16,2025-10-01,259306.78184719232,287408.62,262365.6689031017,567070.8465520467
IL_A16,2026-01-01,294268.1844641204,279409.72,262394.9442666962,710169.22704952
IL_A16,2026-04-01,250311.79784625128,255571.75,267242.9304633344,784485.6805054503
IL_A16,2026-07-01,280897.1160132649,264291.16,266300.172805908,865284.845713773
IL_A16,2026-10-01,250413.33966821595,244593.8,273666.0431344275,951084.1370479155
IL_B01,2025-01-01,3086008.6688786917,3.1161322e+06,2935256.784368692,3671078.851165928
IL_B01,2025-04-01,3226545.178302662,3.1396435e+06,3050740.332281888,3601083.4000983723
