unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IL_A01,2025-01-01,1108230.6834242432,1.018623e+06,930454.1337206454,718744.9371576295
IL_A01,2025-04-01,1674676.0075331759,1.374659e+06,1054033.591734289,898904.4043669398
IL_A01,2025-07-01,1818833.466633777,1.5877858e+06,1555736.2697250235,1032513.2893129594
IL_A01,2025-10-01,2236682.622670884,1.9237775e+06,1773883.8449607098,1178195.7744669076
IL_A01,2026-01-01,2290615.5383615945,2.18706e+06,2089374.7823969563,1420017.1044752197
IL_A01,2026-04-01,2411124.7497939677,2.3196808e+06,1952951.367172894,1546274.9272639384
IL_A01,2026-07-01,2622135.3689589435,2.2809995e+06,2063969.5640741575,1624396.1477651931
IL_A01,2026-10-01,2691830.9877149435,2.2550502e+06,2119335.0290970327,1670816.63452762
IL_A02,2025-01-01,8124628.046502399,7.5487355e+06,8889966.336945511,7296567.173581684
IL_A02,2025-04-01,8192837.499758058,8.1691165e+06,8626727.80052981,7034578.060398153
IL_A02,2025-07-01,9028486.36043806,9.036024e+06,8825701.278051091,6721351.228331331
IL_A02,2025-10-01,8368605.292301676,8.586946e+06,8171888.131592247,6721601.437663813
IL_A02,2026-01-01,9040189.883969797,9.509069e+06,8750004.910823336,7107508.34442717
IL_A02,2026-04-01,9811830.099867731,9.976843e+06,8734447.847706277,7130509.951124408
IL_A02,2026-07-01,10315306.35837644,1.073283e+07,8952972.579011932,7207515.840847414
IL_A02,2026-10-01,10643051.652184408,1.1235762e+07,9064855.415508043,7322296.898060347
IL_A03,2025-01-01,1168954.434777016,1.2190114e+06,1204579.3872127773,1350454.7544551203
IL_A03,2025-04-01,1439802.3284643558,1.4002326e+06,1353430.3781301917,1303420.9455417367
IL_A03,2025-07-01,1529409.9245360738,1.4872282e+06,1609580.1692862029,1246566.3286324032
IL_A03,2025-10-01,1667778.969658053,1.7373471e+06,1738732.3585182058,1223790.9744894067
IL_A03,2026-01-01,1700105.9449476462,1.7279708e+06,1798142.7042124989,1304770.7767281216
IL_A03,2026-04-01,1704856.3534610725,1.8121904e+06,1772647.9546296622,1240206.7218527407
IL_A03,2026-07-01,1642274.717379939,1.8404958e+06,1750917.7100015476,1177231.8718568878
IL_A03,2026-10-01,1656092.0867937533,1.9750771e+06,1791870.102687238,1106305.3425135787
IL_A04,2025-01-01,966667.9682541927,903638.94,1011305.4191216191,1044627.2928988617
IL_A04,2025-04-01,924343.5695797344,998068.5,961584.8352431518,940608.3308988577
IL_A04,2025-07-01,888393.241238178,1.0900771e+06,934234.4466984104,854850.9094172379
IL_A04,2025-10-01,855705.893299657,1.1012784e+06,932921.5469225341,784954.8774508599
IL_A04,2026-01-01,889747.9555003716,1.163817e+06,939092.4980658401,776240.4316869443
IL_A04,2026-04-01,840149.6566765069,1.1647196e+06,926827.7802474147,677382.1225544764
IL_A04,2026-07-01,856273.0353110238,1.1863432e+06,932391.3376236428,581345.8818567726
IL_A04,2026-10-01,862358.7763605119,1.1823556e+06,938484.7567116244,478213.69286418846
IL_A05,2025-01-01,184005.3265747256,124319.92,117529.36313388572,150525.0461018735
IL_A05,2025-04-01,168280.2723725667,167395.69,112085.65598328614,102568.94278796227
IL_A05,2025-07-01,162140.38396531154,172842.72,119907.14776965618,37534.15443229873
IL_A05,2025-10-01,153163.54509074832,160943.55,121356.44325913367,-46356.42638290685
IL_A05,2026-01-01,159679.59691268293,192757.06,127665.62438364509,-85367.08289778768
IL_A05,2026-04-01,153031.89504371263,185208.7,127111.40914068047,-195564.7674936027
IL_A05,2026-07-01,162793.23420310262,203835.44,126697.56529775645,-314093.1993019382
IL_A05,2026-10-01,165656.02749714957,214375.05,124948.622951693,-440674.6629903371
IL_A06,2025-01-01,20866374.91640131,1.8315076e+07,21004839.0779292,19320865.564986873
IL_A06,2025-04-01,18549547.535620335,1.6718873e+07,19499245.08188588,19839967.567413352
IL_A06,2025-07-01,18943525.77228216,2.1042918e+07,20762621.26009594,20088491.094456203
IL_A06,2025-10-01,19558743.825639617,1.9421422e+07,20888301.054339413,18603578.79787865
IL_A06,2026-01-01,20098925.297440667,1.8066102e+07,21291253.586423535,18086068.02417117
IL_A06,2026-04-01,20061280.816826675,1.6571456e+07,20935302.365913484,17877784.10768053
IL_A06,2026-07-01,20124637.188466247,1.9282202e+07,21149912.164929364,17425371.10499742
IL_A06,2026-10-01,20386042.10000299,1.9717934e+07,20894317.217260625,17041301.7549928
IL_A07,2025-01-01,2062705.214547184,2.177809e+06,1786352.263277925,1757025.1839997573
IL_A07,2025-04-01,2239629.2821080955,2.3238652e+06,2008850.9790215753,1816941.0391539657
IL_A07,2025-07-01,2358103.0020516366,2.376069e+06,2242620.1846141913,1857831.2335613086
IL_A07,2025-10-01,2364050.526340863,2.4007392e+06,2271613.8929009414,1923547.4112520441
IL_A07,2026-01-01,2810336.115161843,2.877818e+06,2717494.31347199,2093400.8762294226
IL_A07,2026-04-01,2879521.9047933505,2.6589142e+06,2547973.3055872913,2106580.3711016835
IL_A07,2026-07-01,2931263.1858970947,2.5742765e+06,2444463.5843077456,2104940.5450661946
IL_A07,2026-10-01,3066025.3768399223,2.523286e+06,2475711.743543247,2086318.3165410254
IL_A09,2025-01-01,595184.3693547363,583680.56,575681.8826702198,568442.4020681023
IL_A09,2025-04-01,679712.1542230299,654435.2,642064.2860180965,540525.6538595245
IL_A09,2025-07-01,735775.8940349278,717670.25,680571.1465879651,497874.8684371782
IL_A09,2025-10-01,860773.516759872,819978.94,788799.4468672305,438669.8616402948
IL_A09,2026-01-01,813348.6848558903,849253.8,782611.1278057704,424387.6736520226
IL_A09,2026-04-01,719870.7849146058,850156.4,806143.0259868822,332349.94689038815
IL_A09,2026-07-01,711355.39400708,856858.4,809742.6231363,229103.8568610216
IL_A09,2026-10-01,706681.7673399638,899595.3,808964.7079360056,114344.03274269006
IL_A10,2025-01-01,17844369.188572742,1.5760022e+07,15327607.99896243,16107387.375656586
IL_A10,2025-04-01,16717788.445608662,1.5676995e+07,17853711.168637164,15865805.703379624
IL_A10,2025-07-01,15683137.219758684,1.6724635e+07,17741877.067967452,15711701.913850706
IL_A10,2025-10-01,15513132.128278172,1.6385231e+07,17805445.333334483,16118183.160310153
IL_A10,2026-01-01,16413130.75040592,1.7460164e+07,17844829.298676264,17247522.274958637
IL_A10,2026-04-01,16428303.673875632,1.6065008e+07,18047941.71375108,17537814.406150505
IL_A10,2026-07-01,16557286.59549988,1.6505906e+07,18272053.57519433,17945323.94040163
IL_A10,2026-10-01,16557286.59549988,1.6352721e+07,18335277.703324392,18389825.680313896
IL_A11,2025-01-01,599653.809345323,588944.56,614667.1583749632,580232.8997861617
IL_A11,2025-04-01,661922.4967732904,689601.9,640447.3552983382,544497.2766915984
IL_A11,2025-07-01,728862.2901609103,751580.0,705615.4095284463,482698.58911007154
IL_A11,2025-10-01,859492.9979280933,819978.94,777984.7414966191,416580.1165579383
IL_A11,2026-01-01,810858.2422937246,849253.8,774934.4359000684,397065.2175266342
IL_A11,2026-04-01,726020.1772302248,838231.75,794575.7075719226,298635.4535877921
IL_A11,2026-07-01,708972.1711046542,856858.4,801662.2194280027,191404.13243928063
IL_A11,2026-10-01,706681.7673399638,899595.3,802281.5817788707,75216.85896504088
IL_A12,2025-01-01,14347867.788405718,1.4720777e+07,11835204.562250396,11293430.868260581
IL_A12,2025-04-01,15203454.407905428,1.666792e+07,11860573.79047515,9662389.12403613
IL_A12,2025-07-01,14534361.711040867,1.2715542e+07,12182863.987367056,8577356.739414934
IL_A12,2025-10-01,14493665.850959036,1.2506717e+07,12810544.561608022,9755672.44425428
IL_A12,2026-01-01,14792080.564182935,1.4695695e+07,13592161.510537015,10084876.890922666
IL_A12,2026-04-01,14792080.564182935,1.3376715e+07,14119564.868424583,10391785.027459431
IL_A12,2026-07-01,14963335.36062759,1.5156425e+07,14384191.141364103,10978193.865488976
IL_A12,2026-10-01,14992742.822634274,1.6625965e+07,14306824.822809571,11614371.942805558
IL_A16,2025-01-01,290093.06414656184,273864.8,273517.9382425456,335297.8118161771
IL_A16,2025-04-01,292914.22077552683,302801.97,262943.1225510534,289206.59119109483
IL_A16,2025-07-01,270797.0825791708,313906.9,255640.96567679802,208363.56746973633
IL_A16,2025-10-01,275172.01206088363,315290.47,264197.88182616717,112743.9786987782
IL_A16,2026-01-01,278697.0503965017,301322.22,256674.29342556075,67309.41520922584
IL_A16,2026-04-01,274883.60153619444,299690.78,264678.6156749253,-51034.87754024973
IL_A16,2026-07-01,273340.17201443936,318317.53,258045.54981361184,-176889.50302795297
