unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IL_A01,2025-01-01,997594.1733310359,1.0171266e+06,937891.7057173905,759183.3843116122,961109.6603273596
IL_A01,2025-04-01,1388339.6882031017,1.2913005e+06,1041533.6716832557,988525.9836449851,1209756.9489105335
IL_A01,2025-07-01,1577567.402562823,1.4005515e+06,1353853.5794914814,1183796.6041053543,1416084.150249736
IL_A01,2025-10-01,1738603.950366361,1.5808272e+06,1556398.0815461772,1402724.7538736975,1601673.643965906
IL_A01,2026-01-01,2093342.269877321,1.8768289e+06,1844034.8428659348,1732558.191725472,1915279.7152131747
IL_A01,2026-04-01,1950048.5618981177,2.041873e+06,1986229.2766629562,1952210.2859738963,1988625.7118665883
IL_A01,2026-07-01,2118534.3286046954,1.9614604e+06,1862879.4042238714,2129001.4677227023,1991316.1084961854
IL_A01,2026-10-01,2124343.609274413,2.0410259e+06,2000760.6075855803,2277875.483883568,2074945.7426428185
IL_A02,2025-01-01,7361477.581995394,7.0804205e+06,8820231.709379967,7337005.6207356695,7748648.751531789
IL_A02,2025-04-01,7396742.034268203,6.6949645e+06,8540447.213656113,7123994.403809647,7536070.965332495
IL_A02,2025-07-01,7835454.386423717,7.002807e+06,8424385.431786178,6874206.193098087,7691494.132158783
IL_A02,2025-10-01,6363067.064383704,6.4253945e+06,7844920.279643344,6950148.170523561,6916162.350204925
IL_A02,2026-01-01,7554617.903223106,7.2606595e+06,8427193.987893986,7435867.651018684,7739653.137805731
IL_A02,2026-04-01,7618895.360340979,7.198922e+06,8314828.893892162,7548043.50717714,7714850.9101751335
IL_A02,2026-07-01,7658337.164846703,7.579286e+06,8512739.08915839,7721528.428259221,7917408.853441187
IL_A02,2026-10-01,6965949.00848667,7.101775e+06,8356197.796503974,7939774.934914402,7547921.869621926
IL_A03,2025-01-01,1104122.372658532,1.217515e+06,1186148.8291051479,1390893.201609103,1191084.3269585648
IL_A03,2025-04-01,1327464.7101967116,1.3131046e+06,1296486.009402154,1392141.624838219,1319491.3309621373
IL_A03,2025-07-01,1296524.0735214376,1.3246596e+06,1345005.2801303156,1397339.1425506305,1330033.1718240876
IL_A03,2025-10-01,1500666.0507482025,1.349653e+06,1443454.3202171754,1450061.4599867556,1433448.0643632326
IL_A03,2026-01-01,1714825.69461443,1.4620578e+06,1475156.2186647048,1627575.2365466198,1555587.2363109433
IL_A03,2026-04-01,1660021.6697107311,1.5627664e+06,1505392.7629645679,1652463.6537250588,1581088.7462472883
IL_A03,2026-07-01,1774523.2596215073,1.6471811e+06,1556404.2733057456,1688969.7885919465,1658855.8087874183
IL_A03,2026-10-01,1746315.8945993455,1.6585372e+06,1609146.8141303465,1725990.8812010405,1674551.4383302012
IL_A04,2025-01-01,895862.1812360073,902142.56,1007127.1030419773,1085065.7400528435,951781.1942483267
IL_A04,2025-04-01,856745.8157682817,945808.2,953437.6525813163,1029645.395788325,930448.6006672556
IL_A04,2025-07-01,848244.7057397236,892912.3,876037.2212100612,1007031.4737003611,885437.6690343295
IL_A04,2025-10-01,840510.5814748124,870374.0,894984.490526368,1015352.9559226965,883560.5396086151
IL_A04,2026-01-01,855509.6133093295,865439.94,912427.0263071462,1105416.926926034,900759.1574064837
IL_A04,2026-04-01,817620.402340068,866342.5,891867.8175658194,1102669.4757108735,883112.020875643
IL_A04,2026-07-01,838037.6260497319,874842.3,906866.8782593827,1110633.2271749114,897121.1445358304
IL_A04,2026-10-01,835138.9498484256,870854.7,912310.1210471295,1118690.1419702405,897651.7627158907
IL_A05,2025-01-01,134184.92033416906,124178.33,117546.48410785597,190963.49325585552,131350.7741556275
IL_A05,2025-04-01,164026.22376486074,117485.35,111446.74772052452,189954.35310086538,136006.2346370503
IL_A05,2025-07-01,177944.5991627384,125985.3,119428.73702366737,187074.74317505397,144820.7772521117
IL_A05,2025-10-01,167628.82041328622,121284.836,120577.24737278448,182861.50720384554,140425.3596249842
IL_A05,2026-01-01,192467.37644886985,128641.62,126957.27355446917,242746.14981807768,157584.39821217497
IL_A05,2026-04-01,168370.39205535478,124684.1,127417.73325519756,230665.44108130038,148424.95240503014
IL_A05,2026-07-01,193692.1778828689,133184.05,126482.74425499552,219367.96483605728,156863.65824916118
IL_A05,2026-10-01,176151.3354768965,129196.37,125769.39339954035,205698.5591661057,149068.09878925115
IL_A06,2025-01-01,20263421.07856539,1.8288374e+07,20893646.072944254,19361304.01214086,19806506.046746667
IL_A06,2025-04-01,18010432.37787211,1.6568617e+07,19610480.870600436,19929180.84909773,18292397.113998953
IL_A06,2025-07-01,18223258.50838661,2.0504534e+07,20637901.115071513,20243610.96585103,19859976.60210982
IL_A06,2025-10-01,18040280.79590043,1.8011546e+07,20704174.946943406,18838630.975316312,18968996.010062423
IL_A06,2026-01-01,19821360.16525798,1.6752149e+07,21250075.380922902,18413789.86921258,19255915.404169112
IL_A06,2026-04-01,19524872.417295117,1.5468605e+07,20906342.810340714,18310310.44564648,18675860.251972057
IL_A06,2026-07-01,19762901.726794798,1.7769064e+07,21064476.278921444,17966010.675514616,19431523.092867102
IL_A06,2026-10-01,18995941.214668967,1.5560603e+07,20786824.10544116,17694713.829422627,18451291.54506621
IL_A07,2025-01-01,1961812.5652268291,2.1763128e+06,1750126.3744347026,1797463.63115374,1939997.456091827
IL_A07,2025-04-01,2167066.7921758867,2.234203e+06,2010743.7561246904,1905684.2416118444,2111001.8326728498
IL_A07,2025-07-01,2265930.5102028395,2.2658768e+06,2189809.355300021,2007796.7429761863,2216558.608820324
IL_A07,2025-10-01,2183075.208913582,2.2411398e+06,2274313.7053313493,2148185.665681227,2226071.1626741346
IL_A07,2026-01-01,2550292.4868127974,2.7662465e+06,2575055.282634938,2405384.51417127,2607140.442257805
IL_A07,2026-04-01,2676970.4260469927,2.598697e+06,2380838.87069591,2512120.5306977164,2542754.285373455
IL_A07,2026-07-01,2522662.965390635,2.449818e+06,2400890.5381553145,2609484.9926012596,2470492.29828699
IL_A07,2026-10-01,2404446.13114215,2.4128218e+06,2767070.018579848,2694093.595594639,2551803.0169161293
IL_A09,2025-01-01,544505.7706748487,559304.4,568495.4492775163,608880.849222084,562731.850339751
IL_A09,2025-04-01,625794.7056706228,590926.3,629862.7448141378,627822.9134466916,617171.0140543956
IL_A09,2025-07-01,653527.3681014571,591082.5,618614.4483926672,646277.9757361065,623408.8964176442
IL_A09,2025-10-01,766573.4321614864,611131.1,734862.0581219236,664334.584572918,701350.7890686423
IL_A09,2026-01-01,760005.6222496044,625779.6,705847.2306088998,746383.3090130938,702200.504945487
IL_A09,2026-04-01,711678.4572637815,630372.8,744619.2725467685,750152.6672024559,702383.9220809438
IL_A09,2026-07-01,702650.8709322194,684079.1,764224.7387947269,752270.470902859,721904.1722638321
IL_A09,2026-10-01,695286.1227626649,692435.6,801937.5174125427,749648.0427640697,734123.3116572944
IL_A10,2025-01-01,17209019.60292045,1.5299451e+07,15290566.804784073,16147825.822810572,15932621.602712253
IL_A10,2025-04-01,15546303.696064698,1.5060303e+07,17704033.56713441,15954991.454667732,16141259.109908437
IL_A10,2025-07-01,15006475.141006691,1.5781983e+07,17776303.789227135,15863683.068672914,16208758.769532762
IL_A10,2025-10-01,15073535.231768142,1.5530398e+07,17874756.502315033,16344903.316421472,16233104.096086103
IL_A10,2026-01-01,15619469.145242326,1.6766829e+07,17710777.670033474,17566732.55157758,16815232.631666113
IL_A10,2026-04-01,15616923.100463187,1.5392744e+07,17958085.56632694,17947394.169616356,16531609.53990221
IL_A10,2026-07-01,15751888.920694182,1.6579365e+07,18311956.35695254,18453629.19255974,17078505.284354255
IL_A10,2026-10-01,15751888.920694182,1.6119921e+07,18371042.86574604,19000921.498340946,17016595.99412257
IL_A11,2025-01-01,548975.2106654354,564568.44,612657.0723555807,620671.3469401435,580955.6068111792
IL_A11,2025-04-01,594182.5487404964,596190.3,622198.6775909271,632712.4919638322,607512.4689758525
IL_A11,2025-07-01,623417.7612531518,591082.5,638206.6540503041,631972.9438897006,619619.3795754773
IL_A11,2025-10-01,751579.1247947535,629215.4,758148.6070805766,643879.5839357825,707809.787718659
IL_A11,2026-01-01,698164.6849528351,625779.6,725445.562589679,722837.9538145226,688309.9246090954
IL_A11,2026-04-01,701877.5083630424,675579.3,760826.0194405387,720478.1847944723,715061.2632250665
IL_A11,2026-07-01,744462.1918165073,684079.1,794777.7809027481,718555.8243101907,740682.2658164265
IL_A11,2026-10-01,709200.2364606524,692435.6,793459.7824810488,714810.6751716288,732083.5914273306
IL_A12,2025-01-01,13572398.175052913,1.4220178e+07,11476314.076903997,11333869.315414563,12868789.361459158
IL_A12,2025-04-01,14595441.706728835,1.6058456e+07,11288083.898436898,9751791.524272326,13487511.088070387
IL_A12,2025-07-01,13496910.185602266,1.1365857e+07,11342868.618929097,8729642.74717145,11724449.708326668
IL_A12,2025-10-01,13188388.237168944,9.96949e+06,11627600.1135448,9992333.736008901,11442200.716692751
IL_A12,2026-01-01,13138845.1830184,1.0688323e+07,11713627.159325665,10413406.104113914,11704884.815927839
IL_A12,2026-04-01,13119881.026102813,9.627217e+06,11790509.471740196,10810018.189463723,11453922.262328828
