unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,36585.91307887443,38171.973,44110.1920621499,23213.51809196051
IN_A01,2025-04-01,43373.56313231752,44967.344,50638.56025414947,17641.255816991597
IN_A01,2025-07-01,53422.653053907736,49805.69,50236.44685703648,16061.865444413997
IN_A01,2025-10-01,56427.85119355367,60675.273,52911.60696845037,12709.386214105387
IN_A01,2026-01-01,60837.03574430617,67666.53,53053.224815517235,13390.981684307906
IN_A01,2026-04-01,62348.28874533246,67777.98,54866.94756826613,14367.092938162343
IN_A01,2026-07-01,64581.47146129726,68982.58,56979.864158953686,16700.41338916104
IN_A01,2026-10-01,64806.98471186857,69949.37,60330.848327066284,19652.58788141624
IN_A02,2025-01-01,124384.80002478926,131449.89,125494.62890514694,119840.6669120114
IN_A02,2025-04-01,128057.63752585257,126416.23,124231.05952702959,115042.91280518273
IN_A02,2025-07-01,129281.04933910554,121379.53,124175.77696838102,111626.97039755298
IN_A02,2025-10-01,132042.6775496418,125492.43,124234.89137423466,108812.28267292792
IN_A02,2026-01-01,132539.412658753,128536.07,125508.11457603231,109381.08089017111
IN_A02,2026-04-01,133667.4104896372,132891.7,126108.36983253485,109989.41442059657
IN_A02,2026-07-01,133030.08049356012,132514.44,127138.8645101871,111686.05370377681
IN_A02,2026-10-01,133111.88767197676,133043.0,126499.07701157134,114213.53466217626
IN_A03,2025-01-01,20413.732268067386,19372.02,19350.77820848965,19533.7576247153
IN_A03,2025-04-01,21286.891986279785,19156.47,20098.819946605287,19857.177435335423
IN_A03,2025-07-01,21429.45535012671,21391.797,20675.5318036306,20271.791941345728
IN_A03,2025-10-01,21172.235205371297,23759.92,20782.997617371668,20540.171100765598
IN_A03,2026-01-01,21168.033263554862,21039.953,20761.87981452303,22475.046359160708
IN_A03,2026-04-01,21207.789727406165,24388.412,21237.451148790675,23565.83094819027
IN_A03,2026-07-01,21266.808057902148,22909.924,21928.940688467635,24595.521637363847
