unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,36287.717857809024,39949.184,42605.3077609605,22900.330389196413
IN_A01,2025-04-01,41545.05126727772,42576.78,46423.266229153,16733.595695894746
IN_A01,2025-07-01,39714.21741080175,42828.367,44919.61499995483,14318.013839124666
IN_A01,2025-10-01,40954.11228708118,49232.906,46374.33475689145,9897.925943501783
IN_A01,2026-01-01,42481.747042114715,43519.13,46875.9442644777,9291.371168327092
IN_A01,2026-04-01,46700.75648861655,48377.6,46238.81711350483,8799.645955034626
IN_A01,2026-07-01,42955.89056319435,46688.363,46301.54738680624,9556.429495011193
IN_A01,2026-10-01,46984.41771348934,46730.59,46131.66197568194,11005.330327716276
IN_A02,2025-01-01,125959.63746457014,138008.08,126466.19915589812,119527.4792092473
IN_A02,2025-04-01,129109.5900761148,133143.84,125463.53628483154,114135.1243125951
IN_A02,2025-07-01,132220.96619710774,136386.03,127841.01143673983,109882.23324277226
IN_A02,2025-10-01,133170.5940053713,135677.64,128074.17196586671,105998.3985755165
IN_A02,2026-01-01,135917.36194262968,140266.73,129543.89770968574,105278.69819336392
IN_A02,2026-04-01,132316.67951490663,140494.8,129663.31364429033,104421.04504862653
IN_A02,2026-07-01,132840.87172379566,144749.77,129546.70258498436,104532.21450680667
IN_A02,2026-10-01,133268.7366563248,144509.12,128945.88379337125,105506.03764627634
IN_A03,2025-01-01,20534.991868147237,18801.045,19276.36779565842,19220.569921951203
IN_A03,2025-04-01,20886.08113541887,19382.934,19350.001008446554,18955.83490664711
IN_A03,2025-07-01,20384.35701121691,19621.541,19869.331226087896,18556.98981077462
IN_A03,2025-10-01,20359.01243663073,19780.82,19493.033228505257,17827.620163844655
IN_A03,2026-01-01,20714.550450795094,18342.26,19294.843858735785,18493.86238923673
IN_A03,2026-04-01,20792.222943997884,19630.164,19810.819508256423,18223.24766141243
IN_A03,2026-07-01,20797.528210880442,19701.375,19797.96648878848,17770.169539753806
IN_A03,2026-10-01,20481.143067190565,19459.88,19655.408746314846,17130.85525879999
IN_A04,2025-01-01,68765.78954542139,70952.39,61691.997835345755,61237.585840269836
IN_A04,2025-04-01,67583.89545726443,73403.69,59684.699968520225,57362.94078936202
IN_A04,2025-07-01,65586.84029367572,74206.836,56212.07553513994,54423.907154910055
IN_A04,2025-10-01,62489.126255173396,75336.23,55102.47470854881,51366.800901575785
IN_A04,2026-01-01,59857.551463918,76663.984,56055.037056222376,49980.92041856139
IN_A04,2026-04-01,57493.23455845184,79318.28,56088.39136042397,47854.78888546829
IN_A04,2026-07-01,56834.84095136866,82722.2,56606.05885463308,46058.182073405296
IN_A04,2026-10-01,57631.49754392646,83092.57,57024.7746371778,44532.23529819479
IN_A05,2025-01-01,1198.9081214067442,816.5941,579.8515921688454,1341.9216654738548
IN_A05,2025-04-01,1394.2679037428618,850.7457,582.06556554499,1172.926240277121
IN_A05,2025-07-01,1302.800960792011,1033.656,598.6535880505373,729.315169057636
IN_A05,2025-10-01,1295.7351781120242,799.4873,599.0761466546143,23.828695709743442
IN_A05,2026-01-01,1352.1385866965559,886.3111,640.8156188045779,414.4405879002288
IN_A05,2026-04-01,916.1631879794287,614.31055,662.584112985932,-205.17566459398586
IN_A05,2026-07-01,646.4573113283535,894.66656,675.7767357085738,-1098.8609926465688
IN_A05,2026-10-01,861.7516274821772,500.68442,695.7023211501746,-2244.2969918801546
IN_A06,2025-01-01,114874.50375699617,127422.38,120356.56891702564,118663.96367335711
IN_A06,2025-04-01,117172.4901584774,132724.33,120878.29959239386,107102.37884651683
IN_A06,2025-07-01,119021.53640456643,133124.8,120496.91911690343,100530.90439279993
IN_A06,2025-10-01,118097.14867379815,137527.56,119568.90298652039,91620.57495031293
IN_A06,2026-01-01,119627.28392695091,133473.77,121248.31121729659,86287.85918564734
IN_A06,2026-04-01,115127.80839491375,137159.05,120405.30738890142,79340.55106365612
IN_A06,2026-07-01,115074.58908890432,137434.86,119429.68565363492,73531.85073021993
IN_A06,2026-10-01,117205.97038978708,136966.52,118074.587767132,68390.53319041853
IN_A07,2025-01-01,39556.89903168257,38826.37,37001.839392045884,26694.9561655761
IN_A07,2025-04-01,45682.68904088074,40922.777,40992.52490230065,26231.907283805747
IN_A07,2025-07-01,48099.20556342227,40266.36,40432.35679518642,25816.524437846587
IN_A07,2025-10-01,48092.596385618104,43260.45,41890.544555501554,24265.531978423925
IN_A07,2026-01-01,47478.01182934246,49326.18,44877.932219610484,26463.06550985625
IN_A07,2026-04-01,46616.810777623105,43854.863,46032.73269622954,27912.13803145758
IN_A07,2026-07-01,46755.611506188296,49304.992,46004.24586031018,29530.92716982377
IN_A07,2026-10-01,46654.62387612166,44663.188,46470.6071838721,31178.339334612858
IN_A09,2025-01-01,2632.179631684053,2354.7915,2234.0689803924683,2733.9668926079567
IN_A09,2025-04-01,2572.09962049249,2471.2788,2322.335494185752,2568.173640584858
IN_A09,2025-07-01,2542.5853674890386,2471.2788,2294.191198339694,2119.7810903810523
IN_A09,2025-10-01,2545.7938568763084,2257.9062,2246.193286171306,1400.2485895166792
IN_A09,2026-01-01,2819.9993707817234,2425.5193,2353.7547837595675,1816.5514966554392
