unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1622315.742571196,1.5454229e+06,1694217.6366666472,1004366.2651461887
IN_A01,2025-04-01,1893981.2242504852,1.8708846e+06,1885619.5555467985,1077347.4540531973
IN_A01,2025-07-01,2013920.0382957833,1.8795015e+06,2062382.868711411,1012555.0610976
IN_A01,2025-10-01,2034332.7028435525,1.8765429e+06,2145274.72510901,1041058.590051513
IN_A01,2026-01-01,2098155.3819243535,1.9981755e+06,2196947.2386487094,1165637.3663810529
IN_A01,2026-04-01,2063702.1748641226,2.0497951e+06,2215509.975536683,1204018.3747079142
IN_A01,2026-07-01,2244748.0278380425,2.042384e+06,2338580.317905721,1221107.9855310968
IN_A01,2026-10-01,2174240.5740824374,2.1757425e+06,2464510.898113268,1230949.825380465
IN_A02,2025-01-01,7132596.504081032,6.9924865e+06,7051894.817617042,7052134.414381549
IN_A02,2025-04-01,6659552.54262112,6.628713e+06,6983187.824749361,7061155.464383809
IN_A02,2025-07-01,6760664.854242213,6.303238e+06,7037968.471078327,6956666.2071341
IN_A02,2025-10-01,6765741.089141627,6.2439335e+06,7045557.236794773,6950696.110022552
IN_A02,2026-01-01,6981124.966643919,6.6506515e+06,7026527.61463354,7032211.3405124955
IN_A02,2026-04-01,6807082.377281375,6.6503765e+06,7108780.923008704,7030990.576418338
IN_A02,2026-07-01,6691445.111342038,6.2710045e+06,7078078.586422351,7009733.915248413
IN_A02,2026-10-01,6613273.633485505,5.9115945e+06,7111558.634200227,6980066.160447437
IN_A03,2025-01-01,1869707.013288486,1.8881088e+06,1809905.211707278,1673371.473221465
IN_A03,2025-04-01,2001461.8648468626,1.9234764e+06,1706355.4928121169,1730108.3994304063
IN_A03,2025-07-01,2065531.7625021914,1.9346179e+06,1785150.0305178536,1718839.570799477
IN_A03,2025-10-01,2093796.4232208803,1.9882994e+06,1778844.8516282728,1718221.9690984015
IN_A03,2026-01-01,2075220.0911084919,1.9791049e+06,1912088.1885082477,1834051.2993760952
IN_A03,2026-04-01,2237309.345926204,2.0589826e+06,2011593.0039854208,1877254.29624836
IN_A03,2026-07-01,2194254.386306092,2.182555e+06,2089840.623192443,1886309.168861988
IN_A03,2026-10-01,2285834.4299118523,2.2221285e+06,2126079.730941816,1890717.0606733283
IN_A04,2025-01-01,1365425.956029067,1.4312319e+06,1423730.459955655,1482799.2858389902
IN_A04,2025-04-01,1337492.6573869644,1.4054631e+06,1378231.8195262253,1539240.6439522125
IN_A04,2025-07-01,1335305.4436870774,1.3637285e+06,1369306.2436127306,1529695.887549752
IN_A04,2025-10-01,1309406.8385710435,1.3489694e+06,1348644.3420678584,1530246.7687076707
IN_A04,2026-01-01,1327555.558537739,1.3969219e+06,1357736.7902441248,1647187.7025743956
IN_A04,2026-04-01,1320874.4420516773,1.3727909e+06,1356808.9645523366,1691741.642640876
IN_A04,2026-07-01,1318169.3892137683,1.3564265e+06,1356596.2740475868,1702042.449110772
IN_A04,2026-10-01,1296605.4265813527,1.2723709e+06,1349501.21689696,1707667.990491913
IN_A05,2025-01-01,83818.01864151246,104202.4,57086.34783327515,170010.24831470885
IN_A05,2025-04-01,77693.26088182922,84520.99,58075.149407981335,219358.5120441508
IN_A05,2025-07-01,77709.79537379486,84520.99,57396.24192594527,231134.61008234293
IN_A05,2025-10-01,72343.14791404165,69761.79,58326.61112294216,239275.1219073363
IN_A05,2026-01-01,86539.60597138696,120565.21,58795.53426398935,361996.6628699505
IN_A05,2026-04-01,69828.89090950637,92028.37,58188.94445624003,417069.9378273086
IN_A05,2026-07-01,69327.58626345002,92028.37,58016.97994509468,435887.76173096383
IN_A05,2026-10-01,61757.19061184429,69761.79,57616.35721028425,449552.40724400315
IN_A06,2025-01-01,19490318.00455134,1.836024e+07,19814330.252448283,19983522.09528597
IN_A06,2025-04-01,20343803.566063292,1.7843392e+07,19615110.700766377,20263474.391266055
IN_A06,2025-07-01,24537730.81927254,1.7816824e+07,19844899.973792665,19627648.204305567
IN_A06,2025-10-01,24337425.90391639,1.9099048e+07,19815583.02049813,19647821.396969557
IN_A06,2026-01-01,24103495.623810634,2.0213606e+07,19832339.796905186,19714494.290404357
IN_A06,2026-04-01,23978166.414406475,2.1939802e+07,19961243.667641994,19558902.15375581
IN_A06,2026-07-01,24016166.127306547,2.5316068e+07,19948985.622555654,19467386.210018706
IN_A06,2026-10-01,24016166.127306547,2.3608668e+07,20112745.2375904,19366657.365873206
IN_A07,2025-01-01,1692770.0356074555,1.7617969e+06,1583773.03751529,1362805.411464662
IN_A07,2025-04-01,1864144.256548287,1.8575485e+06,1799178.235626566,1413455.9067274097
IN_A07,2025-07-01,1955937.4508594216,1.8489041e+06,1730596.1329354958,1379493.809521642
IN_A07,2025-10-01,1978390.8029002517,1.8134609e+06,1806834.6645516353,1395204.7569797598
IN_A07,2026-01-01,2068318.4142221552,1.9122162e+06,1934633.0429215296,1513113.9467209037
IN_A07,2026-04-01,2045999.0854740192,1.9214025e+06,2045175.0449112612,1554374.8942978205
IN_A07,2026-07-01,2015185.8135522762,1.904885e+06,2081818.8347049241,1567708.5658839287
IN_A07,2026-10-01,2002211.1301445644,1.9085986e+06,2109978.0111126755,1574395.2680892732
IN_A09,2025-01-01,640377.4108666893,674799.94,544361.316313763,684841.6955366281
IN_A09,2025-04-01,669687.8111270206,646648.3,551030.882977767,735342.671804674
IN_A09,2025-07-01,730958.8576065662,678031.0,550807.7189883712,734619.6933495081
IN_A09,2025-10-01,724230.4757740082,666018.7,536197.0448637855,742395.7629859428
IN_A09,2026-01-01,736132.8941655498,675241.9,516944.103510892,862775.1032987451
IN_A09,2026-04-01,725281.7013341303,651110.9,511314.549165464,913041.148964078
IN_A09,2026-07-01,709652.726787899,644575.44,514515.20777099894,928930.6062170272
IN_A09,2026-10-01,702924.3449553411,629816.2,525173.4855021641,939476.1293836051
IN_A10,2025-01-01,9616986.73697079,1.0717533e+07,10464441.684464239,8762623.651723089
IN_A10,2025-04-01,9200181.577212187,1.148789e+07,10269659.641191475,8841120.696545659
IN_A10,2025-07-01,9712659.85641958,1.1887983e+07,10945369.388804585,8628393.609624347
IN_A10,2025-10-01,9436374.411700912,1.2788e+07,10799159.028494215,8635005.08273336
IN_A10,2026-01-01,9810038.17265864,1.1547431e+07,10896485.048611475,8720885.131470457
IN_A10,2026-04-01,10261850.043640962,1.1068239e+07,10716041.668435633,8693276.652319655
IN_A10,2026-07-01,10336648.584305858,1.072105e+07,10942668.12491993,8663821.430877812
IN_A10,2026-10-01,10250759.254314054,1.0906646e+07,10909181.890911942,8625856.237547694
IN_A11,2025-01-01,513650.898306549,511137.94,623885.947701553,723492.6200054237
IN_A11,2025-04-01,487725.18668921635,506801.56,644297.5415855616,769925.6871545812
IN_A11,2025-07-01,464263.6363045057,491742.66,633622.441185573,773518.1203053193
IN_A11,2025-10-01,417803.96008282894,491448.75,653310.4691547217,779932.5281207334
IN_A11,2026-01-01,432112.0865710392,454355.38,659129.537480975,899310.2474040667
IN_A11,2026-04-01,413210.3623989281,415864.94,677960.3051603979,950036.4908243322
IN_A11,2026-07-01,397581.3878526969,449320.62,675988.2854913616,965537.6579599688
IN_A11,2026-10-01,392214.7403929436,434561.44,707598.028376289,975700.5072619101
