unique_id,best_model,consistency_ratio,confidence,win_count,n_windows,avg_mae
MI_A01,LightGBM,0.5,Medium,1,2,59609.653801440916
MI_A02,XGBoost,0.5,Medium,1,2,41035.6884765625
MI_A03,LightGBM,0.5,Medium,1,2,2028.5509441729835
MI_A04,Ridge,1.0,High,2,2,11287.103735794753
MI_A05,RandomForest,1.0,High,2,2,141.58149471002855
MI_A06,Ridge,1.0,High,2,2,10521.687279284324
MI_A07,LightGBM,0.5,Medium,1,2,23113.03123057902
MI_A09,LightGBM,0.5,Medium,1,2,94.95236319646656
MI_A10,XGBoost,0.5,Medium,1,2,36249.56640625
MI_A11,Ridge,1.0,High,2,2,6340.425952585971
MI_A12,LightGBM,0.5,Medium,1,2,10592.634854421729
MI_A16,RandomForest,1.0,High,2,2,89.93884606115085
MI_B01,XGBoost,1.0,High,2,2,15437.9453125
MI_B02,LightGBM,0.5,Medium,1,2,2020.1115738449312
MI_B03,RandomForest,0.5,Medium,1,2,13471.806952322317
MI_B05,RandomForest,1.0,High,2,2,13826.794527517832
MI_B06,LightGBM,0.5,Medium,1,2,476.0594343347138
MI_C01,XGBoost,0.5,Medium,1,2,17627.209716796875
MI_C02,XGBoost,0.5,Medium,1,2,7047.798095703125
MI_C03,LightGBM,0.5,Medium,1,2,30459.583394698246
MI_C04,XGBoost,1.0,High,2,2,145.53442573547363
MI_C05,RandomForest,0.5,Medium,1,2,6961.410587172454
MI_C07,XGBoost,0.5,Medium,1,2,29969.3193359375
MI_C08,LightGBM,0.5,Medium,1,2,11352.821304851965
MI_C09,XGBoost,0.5,Medium,1,2,42103.8720703125
MI_C10,XGBoost,0.5,Medium,1,2,16263.380859375
MI_D01,LightGBM,0.5,Medium,1,2,10534.993942472278
MI_D02,RandomForest,1.0,High,2,2,6430.782591857609
MI_D04,XGBoost,0.5,Medium,1,2,5143.1302490234375
MI_D05,RandomForest,1.0,High,2,2,1020.2952834381617
MI_D06,XGBoost,0.5,Medium,1,2,22116.100646972656
MI_D07,Ridge,1.0,High,2,2,44402.642172642336
MI_D08,XGBoost,1.0,High,2,2,8543.972640991211
MI_D10,Ridge,1.0,High,2,2,13560.817661766006
MI_D11,LightGBM,0.5,Medium,1,2,4399.592873630579
MI_G01,LightGBM,0.5,Medium,1,2,18920.07326190246
MI_G02,LightGBM,0.5,Medium,1,2,30272.859021029308
MI_G03,RandomForest,0.5,Medium,1,2,11313.169524294284
MI_G04,LightGBM,1.0,High,2,2,7056.988485289692
MI_H01,RandomForest,1.0,High,2,2,193.94896368912237
MI_H02,LightGBM,0.5,Medium,1,2,19807.38342063564
MI_H03,RandomForest,1.0,High,2,2,8546.045181751368
MI_H04,RandomForest,1.0,High,2,2,121.04702551290328
MI_H05,XGBoost,1.0,High,2,2,128.7226161956787
MI_J01,XGBoost,0.5,Medium,1,2,77902.400390625
MI_J02,XGBoost,0.5,Medium,1,2,7970.9300537109375
MI_J04,LightGBM,0.5,Medium,1,2,185.84355753969825
MI_J05,RandomForest,1.0,High,2,2,10074.211788288432
MI_J06,LightGBM,0.5,Medium,1,2,435.7913742622455
MI_L01,RandomForest,1.0,High,2,2,1958.9094745835894
MI_L02,XGBoost,0.5,Medium,1,2,11665.076782226562
MI_L03,LightGBM,0.5,Medium,1,2,309.2702354893652
MI_L04,XGBoost,0.5,Medium,1,2,3210.54541015625
MI_M01,LightGBM,0.5,Medium,1,2,29659.435035982544
MI_M02,XGBoost,1.0,High,2,2,61258.078369140625
MI_M03,RandomForest,0.5,Medium,1,2,8906.704778009414
MI_M04,XGBoost,0.5,Medium,1,2,2552.041015625
MI_M05,XGBoost,0.5,Medium,1,2,4255.345474243164
MI_N01,RandomForest,1.0,High,2,2,1131.8071909315195
MI_N02,LightGBM,0.5,Medium,1,2,106116.82942419032
MI_N03,LightGBM,0.5,Medium,1,2,17445.940723110216
MI_N04,XGBoost,1.0,High,2,2,1771.87548828125
MI_N05,LightGBM,0.5,Medium,1,2,39059.925549829364
MI_N06,XGBoost,0.5,Medium,1,2,66688.0390625
MI_N07,XGBoost,0.5,Medium,1,2,16524.990478515625
MI_P01,LightGBM,0.5,Medium,1,2,9107.54179405468
MI_P03,LightGBM,0.5,Medium,1,2,908.7067766780385
MI_R01,LightGBM,0.5,Medium,1,2,58886.60092955981
MI_R02,LightGBM,0.5,Medium,1,2,39250.1158775488
MI_R03,RandomForest,1.0,High,2,2,30778.089217067354
MI_R05,RandomForest,1.0,High,2,2,16525.90930003325
MI_R06,LightGBM,0.5,Medium,1,2,41138.49519658092
MI_R07,RandomForest,1.0,High,2,2,58.06550165865906
MI_S01,XGBoost,0.5,Medium,1,2,31716.5859375
MI_S02,LightGBM,0.5,Medium,1,2,7789.956832968084
MI_S03,LightGBM,0.5,Medium,1,2,8476.362856262765
MI_V03,XGBoost,0.5,Medium,1,2,27129.51058959961
MI_V04,LightGBM,1.0,High,2,2,10713.134142415944
