unique_id,best_model,consistency_ratio,confidence,win_count,n_windows,avg_mae
MI_A01,RandomForest,0.5,Medium,1,2,1876084.1040765801
MI_A02,XGBoost,0.5,Medium,1,2,1301668.4487500002
MI_A03,XGBoost,1.0,High,2,2,441752.1425
MI_A04,LightGBM,0.5,Medium,1,2,314088.1343771572
MI_A05,XGBoost,1.0,High,2,2,13822.517265624998
MI_A06,RandomForest,0.5,Medium,1,2,6268475.664093413
MI_A07,XGBoost,0.5,Medium,1,2,566551.7626875
MI_A09,XGBoost,1.0,High,2,2,82450.83203125
MI_A10,XGBoost,0.5,Medium,1,2,3164579.7224999997
MI_A11,LightGBM,0.5,Medium,1,2,64255.32914359838
MI_A12,XGBoost,0.5,Medium,1,2,7128647.532500001
MI_A16,XGBoost,0.5,Medium,1,2,297728.725875
MI_B01,LightGBM,0.5,Medium,1,2,601680.7777559159
MI_B02,LightGBM,0.5,Medium,1,2,259579.78488284274
MI_B03,LightGBM,0.5,Medium,1,2,504068.96498429804
MI_B05,XGBoost,0.5,Medium,1,2,7382628.6464375
MI_B06,LightGBM,0.5,Medium,1,2,43854.08229813772
MI_C01,RandomForest,0.5,Medium,1,2,1413986.5697382456
MI_C02,RandomForest,0.5,Medium,1,2,422965.5146005999
MI_C03,XGBoost,0.5,Medium,1,2,453007.8804375001
MI_C04,RandomForest,1.0,High,2,2,4938.432645111324
MI_C05,LightGBM,0.5,Medium,1,2,255090.13569812482
MI_C07,XGBoost,0.5,Medium,1,2,2282507.3862499995
MI_C08,XGBoost,0.5,Medium,1,2,330720.0415
MI_C09,XGBoost,0.5,Medium,1,2,1194435.7599999998
MI_C10,XGBoost,0.5,Medium,1,2,2013441.6094999998
MI_D01,LightGBM,0.5,Medium,1,2,526282.6857745086
MI_D02,LightGBM,1.0,High,2,2,290361.48435764125
MI_D04,XGBoost,0.5,Medium,1,2,423169.64700000006
MI_D05,LightGBM,0.5,Medium,1,2,32393.538550786572
MI_D06,XGBoost,1.0,High,2,2,363870.42509375
MI_D07,LightGBM,0.5,Medium,1,2,1062457.900188047
MI_D08,XGBoost,0.5,Medium,1,2,2177033.0786874997
MI_D10,XGBoost,0.5,Medium,1,2,554901.6275625
MI_D11,XGBoost,0.5,Medium,1,2,553140.8659999999
MI_G01,LightGBM,0.5,Medium,1,2,1274765.9003097303
MI_G02,RandomForest,0.5,Medium,1,2,1973215.5104977963
MI_G03,XGBoost,0.5,Medium,1,2,319823.7854375
MI_G04,LightGBM,0.5,Medium,1,2,454447.61298993754
MI_H01,XGBoost,0.5,Medium,1,2,45722.300609375
MI_H02,RandomForest,0.5,Medium,1,2,1021612.4454287884
MI_H03,RandomForest,1.0,High,2,2,345047.15014093276
MI_H04,RandomForest,1.0,High,2,2,417.7504079322733
MI_H05,RandomForest,1.0,High,2,2,1922.9194598909348
MI_J01,LightGBM,0.5,Medium,1,2,3413697.957974611
MI_J02,LightGBM,0.5,Medium,1,2,324291.6070318322
MI_J04,RandomForest,1.0,High,2,2,4109.623893736133
MI_J05,XGBoost,0.5,Medium,1,2,510941.151875
MI_J06,XGBoost,1.0,High,2,2,49159.4205078125
MI_L01,RandomForest,1.0,High,2,2,59325.39596549905
MI_L02,XGBoost,0.5,Medium,1,2,857120.6135625
MI_L03,RandomForest,1.0,High,2,2,2801.5665110367604
MI_L04,XGBoost,0.5,Medium,1,2,237881.68603125
MI_M01,RandomForest,1.0,High,2,2,1544630.5053654197
MI_M02,XGBoost,0.5,Medium,1,2,4844608.842499999
MI_M03,XGBoost,0.5,Medium,1,2,891771.9593750003
MI_M04,LightGBM,0.5,Medium,1,2,52176.20410554521
MI_M05,RandomForest,1.0,High,2,2,3024.3558941707724
MI_N01,XGBoost,1.0,High,2,2,90621.7552421875
MI_N02,XGBoost,0.5,Medium,1,2,3304903.1781249996
MI_N03,LightGBM,0.5,Medium,1,2,1000984.5352975726
MI_N04,LightGBM,0.5,Medium,1,2,473514.4916377786
MI_N05,XGBoost,0.5,Medium,1,2,887956.6268750001
MI_N06,LightGBM,0.5,Medium,1,2,2220987.0654604565
MI_N07,LightGBM,0.5,Medium,1,2,538435.9381426827
MI_P01,XGBoost,0.5,Medium,1,2,153808.64065625
MI_P03,XGBoost,1.0,High,2,2,28390.038046875
MI_R01,XGBoost,0.5,Medium,1,2,1854182.7165625002
MI_R02,LightGBM,1.0,High,2,2,2199117.6076060086
MI_R03,RandomForest,1.0,High,2,2,1613349.1971301977
MI_R05,XGBoost,0.5,Medium,1,2,1234327.3083125
MI_R06,RandomForest,0.5,Medium,1,2,4034423.7444423568
MI_R07,LightGBM,1.0,High,2,2,9595.149796199315
MI_S01,XGBoost,0.5,Medium,1,2,2527798.3068125006
MI_S02,XGBoost,1.0,High,2,2,525671.10478125
MI_S03,Ridge,1.0,High,2,2,1047389.1807026278
MI_V03,RandomForest,0.5,Medium,1,2,1257666.6256695578
MI_V04,XGBoost,1.0,High,2,2,348842.06271875
