unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
MI_A01,2025-01-01,37474.700046409576,37456.383,59551.523201765216,61299.47084170922,48380.168554350224
MI_A01,2025-04-01,41656.86932916872,39903.28,61888.94725724371,70772.04525926865,52636.884540428284
MI_A01,2025-07-01,47482.57372265413,37381.027,66211.27913016509,74292.86648221665,55393.4300537676
MI_A01,2025-10-01,51158.80106876488,34632.547,71561.77659859115,78355.76827795732,57929.60823592373
MI_A01,2026-01-01,57083.61092515696,60153.637,77603.42706870695,79972.74176306087,68177.64053065679
MI_A01,2026-04-01,47991.74246317401,52385.418,82041.11098979755,80869.53198648586,65206.25014435548
MI_A01,2026-07-01,50691.893479258615,51314.906,82456.87935955342,81564.39709678105,65878.86272739872
MI_A01,2026-10-01,57992.0335534038,46913.12,82287.0950604318,82152.81462943483,66683.24653752547
MI_A02,2025-01-01,227165.1466047131,232991.61,251555.07355991573,264207.08840885875,242870.52757723007
MI_A02,2025-04-01,212763.06308822706,228539.64,258084.25587911982,263626.275663093,239688.27874086882
MI_A02,2025-07-01,223514.42465011796,220159.95,253087.48321768505,264580.22321139433,239060.80188411663
MI_A02,2025-10-01,235597.3291554002,232408.19,257081.0744021029,265205.27746949054,246649.24449192517
MI_A02,2026-01-01,227167.32409835467,218939.42,253412.90671228193,265723.4574168638,240004.24530135404
MI_A02,2026-04-01,212848.37921391454,225092.62,254485.43368035354,266412.7956609332,238347.8253587797
MI_A02,2026-07-01,223928.36672299827,218456.62,253749.3428284053,267140.7449336654,239413.59579349257
MI_A02,2026-10-01,235178.08294509654,226814.2,254248.7128014356,267905.195209912,244812.45260988787
MI_A03,2025-01-01,23588.80875890498,24449.826,26124.386228215135,27929.065597123554,25385.443322123094
MI_A03,2025-04-01,24846.220494126195,25185.473,26140.113051996428,28996.88121558859,26120.04995019418
MI_A03,2025-07-01,23097.81817818421,24800.953,26065.273997680488,29817.063145958688,25707.66752341861
MI_A03,2025-10-01,23484.60201331568,24958.988,26076.187652382156,30557.692158520003,25999.03317106345
MI_A03,2026-01-01,19835.249348025423,25164.82,25802.840615510493,30911.38082537004,25101.177565358747
MI_A03,2026-04-01,18930.384144215743,24533.74,25730.613208203114,31328.52160377578,24763.4991910442
MI_A03,2026-07-01,19728.320225883293,24389.639,25745.93422856476,31788.12146245819,25027.651007508663
MI_A03,2026-10-01,19768.719156060695,23551.818,25784.92466443412,32276.504295058556,24925.850453192725
MI_A04,2025-01-01,72635.03611675385,68290.83,81563.36550412101,81279.92877469918,75711.07930541587
MI_A04,2025-04-01,73476.2083247137,65857.664,82009.508820974,84102.6453778028,75974.37189935747
MI_A04,2025-07-01,77448.38038985163,61797.96,83428.21983247902,86370.16984527897,76784.62028717968
MI_A04,2025-10-01,73305.9986069271,55557.492,85068.03745779862,87649.87737618812,74787.15172413219
MI_A04,2026-01-01,71099.95175773915,45294.793,86156.33317947428,88288.73660423617,71953.91379066059
MI_A04,2026-04-01,72852.07355446006,45752.145,89131.42199481177,88855.06542120581,73474.48403272276
MI_A04,2026-07-01,74817.96736266493,45022.273,90415.73504186558,89400.86203616178,74260.45165816606
MI_A04,2026-10-01,78079.60022604962,43196.12,91803.12917377472,89960.26438141214,75125.9056649902
MI_A05,2025-01-01,1941.2980774894052,1436.1403,1559.5294416150766,2403.390547432866,1793.109630272583
MI_A05,2025-04-01,2169.7621950978037,1478.1448,1542.9497709756536,3000.5671046662246,1976.8984774145156
MI_A05,2025-07-01,2108.113924005062,1476.4299,1538.8002875425761,3530.2053315677385,2064.1839595825377
MI_A05,2025-10-01,2267.3449959279355,1476.4065,1527.6148200898867,4053.21223180418,2205.8373132150778
MI_A05,2026-01-01,2333.110157375271,1402.7106,1557.7914689454506,4305.371870356445,2261.9208430665512
MI_A05,2026-04-01,2298.7049357547958,1478.1448,1543.043876009195,4665.132350660622,2339.9033260842143
MI_A05,2026-07-01,2377.2711035045063,1476.4299,1529.659080866338,5084.223039666151,2439.0272856080182
MI_A05,2026-10-01,2308.124304389207,1476.4065,1522.8438060804688,5539.386700966923,2509.3208941982452
MI_A06,2025-01-01,117560.12910108427,123403.22,131743.9152559265,133396.42729135416,126208.15989582801
MI_A06,2025-04-01,126356.29428227233,141452.14,132281.7148917638,134040.98635151517,133502.2230816805
MI_A06,2025-07-01,130122.12532534258,155217.1,132692.3765430349,134609.82837201376,138318.30690098729
MI_A06,2025-10-01,138055.11941027027,142726.34,130882.6797498568,135234.13044192066,136710.590064543
MI_A06,2026-01-01,109676.08977679981,120901.53,127219.40556889438,135650.42111943872,122686.54432858796
MI_A06,2026-04-01,107344.18398987631,130392.67,130631.89462735549,136167.60164720443,125633.34406016469
MI_A06,2026-07-01,101712.55860764613,146796.94,131849.17031964453,136742.6769120919,128935.60099375814
MI_A06,2026-10-01,95589.30949515376,143645.34,132603.5121626642,137353.0312891089,126854.8660026395
MI_A07,2025-01-01,83252.49747283675,79946.81,78510.3478165134,77406.32283990747,79897.05607242584
MI_A07,2025-04-01,82846.20821307124,87379.23,83427.87884959055,78610.44548911123,83360.47748626341
MI_A07,2025-07-01,81815.35293047676,90405.375,84539.01902017512,79367.1794566407,84349.26843631249
MI_A07,2025-10-01,80113.19111469472,89223.945,86292.35142510336,79914.20642602375,84198.45574811878
MI_A07,2026-01-01,80105.93386518645,86381.27,88159.56417464816,80214.94687091891,84033.80561696939
MI_A07,2026-04-01,75949.59289281697,88200.65,89661.03898684763,80638.52165649876,83939.84900238235
MI_A07,2026-07-01,71986.69543840723,80308.71,92089.91609198229,81132.0123686587,81621.08985138031
MI_A07,2026-10-01,70969.98564647223,74059.75,91745.76089847335,81669.84936997593,79727.54808771059
MI_A09,2025-01-01,2148.0833429381873,1762.2465,2010.019202722754,2628.655305611672,2103.2360093776824
MI_A09,2025-04-01,2123.6837626935935,1935.1497,2048.7852742940086,3265.0903726932083,2279.18525116111
MI_A09,2025-07-01,2183.3948819998054,1859.8291,2070.9068554091955,3813.4458558518654,2389.6608813516164
MI_A09,2025-10-01,2095.8171544005386,1580.2797,1949.2482838750607,4352.9433015203795,2366.2960215497606
MI_A09,2026-01-01,2351.6907884499637,1767.1979,2060.7631269491158,4611.406184112384,2564.0880258673296
MI_A09,2026-04-01,2277.7544646475,2039.289,2040.2477598520825,4973.661453586454,2682.323475216812
MI_A09,2026-07-01,2376.086183488205,1886.253,2051.8873286203525,5393.950428614218,2754.107238186389
MI_A09,2026-10-01,2306.9393843729054,1580.2797,2040.4409148744885,5849.67182402168,2742.910172433291
MI_A10,2025-01-01,334621.1480753625,336828.38,358051.2003981874,351368.19544585096,345088.97830099135
MI_A10,2025-04-01,339725.9096934703,341859.78,358283.3360901634,352336.8399048838,347988.6728445574
MI_A10,2025-07-01,343586.7745601047,345449.34,359218.19617239427,353523.51167338254,350428.03470681806
MI_A10,2025-10-01,344190.2909874964,350562.7,365582.0288532827,354410.60848820856,353887.2733324729
MI_A10,2026-01-01,348537.1423698563,341550.53,370438.6023517008,355047.30486886884,354136.2031257826
MI_A10,2026-04-01,345916.6887042844,339034.66,372316.4275106342,355808.86043733027,353474.69191272126
MI_A10,2026-07-01,344280.1830737241,349177.28,373098.8810111975,356627.6511798858,356094.5465789031
MI_A10,2026-10-01,343775.6369330025,349518.75,375248.63579526445,357487.4724599632,356826.77464255446
MI_A11,2025-01-01,167001.60714746141,168094.6,169327.010819901,166276.55234562338,167797.24371480185
MI_A11,2025-04-01,165208.5273474418,168178.48,171128.74453852457,168284.7405920627,168257.87411932263
MI_A11,2025-07-01,179555.66047179874,172255.58,172525.5700349461,170070.55259382928,173789.5009700535
MI_A11,2025-10-01,177321.79957345832,169093.1,174509.84693137126,171386.63955347508,173198.06557802978
MI_A11,2026-01-01,189916.20741067652,182024.19,174770.3367093169,172066.95595493616,180061.95201140267
MI_A11,2026-04-01,183692.89784622038,181484.95,175165.72600082413,172715.91352808638,178547.90973001797
MI_A11,2026-07-01,187354.05784578976,191491.98,173980.92044535463,173360.78473207064,181918.03752714186
MI_A11,2026-10-01,179716.29148231438,198430.45,168565.54143212124,174018.17556964065,180371.9141693452
MI_A12,2025-01-01,23385.617200762685,22762.379,23013.79156420341,24613.717227580382,23360.893716040882
MI_A12,2025-04-01,24021.41076768625,22480.215,24397.505166516647,26301.640449525534,24173.880046853687
MI_A12,2025-07-01,22990.402373336256,22740.818,24430.064918772077,27163.368152832605,24154.98937922792
MI_A12,2025-10-01,24537.964803176463,22904.72,24461.35039334486,27913.92856555937,24756.233009074473
MI_A12,2026-01-01,24986.58390483839,22913.809,24832.654374180103,28287.576112264564,25052.956615405645
MI_A12,2026-04-01,25407.049145439432,24576.848,25255.026122278774,28701.706034972507,25798.83791713856
MI_A12,2026-07-01,25249.788142461217,25195.518,25391.956350726334,29157.831526549286,26049.209906256023
MI_A12,2026-10-01,25312.68956279174,25927.623,25716.058549539437,29643.158744541142,26444.667396683602
MI_A16,2025-01-01,1906.3625422769423,1381.2593,1457.509816190093,2131.8023008515065,1687.2637811261645
MI_A16,2025-04-01,2302.837524226261,1443.3517,1447.270633891573,2759.96218741588,1927.7553462698193
MI_A16,2025-07-01,2169.174177433723,1421.4062,1463.8267966475332,3298.078066017488,1998.565040819208
MI_A16,2025-10-01,2328.405249356597,1443.1134,1474.1163617987656,3833.8814755030435,2154.479834172997
MI_A16,2026-01-01,2425.848254943504,1368.1245,1499.0266387753554,4090.6734511058166,2217.8688478866466
MI_A16,2026-04-01,2471.6306861522016,1443.3517,1489.8906445891848,4451.863678316218,2318.4239190198114
MI_A16,2026-07-01,2377.2711035045063,1421.4062,1485.3193423185824,4871.4740191282835,2370.0232377775537
MI_A16,2026-10-01,2334.4287827022868,1421.3828,1486.4559765860233,5326.589082396335,2449.3510768759006
MI_B01,2025-01-01,87105.60782468057,85468.44,94952.63869399851,105230.16372742188,92465.7878892553
MI_B01,2025-04-01,99142.57387527931,113970.48,99678.02451682619,101057.92807504912,103563.85965384416
MI_B01,2025-07-01,93428.34303438861,90551.375,96144.63563505175,99194.45402723056,94576.88837218015
MI_B01,2025-10-01,81748.30920916286,96916.54,92850.21125147781,97192.3933721092,91901.69526029487
MI_B01,2026-01-01,87252.77620181526,94250.445,91111.02754072883,97083.97027887423,92118.31478850119
MI_B01,2026-04-01,96091.67569892644,92651.12,90923.93045790416,97553.78548260698,94028.47146777945
MI_B01,2026-07-01,89527.24562166214,82565.14,91635.57525500045,98210.63069102805,90010.64172430629
MI_B01,2026-10-01,89216.77344160082,80870.87,91329.23180800608,98998.24985127743,89555.54512650133
MI_B02,2025-01-01,5046.883988184487,6561.644,4655.886928828592,4614.331721397737,5249.131934424438
MI_B02,2025-04-01,5300.62225846019,6770.548,4767.817803245422,5402.891038637683,5557.216070605679
MI_B02,2025-07-01,4706.663829984278,5592.1797,4692.725585355019,5875.97059382491,5166.693473733366
MI_B02,2025-10-01,4306.462652565271,5743.0303,4432.402230621158,6512.639032599956,5155.662358562218
MI_B02,2026-01-01,4528.464344952127,4391.5884,4408.136661383529,6811.672762915532,4910.855052100472
MI_B02,2026-04-01,4474.293572240658,4299.0317,4352.797299912217,7189.240559686081,4931.764823881868
MI_B02,2026-07-01,4379.9339895929625,4124.4966,4385.62365644309,7620.522468663479,4956.1159726403985
MI_B02,2026-10-01,4306.462652565271,4086.8335,4337.269722338387,8081.503039890667,5004.909607166434
MI_B03,2025-01-01,65115.740830019095,61093.883,42925.12210384596,31603.37462113468,51199.8097200934
