unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
MI_A01,2025-01-01,2537758.6065550135,2.5934155e+06,2048700.1718392067,1920097.4519024505
MI_A01,2025-04-01,2450658.1336888545,2.675024e+06,2556427.2712202696,2114041.1501761437
MI_A01,2025-07-01,2641200.5051712384,2.6673598e+06,2696328.6467735604,2220431.31075823
MI_A01,2025-10-01,2702863.928953631,3.3533442e+06,2543548.491254887,2338191.9034827533
MI_A01,2026-01-01,3496368.4745912137,3.693296e+06,2826722.8145007947,2517804.0518206093
MI_A01,2026-04-01,3381645.670672271,3.5642108e+06,3081668.154588541,2678661.6733803432
MI_A01,2026-07-01,3475651.20406945,3.4267928e+06,3400557.4179146863,2829147.043592777
MI_A01,2026-10-01,3475651.20406945,3.4541472e+06,3490594.2933914317,2981702.582249678
MI_A02,2025-01-01,11907014.763633115,1.1703005e+07,11754476.727891842,11961404.148619562
MI_A02,2025-04-01,12109750.151401555,1.1540779e+07,11949812.592905996,12089659.79045223
MI_A02,2025-07-01,12008666.00681011,1.2199367e+07,12159272.810059339,12199820.858741146
MI_A02,2025-10-01,12632651.230079813,1.2433558e+07,12058098.607297376,12355300.661996603
MI_A02,2026-01-01,12528740.023959031,1.2903429e+07,12019480.52919056,12483631.648385745
MI_A02,2026-04-01,12564017.455453262,1.3309972e+07,11986755.713033566,12613268.140455473
MI_A02,2026-07-01,12593687.024573985,1.3017953e+07,12056088.170705156,12744382.547928084
MI_A02,2026-10-01,13106379.866327174,1.2508743e+07,12139749.075547116,12877870.490562748
MI_A03,2025-01-01,2088556.76035446,2.0197278e+06,2013453.9996464462,2044967.852951224
MI_A03,2025-04-01,2120321.5796074127,2.0155589e+06,2073336.0997392845,2218521.041576804
MI_A03,2025-07-01,2028217.7723083587,1.9298576e+06,2098329.0453336523,2349162.817632781
MI_A03,2025-10-01,2028981.2470504863,1.934554e+06,2140709.9763206993,2488853.119127476
MI_A03,2026-01-01,2237877.4214453134,2.231188e+06,2328931.0157787665,2654584.5038623777
MI_A03,2026-04-01,2193046.103040378,2.1193872e+06,2391600.6147030424,2811938.8213244015
MI_A03,2026-07-01,2216253.839315854,2.0228689e+06,2459581.158080408,2964562.9028945887
MI_A03,2026-10-01,2216253.839315854,2.0228689e+06,2486648.139313363,3118297.300389104
MI_A04,2025-01-01,1607395.3631188148,1.6752606e+06,1538855.6655105753,2032731.5385807515
MI_A04,2025-04-01,1490478.9399933687,1.5000899e+06,1501120.111931314,2185765.0352833117
MI_A04,2025-07-01,1426097.721455436,1.430715e+06,1499289.286142583,2322279.1776783583
MI_A04,2025-10-01,1404757.8518743173,1.4113775e+06,1455620.8058909497,2476348.4937068434
MI_A04,2026-01-01,1497588.5846791158,1.497902e+06,1497427.101399362,2636975.7205432737
MI_A04,2026-04-01,1408736.3849922735,1.4208808e+06,1504106.2556752278,2791932.9256625175
MI_A04,2026-07-01,1370831.3494325592,1.389886e+06,1489886.3803669692,2945328.4524484496
MI_A04,2026-10-01,1283841.1341039755,1.389886e+06,1482313.7774749675,3100095.5274219266
MI_A05,2025-01-01,185614.0984927815,151780.2,164299.94603423914,430328.94705235364
MI_A05,2025-04-01,159922.43173519714,127004.49,163904.31673312586,592928.2636185877
MI_A05,2025-07-01,133885.96684967185,116817.266,166385.7729247121,733506.5560058802
MI_A05,2025-10-01,143508.51378920808,116817.266,169043.67249114768,884951.3797699485
MI_A05,2026-01-01,185614.0984927815,151780.2,171819.13107320192,1051159.0795072143
MI_A05,2026-04-01,159922.43173519714,127004.49,166451.9276244221,1210706.7881696334
MI_A05,2026-07-01,133885.96684967185,116817.266,162957.66779329587,1367650.4909072293
MI_A05,2026-10-01,143508.51378920808,116817.266,163165.10568358086,1525672.6899600134
MI_A06,2025-01-01,28351299.310831543,2.9782454e+07,29486207.81310489,28037200.44594451
MI_A06,2025-04-01,28450339.85392714,3.0054398e+07,28718747.69834071,27627401.785901092
MI_A06,2025-07-01,27817195.253117647,2.9054008e+07,28327628.281282958,27704139.985718492
MI_A06,2025-10-01,29810888.200709533,3.1839774e+07,29577660.321960088,27917550.11354105
MI_A06,2026-01-01,28572084.14549849,2.9617266e+07,30021614.582553014,27999235.734239202
MI_A06,2026-04-01,30904235.523000352,2.8577486e+07,30023103.73821868,28070561.17824913
MI_A06,2026-07-01,28179914.30894488,3.0949114e+07,29997636.501737174,28165752.32615222
MI_A06,2026-10-01,28542329.381340783,3.0105364e+07,30013812.671044294,28270642.089578938
MI_A07,2025-01-01,3518939.542394549,3.4193928e+06,3025474.3958815695,2926744.033050887
MI_A07,2025-04-01,3237639.6329020546,3.467561e+06,3444831.6358626983,3104513.346730786
MI_A07,2025-07-01,3584640.6316286223,3.4415568e+06,3602498.2222173885,3228362.0368189146
MI_A07,2025-10-01,3676819.066255388,3.4584118e+06,3696949.5837207115,3367430.1173723103
MI_A07,2026-01-01,3666286.3999459636,3.6786558e+06,3710961.0371444635,3531028.0235747998
MI_A07,2026-04-01,3669480.5483871074,3.4715048e+06,3709257.080570079,3686550.238797742
MI_A07,2026-07-01,3508609.4964797497,3.4450278e+06,3714922.633117888,3836902.5743380245
MI_A07,2026-10-01,3456808.7993031475,3.4173232e+06,3738643.8955477932,3988658.851186297
MI_A09,2025-01-01,674739.0452978745,657282.75,613499.2408596878,822339.9678633066
MI_A09,2025-04-01,842604.7015806506,695524.6,617214.6755480357,994282.3296672688
MI_A09,2025-07-01,736197.4829895832,705756.6,636608.6218815561,1131118.55386892
MI_A09,2025-10-01,689445.7580897324,640574.3,643085.6749505481,1276212.582144787
MI_A09,2026-01-01,748044.4836830661,737434.94,646962.3739230613,1443317.592694619
MI_A09,2026-04-01,728906.8985464186,734523.3,650335.5552756902,1603007.2811886328
MI_A09,2026-07-01,705667.3636766254,715370.3,648917.5463690063,1758744.0186056634
MI_A09,2026-10-01,705667.3636766254,715370.3,654387.5832318335,1915469.8693959927
MI_A10,2025-01-01,15697000.365832249,1.6088692e+07,14142713.152328782,13562513.782686807
MI_A10,2025-04-01,16345454.119164553,1.5140878e+07,14830402.318005348,13668840.529654648
MI_A10,2025-07-01,16626992.15818394,1.6126496e+07,15034438.673130821,13753711.58334738
MI_A10,2025-10-01,17965262.832686093,1.6666964e+07,15790977.322690919,13869239.73229995
MI_A10,2026-01-01,19910165.020739812,1.8618332e+07,15652637.299673691,14017630.825835686
MI_A10,2026-04-01,17455920.007417955,1.908598e+07,16713367.69043615,14146188.944785312
MI_A10,2026-07-01,16838843.67733607,1.9436972e+07,17274636.78711765,14270599.695085857
MI_A10,2026-10-01,17484444.25670754,1.9382528e+07,17282022.48141286,14398300.252586208
MI_A11,2025-01-01,932562.1900603984,907730.75,986088.6296677373,1209164.407288145
MI_A11,2025-04-01,913424.604923751,874782.3,996941.8362864604,1366259.34595724
MI_A11,2025-07-01,890185.0700539578,851790.7,1000996.0039330163,1504800.486208315
MI_A11,2025-10-01,890185.0700539578,836096.3,1012693.9823909119,1658089.5145130707
MI_A11,2026-01-01,932562.1900603984,885274.0,1027997.8695842525,1821468.0147425341
MI_A11,2026-04-01,913424.604923751,859087.7,1060653.4460438523,1978687.9588591275
MI_A11,2026-07-01,890185.0700539578,851790.7,1042359.4176891145,2133914.281383842
MI_A11,2026-10-01,890185.0700539578,836096.3,1050938.8105775798,2290394.326671489
MI_A12,2025-01-01,11860818.332239196,1.1943732e+07,9336222.407101614,7277116.684449602
MI_A12,2025-04-01,11855605.419131638,1.1669753e+07,9546730.866940906,6983700.744044218
MI_A12,2025-07-01,11884914.557924112,1.2236629e+07,10294706.814644381,7424406.310625804
MI_A12,2025-10-01,12367271.45752785,1.2809588e+07,10412305.55053621,7578214.982280926
MI_A12,2026-01-01,12426606.626602232,1.2746317e+07,10592692.134374354,7677203.885476539
MI_A12,2026-04-01,12182170.085845957,1.234316e+07,10839467.077465096,7797727.511604842
MI_A12,2026-07-01,12224528.285464497,1.27817e+07,10875490.062129926,7961284.861876589
MI_A12,2026-10-01,12765744.971997585,1.2373722e+07,11059750.967318213,8107241.064678053
MI_A16,2025-01-01,362788.5959657221,327088.16,265656.0861396058,565665.7683529009
MI_A16,2025-04-01,452281.04562051984,322159.72,299075.8535447913,736568.1559653915
MI_A16,2025-07-01,490885.55319657346,312908.47,305681.6726236854,875697.8434097611
MI_A16,2025-10-01,721743.8845521404,364693.4,306681.56702741404,1022209.8825632369
MI_A16,2026-01-01,979892.9796556093,415929.2,305963.2134006108,1189295.9151095573
MI_A16,2026-04-01,793000.3549354599,537996.75,314992.5636850301,1349408.7459733903
MI_A16,2026-07-01,774504.9515039793,609274.75,313377.97722884454,1505876.7505625458
MI_A16,2026-10-01,722456.110415576,622577.94,311957.6184323186,1663252.3282434298
MI_B01,2025-01-01,4599180.320739242,4.9047435e+06,4689994.10538864,5076915.671213342
MI_B01,2025-04-01,4953325.810087759,4.8963515e+06,4817358.861527015,5160902.682552203
MI_B01,2025-07-01,4451285.29983366,4.8771605e+06,4645308.8569289595,5321252.370587788
MI_B01,2025-10-01,5085981.092641075,4.858382e+06,4614087.237156922,5508474.910225366
MI_B01,2026-01-01,4413843.914809033,4.672814e+06,4533864.65133055,5643742.872543363
MI_B01,2026-04-01,4528881.79439973,4.59315e+06,4477325.888421749,5784671.192515524
MI_B01,2026-07-01,4394365.469622735,4.5725255e+06,4469287.251390742,5934166.49191535
MI_B01,2026-10-01,4702117.8623513365,4.508155e+06,4509726.467312473,6084817.302723762
MI_B02,2025-01-01,1075739.2365875698,1.092994e+06,1107074.7651274556,1270079.470006777
MI_B02,2025-04-01,1101806.6767803384,1.0493946e+06,1083313.2741229304,1431529.0024355513
MI_B02,2025-07-01,1067016.6475944875,1.0466003e+06,1119392.9960685065,1565917.2864131802
MI_B02,2025-10-01,1067016.6475944875,1.03690075e+06,1126005.4317482158,1715617.5918065081
MI_B02,2026-01-01,1150277.0749697394,1.1079679e+06,1225228.5324234057,1880871.2023445568
MI_B02,2026-04-01,1104921.6831542018,1.0692556e+06,1240868.933913348,2038522.6677514962
MI_B02,2026-07-01,1159408.2203063308,1.0466003e+06,1261888.9132747953,2193230.5721681123
MI_B02,2026-10-01,1067016.6475944875,1.03690075e+06,1271948.615286005,2349332.0158961886
MI_B03,2025-01-01,1114549.4960038457,1.1073486e+06,1178116.2137995844,1074458.064914577
MI_B03,2025-04-01,1386596.69596546,1.4040866e+06,1143928.9095317142,1240774.7949403182
