unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
MI_A01,2025-01-01,2482838.397566001,2.5881165e+06,2049911.0337941588,1757040.4473955217,2254064.944422692
MI_A01,2025-04-01,2515624.5290784114,2.6443392e+06,2532056.2638589903,1847863.3629192119,2432841.573718644
MI_A01,2025-07-01,2665353.9708495946,2.6428772e+06,2674120.4132427666,1869094.8451826894,2517114.3439288368
MI_A01,2025-10-01,2757960.948779104,3.331331e+06,2563715.608734543,1908770.2318246518,2698864.0826974576
MI_A01,2026-01-01,3467168.0598570346,3.6087155e+06,2814982.0829728376,1995792.095563252,3049280.151943971
MI_A01,2026-04-01,3323289.2219727566,3.3643368e+06,2948192.8997335164,2066389.7980060382,2997605.5592516516
MI_A01,2026-07-01,3352678.6603706926,3.3150202e+06,3157346.626514324,2129311.416754307,3064041.0888385316
MI_A01,2026-10-01,3352678.6603706926,3.3303568e+06,3108226.5962330224,2194663.2265268145,3065844.5157400165
MI_A02,2025-01-01,10756580.23052398,1.0974465e+07,11250558.882941227,11798347.144112635,11145625.737232063
MI_A02,2025-04-01,12444619.749577636,1.1688631e+07,11517870.303540934,11825830.067232974,11866095.322788298
MI_A02,2025-07-01,11846923.488523673,1.1687154e+07,11178986.80215818,11854549.078587491,11614045.264027921
MI_A02,2025-10-01,11980861.991379214,1.1467446e+07,10760864.010448614,11920216.378355134,11483492.548911326
MI_A02,2026-01-01,11057578.878432326,1.163658e+07,10443022.40944515,11959622.694373094,11197604.330404475
MI_A02,2026-04-01,11381770.318774054,1.1424408e+07,9953293.546967335,12000387.202312745,11094654.684608307
MI_A02,2026-07-01,10481687.795446489,1.152526e+07,9646917.956405435,12043748.759869188,10800961.162644818
MI_A02,2026-10-01,11523080.159718731,1.1339294e+07,9580488.607151661,12089303.878229618,11018833.150139278
MI_A03,2025-01-01,2105927.8510157494,2.0156935e+06,2007011.2262092712,1881910.8484442947,2012928.2488776406
MI_A03,2025-04-01,2131261.5718249884,1.9704138e+06,2062472.4334397393,1960301.3583932295,2037952.857523026
MI_A03,2025-07-01,2056157.3094020782,1.9112984e+06,2100856.302164355,2013414.7527451357,2023031.0081007723
MI_A03,2025-10-01,2077377.9321425133,1.9249065e+06,2153223.0737413554,2070260.024993545,2057682.3229356792
MI_A03,2026-01-01,2280944.359918185,2.2271538e+06,2376056.100889695,2142444.5431873794,2268921.965992711
MI_A03,2026-04-01,2241427.6326555344,2.0626499e+06,2494936.2944018277,2210497.4629994896,2261564.6677714274
MI_A03,2026-07-01,2259320.7777887257,1.9889165e+06,2483084.9678132734,2275971.4442160637,2255388.753087102
MI_A03,2026-10-01,2240481.448081186,1.9238125e+06,2488348.1037308443,2342147.2038513636,2246742.6479055616
MI_A04,2025-01-01,1624766.453780103,1.6752148e+06,1539486.8891622003,1869674.5340738227,1658090.0574572247
MI_A04,2025-04-01,1507850.030654657,1.4944308e+06,1507238.732566541,1930472.1605935,1581005.9178418596
MI_A04,2025-07-01,1456236.4699971268,1.4250559e+06,1515325.4187423424,1988727.9454459362,1561863.8011823855
MI_A04,2025-10-01,1422128.9425356055,1.4057184e+06,1494317.632465938,2059469.2997257295,1554491.1591761762
MI_A04,2026-01-01,1514959.675340404,1.4978561e+06,1530458.8522272205,2126583.6621225444,1626155.5314900386
