unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
MI_A01,2025-01-01,37474.700046409576,39272.043,53591.67750759446,61259.413005462615,47144.67186452328
MI_A01,2025-04-01,41656.86932916872,43793.258,53747.23107402252,70775.86388889603,51358.458383470475
MI_A01,2025-07-01,47482.57372265413,46837.277,52143.413790135266,74370.06676676548,53944.74694521995
MI_A01,2025-10-01,51158.80106876488,47487.656,52151.58547308239,78507.94109773368,55895.551359009136
MI_A01,2026-01-01,57083.61092515696,65144.07,58424.542579722816,80201.27049828644,64175.793757002604
MI_A01,2026-04-01,47991.74246317401,73368.77,56976.165739627686,81150.90383653707,63773.32591360832
MI_A01,2026-07-01,50691.893479258615,77371.09,55216.49863969654,81878.00102218249,65188.20746915578
MI_A01,2026-10-01,57992.0335534038,80729.29,54219.13528427238,82484.13893031489,67815.40956736566
MI_A02,2025-01-01,227165.1466047131,240279.47,251653.21690090722,264193.35395381134,244777.35970915275
MI_A02,2025-04-01,212763.06308822706,247577.84,259192.43091366248,263625.4965390236,244943.09818665124
MI_A02,2025-07-01,223514.42465011796,238970.23,253341.57865385903,264592.8674008086,244030.91346544164
MI_A02,2025-10-01,235597.3291554002,243103.81,259408.45101604346,265233.8673921812,250072.42526743654
MI_A02,2026-01-01,227167.32409835467,235085.58,252447.70428883986,265762.0307492829,243937.81180809412
MI_A02,2026-04-01,212848.37921391454,219163.75,256810.9599541181,266458.6922147523,237360.96219670484
MI_A02,2026-07-01,223928.36672299827,221260.95,255013.45473316428,267193.71089645417,240440.5634326198
MI_A02,2026-10-01,235178.08294509654,219536.84,255831.268038324,267964.7276627276,243287.59095315082
MI_A03,2025-01-01,23588.80875890498,24870.555,26072.552513625007,27935.821869965934,25479.807713936985
MI_A03,2025-04-01,24846.220494126195,24645.744,25902.778357108196,29008.049304249274,25912.890921047387
MI_A03,2025-07-01,23097.81817818421,24409.904,25724.727854709658,29831.47998771733,25510.505058799157
MI_A03,2025-10-01,23484.60201331568,23797.613,25375.353368082448,30574.95515634508,25499.937402872252
MI_A03,2026-01-01,19835.249348025423,24105.615,24374.737487423565,30931.39292401632,24426.41746778588
