unique_id,best_model,consistency_ratio,confidence,win_count,n_windows,avg_mae
OH_A01,XGBoost,0.5,Medium,1,2,37362.330078125
OH_A02,LightGBM,0.5,Medium,1,2,56887.526851387214
OH_A03,XGBoost,0.5,Medium,1,2,9377.090576171875
OH_A04,RandomForest,1.0,High,2,2,12066.07147035636
OH_A05,XGBoost,0.5,Medium,1,2,358.37030029296875
OH_A06,LightGBM,0.5,Medium,1,2,24915.37936691596
OH_A07,LightGBM,1.0,High,2,2,16231.031280910785
OH_A09,LightGBM,0.5,Medium,1,2,601.5120889972819
OH_A10,RandomForest,0.5,Medium,1,2,62201.9071960017
OH_A11,XGBoost,0.5,Medium,1,2,18439.79638671875
OH_A12,LightGBM,0.5,Medium,1,2,15778.089454496163
OH_A16,XGBoost,0.5,Medium,1,2,261.6156311035156
OH_B01,LightGBM,0.5,Medium,1,2,22427.97035013631
OH_B02,LightGBM,0.5,Medium,1,2,2328.404421124944
OH_B03,LightGBM,0.5,Medium,1,2,38493.72703164704
OH_B05,LightGBM,0.5,Medium,1,2,28109.19428947148
OH_B06,RandomForest,1.0,High,2,2,692.60687820981
OH_C01,LightGBM,0.5,Medium,1,2,25270.75482712323
OH_C02,Ridge,1.0,High,2,2,21327.536399466466
OH_C03,XGBoost,1.0,High,2,2,29522.2939453125
OH_C04,RandomForest,1.0,High,2,2,126.56834741495476
OH_C05,LightGBM,0.5,Medium,1,2,37943.46613087767
OH_C07,XGBoost,0.5,Medium,1,2,17024.138671875
OH_C08,LightGBM,1.0,High,2,2,11420.245376950876
OH_C09,XGBoost,0.5,Medium,1,2,29795.6005859375
OH_C10,RandomForest,1.0,High,2,2,30637.08386731315
OH_D01,RandomForest,0.5,Medium,1,2,9110.76071957486
OH_D02,XGBoost,0.5,Medium,1,2,2663.2532958984375
OH_D04,LightGBM,0.5,Medium,1,2,10538.234696322994
OH_D05,LightGBM,0.5,Medium,1,2,874.6644151302298
OH_D06,LightGBM,0.5,Medium,1,2,21082.475754782008
OH_D07,LightGBM,0.5,Medium,1,2,20947.06994522104
OH_D08,XGBoost,0.5,Medium,1,2,6780.341289520264
OH_D10,XGBoost,0.5,Medium,1,2,18513.573486328125
OH_D11,XGBoost,0.5,Medium,1,2,18201.001220703125
OH_G01,LightGBM,0.5,Medium,1,2,15315.82414963576
OH_G02,XGBoost,0.5,Medium,1,2,19918.105224609375
OH_G03,RandomForest,0.5,Medium,1,2,24327.17990015711
OH_G04,LightGBM,0.5,Medium,1,2,9707.781771461709
OH_H01,LightGBM,0.5,Medium,1,2,526.6661551294931
OH_H02,LightGBM,0.5,Medium,1,2,26783.350422534964
OH_H03,LightGBM,1.0,High,2,2,18053.943454815584
OH_H04,LightGBM,1.0,High,2,2,240.24427864009385
OH_H05,XGBoost,1.0,High,2,2,46771.91064453125
OH_J01,XGBoost,0.5,Medium,1,2,70273.447265625
OH_J02,XGBoost,0.5,Medium,1,2,12417.141357421875
OH_J04,LightGBM,0.5,Medium,1,2,271.58461532736794
OH_J05,XGBoost,0.5,Medium,1,2,16494.509033203125
OH_J06,RandomForest,1.0,High,2,2,840.0006022085765
OH_L01,XGBoost,1.0,High,2,2,5192.8265380859375
OH_L02,LightGBM,0.5,Medium,1,2,13167.280675448044
OH_L03,RandomForest,1.0,High,2,2,541.3994677515152
OH_L04,LightGBM,0.5,Medium,1,2,4135.2474332081165
OH_M01,XGBoost,0.5,Medium,1,2,28236.693359375
OH_M02,LightGBM,0.5,Medium,1,2,60215.82627155562
OH_M03,XGBoost,0.5,Medium,1,2,10498.80859375
OH_M04,LightGBM,0.5,Medium,1,2,9359.699443418082
OH_M05,XGBoost,1.0,High,2,2,522.1962890625
OH_M09,RandomForest,1.0,High,2,2,108.88751221086605
OH_N01,LightGBM,1.0,High,2,2,11003.154155338478
OH_N02,RandomForest,1.0,High,2,2,47667.76252338303
OH_N03,RandomForest,1.0,High,2,2,16575.88257754233
OH_N04,LightGBM,0.5,Medium,1,2,6662.898971922797
OH_N05,RandomForest,0.5,Medium,1,2,34492.45248834618
OH_N06,XGBoost,0.5,Medium,1,2,152724.421875
OH_N07,RandomForest,1.0,High,2,2,71352.50846746106
OH_P01,LightGBM,0.5,Medium,1,2,12249.435726823853
OH_P02,RandomForest,1.0,High,2,2,197.82801364296495
OH_P03,XGBoost,1.0,High,2,2,863.0847473144531
OH_R01,LightGBM,0.5,Medium,1,2,19899.633110332736
OH_R02,XGBoost,0.5,Medium,1,2,43133.830810546875
OH_R03,RandomForest,1.0,High,2,2,46184.98220739246
OH_R05,LightGBM,0.5,Medium,1,2,32388.943376675605
OH_R06,XGBoost,0.5,Medium,1,2,61531.349609375
OH_R07,RandomForest,1.0,High,2,2,144.6969508041114
OH_S01,XGBoost,0.5,Medium,1,2,113727.615234375
OH_S02,LightGBM,0.5,Medium,1,2,10364.717660588682
OH_S03,LightGBM,0.5,Medium,1,2,10774.687855315777
OH_V03,LightGBM,0.5,Medium,1,2,35682.28265991165
OH_V04,LightGBM,1.0,High,2,2,12821.512920847023
OH_V07,XGBoost,0.5,Medium,1,2,673.9360504150391
