unique_id,best_model,consistency_ratio,confidence,win_count,n_windows,avg_mae
OH_A01,XGBoost,0.5,Medium,1,2,1938599.6339375
OH_A02,XGBoost,0.5,Medium,1,2,2359253.5550000006
OH_A03,LightGBM,0.5,Medium,1,2,738617.1296831189
OH_A04,RandomForest,1.0,High,2,2,176637.68139806768
OH_A05,LightGBM,0.5,Medium,1,2,251642.50155661296
OH_A06,XGBoost,0.5,Medium,1,2,5219246.968749999
OH_A07,XGBoost,0.5,Medium,1,2,1010569.0614375
OH_A09,LightGBM,0.5,Medium,1,2,216881.54764772
OH_A10,LightGBM,0.5,Medium,1,2,1491893.6631177044
OH_A11,XGBoost,1.0,High,2,2,138419.378609375
OH_A12,Ridge,1.0,High,2,2,20727311.42047606
OH_A16,RandomForest,1.0,High,2,2,93275.89608372787
OH_B01,LightGBM,0.5,Medium,1,2,683133.1167718677
OH_B02,LightGBM,1.0,High,2,2,1181138.7226970573
OH_B03,LightGBM,0.5,Medium,1,2,530344.1749573501
OH_B05,LightGBM,0.5,Medium,1,2,23672186.256046534
OH_B06,XGBoost,0.5,Medium,1,2,91122.5318984375
OH_C01,LightGBM,0.5,Medium,1,2,1676139.8105007145
OH_C02,XGBoost,0.5,Medium,1,2,1466868.6377500002
OH_C03,RandomForest,1.0,High,2,2,541239.6188595361
OH_C04,RandomForest,1.0,High,2,2,15014.218904322805
OH_C05,XGBoost,0.5,Medium,1,2,206913.2335625
OH_C07,XGBoost,0.5,Medium,1,2,923402.6675000001
OH_C08,LightGBM,0.5,Medium,1,2,324178.215049738
OH_C09,Ridge,1.0,High,2,2,1232434.9991265666
OH_C10,XGBoost,0.5,Medium,1,2,759547.0531250001
OH_D01,XGBoost,0.5,Medium,1,2,814176.5315
OH_D02,RandomForest,1.0,High,2,2,279956.4542290699
OH_D04,LightGBM,0.5,Medium,1,2,468109.933041115
OH_D05,LightGBM,0.5,Medium,1,2,39232.16904734514
OH_D06,LightGBM,0.5,Medium,1,2,401982.87881415617
OH_D07,LightGBM,0.5,Medium,1,2,485430.9032222173
OH_D08,LightGBM,0.5,Medium,1,2,2230367.9979467676
OH_D10,XGBoost,0.5,Medium,1,2,769326.0885625
OH_D11,Ridge,1.0,High,2,2,1361296.2356146134
OH_G01,LightGBM,1.0,High,2,2,1473322.6274110377
OH_G02,LightGBM,0.5,Medium,1,2,1216122.1115724624
OH_G03,LightGBM,0.5,Medium,1,2,576300.1980280331
OH_G04,LightGBM,0.5,Medium,1,2,2121930.7506124335
OH_H01,XGBoost,1.0,High,2,2,86563.62346875001
OH_H02,Ridge,1.0,High,2,2,658734.40890566
OH_H03,RandomForest,1.0,High,2,2,592831.3349937408
OH_H04,RandomForest,1.0,High,2,2,1864.0245429683355
OH_H05,LightGBM,0.5,Medium,1,2,237894.23616109896
OH_J01,Ridge,1.0,High,2,2,4607628.865913808
OH_J02,RandomForest,1.0,High,2,2,163392.41106065083
OH_J04,RandomForest,1.0,High,2,2,8962.936542133171
OH_J05,XGBoost,0.5,Medium,1,2,704051.1134375
OH_J06,LightGBM,0.5,Medium,1,2,94741.52571287322
OH_L01,XGBoost,0.5,Medium,1,2,244609.22328125002
OH_L02,XGBoost,0.5,Medium,1,2,468631.74756249995
OH_L03,RandomForest,1.0,High,2,2,5298.461398031218
OH_L04,XGBoost,0.5,Medium,1,2,371439.2508125
OH_M01,LightGBM,0.5,Medium,1,2,1685837.5153955934
OH_M02,LightGBM,1.0,High,2,2,4136855.911604295
OH_M03,XGBoost,1.0,High,2,2,485033.6945625
OH_M04,RandomForest,1.0,High,2,2,162911.97353743145
OH_M05,RandomForest,1.0,High,2,2,13460.25430743333
OH_M09,RandomForest,1.0,High,2,2,13751.510432110488
OH_N01,XGBoost,1.0,High,2,2,261297.69962499998
OH_N02,Ridge,1.0,High,2,2,2304077.2085773363
OH_N03,LightGBM,0.5,Medium,1,2,1301068.3984484782
OH_N04,XGBoost,1.0,High,2,2,127704.42975000001
OH_N05,RandomForest,0.5,Medium,1,2,2482714.768394552
OH_N06,RandomForest,0.5,Medium,1,2,4184205.4599340884
OH_N07,XGBoost,1.0,High,2,2,1932961.1354375002
OH_P01,XGBoost,1.0,High,2,2,333962.10343749996
OH_P02,RandomForest,1.0,High,2,2,8494.937708335949
OH_P03,XGBoost,0.5,Medium,1,2,277213.79875
OH_R01,LightGBM,0.5,Medium,1,2,1374331.2363094203
OH_R02,Ridge,1.0,High,2,2,3147735.454010031
OH_R03,XGBoost,1.0,High,2,2,2328966.508124999
OH_R05,LightGBM,0.5,Medium,1,2,2518364.041666979
OH_R06,LightGBM,0.5,Medium,1,2,3054207.84899928
OH_R07,RandomForest,1.0,High,2,2,11872.678047344223
OH_S01,RandomForest,1.0,High,2,2,2271285.1676997747
OH_S02,RandomForest,1.0,High,2,2,506913.5341906059
OH_S03,LightGBM,0.5,Medium,1,2,1804325.6789229307
OH_V03,XGBoost,0.5,Medium,1,2,785803.6900000002
OH_V04,LightGBM,0.5,Medium,1,2,662090.8467794046
OH_V07,LightGBM,0.5,Medium,1,2,1668314.6341460112
