unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
OH_A01,2025-01-01,XGBoost,Medium,0.5,64366.37890625,64445.5859375,60460.9921875
OH_A01,2025-04-01,XGBoost,Medium,0.5,61154.41796875,62496.171875,63604.95703125
OH_A01,2025-07-01,XGBoost,Medium,0.5,51379.62890625,55341.14453125,55215.87890625
OH_A01,2025-10-01,XGBoost,Medium,0.5,56406.546875,61898.63671875,61661.328125
OH_A01,2026-01-01,XGBoost,Medium,0.5,52497.8359375,49675.328125,54816.44140625
OH_A01,2026-04-01,XGBoost,Medium,0.5,50271.01953125,53665.91015625,53362.1328125
OH_A01,2026-07-01,XGBoost,Medium,0.5,53533.51171875,55724.5703125,56185.5859375
OH_A01,2026-10-01,XGBoost,Medium,0.5,54058.72265625,52416.0390625,54110.4921875
OH_A02,2025-01-01,LightGBM,Medium,0.5,262482.34245422797,267505.02110348403,266713.6118297232
OH_A02,2025-04-01,LightGBM,Medium,0.5,252185.39189369613,267310.9907883498,269737.35269636684
OH_A02,2025-07-01,LightGBM,Medium,0.5,246877.79455643214,262880.71698775573,259792.25753928814
OH_A02,2025-10-01,LightGBM,Medium,0.5,236165.78896408388,257419.37954554873,254935.50645135873
OH_A02,2026-01-01,LightGBM,Medium,0.5,242312.553596057,263436.19394250534,261026.02876776428
OH_A02,2026-04-01,LightGBM,Medium,0.5,236886.57357393054,271161.2409165219,262092.30609763708
OH_A02,2026-07-01,LightGBM,Medium,0.5,230098.89065389393,267809.36892257485,256814.30915705848
OH_A02,2026-10-01,LightGBM,Medium,0.5,221143.27171154896,264934.21083783975,252174.19999406557
OH_A03,2025-01-01,XGBoost,Medium,0.5,44476.81640625,45177.1796875,43991.85546875
OH_A03,2025-04-01,XGBoost,Medium,0.5,46895.5703125,49796.2109375,45849.40625
OH_A03,2025-07-01,XGBoost,Medium,0.5,49486.58984375,53819.109375,47877.36328125
OH_A03,2025-10-01,XGBoost,Medium,0.5,52565.84765625,54697.8125,49983.46875
OH_A03,2026-01-01,XGBoost,Medium,0.5,55398.69921875,56264.828125,51346.02734375
OH_A03,2026-04-01,XGBoost,Medium,0.5,55343.63671875,53989.25390625,53169.453125
OH_A03,2026-07-01,XGBoost,Medium,0.5,52405.55859375,54204.4375,52532.23046875
OH_A03,2026-10-01,XGBoost,Medium,0.5,50822.01953125,54055.84375,51605.51171875
OH_A04,2025-01-01,RandomForest,High,1.0,147790.62346694703,149040.32668521142,148122.92359117523
OH_A04,2025-04-01,RandomForest,High,1.0,141944.15446394967,145193.04487780834,142649.68941418477
OH_A04,2025-07-01,RandomForest,High,1.0,141088.7908532817,152096.56220902922,141570.28865487015
OH_A04,2025-10-01,RandomForest,High,1.0,141011.25367338554,152945.10461017612,141790.1127598048
OH_A04,2026-01-01,RandomForest,High,1.0,140954.74274506848,155257.99585176056,141411.1375140593
OH_A04,2026-04-01,RandomForest,High,1.0,141447.25058596386,154436.63380906728,140846.75703510427
OH_A04,2026-07-01,RandomForest,High,1.0,141431.24046270372,157500.47899998105,140212.72555866165
OH_A04,2026-10-01,RandomForest,High,1.0,141340.4493404853,157471.258855563,140439.46761322103
OH_A05,2025-01-01,XGBoost,Medium,0.5,2266.389892578125,2133.630126953125,2250.3720703125
OH_A05,2025-04-01,XGBoost,Medium,0.5,2302.647705078125,2371.411376953125,2297.702880859375
OH_A05,2025-07-01,XGBoost,Medium,0.5,2277.87255859375,2744.12646484375,2255.87890625
OH_A05,2025-10-01,XGBoost,Medium,0.5,2081.6201171875,2725.463134765625,2076.19921875
OH_A05,2026-01-01,XGBoost,Medium,0.5,2658.221435546875,3462.845458984375,2657.63134765625
