unique_id,ds,best_model,confidence,consistency_ratio,forecast_point,forecast_low_pop,forecast_high_pop
OH_A01,2025-01-01,XGBoost,Medium,0.5,3574384.25,3568995.25,3521279.75
OH_A01,2025-04-01,XGBoost,Medium,0.5,2947769.25,3083844.25,2936134.0
OH_A01,2025-07-01,XGBoost,Medium,0.5,3630946.0,3926118.25,3352809.75
OH_A01,2025-10-01,XGBoost,Medium,0.5,3636041.25,3955223.0,3340394.75
OH_A01,2026-01-01,XGBoost,Medium,0.5,4250931.0,4790815.0,3770168.75
OH_A01,2026-04-01,XGBoost,Medium,0.5,4061771.5,4435896.5,3144704.0
OH_A01,2026-07-01,XGBoost,Medium,0.5,4324847.5,3992754.0,3882585.5
OH_A01,2026-10-01,XGBoost,Medium,0.5,4438347.5,3952594.75,3694625.25
OH_A02,2025-01-01,XGBoost,Medium,0.5,15541231.0,16000898.0,16264992.0
OH_A02,2025-04-01,XGBoost,Medium,0.5,15474184.0,16880628.0,16633424.0
OH_A02,2025-07-01,XGBoost,Medium,0.5,14749468.0,15414910.0,16442243.0
OH_A02,2025-10-01,XGBoost,Medium,0.5,13093094.0,15442584.0,16423992.0
OH_A02,2026-01-01,XGBoost,Medium,0.5,13413244.0,16099625.0,17375842.0
OH_A02,2026-04-01,XGBoost,Medium,0.5,14107191.0,16721743.0,16520225.0
OH_A02,2026-07-01,XGBoost,Medium,0.5,13583051.0,15952887.0,16884564.0
OH_A02,2026-10-01,XGBoost,Medium,0.5,14527616.0,16129048.0,18034080.0
OH_A03,2025-01-01,LightGBM,Medium,0.5,3660406.2435183157,3660406.2435183157,3660406.2435183157
OH_A03,2025-04-01,LightGBM,Medium,0.5,3276206.564091589,3284227.463923744,3276206.564091589
OH_A03,2025-07-01,LightGBM,Medium,0.5,3748029.154334511,3816586.738200759,3724025.529446798
OH_A03,2025-10-01,LightGBM,Medium,0.5,3710286.396336091,3817596.74267771,3387188.8309083204
OH_A03,2026-01-01,LightGBM,Medium,0.5,3903622.119679289,4334393.978560562,3853107.8460085327
OH_A03,2026-04-01,LightGBM,Medium,0.5,4240982.787339259,4415142.765714026,3585968.8933582967
OH_A03,2026-07-01,LightGBM,Medium,0.5,4320499.654228022,4307525.332163948,3902275.5461785793
OH_A03,2026-10-01,LightGBM,Medium,0.5,4289940.262102225,4307525.332163948,4375937.795262979
OH_A04,2025-01-01,RandomForest,High,1.0,3139247.692156517,3139247.692156517,3170685.234734641
OH_A04,2025-04-01,RandomForest,High,1.0,3097956.963785728,3126626.3232058315,3175675.5883628246
OH_A04,2025-07-01,RandomForest,High,1.0,3044317.576756521,3140264.51540725,3193636.103362641
OH_A04,2025-10-01,RandomForest,High,1.0,3044317.576756521,3136317.197869513,3211983.4841873664
OH_A04,2026-01-01,RandomForest,High,1.0,3134358.501823388,3308758.1862855526,3434346.752703158
OH_A04,2026-04-01,RandomForest,High,1.0,3088772.475591545,3272062.048520907,3413838.456373775
OH_A04,2026-07-01,RandomForest,High,1.0,3044317.5767565216,3375174.5628009206,3430727.9570853068
OH_A04,2026-10-01,RandomForest,High,1.0,3044317.5767565216,3458031.285314581,3430727.9570853077
OH_A05,2025-01-01,LightGBM,Medium,0.5,163503.57496174323,163503.57496174323,163503.57496174323
OH_A05,2025-04-01,LightGBM,Medium,0.5,156553.30544360477,163589.3443855369,156553.30544360477
OH_A05,2025-07-01,LightGBM,Medium,0.5,134006.72062806835,122794.18240713276,130409.47739913777
OH_A05,2025-10-01,LightGBM,Medium,0.5,134006.72062806835,122794.18240713276,117580.84140685458
OH_A05,2026-01-01,LightGBM,Medium,0.5,216349.7913990902,214636.13727785385,165206.11759028674
OH_A05,2026-04-01,LightGBM,Medium,0.5,156553.30544360477,184463.5599482952,115964.74970773312
OH_A05,2026-07-01,LightGBM,Medium,0.5,134006.72062806835,122794.18240713276,335771.7566969213
OH_A05,2026-10-01,LightGBM,Medium,0.5,134006.72062806835,122794.18240713276,611170.3257841974
OH_A06,2025-01-01,XGBoost,Medium,0.5,47568236.0,48733752.0,47115948.0
OH_A06,2025-04-01,XGBoost,Medium,0.5,49649440.0,50653036.0,48311144.0
OH_A06,2025-07-01,XGBoost,Medium,0.5,50528508.0,51491200.0,53246176.0
OH_A06,2025-10-01,XGBoost,Medium,0.5,49753836.0,50338764.0,49448660.0
OH_A06,2026-01-01,XGBoost,Medium,0.5,49712608.0,50609204.0,46709064.0
OH_A06,2026-04-01,XGBoost,Medium,0.5,50847484.0,51514744.0,51186560.0
OH_A06,2026-07-01,XGBoost,Medium,0.5,51107268.0,51547008.0,49643140.0
OH_A06,2026-10-01,XGBoost,Medium,0.5,49671504.0,50338764.0,50177392.0
OH_A07,2025-01-01,XGBoost,Medium,0.5,4057234.75,4085682.75,4062716.5
OH_A07,2025-04-01,XGBoost,Medium,0.5,3344648.25,3356033.25,3389593.0
OH_A07,2025-07-01,XGBoost,Medium,0.5,3756472.25,3739658.5,3702767.0
OH_A07,2025-10-01,XGBoost,Medium,0.5,4038895.75,4053688.75,3784225.75
OH_A07,2026-01-01,XGBoost,Medium,0.5,4699637.0,4542023.0,4447655.5
OH_A07,2026-04-01,XGBoost,Medium,0.5,4518274.0,4176784.0,4131936.0
OH_A07,2026-07-01,XGBoost,Medium,0.5,4227016.5,3949982.5,4742497.0
OH_A07,2026-10-01,XGBoost,Medium,0.5,4148486.0,3990330.25,4498585.5
OH_A09,2025-01-01,LightGBM,Medium,0.5,945691.1654298747,945691.1654298747,945691.1654298747
OH_A09,2025-04-01,LightGBM,Medium,0.5,1040155.326674821,1047191.3656167528,1040155.326674821
OH_A09,2025-07-01,LightGBM,Medium,0.5,898137.6116421566,895245.2663708142,894540.368413226
OH_A09,2025-10-01,LightGBM,Medium,0.5,898137.6116421566,958691.4250181662,881711.7324209429
OH_A09,2026-01-01,LightGBM,Medium,0.5,957025.7200619867,974187.376963275,916437.1643261149
OH_A09,2026-04-01,LightGBM,Medium,0.5,899479.340218237,896586.9949468946,858890.7844823652
OH_A09,2026-07-01,LightGBM,Medium,0.5,898137.6116421566,958691.4250181662,1088568.093078897
OH_A09,2026-10-01,LightGBM,Medium,0.5,898137.6116421566,895245.2663708142,1305459.1193508469
OH_A10,2025-01-01,LightGBM,Medium,0.5,16759133.433571002,16759133.433571002,16905167.172347143
OH_A10,2025-04-01,LightGBM,Medium,0.5,16249369.450741177,16884560.181315836,16552265.49960814
OH_A10,2025-07-01,LightGBM,Medium,0.5,16837451.92772799,18242479.889686745,17140065.315246493
OH_A10,2025-10-01,LightGBM,Medium,0.5,16478254.987274248,17771612.770035293,17253781.802544918
OH_A10,2026-01-01,LightGBM,Medium,0.5,16431316.627805699,18238001.031320646,17418495.558849145
OH_A10,2026-04-01,LightGBM,Medium,0.5,15994259.640762063,18110745.715916313,17087928.461668525
OH_A10,2026-07-01,LightGBM,Medium,0.5,16814540.430870157,18626322.49288806,18053743.012750804
OH_A10,2026-10-01,LightGBM,Medium,0.5,16316680.262389503,20071440.03964278,18154915.524061788
OH_A11,2025-01-01,XGBoost,High,1.0,921147.4375,919889.3125,918282.0
OH_A11,2025-04-01,XGBoost,High,1.0,1082953.75,1109110.0,1045239.875
OH_A11,2025-07-01,XGBoost,High,1.0,1024361.8125,1088553.375,912773.0625
OH_A11,2025-10-01,XGBoost,High,1.0,1203417.625,1328819.625,1148233.0
OH_A11,2026-01-01,XGBoost,High,1.0,1278351.625,1588462.125,1336798.25
OH_A11,2026-04-01,XGBoost,High,1.0,1263123.625,1508843.5,1253808.5
OH_A11,2026-07-01,XGBoost,High,1.0,1251551.625,1377082.5,1228334.25
OH_A11,2026-10-01,XGBoost,High,1.0,1202113.875,1302765.875,1250283.125
OH_A12,2025-01-01,Ridge,High,1.0,16826321.20949646,16790053.287447184,16862589.131213434
OH_A12,2025-04-01,Ridge,High,1.0,19196021.85207894,19106290.95426177,19285752.749699216
OH_A12,2025-07-01,Ridge,High,1.0,20181717.648675404,20025382.813927747,20338052.483280003
OH_A12,2025-10-01,Ridge,High,1.0,20790154.429976035,20561183.117497873,21019125.742373828
OH_A12,2026-01-01,Ridge,High,1.0,21359768.961936936,21054413.38817109,21665124.535973616
OH_A12,2026-04-01,Ridge,High,1.0,21637054.295876104,21254150.550731216,22019958.041174103
OH_A12,2026-07-01,Ridge,High,1.0,21718299.665391594,21257971.530885205,22178627.800005764
OH_A12,2026-10-01,Ridge,High,1.0,21664422.85378517,21127729.115047004,22201116.592906993
OH_A16,2025-01-01,RandomForest,High,1.0,354206.2708462751,356515.96873152757,347259.7866611548
OH_A16,2025-04-01,RandomForest,High,1.0,369064.1740269617,378490.4729511899,347853.61076480214
OH_A16,2025-07-01,RandomForest,High,1.0,378253.8356960853,380506.76297944307,342770.1703522672
OH_A16,2025-10-01,RandomForest,High,1.0,369790.13585436,382492.5529301106,330462.820075788
OH_A16,2026-01-01,RandomForest,High,1.0,380159.86786739057,420651.39611975854,344917.0970605428
OH_A16,2026-04-01,RandomForest,High,1.0,386859.8368763203,432132.980026135,346286.9658801241
OH_A16,2026-07-01,RandomForest,High,1.0,390421.2845377728,423557.7975655309,339313.4633412394
OH_A16,2026-10-01,RandomForest,High,1.0,411372.60416713293,423557.79756553087,336164.10882205435
OH_B01,2025-01-01,LightGBM,Medium,0.5,5875895.015686952,5914618.213532216,5875895.015686952
OH_B01,2025-04-01,LightGBM,Medium,0.5,5758484.104532595,5820815.968309291,5758484.104532595
OH_B01,2025-07-01,LightGBM,Medium,0.5,5785517.590802695,5729431.3410545075,5840146.056069382
OH_B01,2025-10-01,LightGBM,Medium,0.5,5740230.6341628395,5684144.384414652,5740459.984387713
OH_B01,2026-01-01,LightGBM,Medium,0.5,5750724.344169264,5535591.701538203,5720548.315755234
OH_B01,2026-04-01,LightGBM,Medium,0.5,5741572.36273892,5552982.729278002,5711396.334324891
OH_B01,2026-07-01,LightGBM,Medium,0.5,5740230.6341628395,5551641.000701921,5775488.189561268
OH_B01,2026-10-01,LightGBM,Medium,0.5,5740230.6341628395,5551641.000701921,5943459.256263718
OH_B02,2025-01-01,LightGBM,High,1.0,2818802.162534108,2818802.162534108,2818802.162534108
OH_B02,2025-04-01,LightGBM,High,1.0,2696072.908042652,2715497.7266239575,2696072.908042652
OH_B02,2025-07-01,LightGBM,High,1.0,2972648.6037885235,3255938.3011164884,2937548.649336727
OH_B02,2025-10-01,LightGBM,High,1.0,3625550.415058108,3845719.0589843364,3545795.8501114915
OH_B02,2026-01-01,LightGBM,High,1.0,3908593.793592102,4280927.779347121,3800395.751908316
OH_B02,2026-04-01,LightGBM,High,1.0,4627359.147844592,4780573.6279591145,3838212.142293428
OH_B02,2026-07-01,LightGBM,High,1.0,4585338.732282527,4641988.2432685215,4476879.446989623
OH_B02,2026-10-01,LightGBM,High,1.0,4477126.816327843,4501809.824301942,4682874.559806208
OH_B03,2025-01-01,LightGBM,Medium,0.5,1644273.0119273686,1644273.0119273686,1644273.0119273686
OH_B03,2025-04-01,LightGBM,Medium,0.5,1730721.197741962,1756291.0066891338,1730721.197741962
OH_B03,2025-07-01,LightGBM,Medium,0.5,1812084.2355070522,1922450.192464185,1808486.9922781214
OH_B03,2025-10-01,LightGBM,Medium,0.5,1754069.926103102,1920422.3537042104,1737644.0468818878
OH_B03,2026-01-01,LightGBM,Medium,0.5,1713699.8363193364,1848541.9035502227,1673111.2805834643
OH_B03,2026-04-01,LightGBM,Medium,0.5,1644611.649004098,1779453.7162349843,1604023.093268226
OH_B03,2026-07-01,LightGBM,Medium,0.5,1643269.9204280176,1778111.987658904,1845034.9564968706
OH_B03,2026-10-01,LightGBM,Medium,0.5,1643269.9204280176,1778111.987658904,2005203.2293893697
OH_B05,2025-01-01,LightGBM,Medium,0.5,24610231.467144858,24610231.467144858,24610231.467144858
OH_B05,2025-04-01,LightGBM,Medium,0.5,26875621.07139954,27134707.37448299,28097410.688697405
OH_B05,2025-07-01,LightGBM,Medium,0.5,27089468.701011065,27561731.765663866,29309489.3689389
OH_B05,2025-10-01,LightGBM,Medium,0.5,24995447.759138253,28009067.002522845,28094525.56637149
OH_B05,2026-01-01,LightGBM,Medium,0.5,25062806.364938173,28044672.08332641,27321643.33931644
OH_B05,2026-04-01,LightGBM,Medium,0.5,25276852.95531998,28608822.8607397,26775922.086440362
OH_B05,2026-07-01,LightGBM,Medium,0.5,25089773.490264446,28735407.089922927,28532544.643615745
OH_B05,2026-10-01,LightGBM,Medium,0.5,24751379.56546474,28240583.47630307,29206463.21248881
OH_B06,2025-01-01,XGBoost,Medium,0.5,121295.7578125,120037.6640625,121614.78125
OH_B06,2025-04-01,XGBoost,Medium,0.5,104673.5546875,103415.1953125,104992.5859375
OH_B06,2025-07-01,XGBoost,Medium,0.5,112160.9140625,101538.7109375,112212.5546875
OH_B06,2025-10-01,XGBoost,Medium,0.5,112160.9140625,101538.7109375,109421.6484375
OH_B06,2026-01-01,XGBoost,Medium,0.5,141261.1875,130638.9921875,104235.2890625
OH_B06,2026-04-01,XGBoost,Medium,0.5,126045.0859375,110298.8671875,58248.65625
OH_B06,2026-07-01,XGBoost,Medium,0.5,133374.46875,108235.9765625,108816.0546875
OH_B06,2026-10-01,XGBoost,Medium,0.5,133374.46875,101538.7109375,107409.9296875
OH_C01,2025-01-01,LightGBM,Medium,0.5,8765124.210076613,8707496.793590443,8765124.210076613
OH_C01,2025-04-01,LightGBM,Medium,0.5,7217676.72376037,7170956.897393223,7207382.016009468
OH_C01,2025-07-01,LightGBM,Medium,0.5,6840242.177770875,6694245.772912219,6815397.031396617
OH_C01,2025-10-01,LightGBM,Medium,0.5,6592748.601705401,6641634.908058474,6656640.299322364
OH_C01,2026-01-01,LightGBM,Medium,0.5,6318153.924291368,6194780.511367024,6416622.340304221
OH_C01,2026-04-01,LightGBM,Medium,0.5,6310357.9708806155,6373085.794173832,6468541.324861284
OH_C01,2026-07-01,LightGBM,Medium,0.5,6265908.420467179,6374825.8798953965,6653727.69727179
OH_C01,2026-10-01,LightGBM,Medium,0.5,6237533.2056209985,6397037.204594976,6625623.186275121
OH_C02,2025-01-01,XGBoost,Medium,0.5,5051076.5,5154453.0,5085803.0
OH_C02,2025-04-01,XGBoost,Medium,0.5,5075266.0,5050727.0,5140378.5
OH_C02,2025-07-01,XGBoost,Medium,0.5,5378397.5,5343214.5,5473415.5
OH_C02,2025-10-01,XGBoost,Medium,0.5,5229495.0,5143334.0,5064531.0
OH_C02,2026-01-01,XGBoost,Medium,0.5,5175241.5,5351220.0,5217250.5
