unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
OH_A01,2025-01-01,2699221.648665999,3.5212798e+06,3045394.4187697098,2412602.0916200066
OH_A01,2025-04-01,2553590.6811603676,2.936134e+06,2924784.9940826967,2958733.650141296
OH_A01,2025-07-01,2823562.2425621077,3.3528098e+06,3461369.0280789845,3217823.22262838
OH_A01,2025-10-01,3043630.0525006503,3.3403948e+06,3552474.7668200247,3307289.006304986
OH_A01,2026-01-01,3240215.733184633,3.7701688e+06,3764132.0397078865,3646631.8290871093
OH_A01,2026-04-01,3050392.557448111,3.144704e+06,3921922.2564526997,3794757.1674929494
OH_A01,2026-07-01,3275710.088501326,3.8825855e+06,4410959.041460349,3850015.598065111
OH_A01,2026-10-01,3287606.0011762152,3.6946252e+06,4316350.648784371,3815501.5577314245
OH_A02,2025-01-01,15747131.940298857,1.6264992e+07,17542666.69018095,16442078.658300929
OH_A02,2025-04-01,16103476.480352623,1.6633424e+07,17446492.825130627,16880763.782008123
OH_A02,2025-07-01,16609396.881636128,1.6442243e+07,17482364.658702306,17210236.76975608
OH_A02,2025-10-01,16760890.276589086,1.6423992e+07,17363352.18482053,17297086.42493036
OH_A02,2026-01-01,16089543.878975218,1.7375842e+07,17623923.183761936,17650934.98816783
OH_A02,2026-04-01,16093431.615670359,1.6520225e+07,17703704.669929523,17799808.022058796
OH_A02,2026-07-01,16998784.159045875,1.6884564e+07,17766936.351141106,17859206.478655577
OH_A02,2026-10-01,17245031.729562003,1.803408e+07,17688983.956256885,17824787.58180624
OH_A03,2025-01-01,3660406.2435183157,3.908003e+06,3337500.165553344,3446955.1298498744
OH_A03,2025-04-01,3276206.564091589,3.386668e+06,3235627.941047854,3758613.0921583613
OH_A03,2025-07-01,3724025.529446798,3.7486458e+06,3510283.8461238155,3922926.79507465
OH_A03,2025-10-01,3387188.8309083204,3.4306575e+06,3574913.5375688514,3945058.2346867723
OH_A03,2026-01-01,3853107.8460085327,3.928912e+06,3722073.679299696,4248854.230432873
OH_A03,2026-04-01,3585968.8933582967,3.4027205e+06,3704810.418644453,4371217.401850157
OH_A03,2026-07-01,3902275.5461785793,3.8464558e+06,3725874.5376322493,4412712.426138607
OH_A03,2026-10-01,4375937.795262979,3.8753482e+06,3725298.178972107,4370163.167234368
OH_A04,2025-01-01,3181400.091661078,2.9130622e+06,3170685.234734641,3113145.562073312
OH_A04,2025-04-01,3056538.981792627,2.8797318e+06,3175675.5883628246,3154106.065288092
OH_A04,2025-07-01,3021040.617861816,2.9211785e+06,3193636.103362641,3147838.89888532
OH_A04,2025-10-01,3008211.9818695327,2.9231415e+06,3211983.4841873664,3083654.629470871
OH_A04,2026-01-01,3140811.5359252067,2.9145992e+06,3434346.752703158,3320817.3965293197
OH_A04,2026-04-01,2985391.033930956,2.8754642e+06,3413838.456373775,3418459.4630950494
OH_A04,2026-07-01,3226402.8971595992,3.1234052e+06,3430727.9570853068,3445088.7521782396
OH_A04,2026-10-01,3257760.8950770795,3.3959108e+06,3430727.9570853077,3396665.7909065085
OH_A05,2025-01-01,163503.57496174323,170436.69,143033.9431784854,404927.4024915078
OH_A05,2025-04-01,156553.30544360477,140704.36,145597.0337077333,517843.76251272275
OH_A05,2025-07-01,130409.47739913777,135688.38,150543.1315312158,553492.1249419339
OH_A05,2025-10-01,117580.84140685458,130635.18,152542.43930897687,512234.65150837996
OH_A05,2026-01-01,165206.11759028674,162459.25,156084.54392792785,766593.1696887757
OH_A05,2026-04-01,115964.74970773312,79462.125,156678.0123051808,869438.0406367793
OH_A05,2026-07-01,335771.7566969213,114545.33,155747.8322325917,899206.3836231446
OH_A05,2026-10-01,611170.3257841974,107409.93,156520.09927998614,852050.7717286684
OH_A06,2025-01-01,44063677.08345408,4.7115948e+07,49850553.9235375,46513461.102771625
OH_A06,2025-04-01,45828772.68228984,4.8311144e+07,49628148.06573574,42739666.162959084
OH_A06,2025-07-01,46243318.56107513,5.3246176e+07,50229087.54120503,40814342.6907698
OH_A06,2025-10-01,47363583.306170456,4.944866e+07,49888941.847778544,39946229.76106066
OH_A06,2026-01-01,46784995.71079004,4.6709064e+07,50229087.54120505,39935050.65772124
OH_A06,2026-04-01,47363583.306170456,5.118656e+07,50229087.541205056,40036268.87619597
OH_A06,2026-07-01,47530467.375814445,4.964314e+07,50229087.54120505,40081379.82791654
OH_A06,2026-10-01,47530467.375814445,5.017739e+07,49888941.847778544,40059570.060945846
OH_A07,2025-01-01,3458839.314109747,4.0627165e+06,3563152.9949916084,3044101.1708825966
OH_A07,2025-04-01,3237253.1925785663,3.389593e+06,3227325.7222001716,3437434.956369455
OH_A07,2025-07-01,3192449.885296743,3.702767e+06,3542587.606489335,3736571.853812742
OH_A07,2025-10-01,3408062.16766227,3.7842258e+06,3818530.3225660617,3804833.3694283282
OH_A07,2026-01-01,3590557.724545831,4.4476555e+06,3986152.4979698067,4142381.126503463
OH_A07,2026-04-01,3319135.819067226,4.131936e+06,4464789.43227771,4282505.318234363
OH_A07,2026-07-01,3838248.200910192,4.742497e+06,4344705.995615298,4337675.755042675
OH_A07,2026-10-01,3871328.27996268,4.4985855e+06,4435585.793165548,4302334.028997532
OH_A09,2025-01-01,945691.1654298747,753545.5,861970.1813812688,1078848.4256140925
OH_A09,2025-04-01,1040155.326674821,826772.0,876265.6381568403,1282721.1049088999
OH_A09,2025-07-01,894540.368413226,713524.8,854858.322973818,1369909.6717467178
OH_A09,2025-10-01,881711.7324209429,582263.94,793480.7066265831,1356121.3596210405
OH_A09,2026-01-01,916437.1643261149,793784.25,858742.1009181805,1632362.1277760724
OH_A09,2026-04-01,858890.7844823652,862287.25,824541.5577565456,1743199.8109228453
OH_A09,2026-07-01,1088568.093078897,752494.44,801683.5558708536,1777926.790380462
OH_A09,2026-10-01,1305459.1193508469,764406.75,777636.7544177552,1732786.8236762295
OH_A10,2025-01-01,16905167.172347143,1.6320566e+07,18498029.270238347,17177946.26051312
OH_A10,2025-04-01,16552265.49960814,1.737836e+07,18519658.617714,18035956.97695278
OH_A10,2025-07-01,17140065.315246493,1.5917217e+07,18391712.26430719,18641273.765452296
OH_A10,2025-10-01,17253781.802544918,1.5568379e+07,18158129.53632872,18862136.653206546
OH_A10,2026-01-01,17418495.558849145,1.7088202e+07,18870691.08281774,19297518.653338335
OH_A10,2026-04-01,17087928.461668525,1.730095e+07,18996697.9147366,19494651.202612776
OH_A10,2026-07-01,18053743.012750804,1.7522816e+07,19089404.52009029,19582893.325979725
OH_A10,2026-10-01,18154915.524061788,1.842937e+07,19171538.553764857,19563420.77884567
OH_A11,2025-01-01,590704.1082534059,918282.0,668491.3806697362,735397.8467046602
OH_A11,2025-04-01,729053.1395558638,1.0452399e+06,832339.8157893872,886931.2840234335
OH_A11,2025-07-01,643028.3733194511,912773.06,744233.3396179436,951180.8817472891
OH_A11,2025-10-01,817110.2612203503,1.148233e+06,791493.165811586,923040.960372596
OH_A11,2026-01-01,955808.5620490845,1.3367982e+06,780726.1130564304,1188781.7944700536
OH_A11,2026-04-01,805623.8679138842,1.2538085e+06,774840.0885809313,1295346.9167092629
OH_A11,2026-07-01,1035301.1765104171,1.2283342e+06,702705.3311257365,1327585.886450095
