unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
OH_A01,2025-01-01,2699221.648665999,3.5689952e+06,3031672.5079751606,2340066.247853757
OH_A01,2025-04-01,2561611.5809925226,3.0838442e+06,2847654.023584106,2779271.8547038473
OH_A01,2025-07-01,2943638.7643870716,3.9261182e+06,3562868.146669937,2905153.5532761225
OH_A01,2025-10-01,3397246.5595450243,3.955223e+06,3616734.025049991,2849346.3814290212
OH_A01,2026-01-01,3405609.205607549,4.790815e+06,3907777.539152108,3024829.273563941
OH_A01,2026-04-01,3201508.452194934,4.4358965e+06,4355791.84572387,3022377.3736633984
OH_A01,2026-07-01,3114386.5810860647,3.992754e+06,4384720.898178855,2924096.2821225645
OH_A01,2026-10-01,3123040.5510561303,3.9525948e+06,4564705.747882504,2719609.9763322854
OH_A02,2025-01-01,15060367.553083261,1.6000898e+07,17328361.802112665,16369542.814534687
OH_A02,2025-04-01,15769737.822044691,1.6880628e+07,17126378.29027714,16701301.986570675
OH_A02,2025-07-01,16399614.356847571,1.541491e+07,17153932.583887763,16897567.10040383
OH_A02,2025-10-01,16701762.425086707,1.5442584e+07,16930625.24821938,16839143.800054397
OH_A02,2026-01-01,16103372.759379834,1.6099625e+07,17224567.49361389,17028612.489653334
OH_A02,2026-04-01,16139700.670578072,1.6721743e+07,17224567.49361389,17027120.1318028
OH_A02,2026-07-01,16701444.054643402,1.5952887e+07,17125650.090195727,16933253.989798725
OH_A02,2026-10-01,17060624.985257518,1.6129048e+07,17002731.867944952,16729760.7058721
OH_A03,2025-01-01,3660406.2435183157,3.9206575e+06,3336175.309820398,3374419.2860836247
OH_A03,2025-04-01,3284227.463923744,3.4563342e+06,3271760.656124976,3579151.29672091
OH_A03,2025-07-01,3816586.738200759,3.8637298e+06,3576078.85918081,3610257.1257223887
OH_A03,2025-10-01,3817596.74267771,3.6616185e+06,3709404.699141019,3487115.609810804
OH_A03,2026-01-01,4334393.978560562,4.3777615e+06,3915248.4413708034,3613669.297001985
OH_A03,2026-04-01,4415142.765714026,4.1965265e+06,4438542.979884608,3590907.7717131237
OH_A03,2026-07-01,4307525.332163948,4.0216548e+06,4407153.515345561,3476994.4790844647
OH_A03,2026-10-01,4307525.332163948,4.1129228e+06,4556561.326144948,3265536.412613715
OH_A04,2025-01-01,3181400.091661078,2.9537792e+06,3139247.692156517,3040609.718307062
OH_A04,2025-04-01,3057558.3594815913,3.0291512e+06,3126626.3232058315,2974644.2698506443
OH_A04,2025-07-01,3083438.257653398,3.0561102e+06,3140264.51540725,2822058.9130614223
OH_A04,2025-10-01,3083438.257653398,3.0707038e+06,3136317.197869513,2588863.3419814007
OH_A04,2026-01-01,3249957.675527326,3.0558888e+06,3308758.1862855526,2653639.404945397
OH_A04,2026-04-01,3094537.173533075,3.0146635e+06,3272062.048520907,2617055.815239626
OH_A04,2026-07-01,3093195.4449569946,3.0561102e+06,3375174.5628009206,2493245.8960219556
OH_A04,2026-10-01,3093195.4449569946,3.0707038e+06,3458031.285314581,2279171.1239718357
OH_A05,2025-01-01,163503.57496174323,168859.56,144963.6201766964,332391.55872525764
OH_A05,2025-04-01,163589.3443855369,139126.98,146965.22736385954,338381.96707527526
OH_A05,2025-07-01,122794.18240713276,125979.99,154794.93324117322,240822.45558967814
OH_A05,2025-10-01,122794.18240713276,117628.26,156266.4736908,34902.54167742259
OH_A05,2026-01-01,214636.13727785385,183738.94,162495.25258989882,111666.75546644302
OH_A05,2026-04-01,184463.5599482952,110298.87,163212.93587443585,75889.83758270193
OH_A05,2026-07-01,122794.18240713276,97003.57,166199.4845604677,-47340.83578288136
OH_A05,2026-10-01,122794.18240713276,101538.71,166199.48456046765,-261529.04234476556
OH_A06,2025-01-01,44135791.27470703,4.873375e+07,49595065.8893114,46440925.25900538
OH_A06,2025-04-01,45778849.05929799,5.0653036e+07,48939753.41355337,42545788.216497645
OH_A06,2025-07-01,45441790.80324488,5.14912e+07,49203156.0205659,40469014.45360304
OH_A06,2025-10-01,46562055.54834021,5.0338764e+07,48738354.90765148,39437689.578104086
OH_A06,2026-01-01,45983467.95295979,5.0609204e+07,49078500.60107799,39260195.42082766
OH_A06,2026-04-01,46562055.54834021,5.1514744e+07,49078500.601078,39196728.04205291
OH_A06,2026-07-01,46562055.54834021,5.154701e+07,49078500.601078,39100936.13034976
OH_A06,2026-10-01,46562055.54834021,5.0338764e+07,48738354.907651484,38927384.58416582
OH_A07,2025-01-01,3458839.314109747,4.0856828e+06,3563152.9949916084,2971565.327116347
OH_A07,2025-04-01,3245274.0924107214,3.3560332e+06,3270526.8686449835,3257973.1609320072
OH_A07,2025-07-01,3296107.4236147874,3.7396585e+06,3603308.344325277,3423902.184460488
OH_A07,2025-10-01,3513651.62401628,4.0536888e+06,3905795.3877472277,3346890.7445523636
OH_A07,2026-01-01,3720309.857414498,4.542023e+06,4433220.78491212,3516364.3244113037
OH_A07,2026-04-01,3412957.00291716,4.176784e+06,4467513.662802066,3507628.338502434
OH_A07,2026-07-01,3795670.9732333627,3.9499825e+06,4596939.205277922,3408692.934907063
OH_A07,2026-10-01,3752099.7991035436,3.9903302e+06,4450641.474026113,3204553.127654976
OH_A09,2025-01-01,945691.1654298747,751968.3,889983.2148027932,1006312.5818478428
OH_A09,2025-04-01,1047191.3656167528,825194.8,954882.2937200682,1103259.3094714526
OH_A09,2025-07-01,895245.2663708142,734661.4,992364.7910058118,1057240.0023944615
OH_A09,2025-10-01,958691.4250181662,644543.5,983927.7359991813,889032.6181991748
OH_A09,2026-01-01,974187.376963275,882389.7,1000223.1592828704,985541.3247228372
OH_A09,2026-04-01,896586.9949468946,1.0765501e+06,1014089.3580235888,955268.5439997884
OH_A09,2026-07-01,958691.4250181662,913480.6,1040349.8366356688,835827.4308041912
OH_A09,2026-10-01,895245.2663708142,982441.8,1076050.0522080148,622988.1873202506
OH_A10,2025-01-01,16759133.433571002,1.5954049e+07,18283724.382170063,17105410.416746862
OH_A10,2025-04-01,16884560.181315836,1.7402868e+07,18319205.70081494,17856495.18151534
OH_A10,2025-07-01,18242479.889686745,1.5939952e+07,18230029.17611592,18328604.09610004
OH_A10,2025-10-01,17771612.770035293,1.5437418e+07,18026201.171273783,18404194.02833057
OH_A10,2026-01-01,18238001.031320646,1.5993923e+07,18611688.319943674,18686807.50553576
OH_A10,2026-04-01,18110745.715916313,1.6411145e+07,18737695.151862532,18728843.712169837
OH_A10,2026-07-01,18626322.49288806,1.5707723e+07,18710677.87978484,18662237.05685913
OH_A10,2026-10-01,20071440.03964278,1.5749371e+07,18710677.87978485,18476795.54772732
OH_A11,2025-01-01,590704.1082534059,919889.3,685162.8703733099,662862.00293841
OH_A11,2025-04-01,736089.178497796,1.10911e+06,816186.6867347866,707469.4885859862
OH_A11,2025-07-01,700092.506267665,1.0885534e+06,794993.2415318326,638511.2123950329
OH_A11,2025-10-01,887003.0301608472,1.3288196e+06,844243.6910450986,451393.2088681115
OH_A11,2026-01-01,1069918.0096768702,1.5884621e+06,854797.5416411438,538353.4317186915
OH_A11,2026-04-01,892635.5823032369,1.5088435e+06,838616.4423347719,504915.72325500543
OH_A11,2026-07-01,945670.0854668688,1.3770825e+06,822726.6136240425,383364.7769790271
OH_A11,2026-10-01,834891.4261456068,1.3027659e+06,820804.8781457555,169689.11173930974
OH_A12,2025-01-01,16640550.09434582,1.5017968e+07,18030722.103321996,16790053.287447184
OH_A12,2025-04-01,16783969.0687922,1.7852264e+07,18756254.679972157,19106290.95426177
OH_A12,2025-07-01,18695374.009004407,1.7310466e+07,19309914.83647501,20025382.813927747
OH_A12,2025-10-01,20209897.111309785,1.7413838e+07,20182665.31838349,20561183.117497873
OH_A12,2026-01-01,20987386.908350363,1.807587e+07,21451573.3023624,21054413.38817109
OH_A12,2026-04-01,21256679.88454508,1.7610714e+07,21412191.568580933,21254150.550731216
OH_A12,2026-07-01,21882518.30377593,1.6414416e+07,21346807.1970611,21257971.530885205
OH_A12,2026-10-01,22529632.462828435,1.5101233e+07,21346807.1970611,21127729.115047004
OH_A16,2025-01-01,362654.2946245887,396836.34,356515.96873152757,537114.0532911688
OH_A16,2025-04-01,349016.6403366614,417248.9,378490.4729511899,546958.6498859515
OH_A16,2025-07-01,389189.7090021738,299145.56,380506.76297944307,453830.5362345136
