unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
OH_A01,2025-01-01,2699221.648665999,3.5743842e+06,3031672.50797516,2376334.169903037,2949156.6147829657
OH_A01,2025-04-01,2553590.6811603676,2.9477692e+06,2835674.8413885524,2869002.7525210287,2801159.484841137
OH_A01,2025-07-01,2847765.4790575863,3.630946e+06,3497355.732544867,3061488.3880237946,3278043.138501451
OH_A01,2025-10-01,3084662.2701928383,3.6360412e+06,3532099.962313383,3078317.693907189,3351696.320912722
OH_A01,2026-01-01,3320017.6510163695,4.250931e+06,3723142.7068213522,3341276.255050446,3676924.6212339913
OH_A01,2026-04-01,3130194.4752798476,4.0617715e+06,3657560.4292507833,3411853.422194927,3577684.609163276
OH_A01,2026-07-01,3045828.997219817,4.3248475e+06,3734569.777233644,3389687.463450921,3641088.8862171657
OH_A01,2026-10-01,3054482.9671898824,4.4383475e+06,3736913.003360863,3274402.440630189,3648522.605403588
OH_A02,2025-01-01,15051123.707865985,1.5541231e+07,17447484.58030546,16405810.736583956,16146487.32467153
OH_A02,2025-04-01,15126984.810963312,1.5474184e+07,17394917.409560688,16791032.884387854,16214463.86230688
OH_A02,2025-07-01,15178787.497189911,1.4749468e+07,17374790.39261,17053901.935151502,16092339.304501316
OH_A02,2025-10-01,14925454.455557344,1.3093094e+07,17213883.58933137,17068115.11253259,15564302.273383176
OH_A02,2026-01-01,14216050.684991695,1.3413244e+07,17406090.804196436,17345579.41413121,15583008.983243592
OH_A02,2026-04-01,13598995.361758284,1.4107191e+07,17445425.302336127,17416904.276760813,15632766.48509236
OH_A02,2026-07-01,12917336.688094744,1.3583051e+07,17408908.431307714,17398878.344041407,15315549.079286575
OH_A02,2026-10-01,12781781.431522347,1.4527616e+07,17408908.431307714,17284511.27501942,15498443.610677838
OH_A03,2025-01-01,3660406.2435183157,3.926046e+06,3336175.3098203978,3410687.208132903,3582785.0180014325
