unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
OH_A01,2025-01-01,51959.22734061923,62968.562,66491.14299028537,62162.28234356607,60837.74470139602
OH_A01,2025-04-01,52949.79190177612,64276.855,68970.30357862778,63716.26417466751,62436.10494773477
OH_A01,2025-07-01,52846.62848122263,62122.926,71580.35718934791,64870.669699671824,62780.235603954156
OH_A01,2025-10-01,54983.92153429468,66974.78,75279.52465704647,63370.06209160063,65438.81351686417
OH_A01,2026-01-01,67064.71615768468,75823.586,77177.31290846254,66426.97550324505,72160.747181049
OH_A01,2026-04-01,69247.09088878475,76095.125,81115.5094959387,66460.92416679874,73950.42233787394
OH_A01,2026-07-01,68686.91101083237,76060.26,83558.93940386201,66274.48656504885,74450.1155915648
OH_A01,2026-10-01,71023.96463291871,72807.484,83282.12737618362,65022.81980323832,73915.71519681487
OH_A02,2025-01-01,262482.34245422797,263383.06,270192.2129411574,292920.0231498964,270322.45853195264
OH_A02,2025-04-01,252185.39189369613,258227.06,265509.4954250917,291241.4955281544,264523.52252991026
OH_A02,2025-07-01,246877.79455643214,250363.39,258367.34251597876,293502.530653914,259358.0248593887
OH_A02,2025-10-01,236165.78896408388,251024.83,251011.24140078956,289936.0691146895,253903.16467731615
OH_A02,2026-01-01,242312.553596057,257736.33,254481.3726037887,292403.71691381966,258786.27632116154
OH_A02,2026-04-01,236886.57357393054,259007.16,252983.5295449764,291243.3171614072,257020.70676067617
OH_A02,2026-07-01,230098.89065389393,253732.67,248169.20508590608,290045.77988910256,252190.79146168387
OH_A02,2026-10-01,221143.27171154896,253537.75,239514.1249040301,287603.4673041733,246814.98062561627
OH_A03,2025-01-01,52214.543922322046,48768.207,47279.32222810036,47381.57754113868,49034.22635397137
OH_A03,2025-04-01,52581.16166424086,51824.54,50568.09416808606,47501.36242552861,50904.62772341634
OH_A03,2025-07-01,50921.38011300604,54815.336,54914.28575930511,47335.47412853154,52457.15987597443
