unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
OH_A01,2025-01-01,2699221.648665999,2.7491605e+06,3031672.5079751615,2340066.247853757
OH_A01,2025-04-01,2561611.5809925226,3.147605e+06,2847654.0235841065,2779271.8547038473
OH_A01,2025-07-01,2943638.7643870716,3.6765525e+06,3562868.1466699354,2905153.5532761225
OH_A01,2025-10-01,3397246.5595450243,3.7154425e+06,3616734.02504999,2849346.3814290212
OH_A01,2026-01-01,3405609.205607549,4.0669245e+06,3907777.539152108,3024829.273563941
OH_A01,2026-04-01,3201508.452194934,4.164701e+06,4355791.845723871,3022377.3736633984
OH_A01,2026-07-01,3114386.5810860647,4.2533535e+06,4384720.898178855,2924096.2821225645
OH_A01,2026-10-01,3123040.5510561303,4.1194972e+06,4564705.747882505,2719609.9763322854
OH_A02,2025-01-01,15060367.553083261,1.5525448e+07,17328361.802112665,16369542.814534687
OH_A02,2025-04-01,15769737.822044691,1.5384902e+07,17126378.29027714,16701301.986570675
OH_A02,2025-07-01,16399614.356847571,1.5092807e+07,17153932.583887767,16897567.10040383
OH_A02,2025-10-01,16701762.425086707,1.4169064e+07,16930625.248219382,16839143.800054397
OH_A02,2026-01-01,16103372.759379834,1.3036943e+07,17224567.493613895,17028612.489653334
OH_A02,2026-04-01,16139700.670578072,1.2420783e+07,17224567.49361389,17027120.1318028
OH_A02,2026-07-01,16701444.054643402,1.2725298e+07,17125650.09019573,16933253.989798725
OH_A02,2026-10-01,17060624.985257518,1.2828435e+07,17002731.867944952,16729760.7058721
OH_A03,2025-01-01,3660406.2435183157,3.531847e+06,3336175.309820398,3374419.2860836247
OH_A03,2025-04-01,3284227.463923744,3.3218045e+06,3271760.6561249765,3579151.29672091
OH_A03,2025-07-01,3816586.738200759,3.3926662e+06,3576078.85918081,3610257.1257223887
OH_A03,2025-10-01,3817596.74267771,3.432868e+06,3709404.6991410195,3487115.609810804
OH_A03,2026-01-01,4334393.978560562,3.828734e+06,3915248.4413708034,3613669.297001985
OH_A03,2026-04-01,4415142.765714026,3.8239628e+06,4438542.979884607,3590907.7717131237
OH_A03,2026-07-01,4307525.332163948,4.5541585e+06,4407153.51534556,3476994.4790844647
OH_A03,2026-10-01,4307525.332163948,4.417224e+06,4556561.326144947,3265536.412613715
OH_A04,2025-01-01,3181400.091661078,2.90479e+06,3139247.692156516,3040609.718307062
OH_A04,2025-04-01,3057558.3594815913,2.871743e+06,3126626.323205832,2974644.2698506443
OH_A04,2025-07-01,3083438.257653398,2.8962092e+06,3140264.5154072507,2822058.9130614223
OH_A04,2025-10-01,3083438.257653398,2.9294898e+06,3136317.1978695155,2588863.3419814007
OH_A04,2026-01-01,3249957.675527326,2.9427362e+06,3308758.186285552,2653639.404945397
OH_A04,2026-04-01,3094537.173533075,2.8524862e+06,3272062.0485209064,2617055.815239626
OH_A04,2026-07-01,3093195.4449569946,2.8806832e+06,3375174.56280092,2493245.8960219556
OH_A04,2026-10-01,3093195.4449569946,2.9254962e+06,3458031.285314581,2279171.1239718357
OH_A05,2025-01-01,163503.57496174323,157409.28,144963.6201766964,332391.55872525764
OH_A05,2025-04-01,163589.3443855369,189432.33,146965.2273638595,338381.96707527526
OH_A05,2025-07-01,122794.18240713276,171889.4,154794.93324117325,240822.45558967814
OH_A05,2025-10-01,122794.18240713276,170617.55,156266.47369080005,34902.54167742259
OH_A05,2026-01-01,214636.13727785385,178225.7,162495.25258989888,111666.75546644302
OH_A05,2026-04-01,184463.5599482952,195309.05,163212.93587443582,75889.83758270193
OH_A05,2026-07-01,122794.18240713276,186491.4,166199.48456046765,-47340.83578288136
OH_A05,2026-10-01,122794.18240713276,181873.08,166199.48456046768,-261529.04234476556
OH_A06,2025-01-01,44135791.27470703,4.3965868e+07,49595065.8893114,46440925.25900538
OH_A06,2025-04-01,45778849.05929799,4.7946444e+07,48939753.41355338,42545788.216497645
OH_A06,2025-07-01,45441790.80324488,4.89471e+07,49203156.02056591,40469014.45360304
OH_A06,2025-10-01,46562055.54834021,4.819123e+07,48738354.907651514,39437689.578104086
OH_A06,2026-01-01,45983467.95295979,4.589931e+07,49078500.60107799,39260195.42082766
OH_A06,2026-04-01,46562055.54834021,4.8535988e+07,49078500.601077996,39196728.04205291
OH_A06,2026-07-01,46562055.54834021,4.8523548e+07,49078500.601078,39100936.13034976
OH_A06,2026-10-01,46562055.54834021,4.6556424e+07,48738354.907651484,38927384.58416582
OH_A07,2025-01-01,3458839.314109747,3.7571895e+06,3563152.994991608,2971565.327116347
OH_A07,2025-04-01,3245274.0924107214,4.0293345e+06,3270526.8686449835,3257973.1609320072
OH_A07,2025-07-01,3296107.4236147874,4.281776e+06,3603308.344325275,3423902.184460488
OH_A07,2025-10-01,3513651.62401628,4.7362835e+06,3905795.3877472277,3346890.7445523636
OH_A07,2026-01-01,3720309.857414498,4.351423e+06,4433220.78491212,3516364.3244113037
OH_A07,2026-04-01,3412957.00291716,4.046318e+06,4467513.662802067,3507628.338502434
OH_A07,2026-07-01,3795670.9732333627,4.1319338e+06,4596939.205277922,3408692.934907063
OH_A07,2026-10-01,3752099.7991035436,4.1876228e+06,4450641.474026112,3204553.127654976
OH_A09,2025-01-01,945691.1654298747,891045.8,889983.2148027933,1006312.5818478428
OH_A09,2025-04-01,1047191.3656167528,1.00246806e+06,954882.2937200682,1103259.3094714526
OH_A09,2025-07-01,895245.2663708142,892559.7,992364.7910058119,1057240.0023944615
OH_A09,2025-10-01,958691.4250181662,864179.2,983927.7359991814,889032.6181991748
OH_A09,2026-01-01,974187.376963275,953427.75,1000223.1592828701,985541.3247228372
OH_A09,2026-04-01,896586.9949468946,936200.94,1014089.3580235888,955268.5439997884
OH_A09,2026-07-01,958691.4250181662,937178.6,1040349.8366356686,835827.4308041912
OH_A09,2026-10-01,895245.2663708142,946433.3,1076050.052208015,622988.1873202506
OH_A10,2025-01-01,16759133.433571002,1.723743e+07,18283724.38217006,17105410.416746862
OH_A10,2025-04-01,16884560.181315836,1.6963172e+07,18319205.70081494,17856495.18151534
OH_A10,2025-07-01,18242479.889686745,1.6741331e+07,18230029.176115923,18328604.09610004
OH_A10,2025-10-01,17771612.770035293,1.6221353e+07,18026201.171273787,18404194.02833057
OH_A10,2026-01-01,18238001.031320646,1.6863456e+07,18611688.319943678,18686807.50553576
OH_A10,2026-04-01,18110745.715916313,1.7112728e+07,18737695.151862532,18728843.712169837
OH_A10,2026-07-01,18626322.49288806,1.6516608e+07,18710677.879784845,18662237.05685913
OH_A10,2026-10-01,20071440.03964278,1.6462836e+07,18710677.879784845,18476795.54772732
OH_A11,2025-01-01,590704.1082534059,619994.5,685162.87037331,662862.00293841
OH_A11,2025-04-01,736089.178497796,909360.7,816186.6867347865,707469.4885859862
OH_A11,2025-07-01,700092.506267665,831328.2,794993.2415318325,638511.2123950329
OH_A11,2025-10-01,887003.0301608472,851940.4,844243.6910450986,451393.2088681115
OH_A11,2026-01-01,1069918.0096768702,835582.9,854797.5416411441,538353.4317186915
OH_A11,2026-04-01,892635.5823032369,788658.2,838616.4423347717,504915.72325500543
OH_A11,2026-07-01,945670.0854668688,775864.0,822726.6136240426,383364.7769790271
OH_A11,2026-10-01,834891.4261456068,786055.3,820804.8781457555,169689.11173930974
OH_A12,2025-01-01,16640550.09434582,1.8198124e+07,18030722.10332199,16790053.287447184
OH_A12,2025-04-01,16783969.0687922,1.9984546e+07,18756254.679972157,19106290.95426177
OH_A12,2025-07-01,18695374.009004407,1.960029e+07,19309914.83647501,20025382.813927747
OH_A12,2025-10-01,20209897.111309785,2.1074532e+07,20182665.31838349,20561183.117497873
OH_A12,2026-01-01,20987386.908350363,2.2882344e+07,21451573.3023624,21054413.38817109
OH_A12,2026-04-01,21256679.88454508,2.1935176e+07,21412191.568580937,21254150.550731216
OH_A12,2026-07-01,21882518.30377593,2.1301554e+07,21346807.19706109,21257971.530885205
OH_A12,2026-10-01,22529632.462828435,2.110338e+07,21346807.19706109,21127729.115047004
OH_A16,2025-01-01,362654.2946245887,410533.88,356515.9687315274,537114.0532911688
OH_A16,2025-04-01,349016.6403366614,403011.22,378490.47295119,546958.6498859515
OH_A16,2025-07-01,389189.7090021738,260714.56,380506.7629794431,453830.5362345136
OH_A16,2025-10-01,394105.7625379316,354985.84,382492.5529301106,250397.66738153412
OH_A16,2026-01-01,436175.18651650264,432238.38,420651.3961197587,328514.7445291525
OH_A16,2026-04-01,395447.49111401214,355787.75,432132.980026135,292946.4637996098
OH_A16,2026-07-01,394105.7625379316,321215.47,423557.7975655309,169875.04161360674
OH_A16,2026-10-01,394105.7625379316,338892.56,423557.797565531,-44297.47726700455
OH_B01,2025-01-01,5914618.213532216,6.3218465e+06,6181021.574001625,5959834.518608852
OH_B01,2025-04-01,5820815.968309291,6.361355e+06,6155215.762124365,6046713.377023718
OH_B01,2025-07-01,5729431.3410545075,6.386431e+06,6325240.027513658,6067876.701202451
OH_B01,2025-10-01,5684144.384414652,6.440775e+06,6409584.275828123,5921750.732362806
OH_B01,2026-01-01,5535591.701538203,6.309261e+06,6278338.67381732,6031244.503862466
OH_B01,2026-04-01,5552982.729278002,6.4224205e+06,6427425.816327296,6002485.26110893
OH_B01,2026-07-01,5551641.000701921,6.4900435e+06,6440749.985348748,5886147.439296371
OH_B01,2026-10-01,5551641.000701921,6.5611105e+06,6456088.290844347,5674683.088781598
OH_B02,2025-01-01,2818802.162534108,2.7863362e+06,1978295.3689918327,2433071.653497928
OH_B02,2025-04-01,2715497.7266239575,3.2656052e+06,2156696.9232143224,3130949.8928537425
OH_B02,2025-07-01,3255938.3011164884,3.8229145e+06,2266102.8871602067,3585104.924968698
OH_B02,2025-10-01,3845719.0589843364,4.5949745e+06,2355036.275755635,3642008.2956750887
OH_B02,2026-01-01,4280927.779347121,5.1511505e+06,2550418.0859411173,3919162.81022383
OH_B02,2026-04-01,4780573.6279591145,5.180193e+06,2666282.6291926396,3951129.9277348174
OH_B02,2026-07-01,4641988.2432685215,5.2468275e+06,2781821.801243279,3878601.7916232916
OH_B02,2026-10-01,4501809.824301942,5.2369055e+06,2901582.5624461183,3688510.225769191
OH_B03,2025-01-01,1644273.0119273686,2.0422979e+06,1605386.5153985205,1429921.4321606471
OH_B03,2025-04-01,1756291.0066891338,1.8831649e+06,1692038.8766831646,1566357.381235985
OH_B03,2025-07-01,1922450.192464185,2.0826714e+06,1729770.4377107339,1511848.406206848
OH_B03,2025-10-01,1920422.3537042104,1.8255604e+06,1730814.4865285256,1350063.69561823
OH_B03,2026-01-01,1848541.9035502227,1.8103339e+06,1783903.0352833627,1448173.097634391
OH_B03,2026-04-01,1779453.7162349843,1.6606969e+06,1766735.6069899322,1419420.3388308054
OH_B03,2026-07-01,1778111.987658904,1.7298236e+06,1761514.289305756,1300071.7862652093
OH_B03,2026-10-01,1778111.987658904,1.5802926e+06,1771121.4010858852,1087078.922115989
OH_B05,2025-01-01,24610231.467144858,2.5004778e+07,34085915.49417326,27213637.463616736
OH_B05,2025-04-01,27134707.37448299,2.8102382e+07,33096134.24423238,32168516.599275146
OH_B05,2025-07-01,27561731.765663866,2.8702798e+07,33398309.072797425,36849426.82525819
OH_B05,2025-10-01,28009067.002522845,3.0279782e+07,32593831.548046093,38558361.80627108
OH_B05,2026-01-01,28044672.08332641,3.0857076e+07,33221701.03894691,39968552.06268099
OH_B05,2026-04-01,28608822.8607397,3.0739314e+07,33165137.598723255,40634707.18018901
OH_B05,2026-07-01,28735407.089922927,3.1018256e+07,33182254.939692207,40999396.195214935
OH_B05,2026-10-01,28240583.47630307,3.2853704e+07,33182254.9396922,41049704.18989877
OH_B06,2025-01-01,122151.10484162248,87363.96,77353.54210718072,260158.21923472953
OH_B06,2025-04-01,105536.76582661773,113585.195,77212.55477283508,268253.71700229123
OH_B06,2025-07-01,107460.00874127081,98774.805,78082.36349563091,174306.98544642795
OH_B06,2025-10-01,107460.00874127081,100635.07,74077.09968025786,-29828.5728839878
OH_B06,2026-01-01,146361.1270810527,106561.21,76017.83865876186,47767.47789420001
OH_B06,2026-04-01,113580.79291028142,95993.37,76017.83865876187,12123.312435539905
OH_B06,2026-07-01,112239.0643342009,97253.12,76017.83865876186,-110944.30956700025
OH_B06,2026-10-01,107460.00874127081,94603.37,74649.29194383822,-325042.44337259635
OH_C01,2025-01-01,8707496.793590443,8.83551e+06,6512099.319191202,7403829.304049752
OH_C01,2025-04-01,7170956.897393223,7.032599e+06,6201307.846916278,6318028.1034745565
OH_C01,2025-07-01,6694245.772912219,6.746421e+06,6177795.59643432,5205938.424837387
OH_C01,2025-10-01,6641634.908058474,6.7164345e+06,6258276.795913175,4658429.886902797
OH_C01,2026-01-01,6194780.511367024,6.2629555e+06,6175330.328487434,4594838.334134447
OH_C01,2026-04-01,6373085.794173832,6.4025525e+06,6290526.241437816,4549219.590915046
OH_C01,2026-07-01,6374825.8798953965,6.2932675e+06,6275350.715774984,4421243.33575317
OH_C01,2026-10-01,6397037.204594976,6.300352e+06,6258328.99187792,4213486.066586717
OH_C02,2025-01-01,5607221.7584144855,5.1007395e+06,5114439.32256177,4868534.756552014
OH_C02,2025-04-01,5540784.468817858,5.160781e+06,5174623.912901226,5030676.981532699
OH_C02,2025-07-01,5563347.652918679,5.3146205e+06,5285868.432042945,5119583.869706911
OH_C02,2025-10-01,5216985.265133707,5.0086195e+06,5302125.2896034345,5007119.641411542
OH_C02,2026-01-01,5625834.348264645,5.0714995e+06,5328743.891319682,5146786.657486265
OH_C02,2026-04-01,5603320.256929798,5.3279955e+06,5358102.075494078,5127829.116778835
OH_C02,2026-07-01,5563347.652918679,5.364186e+06,5341708.304180661,5020121.939159344
OH_C02,2026-10-01,5563347.652918679,5.16839e+06,5361112.634953631,4812319.48443297
OH_C03,2025-01-01,9393761.08291125,9.28533e+06,8901920.770537032,7988805.424577779
OH_C03,2025-04-01,9851061.398978839,8.717621e+06,9018451.826403426,8507497.646442678
OH_C03,2025-07-01,9642900.513969935,9.313126e+06,8925272.258682063,8773862.442899618
OH_C03,2025-10-01,9769339.735252004,9.02256e+06,8925272.258682063,8760035.69772539
OH_C03,2026-01-01,9851843.218795812,9.110409e+06,8919035.422079477,8980219.616235808
OH_C03,2026-04-01,9601597.170903783,9.03197e+06,8861780.21863427,8989567.343564034
OH_C03,2026-07-01,9494364.01004975,9.092459e+06,8946180.312737912,8901798.446706112
OH_C03,2026-10-01,9471077.328884788,8.853748e+06,8946180.312737912,8702130.804722913
OH_C04,2025-01-01,117565.0097649092,57800.336,44161.11095338409,248429.900767233
OH_C04,2025-04-01,105536.76582661773,98208.48,46817.60746784217,256843.12882787362
OH_C04,2025-07-01,107460.00874127081,81956.54,47836.7574394497,160782.52554109693
OH_C04,2025-10-01,107460.00874127081,86790.23,48777.7889831619,-44132.951252068626
OH_C04,2026-01-01,146361.1270810527,87120.23,50175.05250294945,33196.92597846151
OH_C04,2026-04-01,113580.79291028142,86629.664,50469.276328877895,-2491.5933803287335
OH_C04,2026-07-01,112239.0643342009,86629.664,50993.299489765486,-125678.18665657355
OH_C04,2026-10-01,107460.00874127081,86629.664,52036.416979921356,-339871.0904934676
OH_C05,2025-01-01,1781032.8454835177,1.7282894e+06,1604311.7246407238,1457440.8509554463
OH_C05,2025-04-01,1834806.9753398886,1.8830926e+06,1708967.6630716096,1591028.7324395077
OH_C05,2025-07-01,1778111.987658904,1.7796539e+06,1668251.3841089392,1614223.6629897226
OH_C05,2025-10-01,1946926.3027379387,1.9177716e+06,1729474.31141961,1477547.1946145296
OH_C05,2026-01-01,1927415.4486863592,1.6843441e+06,1746497.2540015818,1594783.8855251754
OH_C05,2026-04-01,1779453.7162349843,1.6842909e+06,1714258.1677553016,1569153.3006447228
OH_C05,2026-07-01,1778111.987658904,1.5637071e+06,1688839.3812228942,1454577.3206243822
OH_C05,2026-10-01,1778111.987658904,1.6498076e+06,1680193.483678499,1243877.3901604163
OH_C07,2025-01-01,10884675.09947212,1.0886448e+07,12656037.728880482,12098938.765260227
OH_C07,2025-04-01,10892164.333805237,1.1551921e+07,13141685.437548598,12567855.498559136
OH_C07,2025-07-01,10247897.075953703,1.1320936e+07,13383578.587270603,12820682.236841694
OH_C07,2025-10-01,10459233.160650587,1.122926e+07,13250718.518605748,12796215.019562732
OH_C07,2026-01-01,11958655.732895026,1.2537333e+07,13434555.17965134,13008114.184254281
OH_C07,2026-04-01,12903880.66448679,1.1596189e+07,13491249.645735167,13015085.988464098
OH_C07,2026-07-01,13025874.927593965,1.143756e+07,13387872.354210565,12926398.871669292
OH_C07,2026-10-01,13666152.984657057,1.1568301e+07,13387872.354210563,12726204.240720969
OH_C08,2025-01-01,5660643.590420022,5.819906e+06,5847618.1324709505,5790084.093636761
OH_C08,2025-04-01,5650096.41278738,5.707653e+06,5696056.629848641,5963102.981988623
OH_C08,2025-07-01,5568552.7424955955,5.697172e+06,5865189.220052378,5999190.148133065
OH_C08,2025-10-01,5551641.000701921,5.7161425e+06,5817805.062223821,5872997.483388848
OH_C08,2026-01-01,5562134.710708345,5.724585e+06,5804435.9838701915,5997967.287074435
OH_C08,2026-04-01,5552982.729278002,5.7226725e+06,5850935.946290006,5975439.609402965
OH_C08,2026-07-01,5551641.000701921,5.707259e+06,5875681.803340224,5862789.809696457
OH_C08,2026-10-01,5551641.000701921,5.7561535e+06,5921237.262982136,5652395.100376795
OH_C09,2025-01-01,9960098.303935362,9.66189e+06,10898280.568208214,10521683.169190705
OH_C09,2025-04-01,10190531.108970443,9.433865e+06,10595451.275524857,10959931.543287996
OH_C09,2025-07-01,9918916.437314292,9.274261e+06,10839498.757236721,11214190.9663015
OH_C09,2025-10-01,9983021.245887559,9.994184e+06,10499756.752135502,11185185.148398872
OH_C09,2026-01-01,11066686.270218153,9.847421e+06,10745897.651308734,11394683.399905592
OH_C09,2026-04-01,10657024.379556593,9.836724e+06,10438981.869439026,11400022.832983982
OH_C09,2026-07-01,10305569.705748977,1.0021604e+07,10438578.72565215,11311007.68773456
OH_C09,2026-10-01,10289889.096074434,9.958198e+06,10318945.259782989,11110695.494129289
OH_C10,2025-01-01,11483045.799695898,1.1649782e+07,12919147.687641643,12405191.820947856
OH_C10,2025-04-01,11659788.436681405,1.206226e+07,13279318.465297034,12735540.484588493
OH_C10,2025-07-01,11547443.586767035,1.2007071e+07,13555267.324257579,12904654.494605415
OH_C10,2025-10-01,11545317.639869083,1.1450177e+07,13275233.476794308,12837737.010787886
OH_C10,2026-01-01,12408655.121656515,1.1308089e+07,13522532.751819894,13013222.122231513
OH_C10,2026-04-01,12415179.748752795,1.1209302e+07,13507654.619492944,13008503.960413259
OH_C10,2026-07-01,12906811.96429973,1.106726e+07,13465339.350777615,12911814.55234661
OH_C10,2026-10-01,13593017.366952479,1.049252e+07,13387872.354210563,12707997.56544352
OH_D01,2025-01-01,3227653.815962306,2.8987252e+06,2872493.533905106,2952554.469710433
OH_D01,2025-04-01,3019371.823219104,2.9075285e+06,2838621.1472852537,2834710.8900043545
OH_D01,2025-07-01,3102099.9891465697,2.837129e+06,2941166.0500929374,2687606.069399732
OH_D01,2025-10-01,3083438.257653398,2.845013e+06,2936870.253379304,2453082.0348449266
OH_D01,2026-01-01,3240200.488223729,2.899619e+06,2955089.310242488,2517179.2064506942
OH_D01,2026-04-01,3084779.9862294784,2.831536e+06,2940737.2665552096,2477939.8974563917
OH_D01,2026-07-01,3083438.257653398,2.8341752e+06,2947165.8729305663,2352559.045499691
OH_D01,2026-10-01,3083438.257653398,2.8758268e+06,2946177.8918255214,2137672.9851723798
OH_D02,2025-01-01,2250118.204721216,2.4531305e+06,2344370.0175228096,2371847.071976428
OH_D02,2025-04-01,2210753.3117926638,2.4057405e+06,2320481.76866241,2330372.6100284457
OH_D02,2025-07-01,2312741.501231784,2.2744118e+06,2401631.2763169375,2199642.450695296
OH_D02,2025-10-01,2236635.4835839574,2.2832212e+06,2419202.6225218773,1977050.3472127896
OH_D02,2026-01-01,2376642.3143131696,2.4766358e+06,2550616.8170541977,2047215.380275513
OH_D02,2026-04-01,2529552.259599559,2.4044938e+06,2580545.3124541007,2011107.7754634283
OH_D02,2026-07-01,2523287.130365844,2.284417e+06,2639708.218310142,1887676.257506704
OH_D02,2026-10-01,2523287.130365844,2.2932265e+06,2663038.031467253,1673565.7875918355
OH_D04,2025-01-01,2928241.3604324665,3.350697e+06,2851278.60978369,2990544.0349033354
OH_D04,2025-04-01,2799182.1129509616,3.2481768e+06,2665857.3506368045,2600363.9847431323
