unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IL_A01,2025-01-01,25418.074227825877,25276.016,26978.647150051846,12829.212947437802
IL_A01,2025-04-01,27635.015437459057,29580.723,33053.90776084102,11690.425761638333
IL_A01,2025-07-01,35732.037556864496,39062.598,37472.99645149947,13289.294246972931
IL_A01,2025-10-01,40796.3997998633,43558.133,40385.233276268395,18785.923898802946
IL_A01,2026-01-01,44561.08198883002,48474.184,47563.52615647171,26267.891481595376
IL_A01,2026-04-01,46737.37076204964,54378.49,49751.48973867786,33000.07512350072
IL_A01,2026-07-01,53172.92709063828,57877.113,51912.73161021079,38948.6690344656
IL_A01,2026-10-01,57537.235044748144,59277.53,54403.567773210125,43887.21299348724
IL_A02,2025-01-01,136402.02654420337,134118.97,138906.3218579193,120184.42836755827
IL_A02,2025-04-01,128980.64505999502,138168.6,134391.34377442085,114256.92552248719
IL_A02,2025-07-01,132924.9708958402,139884.1,134134.41387090576,108285.70144033081
IL_A02,2025-10-01,135995.47625873573,137812.25,133705.46224719076,112165.02258943896
IL_A02,2026-01-01,136842.41136603022,140081.61,133563.02027378997,121661.14317268984
IL_A02,2026-04-01,138167.23963402244,140770.28,133060.66815083928,130723.553992377
IL_A02,2026-07-01,141529.0098083302,152932.02,132876.05134628565,139187.1871155303
IL_A02,2026-10-01,137938.63495973035,155990.28,132738.0608405963,147341.73725785507
IL_A03,2025-01-01,22444.52249574893,21249.586,18160.049368041728,17185.777736810232
IL_A03,2025-04-01,22664.498171905725,21458.994,17385.710886696746,17506.713759471077
IL_A03,2025-07-01,25647.948757170107,22072.533,19270.831998376772,17352.78646802657
IL_A03,2025-10-01,25734.191497933276,22988.225,19838.667983109277,17550.19704574632
IL_A03,2026-01-01,25073.461306933954,22719.816,19796.5816367312,18879.94802079151
IL_A03,2026-04-01,24784.701449748467,23662.871,19972.568091227422,19175.261527088
IL_A03,2026-07-01,24142.070542033925,23769.486,19703.11990139562,19011.065236163555
IL_A03,2026-10-01,24023.563455510655,23382.342,19543.603124323767,18563.638980120013
IL_A04,2025-01-01,44524.96174446379,43293.855,50980.117130080034,45178.82944226015
IL_A04,2025-04-01,48266.72532088124,47118.297,53853.673849629595,42632.19933422988
IL_A04,2025-07-01,53930.405360355435,48342.38,56607.88536573023,41111.805228188205
IL_A04,2025-10-01,55271.74455547455,53991.52,56944.63390018524,41443.99387432582
IL_A04,2026-01-01,54629.116068994605,57531.03,58872.53298662039,43270.42460709867
IL_A04,2026-04-01,55306.426514444815,58947.57,59504.072323805434,44913.797534018944
IL_A04,2026-07-01,56025.30975960541,62094.504,60874.51400471117,46302.82912679439
IL_A04,2026-10-01,56553.488604904924,61651.05,60475.67115451525,47447.37575432176
IL_A05,2025-01-01,1880.8112106505557,1859.4019,1361.9988098883673,1801.5739296361244
IL_A05,2025-04-01,2030.1109229338701,1839.9775,1386.1513571983674,1591.1675089636246
