unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IN_A01,2025-01-01,32789.708142187286,39701.832,42685.99232608491,23056.92424057846,35897.04291328158
IN_A01,2025-04-01,37741.95563341742,45122.05,47386.31779173894,17187.439873532567,39133.54287355264
IN_A01,2025-07-01,37619.645261448815,45518.17,45401.20377087063,15190.010793611546,38323.60487341348
IN_A01,2025-10-01,38205.22887290251,54489.457,46743.40860760422,11303.789136638074,40717.29919510204
IN_A01,2026-01-01,39524.778833553304,51474.363,47981.632735849016,11341.437697374662,40600.02969858349
IN_A01,2026-04-01,39918.97941008252,48789.805,48517.724598203815,11584.444834905245,40154.40064415004
IN_A01,2026-07-01,40494.868407631766,50166.246,49224.92704868928,13136.152923282418,41149.580032220685
IN_A01,2026-10-01,39684.6083004487,50702.9,49526.94464186352,15349.440950135471,41522.14450866591
IN_A02,2025-01-01,115657.64382128947,138008.08,125523.24216424067,119684.07306062934,125300.05130540548
IN_A02,2025-04-01,112675.5433321736,133585.83,124372.65491248574,114589.0332399133,122086.75754344129
IN_A02,2025-07-01,106848.55227935307,136828.02,124911.35101244468,110754.70184344071,120895.87974597336
IN_A02,2025-10-01,102971.15184585097,136471.89,124875.74855170111,107405.41941085333,119163.73931972413
IN_A02,2026-01-01,101253.96574114582,139509.48,126248.16699014457,107330.05451456911,119905.389652119
IN_A02,2026-04-01,101224.52524354047,140920.58,126258.06318618957,107206.22436707171,120271.56227141843
IN_A02,2026-07-01,102038.76168442043,141235.12,127250.13972994774,108116.16524757915,121012.76611549778
IN_A02,2026-10-01,101259.2125723113,142978.95,126515.81535195558,109904.44443205812,121367.80454167143
IN_A03,2025-01-01,18790.953305481227,19041.197,19146.51654054055,19377.16377333325,19056.616347037718
IN_A03,2025-04-01,17940.917725657786,20329.102,19304.764103096157,19406.774771971624,19228.19973349723
IN_A03,2025-07-01,17613.643047772537,22018.277,19744.137035249616,19416.56906947965,19731.841822769326
IN_A03,2025-10-01,17880.071454457353,22849.578,19544.45658581017,19190.443050776772,19943.219447852127
IN_A03,2026-01-01,18773.567057978205,21457.846,19160.992939586977,20517.895508159265,19914.047586253088
IN_A03,2026-04-01,17940.917725657786,23364.195,19694.867771777008,20928.0729449355,20430.274478364146
IN_A03,2026-07-01,17857.77901683649,21637.457,19611.726297198496,21216.377753122986,19951.637551581327
IN_A03,2026-10-01,17880.071454457353,22520.34,19418.584121676602,21372.156359922374,20174.19430028182
IN_A04,2025-01-01,61910.02944185401,69171.31,61612.078669856615,61394.179691651894,63758.013606168
IN_A04,2025-04-01,56258.1788647538,72397.32,59706.90327854957,57816.959189437344,61965.78853361634
IN_A04,2025-07-01,52973.85167819073,71336.195,56152.537993247846,55298.48650794979,59348.464072597344
