unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1584620.065981106,1.5199932e+06,1727285.3669046217,1000453.2401280691
IN_A01,2025-04-01,1855522.5623180298,1.845455e+06,1966568.123215833,1065186.8770192731
IN_A01,2025-07-01,1936259.6274807614,1.8089395e+06,2190451.902335135,988385.3031572248
IN_A01,2025-10-01,2148545.6317090853,1.8063816e+06,2218829.0143639958,1000887.7959440384
IN_A01,2026-01-01,2218237.5542320088,1.9061596e+06,2386234.4202864883,1105679.7311077705
IN_A01,2026-04-01,2484099.5922030318,1.9604561e+06,2497620.4910167055,1120822.3441644222
IN_A01,2026-07-01,2575709.135928058,1.9931179e+06,2611907.768377574,1111407.4179563846
IN_A01,2026-10-01,2638062.3702208167,1.9783588e+06,2747090.2036842825,1091704.6362024941
IN_A02,2025-01-01,6722788.061419352,6.7397555e+06,6991912.50586531,7048221.389363429
IN_A02,2025-04-01,6473556.256578882,6.5422045e+06,6902777.355389184,7048994.961199477
IN_A02,2025-07-01,6239137.270176901,6.17935e+06,6943743.694961743,6932496.998998325
IN_A02,2025-10-01,6680723.4451582655,6.3831705e+06,7235873.258316049,6910526.919904027
IN_A02,2026-01-01,7246520.494961872,7.0002785e+06,7297829.443180164,6972259.556146886
IN_A02,2026-04-01,7352268.2141222125,7.298901e+06,7511416.913229307,6947805.392782494
IN_A02,2026-07-01,7483784.206213559,6.954028e+06,7720189.60619989,6900044.045027513
IN_A02,2026-10-01,7517901.956370708,7.1088305e+06,7888444.409192181,6840838.530539874
IN_A03,2025-01-01,1857696.6030414354,1.8626791e+06,1916899.509338676,1669458.4482033453
IN_A03,2025-04-01,1994186.0497633172,1.8980468e+06,1970285.8436906533,1717947.233832251
IN_A03,2025-07-01,2083222.5396652676,1.8556429e+06,2081206.812947108,1694668.1797447829
IN_A03,2025-10-01,2260865.136776438,1.9502118e+06,2100135.879217173,1678049.3913780397
IN_A03,2026-01-01,2482634.4447515192,1.9328126e+06,2179381.4056597264,1774090.026916705
IN_A03,2026-04-01,2575709.135928058,1.9521881e+06,2191011.564712645,1794054.0543962715
IN_A03,2026-07-01,2652674.538187994,1.9494881e+06,2192149.2022122536,1776605.126593269
IN_A03,2026-10-01,2826930.781251543,1.983496e+06,2195245.9093966973,1751468.3294389306
IN_A04,2025-01-01,1360851.9469440416,1.4058022e+06,1429832.308644034,1478886.2608208705
IN_A04,2025-04-01,1337653.2434654443,1.3800335e+06,1411602.38254498,1527079.6612512225
IN_A04,2025-07-01,1353986.1347120777,1.3125316e+06,1415740.2984260765,1505524.7091224648
IN_A04,2025-10-01,1458649.2546087634,1.3275036e+06,1402349.5339039108,1490074.33312635
IN_A04,2026-01-01,1522247.6360725171,1.3061596e+06,1410448.9370145237,1587226.2754471535
IN_A04,2026-04-01,1535795.6029611402,1.2820286e+06,1413489.8492541618,1608541.1813099338
IN_A04,2026-07-01,1535795.6029611402,1.2546098e+06,1413460.1886407866,1592338.2214509214
IN_A04,2026-10-01,1522820.9195534284,1.2325319e+06,1411485.7691454836,1568418.9734484407
IN_A05,2025-01-01,78846.60074518464,77569.73,58227.99231959842,166097.22329658925
IN_A05,2025-04-01,80819.3855302051,57888.297,59372.24259965063,207197.06509634713
IN_A05,2025-07-01,70928.47050012145,24603.33,59540.934141867336,206962.6851791722
IN_A05,2025-10-01,45345.40383648307,50032.004,60684.1213678867,199101.85793024418
IN_A05,2026-01-01,59027.81816615004,105995.01,60259.72511514154,302031.9102843407
IN_A05,2026-04-01,48508.3031043838,112261.71,59707.635374351594,333865.7435673979
IN_A05,2026-07-01,48508.3031043838,97016.48,59607.40961849537,326180.18959490233
IN_A05,2026-10-01,43141.65564463055,97502.54,59749.9197101722,310299.38032306277
IN_A06,2025-01-01,20905996.296871994,1.960602e+07,19900075.200600587,19979609.070267852
IN_A06,2025-04-01,26020387.986988425,2.0641732e+07,19720355.00252887,20251313.95592155
IN_A06,2025-07-01,26244310.779859453,2.6205066e+07,19898922.69561543,19603479.36460503
IN_A06,2025-10-01,26087311.09204649,2.5766368e+07,19885392.34670138,19607652.45746816
IN_A06,2026-01-01,26010380.4997537,2.5420514e+07,19904409.31120662,19654541.750352744
IN_A06,2026-04-01,25838057.67952523,2.5423566e+07,19962745.081029348,19475719.236809503
IN_A06,2026-07-01,25869187.362074375,2.6526008e+07,20114985.087381896,19357709.632592227
IN_A06,2026-10-01,25869187.362074375,2.6582234e+07,20346790.24299644,19227451.003620453
IN_A07,2025-01-01,1688196.0265224301,1.7363672e+06,1636551.0316717043,1358892.3864465426
IN_A07,2025-04-01,1850384.7829498304,1.8321189e+06,1874401.5986747816,1401295.2571165955
IN_A07,2025-07-01,1962852.935218319,1.7932325e+06,1860905.8248964066,1355323.5680539324
IN_A07,2025-10-01,2097494.8158595986,1.7711505e+06,1964739.800565878,1355033.490625679
IN_A07,2026-01-01,2225111.848737529,1.83896e+06,2086875.6908555122,1453155.559258361
IN_A07,2026-04-01,2441931.5177040743,1.9194339e+06,2097607.708698257,1471177.3603563257
IN_A07,2026-07-01,2533541.0614291006,1.9022225e+06,2114954.950348799,1458006.8076416613
IN_A07,2026-10-01,2558068.986813243,1.8874634e+06,2096849.2735420172,1435148.945040402
IN_A09,2025-01-01,635405.9929703614,656551.1,556103.2105762026,680928.6705185085
IN_A09,2025-04-01,669450.9883941975,621864.06,577480.4152438438,723181.4434001094
IN_A09,2025-07-01,724080.8136733775,634014.9,611073.1144280636,710448.0567448481
IN_A09,2025-10-01,694484.8039245895,639751.56,612047.329966919,702222.9330012285
IN_A09,2026-01-01,707045.1168594211,667010.44,613611.0823348872,802811.7529376369
IN_A09,2026-04-01,688289.2640488251,665508.8,614595.5148912338,829838.460252399
IN_A09,2026-07-01,688289.2640488251,665508.8,613905.8767694752,819224.3759669508
IN_A09,2026-10-01,681560.8822162672,650749.56,613178.7004296834,800224.6933478586
IN_A10,2025-01-01,9282518.719533788,1.0375264e+07,10540171.66717443,8758710.626704969
IN_A10,2025-04-01,8528690.430590088,1.0677005e+07,10204184.169105165,8828960.226189928
IN_A10,2025-07-01,9133367.221557885,1.2578444e+07,10892667.429236827,8604224.583438426
IN_A10,2025-10-01,8779002.297431853,1.4662428e+07,10726900.46335828,8594835.836744867
IN_A10,2026-01-01,9491735.849348841,1.5456151e+07,10831810.731973635,8660932.652866393
IN_A10,2026-04-01,9461747.450032897,1.687276e+07,10747810.441202711,8610092.2511222
IN_A10,2026-07-01,10046321.490941482,1.6542197e+07,10813342.772329,8554133.38250688
IN_A10,2026-10-01,10705425.439425185,1.780589e+07,10830591.204368703,8486634.22016774
IN_A11,2025-01-01,508679.48041022103,484505.28,617235.4904714094,719579.594987304
IN_A11,2025-04-01,487488.3639563931,480168.84,630261.5482571033,757764.3412837747
IN_A11,2025-07-01,425994.8529608353,439342.56,654205.191663694,749346.3161643248
IN_A11,2025-10-01,389789.35545573605,432575.9,668372.2162073939,739759.5214102172
IN_A11,2026-01-01,405675.5179772556,472142.78,681545.9622577778,839346.5043910289
IN_A11,2026-04-01,395156.0029154893,410150.28,695687.6908518882,866833.3748512488
IN_A11,2026-07-01,382232.081207167,436304.03,699793.4314557053,855831.0606241205
IN_A11,2026-10-01,376865.43374741374,421544.84,721559.4585516962,836448.6783906809
IN_A12,2025-01-01,8683319.152140569,1.172402e+07,10742688.486248257,6908526.5524497125
IN_A12,2025-04-01,7989266.935426344,1.1388282e+07,9479554.414369585,9701355.63982901
IN_A12,2025-07-01,8079623.134893287,1.1812018e+07,11149536.783541938,7754946.464531705
IN_A12,2025-10-01,7715419.431835411,1.3094365e+07,10652557.797828263,7810654.972379221
IN_A12,2026-01-01,8942737.460720794,1.2302295e+07,10880137.062802033,8349069.691804195
IN_A12,2026-04-01,8822136.79868719,1.1698006e+07,10933849.584710782,8045228.737971494
IN_A12,2026-07-01,9333936.603771983,1.1211568e+07,10888339.520785753,7985997.34564521
IN_A12,2026-10-01,9198833.347933764,1.1379107e+07,11299828.356568487,8000517.838746348
IN_A16,2025-01-01,416965.13615005085,376029.56,372741.90159255057,389353.9802704863
IN_A16,2025-04-01,427467.08534131054,411695.25,339084.15304386447,428849.66484809294
IN_A16,2025-07-01,415372.4221193744,385614.53,403826.69002450525,429127.9395910019
IN_A16,2025-10-01,389789.35545573605,428846.78,385273.65687796223,418785.4140550236
IN_A16,2026-01-01,392751.59626893327,438687.1,422999.40582517005,520148.39134142944
IN_A16,2026-04-01,382232.081207167,410150.28,411883.75804894627,550842.6531632217
IN_A16,2026-07-01,382232.081207167,410150.28,434728.5587649669,541550.691471589
IN_A16,2026-10-01,372470.6764453307,395391.1,433897.5664315515,524193.330311473
IN_B01,2025-01-01,3063686.8305468606,3.1225128e+06,2921533.133640364,3099471.3925040285
IN_B01,2025-04-01,2847650.8260329138,3.0042045e+06,2967494.8195581734,3051163.8700931338
IN_B01,2025-07-01,3149457.888077481,3.0215872e+06,2885294.1314007696,3085508.8839626256
IN_B01,2025-10-01,3542585.616228386,3.1708642e+06,2849069.3002490336,3051994.925536166
IN_B01,2026-01-01,3732396.3351237285,3.367184e+06,2868653.4224000215,3123318.7529764716
IN_B01,2026-04-01,3787469.625467399,3.4604695e+06,2856707.629881316,3144271.012371927
IN_B01,2026-07-01,3722650.754728999,3.6493895e+06,2778642.440283681,3117121.198787892
IN_B01,2026-10-01,3413827.6590737593,3.5585935e+06,2791543.6239443934,3080299.8935964336
IN_B02,2025-01-01,2338057.4133428643,2.345658e+06,2307999.7640340566,2078641.5319344995
IN_B02,2025-04-01,2441032.4241992095,2.4436642e+06,2423067.2234056797,2122695.0169307496
IN_B02,2025-07-01,2789834.3788043917,2.4437508e+06,2525737.2973761912,2092640.8697838732
IN_B02,2025-10-01,2952798.1920874664,2.6472412e+06,2660418.463030206,2076146.6251874163
IN_B02,2026-01-01,3384590.9398023197,2.7605898e+06,2804540.281087472,2169323.436565992
IN_B02,2026-04-01,3338999.44311678,3.0749098e+06,2828694.910379769,2185908.240934327
IN_B02,2026-07-01,3900877.2752573364,3.18692e+06,2751848.206619765,2166235.254325714
IN_B02,2026-10-01,3680858.135655399,3.2192595e+06,2775077.439045231,2138467.97975133
IN_B03,2025-01-01,768657.6222583513,825140.2,894560.5979586778,826530.2241176673
IN_B03,2025-04-01,758360.6826462246,800102.3,858421.6580658626,915214.2371506246
IN_B03,2025-07-01,746266.0194242884,792788.3,917928.2428173528,874875.5393408632
IN_B03,2025-10-01,694484.8039245895,791858.94,852298.6473001563,864534.4212909865
IN_B03,2026-01-01,707045.1168594211,824733.56,890193.0729736373,972115.8723368758
IN_B03,2026-04-01,701213.1857571475,773162.7,888411.6138496082,994165.1703728907
IN_B03,2026-07-01,688289.2640488251,738569.06,899735.2032926052,982021.4829081756
IN_B03,2026-10-01,681560.8822162672,744793.94,899790.7548926973,963258.4418471362
IN_B05,2025-01-01,16923719.67580289,1.4821245e+07,14946343.690243313,16255685.25506244
IN_B05,2025-04-01,17205439.96675812,1.5061944e+07,15805935.357953891,14533144.314583018
IN_B05,2025-07-01,17441821.626942806,1.5145248e+07,14640629.050466534,15286399.04208382
IN_B05,2025-10-01,16689000.447877463,1.6317722e+07,15689847.777418708,15232596.68368644
IN_B05,2026-01-01,16906695.912125256,1.6459506e+07,15410703.060710717,14958561.389808368
IN_B05,2026-04-01,16648513.82355859,1.670264e+07,15374174.99060699,15015554.926221222
IN_B05,2026-07-01,16493356.696668012,1.69691e+07,15316318.105805306,14926629.98605803
IN_B05,2026-10-01,16439166.841482144,1.683344e+07,15364611.215758428,14767140.91598316
IN_B06,2025-01-01,83241.35804726767,72410.2,65741.41295792683,151822.97781810755
IN_B06,2025-04-01,80819.3855302051,57888.297,62287.46519589424,195674.33207806636
IN_B06,2025-07-01,70928.47050012145,24603.33,59980.16716308677,191974.20870885195
IN_B06,2025-10-01,45345.40383648307,50032.004,58085.98625295188,185187.76026947453
IN_B06,2026-01-01,59027.81816615004,105995.01,57834.88362981294,288741.6085911168
IN_B06,2026-04-01,48508.3031043838,112261.71,58409.78296426086,320108.9400997456
IN_B06,2026-07-01,48508.3031043838,97016.48,58785.89704408161,312643.0443116863
IN_B06,2026-10-01,43141.65564463055,97502.54,59702.64259358457,296951.5380411297
IN_C01,2025-01-01,2574418.748812546,2.4960788e+06,2777156.4116233992,3058315.966952986
IN_C01,2025-04-01,2578125.6742126634,2.5265515e+06,2615333.8815345555,3061353.171973258
IN_C01,2025-07-01,2799824.09786829,2.479217e+06,2705715.2468577498,3145845.190612295
IN_C01,2025-10-01,2708557.871362153,2.6034415e+06,2818668.277910365,3072739.8452115282
IN_C01,2026-01-01,3034491.699240067,2.7958628e+06,2764345.2779915263,3149434.614185696
IN_C01,2026-04-01,3048514.9701301297,2.8123815e+06,2761378.941459803,3178939.6659727637
IN_C01,2026-07-01,3096153.7447176296,2.9113865e+06,2790877.6663636738,3145534.756961323
IN_C01,2026-10-01,3081541.576750452,2.8874378e+06,2826742.438647967,3109033.795020673
