cl1,cl2,unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble,,model
IN_N06,SARIMAX,IN_A01,1/1/2025,1568429.936225439,1.5454229e+06,1684629.3111955507,1002409.7526371289,1475388.9929186138,,#N/A
IN_N02,Naive,IN_A01,4/1/2025,1836732.4705235292,1.8708846e+06,1885454.2588661946,1071267.1649902458,1696273.291,,#N/A
IN_A06,LightGBM,IN_A01,7/1/2025,1897598.5768815493,1.8795015e+06,2049652.3260022858,1000470.1749183065,1745551.0410137337,,#N/A
IN_N05,RandomForest,IN_A01,10/1/2025,1974283.6793865154,1.8765429e+06,2130400.053188797,1020973.1652844422,1791265.2775194426,,#N/A
IN_J01,Ridge,IN_A01,1/1/2026,2029244.5344077314,1.9981755e+06,2178167.328968117,1135658.1900201598,1873767.2598622171,,#N/A
IN_B05,HistoricAverage,IN_A01,4/1/2026,2039132.9756847145,2.0497951e+06,2189185.024465972,1162419.8666111575,1898142.5794599205,,#N/A
IN_N03,RandomForest,IN_A01,7/1/2026,2011707.7805386044,2.042384e+06,2206126.907342649,1166257.2718705493,1895197.812912833,,#N/A
IN_R03,RandomForest,IN_A01,10/1/2026,1991693.9683149494,2.1757425e+06,2288047.5819786307,1161326.606308403,1946529.670840736,,#N/A
IN_A12,RandomForest,IN_A02,1/1/2025,6796918.604748965,7.0789015e+06,7008380.445244086,7050177.902,6983059.88,,7050177.902
IN_A10,SARIMAX,IN_A02,4/1/2025,6379291.381530135,6.7970555e+06,6898603.595881719,7055075.212463437,6778323.526072223,,7055075.212463437
IN_A02,Ridge,IN_A02,7/1/2025,5615545.152065976,6.6416645e+06,6888462.972638151,6944581.596357249,6524404.0447096005,,6944581.596357249
IN_C07,SARIMAX,IN_A02,10/1/2025,5648731.431847115,6.6232655e+06,6950614.453223779,6930611.471303964,6542804.417076939,,6930611.471303964
IN_R06,ARIMAX,IN_A02,1/1/2026,5673858.168044079,7.0921485e+06,6931039.556359778,7002235.386180118,6677357.079867774,,7002235.386180118
IN_C10,SARIMAX,IN_A02,4/1/2026,5630456.855256652,7.0798665e+06,6956834.880691881,6989397.618090903,6668235.1538454145,,6989397.618090903
