unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
MI_A01,2025-01-01,30818.84265924413,41723.695,51625.136443231,64185.855141727196
MI_A01,2025-04-01,32143.029408817365,53421.676,49541.71398200016,75677.62914981612
MI_A01,2025-07-01,34931.10811649708,49455.703,48201.10148697075,80829.31632041768
MI_A01,2025-10-01,37406.648161632205,46837.098,50120.76522147888,86229.71404723023
MI_A01,2026-01-01,54701.408819952325,65841.69,57284.84680620421,89090.41419295993
MI_A01,2026-04-01,42172.386063167076,75977.54,53843.936886146126,91175.54579358996
MI_A01,2026-07-01,33182.72555299888,83978.82,50830.97559264964,93031.53407894942
MI_A01,2026-10-01,39858.12135198389,87879.09,50344.14153771134,94761.88590131045
MI_A02,2025-01-01,242116.93248697027,243260.77,253636.1208189393,267119.79609007586
MI_A02,2025-04-01,290145.6140552702,278505.53,260805.18682068415,268478.5497803524
MI_A02,2025-07-01,270309.12731165776,258466.48,255464.59660271803,270970.9192484298
MI_A02,2025-10-01,296893.1842350351,277622.75,260930.6112437029,272965.22457007563
MI_A02,2026-01-01,261784.69547356272,255509.6,256196.94840399033,274659.2626669507
MI_A02,2026-04-01,288704.9468972812,279278.72,259255.9019913451,276481.2478748484
MI_A02,2026-07-01,317400.58573128376,281787.7,257132.99703391068,278339.06254333013
MI_A02,2026-10-01,299065.4661713406,292748.53,259434.39411923228,280232.22336271
MI_A03,2025-01-01,23467.734437012306,23755.904,26108.010424617994,30862.264006230507
MI_A03,2025-04-01,24307.00856414395,24308.914,25926.143782175848,33826.957231295426
MI_A03,2025-07-01,23691.90799132943,22982.814,25352.961532223955,36099.29549614976
MI_A03,2025-10-01,24132.44393142493,22481.273,23553.42922945946,38162.30982810654
MI_A03,2026-01-01,21408.5727775373,22782.531,21378.79268236818,39709.40620256535
MI_A03,2026-04-01,24514.26511079078,22365.143,22081.091509832004,41273.50575162917
MI_A03,2026-07-01,22692.512815265018,21713.404,21921.481719308547,42864.529455629054
MI_A03,2026-10-01,24162.425308470767,21797.754,21786.342678122655,44477.29787432864
MI_A04,2025-01-01,72779.51967445509,78399.016,86411.09691035499,84185.69765774312
MI_A04,2025-04-01,73578.41769445711,82263.29,99297.59151291043,88951.70324156561
MI_A04,2025-07-01,72982.14919774765,83892.69,102998.66733508109,92665.1832481703
MI_A04,2025-10-01,70016.0825628365,88180.52,103910.46211171537,95280.59475381253
MI_A04,2026-01-01,71073.10680313196,95098.06,106952.94907050504,97127.2471709996
MI_A04,2026-04-01,70861.70841772518,100342.96,104802.55069880017,98853.10656757388
MI_A04,2026-07-01,69679.71910217876,106904.75,103842.10287869998,100538.88239620948
MI_A04,2026-10-01,66085.05974326839,113209.82,104617.97651878206,102228.20818279832
MI_A05,2025-01-01,1735.4784984531054,2336.6387,1636.7524024433549,5326.2179966802
MI_A05,2025-04-01,1918.1869310549544,2610.9724,1664.896812387198,7758.1914662037925
MI_A05,2025-07-01,1867.8315894506622,3052.5383,1687.32239183573,9741.942262967586
MI_A05,2025-10-01,1771.6721656323064,3696.5137,1689.272310136111,11593.240837808833
MI_A05,2026-01-01,1943.4486839181882,4483.387,1686.17154165802,13037.485466497346
MI_A05,2026-04-01,1870.353299578967,4263.3228,1688.9325501418962,14542.654889350182
MI_A05,2026-07-01,1781.645069288712,4437.7993,1692.060646894181,16091.139117003913
MI_A05,2026-10-01,1738.802748486493,4243.8037,1695.4201298108705,17668.99628712587
MI_A06,2025-01-01,125770.37175581249,131016.664,131857.42104000528,136262.53608245708
MI_A06,2025-04-01,143313.70762786054,137727.4,132973.35223505166,138781.5546853527
MI_A06,2025-07-01,158470.71526750457,144739.83,133850.81059981507,140799.68558508545
MI_A06,2025-10-01,165955.77891807293,145016.28,134238.38133740984,142742.4300770427
MI_A06,2026-01-01,144063.96543884702,133745.02,131733.65022770737,144339.2910080949
MI_A06,2026-04-01,145838.10114193332,145503.03,133008.41129687254,145999.07736570443
MI_A06,2026-07-01,152495.69317014713,152575.45,133449.77065596494,147705.5167876601
MI_A06,2026-10-01,162708.16798059994,147818.92,133916.794870318,149442.8368051287
MI_A07,2025-01-01,80856.31834778548,86183.06,84764.97103789021,80338.48695243362
