unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
MI_A01,2025-01-01,43837.466550479505,42492.66,56110.947033021264,58332.97086919805
MI_A01,2025-04-01,59281.33896260838,57088.758,60630.131503749915,65858.80991938084
MI_A01,2025-07-01,62567.968621267144,65978.35,63550.91487638713,67866.25642220408
MI_A01,2025-10-01,63185.995923359704,68296.35,67956.09917479473,70754.01187535966
MI_A01,2026-01-01,72298.06259620356,83958.3,71060.62965550374,71284.85898082795
MI_A01,2026-04-01,86623.46462735123,95318.02,80270.15269287876,71100.89221966302
MI_A01,2026-07-01,105787.92171989653,87715.34,82056.6240628377,70692.69808829739
MI_A01,2026-10-01,101333.90010186887,81622.93,79222.37220146628,70148.90596599612
MI_A02,2025-01-01,236003.60949525316,240268.7,251862.91499293313,261266.91181754673
MI_A02,2025-04-01,222664.0817069454,243438.47,259510.7082215023,258745.90024738407
MI_A02,2025-07-01,229955.70921211012,241917.67,253851.064565547,258136.40568677368
MI_A02,2025-10-01,223203.26372719675,264365.9,259600.80346380384,256970.44082063987
MI_A02,2026-01-01,226594.7280782378,248062.61,253849.7149683155,256175.4628936051
MI_A02,2026-04-01,222017.33493780994,246209.17,257284.25733052872,255703.32388658557
MI_A02,2026-07-01,225920.35829095088,244740.52,256135.91978060917,255255.32521241254
MI_A02,2026-10-01,223783.26557806376,264365.9,256762.39954363363,254904.20696586833
MI_A03,2025-01-01,23033.774480796605,24425.12,25662.633500620737,25009.379733701368
MI_A03,2025-04-01,23393.960522252644,24290.178,25469.094590499073,24034.91842413776
MI_A03,2025-07-01,21281.588422607078,23218.033,24686.427238037966,23187.697080497914
MI_A03,2025-10-01,22082.66362677785,22444.254,23891.13696721552,22467.60845906929
MI_A03,2026-01-01,20519.138364391743,23344.379,23117.519366266348,21547.663712297108
MI_A03,2026-04-01,19542.4751765949,22501.754,22899.253729850014,20740.040366364843
MI_A03,2026-07-01,18640.649615479277,21717.836,22552.249992272198,19982.873378777324
MI_A03,2026-10-01,18231.075507018813,21634.404,22547.32626903273,19257.366287893965
MI_A04,2025-01-01,70923.57871169342,72629.484,78814.3140588782,78332.81338521397
MI_A04,2025-04-01,74511.11701786445,76208.28,77097.80627094749,79162.35827533895
MI_A04,2025-07-01,78709.89592123839,79730.97,76111.9192524319,79998.31000200963
MI_A04,2025-10-01,70831.10631251842,74418.75,74522.0417691338,79991.02376908052
MI_A04,2026-01-01,72258.33169015763,75941.93,71685.2694435808,79472.2543014826
MI_A04,2026-04-01,81970.42045582099,80367.266,74345.51231328413,78891.37704034164
MI_A04,2026-07-01,75258.89859845937,72848.68,76061.4715272367,78221.61999381683
MI_A04,2026-10-01,73146.67822471188,76502.88,74919.77241387816,77541.78972858035
MI_A05,2025-01-01,1482.115203914154,1436.7635,1518.3445017026709,-526.6662758489401
MI_A05,2025-04-01,1486.652582645565,1443.6437,1494.6405299371993,-1984.378150250459
MI_A05,2025-07-01,1411.189672497852,1369.6481,1475.24874757172,-3193.8651708787747
MI_A05,2025-10-01,1260.9834571307467,1311.913,1459.3197911624623,-4273.8726939355265
MI_A05,2026-01-01,1431.3873503830664,1363.6205,1441.4735091439693,-5340.266651548489
MI_A05,2026-04-01,1377.2165776715972,1405.9166,1420.8403144830363,-6224.843551409217
MI_A05,2026-07-01,1343.9172484525627,1369.6051,1398.499473961027,-7022.631090492029
MI_A05,2026-10-01,1299.962508331715,1301.9442,1380.9094748216678,-7763.8760502937
MI_A06,2025-01-01,116138.29312414775,122749.14,132201.17734026635,130409.65180992795
MI_A06,2025-04-01,132940.80705037076,130283.12,133484.89223856374,128970.33333559343
MI_A06,2025-07-01,131682.58239055163,139061.56,133596.53006072805,127661.93980319315
MI_A06,2025-10-01,135971.79022458597,142822.78,134353.08620512777,126620.26176704993
MI_A06,2026-01-01,108883.76551247791,123922.72,132293.94981584867,125769.04696635334
MI_A06,2026-04-01,120701.2495016622,133451.31,133361.86822396185,125081.15397813328
MI_A06,2026-07-01,112379.68243494937,141945.48,133471.14326561522,124492.84733178144
MI_A06,2026-10-01,124719.70744103249,139379.42,134064.2887338405,123958.02693829112
MI_A07,2025-01-01,83002.84522206835,85151.36,83252.33084650531,74485.60267990449
MI_A07,2025-04-01,85876.14697755175,84005.98,84302.33383804088,73824.65193667714
MI_A07,2025-07-01,89967.43124392879,81966.555,84786.96715672946,73091.21034671631
MI_A07,2025-10-01,92292.59942166328,82746.57,85315.13413325949,72186.10089176746
MI_A07,2026-01-01,89860.66717417116,81552.984,84213.56135943194,71187.5836224852
MI_A07,2026-04-01,87738.16770955418,82602.1,85565.17717677557,70340.12451361836
MI_A07,2026-07-01,84234.86165924041,79721.4,86604.72521684371,69580.77030513543
MI_A07,2026-10-01,78083.91735392362,79615.32,87539.37818048481,68899.96207567243
MI_A09,2025-01-01,1688.9004693629358,1716.4281,1870.8662016018454,-300.4956949018069
MI_A09,2025-04-01,1447.9490074341704,1800.6759,1898.137330876183,-1726.3941493895454
MI_A09,2025-07-01,1334.6927522864924,1690.1842,1904.6288797771472,-2913.4863067474325
MI_A09,2025-10-01,1181.302007191677,1384.4325,1733.1447283838006,-3963.001621723407
MI_A09,2026-01-01,1233.4651293980896,1448.9677,1877.4636950046183,-5019.601605277615
MI_A09,2026-04-01,1256.8991806294832,1664.798,1889.849979955339,-5899.664677977653
MI_A09,2026-07-01,1330.2273689286067,1447.7799,1914.4638439883768,-6695.804394324895
MI_A09,2026-10-01,1286.2726288077592,1233.8798,1735.017818433636,-7438.127205950787
MI_A10,2025-01-01,338605.6443399411,329670.7,353043.7371185824,348451.9619145909
MI_A10,2025-04-01,340306.7184389352,344183.66,353799.9113472131,347547.74582018226
MI_A10,2025-07-01,348341.27016569447,334162.62,353489.8333316133,347222.71734094946
MI_A10,2025-10-01,336517.0942745513,340646.03,355474.1567574345,346614.73817094916
MI_A10,2026-01-01,338091.9081341051,340407.84,353942.2744731523,346025.72240567475
MI_A10,2026-04-01,350798.86848159623,346492.75,354115.46630792646,345615.40840690036
MI_A10,2026-07-01,334759.65330421645,341370.47,354618.0860933876,345257.6172353822
MI_A10,2026-10-01,346842.5194377429,348002.0,355764.867010678,344973.0337942607
MI_A11,2025-01-01,167709.4449805494,165065.69,166017.0660537144,163338.18002491872
MI_A11,2025-04-01,162221.2199051871,167563.66,166572.58563042173,163322.01273432266
MI_A11,2025-07-01,173608.22338488506,166126.03,166549.783065213,163594.85603067474
MI_A11,2025-10-01,166317.8038339112,167374.67,166200.83519000534,163669.340334843
MI_A11,2026-01-01,168912.070751543,170248.47,167024.1428287843,163199.58977913257
MI_A11,2026-04-01,169470.06213126882,173338.92,167387.03890577005,162704.5356621476
MI_A11,2026-07-01,167777.7782265331,171288.95,166920.124476028,162156.84337783427
MI_A11,2026-10-01,178116.67240234275,174219.28,166479.3187035109,161595.262403349
MI_A12,2025-01-01,23750.604524263697,24665.457,21579.657720225077,21670.432690373338
MI_A12,2025-04-01,22403.09372618405,23202.338,25573.001303887704,21394.930180974152
MI_A12,2025-07-01,22995.684234745582,22878.664,23493.543828828173,20568.139765582495
MI_A12,2025-10-01,21459.775357834278,22413.467,24053.311370281222,19870.8893968234
MI_A12,2026-01-01,23583.398308661097,23551.604,23529.01975435783,19019.71788295384
MI_A12,2026-04-01,23361.526693462423,22974.7,23840.242961126078,18189.836552022658
MI_A12,2026-07-01,21706.252903047225,22182.82,23691.59850569475,17422.092434423794
MI_A12,2026-10-01,23495.72330378547,22032.195,23650.145742378827,16687.49951387268
MI_A16,2025-01-01,1406.2017939740153,1373.017,1417.4848520928751,-798.1327684752669
MI_A16,2025-04-01,1438.2768311002583,1323.111,1409.5925772513406,-2234.138330779293
MI_A16,2025-07-01,1431.2720511988375,1326.8939,1396.8890195420634,-3437.171265170001
MI_A16,2025-10-01,1299.962508331715,1269.5109,1374.2224459253052,-4492.723314833178
MI_A16,2026-01-01,1492.4476038117275,1316.0853,1408.7520988034996,-5551.691465781143
MI_A16,2026-04-01,1483.468052917855,1370.8075,1404.78345055143,-6433.048057034224
MI_A16,2026-07-01,1453.3532534265303,1349.5968,1396.5537314157918,-7229.102119169502
MI_A16,2026-10-01,1409.3985133056829,1269.5109,1378.726406995679,-7971.355813994248
MI_B01,2025-01-01,81523.8374908687,79896.77,90030.84942397548,102321.825695029
MI_B01,2025-04-01,100228.02968405673,75352.305,97208.13770362736,96185.56330139094
