unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
MI_A01,2025-01-01,2482838.397566001,2.8316058e+06,2049911.0337941581,1757040.4473955217,2322055.915148793
MI_A01,2025-04-01,2515624.5290784114,2.8771922e+06,2532056.2638589907,1847863.3629192119,2497070.358770218
MI_A01,2025-07-01,2665353.9708495946,2.9783242e+06,2674120.4132427657,1869094.8451826894,2608329.0841103317
MI_A01,2025-10-01,2757960.948779104,3.1559262e+06,2563715.6087345434,1908770.2318246518,2656291.719619606
MI_A01,2026-01-01,3467168.0598570346,3.3825448e+06,2814982.0829728385,1995792.095563252,2992507.288077517
MI_A01,2026-04-01,3323289.2219727566,3.4309015e+06,2948192.899733518,2066389.7980060382,3018213.8209111947
MI_A01,2026-07-01,3352678.6603706926,3.3926022e+06,3157346.626514325,2129311.416754307,3086765.509911765
MI_A01,2026-10-01,3352678.6603706926,3.292433e+06,3108226.5962330233,2194663.2265268145,3057577.700051222
MI_A02,2025-01-01,10756580.23052398,1.1214555e+07,11250558.882941222,11798347.144112635,11208994.511052443
MI_A02,2025-04-01,12444619.749577636,1.1414999e+07,11517870.303540938,11825830.067232974,11791140.013047379
MI_A02,2025-07-01,11846923.488523673,1.1328644e+07,11178986.802158179,11854549.078587491,11518082.166417394
MI_A02,2025-10-01,11980861.991379214,1.1212633e+07,10760864.010448618,11920216.378355134,11414787.206792153
MI_A02,2026-01-01,11057578.878432326,1.029183e+07,10443022.409445154,11959622.694373094,10838860.982447285
MI_A02,2026-04-01,11381770.318774054,1.0541337e+07,9953293.546967335,12000387.202312745,10859379.374186162
MI_A02,2026-07-01,10481687.795446489,1.0014627e+07,9646917.956405431,12043748.759869188,10399660.95955955
MI_A02,2026-10-01,11523080.159718731,1.0099316e+07,9580488.607151661,12089303.878229618,10687421.48391807
MI_A03,2025-01-01,2105927.8510157494,2.0084519e+06,2007011.226209271,1881910.8484442947,2010999.3184791084
MI_A03,2025-04-01,2131261.5718249884,1.981706e+06,2062472.4334397395,1960301.3583932295,2040496.8090395688
MI_A03,2025-07-01,2056157.3094020782,1.9857076e+06,2100856.3021643544,2013414.7527451357,2042239.7248942924
MI_A03,2025-10-01,2077377.9321425133,2.017104e+06,2153223.0737413554,2070260.024993545,2081524.666388283
MI_A03,2026-01-01,2280944.359918185,2.2029868e+06,2376056.100889694,2142444.5431873794,2262110.504503403
MI_A03,2026-04-01,2241427.6326555344,2.1525405e+06,2494936.294401827,2210497.4629994896,2284300.7903300575
MI_A03,2026-07-01,2259320.7777887257,2.1583485e+06,2483084.967813274,2275971.4442160637,2299039.168410595
MI_A03,2026-10-01,2240481.448081186,2.159467e+06,2488348.1037308443,2342147.2038513636,2307803.7789446316
MI_A04,2025-01-01,1624766.453780103,1.6253705e+06,1539486.8891622,1869674.5340738227,1644799.2369492908
MI_A04,2025-04-01,1507850.030654657,1.5482872e+06,1507238.7325665415,1930472.1605935,1594867.1149119213
MI_A04,2025-07-01,1456236.4699971268,1.49672e+06,1515325.4187423436,1988727.9454459362,1580149.6244673103
MI_A04,2025-10-01,1422128.9425356055,1.4674166e+06,1494317.6324659388,2059469.2997257295,1570006.6862445176
MI_A04,2026-01-01,1514959.675340404,1.5582422e+06,1530458.852227221,2126583.6621225444,1641468.1083398552
MI_A04,2026-04-01,1426107.4756535618,1.5197182e+06,1546588.9454572129,2192436.5339850322,1624070.9047794081
MI_A04,2026-07-01,1388202.4400938475,1.4946599e+06,1551393.1391370608,2258636.6390466467,1620615.2580926726
MI_A04,2026-10-01,1388202.4400938475,1.4927985e+06,1545970.7629033546,2325797.634909704,1630692.380970316
MI_A05,2025-01-01,193261.46871078352,163803.05,160765.17537108285,267271.9425454247,189416.7023012204
MI_A05,2025-04-01,167569.80195319917,180115.69,156533.64734494107,338846.70300281374,198720.80862537984
MI_A05,2025-07-01,134926.33945391243,169047.7,156029.49389922406,401435.7306761411,198256.25871850943
MI_A05,2025-10-01,145526.33265670092,162106.5,159439.72486102083,469131.2100030206,212390.80330154198
MI_A05,2026-01-01,210194.12219404598,175878.31,165697.90046397355,541788.740479775,248124.09483688266
MI_A05,2026-04-01,182534.13952330855,169876.11,159029.23005989208,612329.8652389811,250018.13377643356
MI_A05,2026-07-01,134926.33945391243,158808.11,157426.86335294726,682097.21692391,246574.3215250987
MI_A05,2026-10-01,145526.33265670092,158808.11,160415.13649026258,752478.6080021432,262941.7003021338
MI_A06,2025-01-01,28073174.53177166,2.8910826e+07,29333601.676713526,27874143.441437583,28622592.921314493
MI_A06,2025-04-01,28995517.061108153,2.7327474e+07,28590246.875524193,27365741.529871896,28136549.808416188
MI_A06,2025-07-01,27670424.52403942,2.6992996e+07,28219210.941920206,27352288.08728302,27587333.169825904
MI_A06,2025-10-01,28418180.679207817,2.9414928e+07,29462032.102081664,27449675.441287354,28809651.027305804
MI_A06,2026-01-01,29408390.397013728,2.9892018e+07,29911635.789258946,27430644.5527184,29325162.928395327
MI_A06,2026-04-01,28795092.684227288,2.8336138e+07,29912285.717559975,27425648.56851013,28743282.428771745
MI_A06,2026-07-01,28535953.236700434,2.9192662e+07,29885618.757312395,27432926.981513962,28898925.249042302
MI_A06,2026-10-01,28747182.584202148,2.787073e+07,29914551.76155917,27445726.431593843,28609597.51644495
MI_A07,2025-01-01,3505473.412503344,3.3411618e+06,2941638.638155196,2763687.028543958,3166321.781676981
MI_A07,2025-04-01,3206211.3096330436,3.4405138e+06,3199846.1742002033,2839726.2701974353,3201289.5466793445
MI_A07,2025-07-01,3115122.026019125,3.4261942e+06,3128768.715896811,2889589.0707301195,3162028.0009938083
MI_A07,2025-10-01,3280621.4802747862,3.5152162e+06,3178399.359810118,2946141.5681843883,3254187.4156649867
MI_A07,2026-01-01,3424170.422260112,3.48757e+06,3151018.1662640856,3015913.3074141997,3289529.937963038
MI_A07,2026-04-01,3373955.307108448,3.5057935e+06,3203876.4468188933,3081754.493404566,3308121.250332153
MI_A07,2026-07-01,3323034.8696857523,3.3698395e+06,3216934.9908181117,3145169.7015552055,3273224.1772891292
MI_A07,2026-10-01,3323034.8696857523,3.3982498e+06,3254216.4076132826,3209428.812466877,3303118.5948072295
MI_A09,2025-01-01,692110.1359591626,641121.5,589588.5276659506,659282.9633563778,643185.8044177553
MI_A09,2025-04-01,875631.5696556399,682343.2,594406.8698356121,738893.3383116077,718618.3168193747
MI_A09,2025-07-01,769224.3510645725,716627.8,631364.0447149749,797757.8745817032,720856.1574379462
MI_A09,2025-10-01,691636.9961370601,633611.75,635208.100805906,859445.2509608024,690205.3472079706
MI_A09,2026-01-01,765415.5743443542,668279.1,650804.566575674,933009.6720170963,736805.2115516914
MI_A09,2026-04-01,731098.1365937464,718386.3,642193.8467242048,1003596.5268846238,751493.3378693635
MI_A09,2026-07-01,723038.4543379135,699677.5,651991.8759618244,1072157.5709548218,759500.4613806964
MI_A09,2026-10-01,723038.4543379135,699677.5,645232.3377080559,1141272.0600480537,770049.5050746528
MI_A10,2025-01-01,14548946.289436117,1.4091785e+07,13894461.177403025,13399456.778179877,14031472.124139924
MI_A10,2025-04-01,14002492.801464899,1.4002398e+07,14615505.2641494,13402696.11434874,14069201.277004518
MI_A10,2025-07-01,14269035.522850687,1.4179893e+07,14716415.145735014,13413241.94324575,14218260.80942071
MI_A10,2025-10-01,14168409.950533045,1.5004515e+07,15025022.662396317,13445722.980156705,14507563.125628907
MI_A10,2026-01-01,14153488.816168359,1.524776e+07,14275130.380213398,13500525.313467808,14364867.636498438
MI_A10,2026-04-01,14681880.470171979,1.5813312e+07,14964341.45491081,13539372.859959476,14860789.318573067
MI_A10,2026-07-01,14424379.342866892,1.5199832e+07,14619865.571130248,13576853.169461258,14535897.184486596
MI_A10,2026-10-01,14211585.011266043,1.5188815e+07,15002589.123307899,13617025.333172154,14593125.784321595
MI_A11,2025-01-01,949933.2807216865,983876.3,922352.3538059889,1046107.4027812162,968559.4782124102
MI_A11,2025-04-01,930795.6955850391,964054.7,936642.492158855,1111687.5080289585,974078.5870917155
MI_A11,2025-07-01,907556.1607152459,946947.0,938330.6170817148,1172135.4779898291,974717.3792244813
MI_A11,2025-10-01,907556.1607152459,945820.8,924265.6326742764,1241845.8229850444,982984.9856562365
MI_A11,2026-01-01,949933.2807216865,982750.2,897116.0983104085,1311688.3046963525,1009003.0944245127
MI_A11,2026-04-01,930795.6955850391,962928.56,914241.8304614229,1379861.9199345962,1015800.1153579917
MI_A11,2026-07-01,907556.1607152459,945820.8,929721.5578911119,1447904.5822834251,1021748.0455458779
MI_A11,2026-10-01,907556.1607152459,945820.8,939457.3269811305,1516757.8239012437,1036959.7654377433
MI_A12,2025-01-01,10699133.223220162,6.7435465e+06,7892955.826413078,7114059.679942673,8185866.553425498
MI_A12,2025-04-01,9348972.101247542,8.568772e+06,8128293.232797501,6721060.00795,8315943.871817557
MI_A12,2025-07-01,11089418.783973163,8.538645e+06,8134737.952279017,7058337.781132429,8831352.718618555
MI_A12,2025-10-01,10944629.330354968,7.7382795e+06,8007227.884529668,7103400.539321175,8549315.46528221
MI_A12,2026-01-01,9813508.153455658,8.96573e+06,7993446.66345787,7118473.837533834,8579031.134758152
MI_A12,2026-04-01,12835887.438183531,8.459263e+06,8012416.694735073,7154647.381810449,9254823.412321903
MI_A12,2026-07-01,10331140.355428198,8.587153e+06,8017700.250324853,7229626.696009436,8641166.530720968
MI_A12,2026-10-01,11646624.039732277,8.402493e+06,8037724.165050225,7286058.850390532,8955640.621258138
MI_A16,2025-01-01,380159.68662701047,290005.9,261726.12707241657,402608.7638459719,326130.517706211
MI_A16,2025-04-01,572926.3770199993,339107.2,290587.31903800595,481808.00598415756,412922.26964144566
MI_A16,2025-07-01,739520.450135982,287127.38,299049.06291741686,542847.7914332603,456473.6017204192
