unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
OH_A01,2025-01-01,53818.493394015655,58663.23,65983.90921391817,61973.60359656083
OH_A01,2025-04-01,62985.9603345701,62434.836,70113.14240332517,63271.617048526605
OH_A01,2025-07-01,65977.65020538538,62837.965,73252.17324824576,64081.105518129945
OH_A01,2025-10-01,75111.5280383296,67418.96,77700.79233223577,62171.39812890072
OH_A01,2026-01-01,86706.68263234914,75737.79,83144.48370253592,64708.3055258263
OH_A01,2026-04-01,85509.4906977227,76037.09,82107.00927876552,64222.37387716006
OH_A01,2026-07-01,81592.17172373344,75112.5,81828.83803497526,63390.59795076604
OH_A01,2026-10-01,73093.33430497999,71959.35,81732.37166472623,61457.66037898898
OH_A02,2025-01-01,266713.6118297232,263486.66,271378.35931186617,292731.34440289123
OH_A02,2025-04-01,269737.35269636684,261711.02,267454.7148625552,290796.84840201354
OH_A02,2025-07-01,259792.25753928814,254345.58,261966.17717522295,292688.67353302124
OH_A02,2025-10-01,254935.50645135873,254346.05,256369.0279638661,288725.8640099367
OH_A02,2026-01-01,261026.02876776428,262104.98,258414.42143145722,290673.4847819001
OH_A02,2026-04-01,262092.30609763708,263139.7,258828.2778156884,288994.9641765846
OH_A02,2026-07-01,256814.30915705848,259316.14,254984.34645259083,287147.7482744653
OH_A02,2026-10-01,252174.19999406557,259043.11,253720.34395682413,284026.15265249694
OH_A03,2025-01-01,53340.44995718843,47781.33,46591.91676737588,47192.89879413344
OH_A03,2025-04-01,56038.103245938626,51043.816,47978.7567476398,47056.715299387695
OH_A03,2025-07-01,52469.69842717828,54694.97,50529.47522043929,46532.98531391735
OH_A03,2025-10-01,54045.99644290431,54683.33,54711.317907520766,44783.35941148696
OH_A03,2026-01-01,52742.94645709098,52923.97,55916.75789315267,46654.739615180166
OH_A03,2026-04-01,54413.30557462431,51645.477,55129.325496871614,46034.30976981794
OH_A03,2026-07-01,52603.795273650045,51876.797,52511.69552963905,45020.32225949185
OH_A03,2026-10-01,53551.7454359431,51472.54,51871.293762919064,43093.67928023957
