unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
OH_A01,2025-01-01,2699221.648665999,2.765823e+06,3031672.5079751615,2376334.169903037,2743141.4391484307
OH_A01,2025-04-01,2553590.6811603676,2.808758e+06,2835674.8413885515,2869002.7525210287,2765789.166622933
OH_A01,2025-07-01,2847765.4790575863,3.1663378e+06,3497355.7325448673,3061488.3880237946,3159656.7030177237
OH_A01,2025-10-01,3084662.2701928383,3.5504818e+06,3532099.9623133834,3078317.693907189,3330167.6515569575
OH_A01,2026-01-01,3320017.6510163695,3.758616e+06,3723142.706821352,3341276.255050446,3551726.808406773
OH_A01,2026-04-01,3130194.4752798476,3.7937402e+06,3657560.4292507833,3411853.422194927,3509736.411855266
OH_A01,2026-07-01,3045828.997219817,4.388576e+06,3734569.777233642,3389687.463450921,3658237.5809319783
OH_A01,2026-10-01,3054482.9671898824,4.1348515e+06,3736913.003360864,3274402.440630189,3571884.256513083
OH_A02,2025-01-01,15051123.707865985,1.5525448e+07,17447484.580305457,16405810.736583956,16141698.803512763
OH_A02,2025-04-01,15126984.810963312,1.5087872e+07,17394917.409560688,16791032.884387854,16114743.37765743
OH_A02,2025-07-01,15178787.497189911,1.4839354e+07,17374790.39261,17053901.935151502,16113659.330010561
OH_A02,2025-10-01,14925454.455557344,1.3409543e+07,17213883.589331366,17068115.11253259,15642164.219176851
OH_A02,2026-01-01,14216050.684991695,1.203072e+07,17406090.804196436,17345579.41413121,15226727.570730463
OH_A02,2026-04-01,13598995.361758284,1.1546859e+07,17445425.302336127,17416904.276760813,14976057.254417494
OH_A02,2026-07-01,12917336.688094744,1.1237675e+07,17408908.43130771,17398878.344041407,14713558.339017063
OH_A02,2026-10-01,12781781.431522347,1.1570833e+07,17408908.431307714,17284511.27501942,14741030.211094048
OH_A03,2025-01-01,3660406.2435183157,3.504755e+06,3336175.309820398,3410687.208132903,3475465.060831509
OH_A03,2025-04-01,3276206.564091589,3.028023e+06,3205505.560834749,3668882.194538093,3275252.1805185815
OH_A03,2025-07-01,3748029.154334511,3.049289e+06,3490827.3781966674,3766591.9604700627,3499823.4820066914
OH_A03,2025-10-01,3710286.396336091,3.127756e+06,3603521.9855871573,3716086.922288972,3532051.457060795
OH_A03,2026-01-01,3903622.119679289,3.7543652e+06,3706715.3237961344,3933461.022309565,3815532.6830680235
OH_A03,2026-04-01,4240982.787339259,3.537197e+06,3698115.53074134,3982365.7752585085,3851577.7741495296
OH_A03,2026-07-01,4320499.654228022,3.8068715e+06,3688191.07261758,3948062.282386693,3930229.000300609
OH_A03,2026-10-01,4289940.262102225,3.8758298e+06,3691888.833700454,3824224.1757013006,3915254.3962264014
OH_A04,2025-01-01,3181400.091661078,2.877698e+06,3139247.692156516,3076877.6403563423,3069683.462268388
OH_A04,2025-04-01,3056538.981792627,2.7781022e+06,3097956.9637857275,3064375.1676678257,2998799.608809114
OH_A04,2025-07-01,3024637.8610907467,2.7636392e+06,3044317.576756521,2989019.257803104,2956002.169342667
OH_A04,2025-10-01,3024637.8610907467,2.7159918e+06,3044317.576756521,2839479.868517083,2912322.706182667
OH_A04,2026-01-01,3181400.091661078,2.7491348e+06,3134358.501823388,2989291.5441534193,3016961.6575475098
OH_A04,2026-04-01,3025979.589666827,2.7150842e+06,3088772.475591545,3018990.335293374,2962917.312963133
OH_A04,2026-07-01,3024637.8610907467,2.7133382e+06,3044317.576756521,2973676.864804563,2939906.325884409
OH_A04,2026-10-01,3024637.8610907467,2.7123868e+06,3044317.5767565216,2844009.2916109273,2912354.616854786
OH_A05,2025-01-01,163503.57496174323,152703.66,144963.62017669636,368659.48077453766,198656.30307286984
