unique_id,ds,cutoff,y,LightGBM,XGBoost,RandomForest,Ridge,horizon
IN_A01,2020-01-01,2019-10-01,1709043.485,1326123.792591053,1.4855094e+06,2012204.130457547,-1558537.8802503347,1
IN_A01,2020-04-01,2019-10-01,3696006.933,1783347.8521182425,2.0666136e+06,1980425.0444015851,-14824126.692004085,2
IN_A01,2020-07-01,2019-10-01,1669084.205,1818146.392971351,1.757906e+06,1987828.054179995,-36117321.20893499,3
IN_A01,2020-10-01,2019-10-01,1331393.98,1718779.5062912449,1.7453435e+06,2048810.1703334714,-59773558.20952636,4
IN_A01,2021-01-01,2019-10-01,963008.973,1792799.5197768137,1.9015925e+06,2035303.5666615865,-89223184.88640112,5
IN_A01,2021-04-01,2019-10-01,4340354.28,1411205.6442160716,1.677372e+06,1824497.3254576651,-125225149.9260641,6
IN_A01,2021-07-01,2019-10-01,2106043.99,1302939.8718258045,1.6029771e+06,2064873.4897316105,-175095075.27582636,7
IN_A01,2021-10-01,2019-10-01,1598343.514,1972711.9223110073,2.1874918e+06,2073251.3308242578,-241419229.43776885,8
IN_A02,2020-01-01,2019-10-01,5193283.959,5810230.529232103,5.51663e+06,5357437.151396404,1440396.1972800791,1
IN_A02,2020-04-01,2019-10-01,6093064.677,5901520.419289849,5.383004e+06,5370914.637140938,-12232421.853272498,2
IN_A02,2020-07-01,2019-10-01,7018415.467,6308444.242807294,5.507763e+06,5280453.628049033,-32533563.480249673,3
IN_A02,2020-10-01,2019-10-01,6596111.597,6289746.881875859,5.6186395e+06,5698822.0850716205,-55631871.263061434,4
IN_A02,2021-01-01,2019-10-01,7525641.502,5767190.348086448,5.5715205e+06,5967233.683832306,-84727177.19152442,5
IN_A02,2021-04-01,2019-10-01,8609615.162,5767190.348086448,5.5715205e+06,6230026.206922477,-121451071.61728203,6
IN_A02,2021-07-01,2019-10-01,8542591.41,5767190.348086448,5.609557e+06,6218898.213881109,-171753226.2547008,7
IN_A02,2021-10-01,2019-10-01,8475935.941,5996991.359802929,5.519723e+06,6218898.21388111,-237686390.46842608,8
IN_A03,2020-01-01,2019-10-01,1498643.354,1338363.2904923947,1.3799294e+06,1720033.2311317518,-2855360.518288642,1
IN_A03,2020-04-01,2019-10-01,1568003.071,1447177.7794462694,1.383914e+06,1711319.3521939488,-16477135.56893456,2
IN_A03,2020-07-01,2019-10-01,1557340.088,1359923.419417303,1.3639184e+06,1711319.3521939486,-36881313.41541794,3
IN_A03,2020-10-01,2019-10-01,1747831.338,1298801.8810554387,1.4362479e+06,1720303.940377339,-60369550.83850178,4
IN_A03,2021-01-01,2019-10-01,1830864.313,1343169.1613139487,1.5646231e+06,1748744.0610283115,-89955410.38169625,5
IN_A03,2021-04-01,2019-10-01,1892065.867,1299214.2207380398,1.4454552e+06,1777051.3986410364,-126958240.98816505,6
IN_A03,2021-07-01,2019-10-01,2079353.15,1494461.3048020215,1.4903336e+06,1825397.792443611,-177555655.47758612,7
IN_A03,2021-10-01,2019-10-01,2081602.845,1331954.3541618693,1.3589546e+06,1900513.3507980078,-243938173.06779078,8
IN_A04,2020-01-01,2019-10-01,932560.789,864667.100187657,902181.5,888437.5176233059,-3428347.8949921727,1
IN_A04,2020-04-01,2019-10-01,750439.212,823083.4221090626,893226.5,904553.0362955283,-17116510.819511354,2
IN_A04,2020-07-01,2019-10-01,909879.302,854475.6315058717,906778.75,938275.4639147447,-37535912.025235236,3
IN_A04,2020-10-01,2019-10-01,940787.698,884646.4981515462,884585.8,933377.4507366896,-61095009.068841845,4
IN_A04,2021-01-01,2019-10-01,1070928.672,966116.801833406,964676.1,938428.1780144313,-90492125.73379847,5
IN_A04,2021-04-01,2019-10-01,1220608.358,953840.8789513108,982447.06,938275.463914745,-127421804.17780522,6
IN_A04,2021-07-01,2019-10-01,1200296.697,1059512.385580869,1.0570471e+06,943513.3096853821,-177994002.04421368,7
IN_A04,2021-10-01,2019-10-01,1251433.778,1192276.100677326,1.2083355e+06,948564.0369631238,-244337271.01110157,8
IN_A05,2020-01-01,2019-10-01,38838.8,56062.107316353955,68971.62,59468.92104832858,-4228154.696811795,1
IN_A05,2020-04-01,2019-10-01,43079.4,72080.2424154094,91172.03,64299.87934511856,-17937020.676404685,2
IN_A05,2020-07-01,2019-10-01,44820.213,87464.89631166798,133685.06,76046.56369601918,-38339886.36261976,3
IN_A05,2020-10-01,2019-10-01,47838.0,82715.9272292626,173930.33,78747.50151747081,-61924081.69519621,4
IN_A05,2021-01-01,2019-10-01,51123.22,126358.6572457265,175844.64,84276.3073412917,-91406665.8400602,5
IN_A05,2021-04-01,2019-10-01,52933.844,129679.77614686507,194999.05,89482.71528889942,-128406837.2680535,6
IN_A05,2021-07-01,2019-10-01,52748.566,147387.07435996516,219455.47,94877.72933795309,-179053224.02300385,7
IN_A05,2021-10-01,2019-10-01,51450.8,155989.1376721979,199829.25,94877.72933795305,-245462691.15118757,8
IN_A06,2020-01-01,2019-10-01,22327783.56,16457801.536788054,1.6447322e+07,14232944.85376672,17627296.32882102,1
IN_A06,2020-04-01,2019-10-01,22553298.8,16457801.536788054,1.6469063e+07,14232944.85376672,6210306.698880553,2
IN_A06,2020-07-01,2019-10-01,24312975.27,15810247.532042373,1.5673326e+07,14232944.853766717,-12486318.500300169,3
IN_A06,2020-10-01,2019-10-01,21327766.68,15810247.532042373,1.5673326e+07,14232944.85376672,-32935264.35322562,4
IN_A06,2021-01-01,2019-10-01,21186298.17,16984103.322248913,1.660026e+07,14232944.85376672,-56690012.286047995,5
IN_A06,2021-04-01,2019-10-01,21162157.24,16984103.322248913,1.660026e+07,14232944.853766728,-88773150.63120931,6
IN_A06,2021-07-01,2019-10-01,22171490.92,16984103.322248913,1.660026e+07,14232944.85376672,-133049615.55587408,7
IN_A06,2021-10-01,2019-10-01,25268774.81,16984103.322248913,1.660026e+07,14232944.853766717,-192081694.4404405,8
IN_A07,2020-01-01,2019-10-01,1889761.933,1231899.6226703743,1.4478372e+06,1395980.759284472,-3182596.7765396833,1
IN_A07,2020-04-01,2019-10-01,1254643.165,1187811.3520844933,1.3830114e+06,1407164.1963596079,-17314973.604724646,2
IN_A07,2020-07-01,2019-10-01,2118770.377,1386666.8092018168,1.3801571e+06,1365239.2056012156,-37971611.08877921,3
IN_A07,2020-10-01,2019-10-01,1633800.715,1147716.595854991,1.3887632e+06,1504841.900370866,-61893228.13496274,4
IN_A07,2021-01-01,2019-10-01,1764006.225,1049596.4229384654,1.1671861e+06,1551620.345708663,-91439082.18759438,5
IN_A07,2021-04-01,2019-10-01,2094849.966,1036829.456212061,1.2397994e+06,1561870.6695603335,-128619142.39225975,6
IN_A07,2021-07-01,2019-10-01,1744109.418,989809.0285567297,1.2581834e+06,1543852.301369978,-179763107.5441468,7
IN_A07,2021-10-01,2019-10-01,2127299.972,920572.0922309658,1.2553172e+06,1593366.4503689206,-246757021.68622306,8
IN_A09,2020-01-01,2019-10-01,582254.0,610899.2438899849,565271.5,591287.634259464,-3550357.6751517653,1
IN_A09,2020-04-01,2019-10-01,575407.0,605719.3482877618,585379.6,586906.573187977,-17136759.694488168,2
IN_A09,2020-07-01,2019-10-01,617967.0,597880.217948834,589727.06,633316.9174308125,-37498899.619537055,3
IN_A09,2020-10-01,2019-10-01,618297.0,573080.9500011369,505229.88,610745.1405101005,-61049508.99911365,4
IN_A09,2021-01-01,2019-10-01,693308.0,568288.642273756,550128.6,608260.8719212585,-90439291.78719357,5
IN_A09,2021-04-01,2019-10-01,653772.0,560501.6355086506,506935.44,631012.1260400991,-127281139.71380576,6
IN_A09,2021-07-01,2019-10-01,720437.0,520534.08797198185,468862.5,619012.3774909825,-177718717.03617802,7
IN_A09,2021-10-01,2019-10-01,654443.0,499900.38935041724,456945.72,619794.0816205232,-243922263.65659407,8
IN_A10,2020-01-01,2019-10-01,7489593.585,6103814.647718126,8.0348265e+06,8562923.292732267,3125090.706515014,1
IN_A10,2020-04-01,2019-10-01,7981273.425,6048310.582519247,9.70052e+06,9485158.784933629,-10142852.96419099,2
IN_A10,2020-07-01,2019-10-01,8539392.215,6048310.582519247,9.76581e+06,12971549.368284313,-30140331.752664894,3
IN_A10,2020-10-01,2019-10-01,8776438.15,6027595.248934798,9.76581e+06,13169377.362041071,-53360222.89062503,4
IN_A10,2021-01-01,2019-10-01,9329989.225,5854658.587397966,1.0157111e+07,13169377.362041071,-82452053.5664028,5
IN_A10,2021-04-01,2019-10-01,9866034.65,5854658.587397966,9.98602e+06,13169377.362041075,-118797401.49526945,6
IN_A10,2021-07-01,2019-10-01,9908161.175,5854658.587397966,1.0043337e+07,14128659.687994225,-168556524.1555917,7
IN_A10,2021-10-01,2019-10-01,10002973.98,5833943.253813516,1.0043337e+07,14128659.687994223,-233900631.9875848,8
IN_A11,2020-01-01,2019-10-01,167571.716,197291.45956682245,184997.23,212930.39290942063,-4083672.1571474373,1
IN_A11,2020-04-01,2019-10-01,184789.185,200612.57846796105,175460.34,212930.39290942057,-17808315.95075646,2
IN_A11,2020-07-01,2019-10-01,200815.993,200612.57846796105,175460.34,228503.78339615118,-38225489.860385895,3
IN_A11,2020-10-01,2019-10-01,211464.572,195863.60938555567,175460.34,225629.56925741202,-61820604.60481471,4
IN_A11,2021-01-01,2019-10-01,260456.358,197291.45956682245,184997.23,229175.72630145377,-91307585.34042537,5
IN_A11,2021-04-01,2019-10-01,266952.63800000004,200612.57846796105,180927.72,235356.2660767332,-128323264.4895756,6
IN_A11,2021-07-01,2019-10-01,232687.43,200612.57846796105,180927.72,252353.0313868469,-178994697.738484,7
IN_A11,2021-10-01,2019-10-01,234594.858,195863.60938555567,180927.72,252353.03138684685,-245434465.72835413,8
IN_A12,2020-01-01,2019-10-01,6308923.667,11364056.620746579,1.1598218e+07,12477172.026231384,6745661.148523897,1
IN_A12,2020-04-01,2019-10-01,4627647.016,13663560.373685164,1.4644225e+07,14128659.687994225,368063.81830629706,2
IN_A12,2020-07-01,2019-10-01,7439693.204,17787975.96498334,1.7065372e+07,14038198.67890232,-15986552.338330716,3
IN_A12,2020-10-01,2019-10-01,4118630.1,16570391.575987495,1.6557815e+07,14038198.678902322,-36506056.30805591,4
IN_A12,2021-01-01,2019-10-01,3372158.193,16521898.976922767,1.6567625e+07,14128659.687994223,-64264535.32442549,5
IN_A12,2021-04-01,2019-10-01,2886110.767,17755018.487765875,1.7405364e+07,14128659.68799423,-98278023.36504292,6
IN_A12,2021-07-01,2019-10-01,6124616.535,18644684.511599276,1.8400768e+07,14128659.687994225,-140804427.2993615,7
IN_A12,2021-10-01,2019-10-01,4469482.099,17871677.34379499,1.8260966e+07,14128659.687994223,-198044085.05154154,8
IN_A16,2020-01-01,2019-10-01,381982.88,367868.77878851286,344499.47,406720.5502620047,-3924434.1083163023,1
IN_A16,2020-04-01,2019-10-01,339677.16000000003,371189.89768965147,331762.0,408739.6329009313,-17618830.346838236,2
IN_A16,2020-07-01,2019-10-01,328843.308,371189.89768965147,327312.25,456139.23515580257,-38037695.8362377,3
IN_A16,2020-10-01,2019-10-01,308466.308,366440.9286072461,345697.62,462446.0591085063,-61626778.66252753,4
IN_A16,2021-01-01,2019-10-01,359232.737,367868.77878851286,341298.88,503061.6180383116,-91117359.58231077,5
IN_A16,2021-04-01,2019-10-01,335695.163,371189.89768965147,345697.62,516415.91724375804,-128120172.82524118,6
IN_A16,2021-07-01,2019-10-01,329685.314,371189.89768965147,353570.72,530002.7929809879,-178763826.82238522,7
IN_A16,2021-10-01,2019-10-01,291160.31700000004,366440.9286072461,335185.34,533631.1344281296,-245184982.07329234,8
IN_B01,2020-01-01,2019-10-01,2003936.54,2468304.539047045,2.549847e+06,2335856.534205577,-1352180.6272859275,1
IN_B01,2020-04-01,2019-10-01,1961422.378,2292667.51504916,2.334169e+06,2350128.6865750714,-14843262.77350983,2
IN_B01,2020-07-01,2019-10-01,2268724.099,2340629.868689519,2.3692568e+06,2350128.6865750705,-34947358.095000446,3
IN_B01,2020-10-01,2019-10-01,2444145.794,2384212.440863209,2.3982685e+06,2350128.6865750705,-58213206.95216894,4
IN_B01,2021-01-01,2019-10-01,2795384.635,2397483.8253209554,2.5161488e+06,2350128.6865750714,-87373570.36922881,5
