unique_id,ds,cutoff,y,LightGBM,XGBoost,RandomForest,Ridge,horizon
IN_A01,2020-01-01,2019-10-01,1709043.485,1522979.6305424322,1.3612021e+06,1806770.9149519594,-1558537.8802503347,1
IN_A01,2020-04-01,2019-10-01,3696006.933,1633829.219175526,1.7924182e+06,1831259.7912831195,-14824126.692004085,2
IN_A01,2020-07-01,2019-10-01,1669084.205,1699078.8103277232,1.8471168e+06,1942005.4087897765,-36117321.20893499,3
IN_A01,2020-10-01,2019-10-01,1331393.98,1740023.488103496,1.8188766e+06,1994754.0417785982,-59773558.20952636,4
IN_A01,2021-01-01,2019-10-01,963008.973,1759279.084502993,1.7396496e+06,1989689.6249412084,-89223184.88640112,5
IN_A01,2021-04-01,2019-10-01,4340354.28,1415059.9687921866,1.693324e+06,1884309.4500565147,-125225149.9260641,6
IN_A01,2021-07-01,2019-10-01,2106043.99,1464125.2327190316,1.7214959e+06,2055076.1915576053,-175095075.27582636,7
IN_A01,2021-10-01,2019-10-01,1598343.514,1799140.942771313,1.93901e+06,2185210.840090809,-241419229.43776885,8
IN_A02,2020-01-01,2019-10-01,5193283.959,5828291.5277185235,5.5643965e+06,5918085.293809839,1440396.1972800791,1
IN_A02,2020-04-01,2019-10-01,6093064.677,6002877.701500062,5.6131105e+06,5982033.277693235,-12232421.853272498,2
IN_A02,2020-07-01,2019-10-01,7018415.467,6394732.1247351,5.6131105e+06,5976388.409992204,-32533563.480249673,3
IN_A02,2020-10-01,2019-10-01,6596111.597,6321271.210319007,5.6131105e+06,6180801.726889088,-55631871.263061434,4
IN_A02,2021-01-01,2019-10-01,7525641.502,6029161.797072778,5.511553e+06,6443294.018388573,-84727177.19152442,5
IN_A02,2021-04-01,2019-10-01,8609615.162,6102622.711488872,6.414482e+06,6495967.052730467,-121451071.61728203,6
IN_A02,2021-07-01,2019-10-01,8542591.41,6102622.711488872,6.62686e+06,6529033.188276907,-171753226.2547008,7
IN_A02,2021-10-01,2019-10-01,8475935.941,6102622.711488872,6.6217885e+06,6551989.049451577,-237686390.46842608,8
IN_A03,2020-01-01,2019-10-01,1498643.354,1360511.2588720052,1.5099818e+06,1529702.820932094,-2855360.518288642,1
IN_A03,2020-04-01,2019-10-01,1568003.071,1433795.9677858104,1.4908681e+06,1530262.765772483,-16477135.56893456,2
IN_A03,2020-07-01,2019-10-01,1557340.088,1372960.2049697912,1.506278e+06,1536009.9858194806,-36881313.41541794,3
IN_A03,2020-10-01,2019-10-01,1747831.338,1300957.0240030207,1.506278e+06,1532704.9685165768,-60369550.83850178,4
IN_A03,2021-01-01,2019-10-01,1830864.313,1355409.315890202,1.6613276e+06,1553403.0198590225,-89955410.38169625,5
IN_A03,2021-04-01,2019-10-01,1892065.867,1300957.0240030207,1.506278e+06,1535091.2331918387,-126958240.98816505,6
IN_A03,2021-07-01,2019-10-01,2079353.15,1472864.9879199774,1.5519752e+06,1549537.910481708,-177555655.47758612,7
IN_A03,2021-10-01,2019-10-01,2081602.845,1267527.776900699,1.506278e+06,1529803.5616340858,-243938173.06779078,8
IN_A04,2020-01-01,2019-10-01,932560.789,870264.1837808632,822814.3,821799.9856586726,-3428347.8949921727,1
IN_A04,2020-04-01,2019-10-01,750439.212,836081.0322022827,783146.7,822036.0866264142,-17116510.819511354,2
IN_A04,2020-07-01,2019-10-01,909879.302,860407.8348849451,783146.7,832716.6819089103,-37535912.025235236,3
IN_A04,2020-10-01,2019-10-01,940787.698,885640.8355456946,778789.0,888173.1073620238,-61095009.068841845,4
IN_A04,2021-01-01,2019-10-01,1070928.672,949546.1783611785,802778.3,937789.7628109497,-90492125.73379847,5
IN_A04,2021-04-01,2019-10-01,1220608.358,963798.2894357364,778789.0,950827.8417624654,-127421804.17780522,6
IN_A04,2021-07-01,2019-10-01,1200296.697,963798.2894357364,763110.7,960770.2491235014,-177994002.04421368,7
