unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1694834.859775353,1.2929915e+06,1584098.3172954805,1321344.3783785137
IN_A01,2025-04-01,2138766.507653566,1.6842888e+06,1854108.1727649902,1560957.0180629736
IN_A01,2025-07-01,2085238.863440433,1.7853659e+06,1741142.7636974067,1753627.9451846858
IN_A01,2025-10-01,2155634.988788082,1.8609581e+06,1772720.0402369038,1916116.3666561963
IN_A01,2026-01-01,2344917.4799645264,1.8729001e+06,1946799.2511925555,2102530.4366647066
IN_A01,2026-04-01,2440326.318747449,1.9255561e+06,2219244.8134370754,2144767.0699370597
IN_A01,2026-07-01,2442134.4063555365,1.9247448e+06,2336120.8318013665,2113723.6352962954
IN_A01,2026-10-01,2401234.789880382,1.8954331e+06,2390614.9823926915,2036177.7536416482
IN_A02,2025-01-01,7469154.300707788,7.66608e+06,7406982.511763914,7191417.21007459
IN_A02,2025-04-01,6581377.203665262,7.5695985e+06,7409936.394400766,7380956.205784424
IN_A02,2025-07-01,6444129.6264646575,7.861907e+06,7513078.5545980055,7659186.046853883
IN_A02,2025-10-01,5713812.266506342,8.041128e+06,7596900.0476279445,7867757.280660418
IN_A02,2026-01-01,7220034.830105651,8.0991095e+06,7653474.021339564,8116901.913514865
IN_A02,2026-04-01,5892405.306747733,8.0596225e+06,7631448.045143861,8237721.2432382265
IN_A02,2026-07-01,5790537.3652758775,8.1285115e+06,7589577.734517216,8273964.985873559
IN_A02,2026-10-01,5954071.728758345,7.983692e+06,7531457.266930676,8255982.539526454
IN_A03,2025-01-01,1979444.8083761663,1.7858081e+06,1796182.9977212448,1819864.8068077196
IN_A03,2025-04-01,2142846.251024622,1.8907676e+06,1802663.931329764,1923482.484976912
IN_A03,2025-07-01,2112392.2511287555,1.8843928e+06,1811018.6388910331,1951776.970092814
IN_A03,2025-10-01,2126648.5881038713,1.9736328e+06,1872195.0273015327,1941794.039855374
IN_A03,2026-01-01,2205852.3502648543,2.0330025e+06,2097499.6875290754,2008493.7280710014
IN_A03,2026-04-01,2265352.4347190987,1.9998398e+06,2263804.9232275793,1980292.002876198
IN_A03,2026-07-01,2323320.9764871756,1.979175e+06,2325692.6003556717,1908187.2818293162
IN_A03,2026-10-01,2319122.470558476,1.9961561e+06,2357227.759510019,1808089.4043445443
IN_A04,2025-01-01,1546203.883073282,1.6257934e+06,1459658.428755254,1346598.6910766023
IN_A04,2025-04-01,1422407.319296252,1.5054365e+06,1449308.6769704341,1309764.7783340202
IN_A04,2025-07-01,1496332.5953052856,1.5221658e+06,1414858.8984925253,1229213.268177176
IN_A04,2025-10-01,1324525.7152953548,1.4954281e+06,1429045.7124945335,1130240.9798522578
IN_A04,2026-01-01,1673409.6526396298,1.7116691e+06,1430044.2116342196,1158299.9778390834
IN_A04,2026-04-01,1319154.2342623458,1.5529455e+06,1414219.69065196,1126940.7136200047
IN_A04,2026-07-01,1563000.1736910355,1.5121448e+06,1416737.7062116943,1065099.5484646545
IN_A04,2026-10-01,1368126.1194591722,1.6780825e+06,1404010.042429446,982888.7373851992
IN_A05,2025-01-01,51020.439870421906,64856.56,56741.97469022765,134453.6463911482
IN_A05,2025-04-01,59051.85115181637,61860.76,57370.65917790482,128014.45733283204
IN_A05,2025-07-01,70333.64134234094,61860.76,56499.94743724289,73276.6235178432
IN_A05,2025-10-01,66902.87323639609,63018.13,56758.09032467117,-23877.429054908687
IN_A05,2026-01-01,91042.36014683267,65501.434,57905.349572071005,-4198.096052526322
IN_A05,2026-04-01,80005.37432408873,62491.46,57280.55573495859,-55797.8740610393
IN_A05,2026-07-01,143781.87248314876,65895.88,56910.42927042773,-137754.46145685168
IN_A05,2026-10-01,114744.81133342178,63648.83,57223.981444502235,-241128.3895404975
IN_A06,2025-01-01,18298677.938200697,1.9334888e+07,20108415.279186398,19837114.28829665
IN_A06,2025-04-01,19837478.486053612,1.9659232e+07,20501963.23567733,20058775.0239607
IN_A06,2025-07-01,20293184.514743548,1.9628982e+07,21000464.693916712,20363837.23094915
IN_A06,2025-10-01,19214163.031871065,2.0233196e+07,21512710.96276702,21100123.80043281
IN_A06,2026-01-01,19690147.911343236,2.137471e+07,22091405.197481394,21521744.908939674
IN_A06,2026-04-01,20851426.79285928,2.4150594e+07,22292776.43430523,21821152.721598525
IN_A06,2026-07-01,21398868.22946751,2.4278738e+07,22470672.273550995,21992196.92461704
IN_A06,2026-10-01,21393114.8382835,2.3382478e+07,22435399.965995267,22139669.032386787
IN_A07,2025-01-01,1867522.5233576575,1.67878e+06,1598692.0481366634,1467143.4233620125
IN_A07,2025-04-01,2093511.8121243413,1.7297776e+06,1759046.11056132,1604183.8330655247
IN_A07,2025-07-01,2136489.2391215274,1.6975488e+06,1667574.713444884,1690387.8121218816
IN_A07,2025-10-01,2104083.2050722577,1.7620985e+06,1631951.2821054256,1739937.0279757404
IN_A07,2026-01-01,2169115.171082626,1.9160268e+06,1715388.9039726418,1850929.03472749
IN_A07,2026-04-01,2206282.7594050076,2.0097942e+06,1726937.0364569386,1851701.0198465828
IN_A07,2026-07-01,2173985.8592065857,2.001436e+06,1730945.833437502,1802011.938810199
IN_A07,2026-10-01,2224126.2246466633,1.9580408e+06,1864233.814491955,1715859.1423075888
IN_A09,2025-01-01,566227.0235356881,614148.6,598140.9088381429,690490.6679803301
IN_A09,2025-04-01,563092.3017173558,568016.56,591508.5921723547,716076.7779999112
IN_A09,2025-07-01,522922.47020236554,577499.7,593717.1662711506,690832.7632043283
IN_A09,2025-10-01,522630.32843606104,578524.75,589535.3538210845,627705.1917092581
IN_A09,2026-01-01,519953.29730399075,542378.1,593633.1498261301,665542.937176188
IN_A09,2026-04-01,504102.04860579537,519992.38,589640.2214600887,623901.056969774
IN_A09,2026-07-01,512565.6376557309,568589.25,589235.3969145016,547872.4168755614
IN_A09,2026-10-01,496038.6832049401,561289.1,587332.4691078183,447908.1300760774
IN_A10,2025-01-01,9600783.670127714,9.063447e+06,9561965.031483011,8894629.876809064
IN_A10,2025-04-01,9412023.524355797,8.785766e+06,9789500.260397187,9112132.327955019
IN_A10,2025-07-01,9509516.53522381,9.329677e+06,10379352.046273535,9342373.752990711
IN_A10,2025-10-01,9231847.124983862,9.456112e+06,10614093.611237211,9671155.197066996
IN_A10,2026-01-01,10063630.108521372,9.357958e+06,10627387.88517408,9940774.20042792
IN_A10,2026-04-01,11026895.574172614,9.312437e+06,10636090.19284409,10074308.069307216
IN_A10,2026-07-01,11121110.41041276,9.298969e+06,10686809.58961727,10123731.055939283
IN_A10,2026-10-01,10972100.821469842,9.257153e+06,10688355.42885855,10124914.10552141
IN_A11,2025-01-01,698204.7089236866,655595.25,620205.7357482865,571787.0179095583
IN_A11,2025-04-01,695936.8423887292,604440.9,607908.1965645852,485275.9063671712
IN_A11,2025-07-01,735440.3463615886,622788.56,597918.3786404639,370979.5366583533
IN_A11,2025-10-01,717196.7547327182,600183.94,589495.6644972678,234537.1090759274
IN_A11,2026-01-01,704789.0011644122,585160.56,587159.2224374271,238886.0047413624
IN_A11,2026-04-01,703601.2010899873,532203.3,588607.7799577909,186830.32153521292
IN_A11,2026-07-01,704732.6783331297,567405.06,587906.8493162019,113011.2688437932
IN_A11,2026-10-01,701581.8711793715,560988.3,588739.3498254695,22382.702247666544
IN_A12,2025-01-01,9518611.949100167,1.1619811e+07,10336445.665734109,7554996.828168954
IN_A12,2025-04-01,8149370.558346091,1.2765195e+07,10735612.890554208,7909931.980227717
IN_A12,2025-07-01,11059337.284571351,1.456967e+07,10699555.581236763,6786692.255396872
IN_A12,2025-10-01,9786571.962853001,1.5412706e+07,10835338.595737882,7916406.38759507
IN_A12,2026-01-01,10486585.114418715,1.5136737e+07,10677838.814095957,8865942.111295894
IN_A12,2026-04-01,11282742.72617729,1.42164e+07,10629811.213127693,9608971.689110227
IN_A12,2026-07-01,10584501.752615003,1.5787816e+07,10747292.275546756,9854393.586907752
IN_A12,2026-10-01,11820314.165917367,1.5953694e+07,10661870.941936612,10340510.27924234
IN_A16,2025-01-01,365098.7945975946,437539.22,383932.27097391506,404668.30693099706
IN_A16,2025-04-01,363067.9194466503,462470.38,388488.64076615474,429911.8943702093
IN_A16,2025-07-01,369449.3034239883,485949.22,405326.2520549107,400910.519923607
IN_A16,2025-10-01,363024.25313321146,465197.38,406532.1116469104,322670.8253177961
IN_A16,2026-01-01,388514.5025566162,451194.53,402264.66805137595,350366.6262087028
IN_A16,2026-04-01,388885.6890745907,403624.8,402892.7618818867,302590.7165453258
IN_A16,2026-07-01,372770.63863955834,444115.53,400741.1196872513,220888.659807374
IN_A16,2026-10-01,380253.2829855507,447065.2,400018.9574305399,115615.46671174222
IN_B01,2025-01-01,2805589.4222046942,2.8210685e+06,2881388.573599609,3048482.8295189636
IN_B01,2025-04-01,2715049.878792983,2.8796165e+06,2884175.3036471293,3043152.9461369775
IN_B01,2025-07-01,2850665.561403599,2.8928942e+06,2810244.8278893,3027791.8777630106
IN_B01,2025-10-01,2951955.41864886,2.9832988e+06,2822506.1282904968,2922145.120397423
IN_B01,2026-01-01,2937307.0966409477,2.9326935e+06,2801106.6883599004,2945825.1134142205
IN_B01,2026-04-01,3109669.7742652004,2.9221008e+06,2800214.365770353,2903823.0042371415
IN_B01,2026-07-01,3120751.3569869623,2.8831645e+06,2782200.943597372,2840449.8994106865
IN_B01,2026-10-01,2983953.186864283,2.8070368e+06,2775205.1341732275,2745364.634328638
IN_B02,2025-01-01,2545340.649234393,2.3247708e+06,2261343.144009441,2686688.2415449624
IN_B02,2025-04-01,2599303.7242396465,2.5345072e+06,2385267.445233054,3045391.851418387
IN_B02,2025-07-01,2914016.2339243027,2.5777248e+06,2439190.9661122286,3281218.921528255
IN_B02,2025-10-01,2383017.9759621373,2.4446188e+06,2468958.929903493,3454302.371040532
IN_B02,2026-01-01,2072944.307889657,2.383731e+06,2513630.208906468,3596548.956234595
IN_B02,2026-04-01,2061226.6351571914,2.3822378e+06,2557366.217257465,3589503.5363112455
IN_B02,2026-07-01,1900667.5133458476,2.3559802e+06,2668733.2609398756,3511033.0134251346
IN_B02,2026-10-01,1834762.0171058667,2.332042e+06,2674456.0785015146,3385717.8128501126
