unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge
IN_A01,2025-01-01,1658779.5056357319,1.2562712e+06,1601613.3921797867,1348905.396418131
IN_A01,2025-04-01,2095664.6256172312,1.6245805e+06,1859524.535652381,1644798.8802858985
IN_A01,2025-07-01,1938799.0536484784,1.5973388e+06,1737998.4324253951,1917660.8611474945
IN_A01,2025-10-01,2281219.054770332,1.783953e+06,1780195.290107137,2178859.948539961
IN_A01,2026-01-01,2496556.539161278,1.6276e+06,1998034.213701467,2473594.137132378
IN_A01,2026-04-01,2725781.5596691496,1.7073174e+06,2243042.211712139,2627085.3611101434
IN_A01,2026-07-01,2736685.916674156,1.8116701e+06,2318505.257196578,2705708.099615091
IN_A01,2026-10-01,2783967.8747581295,1.6848664e+06,2365714.848283992,2734574.133225185
IN_A02,2025-01-01,7331647.23683261,7.1745e+06,7438099.226816116,7218978.228114207
IN_A02,2025-04-01,7068554.669891445,6.9466635e+06,7458512.635550617,7464798.06800735
IN_A02,2025-07-01,8330875.086357856,7.123706e+06,7708846.688670178,7823218.962816692
IN_A02,2025-10-01,8034953.397804261,7.132166e+06,7998742.33925895,8130500.862544184
IN_A02,2026-01-01,9702308.042361625,7.5042125e+06,8217315.711590717,8487965.61398254
IN_A02,2026-04-01,9097022.824352149,7.6288365e+06,8446959.49441125,8720039.534411311
IN_A02,2026-07-01,10293285.040625768,7.6153845e+06,8599222.801242214,8865949.450192358
IN_A02,2026-10-01,10607546.600389443,7.520292e+06,8797984.930428598,8953334.525532681
IN_A03,2025-01-01,1966840.1607450861,1.7785422e+06,1816789.8644454693,1847425.8248473364
IN_A03,2025-04-01,2194335.1177478726,1.8915219e+06,1830986.5120155376,2007324.3471998367
IN_A03,2025-07-01,2177819.8173205154,1.8605445e+06,1862519.8905847925,2115809.8860556222
IN_A03,2025-10-01,2248882.460160906,1.9305772e+06,2035278.6393865875,2204537.621739139
IN_A03,2026-01-01,2514370.0246056397,2.0497464e+06,2213490.097861375,2379893.284037375
IN_A03,2026-04-01,2665868.1169705302,2.0255872e+06,2296455.8544409573,2462830.999062784
IN_A03,2026-07-01,2700854.53741021,2.0585332e+06,2315995.088229411,2501305.562797519
IN_A03,2026-10-01,2686663.3473848593,2.0191742e+06,2327390.223515529,2508638.567695557
IN_A04,2025-01-01,1564392.5332433374,1.6277648e+06,1469007.2172666816,1374159.70911622
IN_A04,2025-04-01,1419620.4926282042,1.5338865e+06,1479016.0669268984,1394303.3284188223
IN_A04,2025-07-01,1538667.0785915758,1.5628052e+06,1459548.8357503596,1394943.2100355313
IN_A04,2025-10-01,1376298.0513330873,1.534554e+06,1477919.9229244813,1396892.7006780505
IN_A04,2026-01-01,1714259.5723664598,1.7616232e+06,1481130.836989552,1535463.6791109797
IN_A04,2026-04-01,1402589.1594335348,1.7272792e+06,1481420.6373110248,1613636.8159661214
IN_A04,2026-07-01,1592973.9813463036,1.681284e+06,1481862.8243665225,1661517.1484251656
IN_A04,2026-10-01,1493784.0672437227,1.8306838e+06,1477019.8155410988,1685245.9687329787
IN_A05,2025-01-01,51619.207555297064,64899.88,57926.349967211296,162014.66443076555
IN_A05,2025-04-01,59827.491372315126,61454.562,59054.69144181637,211856.31955575675
IN_A05,2025-07-01,88664.08341684203,61454.562,60866.31135995355,237526.17297412362
IN_A05,2025-10-01,72480.94239114382,95912.234,61632.96766815391,240850.05568210955
IN_A05,2026-01-01,146330.77738402458,101132.99,62833.489616132996,371463.6590493402
IN_A05,2026-04-01,84112.79088121164,128544.805,62110.703330113334,429778.2283680963
IN_A05,2026-07-01,109054.53524597916,193721.06,61769.53478264037,458624.35488559224
IN_A05,2026-10-01,152439.05327034765,277037.22,62029.21879924866,461984.1427169462
IN_A06,2025-01-01,18558239.23465271,1.9497598e+07,19834525.46177312,19864675.306336273
IN_A06,2025-04-01,19953036.414256085,2.0003904e+07,20040829.897457052,20142616.886183627
IN_A06,2025-07-01,20776033.24518044,1.9979416e+07,20127319.826321702,20527870.146911964
IN_A06,2025-10-01,20534028.816471335,2.0242302e+07,20387058.057270277,21362867.38231658
IN_A06,2026-01-01,20610683.67127659,2.1495896e+07,20490928.231281664,21892808.609407347
IN_A06,2026-04-01,22962174.363596123,2.4241826e+07,20814517.29072765,22303471.012771614
IN_A06,2026-07-01,25729044.07314338,2.4510092e+07,21404921.51860262,22584181.388935838
IN_A06,2026-10-01,22905211.63970499,2.3724296e+07,22054113.506929465,22837021.018393014
IN_A07,2025-01-01,1854917.8757265776,1.6565422e+06,1617419.801651431,1494704.4414016297
IN_A07,2025-04-01,2197125.32931984,1.7241775e+06,1771254.7294744516,1688025.6952884493
IN_A07,2025-07-01,2159444.1311526652,1.6419401e+06,1675750.2558782112,1854420.7280846904
IN_A07,2025-10-01,2108966.741426011,1.6858605e+06,1659460.7459053958,2002680.6098595052
IN_A07,2026-01-01,2312010.5442446773,1.9149326e+06,1771147.6033497767,2221992.7351951604
IN_A07,2026-04-01,2409092.772367737,1.8920378e+06,1783631.9816639503,2334019.3110196665
IN_A07,2026-07-01,2403617.38196047,1.9466364e+06,1808701.0725033865,2393996.403128995
IN_A07,2026-10-01,2452082.709363029,1.9621959e+06,1975874.1073354732,2414882.81695579
IN_A09,2025-01-01,627023.4573812047,611035.3,604282.7110635506,718051.6860199478
IN_A09,2025-04-01,642922.7734347178,564453.75,607769.8035250094,799918.640222836
IN_A09,2025-07-01,659116.7781274013,573576.25,619325.7380956352,854865.6791671375
IN_A09,2025-10-01,690036.9544710398,552545.5,617063.6056604588,891298.0574181897
IN_A09,2026-01-01,709329.3441635269,557095.2,623274.408250726,1039288.5378470928
IN_A09,2026-04-01,719207.0996157622,528060.25,622968.335281139,1108082.8678009182
IN_A09,2026-07-01,724365.0496891862,528060.25,623857.560982349,1142801.7833125936
IN_A09,2026-10-01,719314.5774338105,502269.03,622831.4147855049,1149857.2110144529
IN_A10,2025-01-01,9496444.989680462,8.620762e+06,9571899.97825274,8922190.894848682
IN_A10,2025-04-01,9037001.066258218,8.2567815e+06,9700800.31534959,9195974.190177944
IN_A10,2025-07-01,10462843.858764159,8.959122e+06,10253185.328485241,9506406.66895352
IN_A10,2025-10-01,11190496.806766097,8.873943e+06,10437712.213035194,9933898.778950758
IN_A10,2026-01-01,12371755.55386231,9.431905e+06,10472852.279514708,10311837.900895592
IN_A10,2026-04-01,13983155.465828303,9.424146e+06,10484006.030083347,10556626.360480297
IN_A10,2026-07-01,14129544.987643337,9.522237e+06,10521550.131942939,10715715.52025808
IN_A10,2026-10-01,14444726.235209513,9.458616e+06,10503582.494515074,10822266.09152764
IN_A11,2025-01-01,697903.1024599078,652481.94,624016.4083579747,599348.0359491755
IN_A11,2025-04-01,696473.5483321315,600878.06,620096.0482075729,570008.9771600491
IN_A11,2025-07-01,752307.7602608594,618865.1,619209.932308399,537521.5419835808
IN_A11,2025-10-01,715983.1843446199,567096.25,616031.4118177701,501787.937559176
IN_A11,2026-01-01,698259.9315433691,595807.06,618025.0148584876,616598.5237985788
IN_A11,2026-04-01,705862.4032949635,549945.7,621692.0986027581,673931.5763618592
IN_A11,2026-07-01,699953.0120112005,573531.9,621619.5837107897,710347.0994892232
IN_A11,2026-10-01,703672.4510685611,538392.4,620913.5135351217,725725.1130475213
IN_A12,2025-01-01,10294168.128160415,1.1833775e+07,10257443.446996279,7582557.846208571
IN_A12,2025-04-01,10112056.636160228,1.3107515e+07,10538214.159156632,7993773.842450644
IN_A12,2025-07-01,11822808.06943931,1.5334748e+07,10508182.062214928,6950725.171359681
IN_A12,2025-10-01,11601918.505768295,1.6062204e+07,10599351.27607077,8181847.835306271
IN_A12,2026-01-01,11811444.518533908,1.4967398e+07,10467845.744087106,9238778.69479264
IN_A12,2026-04-01,11713949.498653391,1.6511362e+07,10451072.021446818,10092776.265455395
IN_A12,2026-07-01,12395268.454982914,1.7332918e+07,10601578.814263059,10447565.858522773
IN_A12,2026-10-01,14814241.876727302,1.758239e+07,10495922.207161143,11038445.423043475
IN_A16,2025-01-01,362328.5251070544,433893.2,382180.77235346276,432229.3249706144
IN_A16,2025-04-01,354370.81176285184,468646.56,386510.88351096044,513753.756593134
IN_A16,2025-07-01,361113.0897591973,479850.5,404394.15225478366,564943.4358864155
IN_A16,2025-10-01,352872.0368744726,483920.28,407222.46774478076,586390.0997934304
IN_A16,2026-01-01,360854.95909512276,493073.5,402496.2973667574,724703.7123068199
IN_A16,2026-04-01,347484.193850372,468732.22,407182.2708334072,787176.2698517444
IN_A16,2026-07-01,343001.8264456653,468732.22,405347.3973143427,816360.1407339312
IN_A16,2026-10-01,346334.3752367451,465146.94,406621.4445325335,818142.1988357916
IN_B01,2025-01-01,2780939.600965316,2.782544e+06,2902746.262197359,3076043.847558581
IN_B01,2025-04-01,2738657.855949927,2.8741532e+06,2900390.504935403,3127382.5729627125
IN_B01,2025-07-01,2824752.4008131386,2.9844485e+06,2890345.574193236,3192258.923579315
IN_B01,2025-10-01,2980305.049528881,3.1276208e+06,2909448.382603005,3185736.9526589173
IN_B01,2026-01-01,3222785.771736733,3.1324645e+06,2908508.3674259805,3320832.7823967524
IN_B01,2026-04-01,3378060.0459171403,3.1273605e+06,2915371.4259915445,3388780.551639623
IN_B01,2026-07-01,3418291.838866916,3.305293e+06,2915503.741022029,3435996.7859056736
IN_B01,2026-10-01,3556588.7315607215,3.2986468e+06,2876056.138968567,3447397.439030376
IN_B02,2025-01-01,2530240.4134903653,2.2433762e+06,2260140.280798483,2714249.25958458
IN_B02,2025-04-01,2598032.7612083703,2.4894675e+06,2379041.591805198,3129233.713641312
IN_B02,2025-07-01,2913092.75678892,2.5558875e+06,2423639.9572414574,3445251.8374910643
IN_B02,2025-10-01,2494904.8213218884,2.5076022e+06,2414653.438354589,3717045.9529242977
IN_B02,2026-01-01,2316613.174969533,2.550885e+06,2468913.2873825734,3967612.656702266
IN_B02,2026-04-01,2416305.874618241,2.7232958e+06,2528474.0040518655,4071821.82748433
IN_B02,2026-07-01,2144047.4085826674,2.6912505e+06,2605158.1296544713,4103254.5066488367
IN_B02,2026-10-01,1960566.6585535768,2.7287628e+06,2729058.4762603547,4085865.5427344246
IN_B03,2025-01-01,800981.5335555441,965206.2,863092.4012064545,801479.0517988084
IN_B03,2025-04-01,826568.4288420518,996100.8,872631.5749432686,861795.9362014316
IN_B03,2025-07-01,824092.3374985467,990100.3,903931.9937346936,871027.244489158
IN_B03,2025-10-01,814198.6746068117,1.0032639e+06,868844.754485288,904372.8062486167
IN_B03,2026-01-01,837787.4824989869,939758.4,886249.1209247584,1063120.5667670546
IN_B03,2026-04-01,818244.0052865894,899470.2,906581.1918472708,1150608.3148717452
IN_B03,2026-07-01,847291.1034020399,906641.0,919123.1440565126,1197711.9645018517
IN_B03,2026-10-01,823986.9716799394,900657.0,916368.7633320837,1221719.815052461
IN_B05,2025-01-01,20976519.285218265,1.5448217e+07,16119027.62410443,15165642.969369255
IN_B05,2025-04-01,20037502.01531523,1.396744e+07,15701206.058575273,15523271.485770427
IN_B05,2025-07-01,15855121.734177815,1.4139888e+07,16004804.063906284,16790488.864349738
IN_B05,2025-10-01,18738219.3390809,1.6458708e+07,16448677.64052607,17057980.42444304
IN_B05,2026-01-01,19544625.265956372,1.7393418e+07,17034228.97746109,17146268.754698575
IN_B05,2026-04-01,18203695.148481406,1.8077402e+07,17870181.51610709,17204336.19959628
IN_B05,2026-07-01,16589749.099859064,1.8662388e+07,18203534.18104082,17417356.577634715
IN_B05,2026-10-01,16247741.507213859,1.8405308e+07,18181329.599707376,17334882.70637223
IN_B06,2025-01-01,130179.18789974919,69400.91,42751.952797528385,153440.57655370072
IN_B06,2025-04-01,62868.32441040689,62175.13,41333.66224967566,206011.52518204716
IN_B06,2025-07-01,125134.88875661674,61819.8,40211.29198044164,234442.01181941887
IN_B06,2025-10-01,88832.09083644646,101061.24,38949.29842962369,244275.31097599817
IN_B06,2026-01-01,166505.816978059,102771.06,42516.50991191473,376132.48604828445
IN_B06,2026-04-01,206118.9463118985,124235.02,42638.42254794308,434875.1531866541
IN_B06,2026-07-01,174436.13956127065,193602.66,42151.95488369416,463474.6378778006
IN_B06,2026-10-01,103609.78976060386,315237.5,40903.6689867099,466618.14703372703
IN_C01,2025-01-01,2854585.262773596,2.8312822e+06,2705035.446892373,2759129.7998605743
IN_C01,2025-04-01,2658314.0703983447,2.4928438e+06,2572537.459938312,2650882.75378487
IN_C01,2025-07-01,2557029.1294355,2.493298e+06,2590303.2741845213,2480124.1944409907
IN_C01,2025-10-01,2966279.653629481,2.7274938e+06,2679819.5641189874,2252666.262157301
IN_C01,2026-01-01,2954106.04148807,2.8616865e+06,2790393.6482853284,2253616.4945667437
IN_C01,2026-04-01,3118856.685867664,2.9413275e+06,2849015.55546835,2273372.6694306135
IN_C01,2026-07-01,3150501.3737304276,2.9319862e+06,2868361.3486235607,2289436.868009885
IN_C01,2026-10-01,3048192.3860427598,3.0325565e+06,2854785.837074078,2295225.1034007296
IN_C02,2025-01-01,2481950.9149678266,2.641979e+06,2777545.6676918087,2795113.0922968104
IN_C02,2025-04-01,2649422.5304876342,2.5842132e+06,2836262.7562337755,2879046.365573476
IN_C02,2025-07-01,2880872.409242867,2.7232368e+06,2857762.002499127,3031956.146601285
IN_C02,2025-10-01,2975701.6632425427,2.8233032e+06,2875117.6235676017,3158077.773653921
IN_C02,2026-01-01,3172982.806598809,2.9077078e+06,2889442.1406694385,3391822.72334173
IN_C02,2026-04-01,3254290.719489238,2.903966e+06,2879951.261472298,3515007.3273153855
IN_C02,2026-07-01,3367224.1062050704,3.043504e+06,2896444.49386162,3597886.743089876
IN_C02,2026-10-01,3351131.5988736637,3.193915e+06,2913579.971636241,3643528.73413639
IN_C03,2025-01-01,4574938.693849936,4.6178595e+06,4598313.7353275325,4337405.1802729005
IN_C03,2025-04-01,4817265.082528176,4.615546e+06,4628396.411881727,4575382.085795053
IN_C03,2025-07-01,4525307.4487180095,4.422386e+06,4546105.573315815,4797168.599024198
IN_C03,2025-10-01,5238639.332274061,4.860801e+06,4931324.834043628,5064266.820309513
IN_C03,2026-01-01,5952787.228266776,4.9868245e+06,5046645.947721095,5333007.840386149
IN_C03,2026-04-01,6223441.52612258,4.7417935e+06,5127796.3635728285,5489243.266375966
IN_C03,2026-07-01,6174063.003835173,5.163224e+06,5387219.69385693,5578449.314098905
IN_C03,2026-10-01,7148335.633965856,5.158054e+06,5458113.454741574,5626334.588786467
IN_C04,2025-01-01,38329.02932301017,47560.42,19241.10589357832,129833.90432354703
IN_C04,2025-04-01,101803.66503354034,75063.51,19923.175641873888,182118.23403828742
IN_C04,2025-07-01,103962.77235556563,135112.08,20331.17146170018,209825.94227753673
IN_C04,2025-10-01,140276.6176702753,131360.34,20451.952048310402,213330.69353043207
IN_C04,2026-01-01,292495.47721518954,169448.05,20538.748741938143,343693.9318969372
IN_C04,2026-04-01,211314.35196004665,283807.9,20611.186901152767,401297.2163761031
IN_C04,2026-07-01,208148.06373080824,281017.84,20689.37550122085,429360.6259436259
IN_C04,2026-10-01,81412.17106751403,267469.75,20807.31663772902,431845.29488997906
IN_C05,2025-01-01,496529.7246102381,475377.66,471535.33991295635,626828.1255910463
IN_C05,2025-04-01,518518.80067468894,488208.1,482392.40367173025,717781.0063232803
IN_C05,2025-07-01,539261.7417031981,498626.78,507782.4506021519,770164.2825692189
IN_C05,2025-10-01,524093.8115300365,492743.1,530756.247722354,799125.0540483543
IN_C05,2026-01-01,504342.8424429173,490561.75,522566.9422618549,945292.9566792902
IN_C05,2026-04-01,513277.9959126571,476738.6,523884.9982870494,1011053.1690890489
IN_C05,2026-07-01,506078.71394701826,477993.47,521686.3796872786,1038939.6742319968
IN_C05,2026-10-01,501330.67725204636,466688.25,522328.5683372913,1042668.3712758459
IN_C07,2025-01-01,5813310.423027948,6.6123435e+06,6833929.464177207,6577915.51105781
IN_C07,2025-04-01,5847148.440705676,6.779962e+06,6905127.7919304175,6811883.788412215
